#贴吧开学季#萌新报道，爆照求Zhao, 快要开学啦，想要一睹新生们的芳容吗？那就赶快来一起爆照吧～也许他/她是你未来的好基友；也许他/她是你未来的另一半；也是他/她是你未来的榜样。贴吧校园官方活动，还有礼品等着大家哦~活动详细说明：   想要爆照的吧友直接在本贴回复~  空手套照骗  楼主先爆，带个好头
【交易、兼职、租房】, 为了方便浙江大学吧的管理和版面整洁，吧务组在此开设交易、兼职、租房专帖。所有提供交易的吧友必须注意以下4点：1.保证信息的准确真实性。2.每则信息尽量只占用一层楼，具体可在楼中楼细说。3.发布时请尽量详细描述，如配图，并说明相关预期。4.成功交易后主动删除相关楼层。温馨提示：1. 吧友可在楼层中附带自己的联系方式也可选择私聊或线下联系。吧友们注意保护自己的信息安全。2. 禁止单独开贴发布相关信息，吧务组有权将其删除。3. 吧友可以向吧务投诉虚假信息和诈骗行为，但吧务组对相关交易不负任何责任。4. 本帖不是广告墙，对于有明显商业性质的广告等吧务组有权将其删除。  2楼自占供补充说明关于虚假欺诈行为的投诉也可在此楼回复，注意具体说明是楼层及相关欺诈行为  对于之前单独发布的交易帖，将陆陆续续予以删除  电信卡预售代理 Q295894399  广告学广告设计专业！本人是下沙计量大学一名市场营销准大四学生，想与贵校广告专业的一起合作成立一个工作室。有兴趣或什么的可以帖子下方留言或找我要联系方式。要求：熟悉各软件应用有独立完成广告的能力  着急收购二手电瓶车，需要出手的加QQ 589908109  紫金港阁楼租赁，女，有人么。  标题：50元转让原价200元的英文期刊 vip账号日刊 周刊 月刊 都有 有兴趣的加我qq 贰玖零贰柒捌玖壹贰(加qq免费送中文杂志)这是英文日刊：这是英文周刊：这是英文月刊：（太多了，只截了1/3）  寻一妹子帮体检，不需要抽血，报酬好谈，私我Q或者微 1543858283  寻一份浙大附近的工作，能包住就可以，谢谢啦    求俄语系学生兼职导游，带五个俄罗斯人团，从下午一点开始工作，在旅馆住宿，一天一百，工作到八月12号。  求俄语系学生兼职导游，带五个俄罗斯人团，从下午一点开始工作，在旅馆住宿，一天一百，工作到八月12号。  游学活动需要五个志愿者，包吃，价格180/人，我们是一个培训机构，带学生去浙大看看，需要几个导游（紫金港跟玉泉校区），详细见930192084，谢谢~~~  学车科普贴啦啦啦做了这么久都驾校代理，和大家透露些学车的黑幕，如果有想学车的欢迎私我微信 15957150200ps我的愿望是成为一个利润透明，成本透明的驾校招生代理～1尽量报名实体驾校，网络学车平台跑路投诉无门，没场地没教练导致网络驾校成本更高（需要租用）2驾校代理利润差距极大，多的高达800，凡是有二级代理（没有正规和公司签合同的都是二级代理），你学车的价格已经提高了500左右☆3驾校练车场地很重要，可以在高德地图上搜索一番，是否为正规场地，学车平台的场地往往练车场地为租用，（也可以倒卖学员给了其他驾校）4不要轻信学长学姐的推荐，很多都是利益相关，比如拉一个人有100（可以理解为2级代理）5老牌驾校教练往往更加指导有方，对教练有意见投诉到总部有奇效6经常搞预报名100减×00的需谨慎，说明利润水分很高，对应的是真实成本很低7男生因为轻视导致挂科很常见8要学车的欢迎找我【广大驾校】重磅升级💥💥💥杭州老牌驾校，杭州规模最大驾校驾校，拥有最多的教练，年年十佳，品质保证。打破套路驾校直招，4200一费到底！👉🏻练车包接送，可以【半天练车】，预约教练练车延迟～投诉查证后赔付200/次👉🏻无条件免费换教练👉🏻补考不要重学费联系方式 /微信 15957150200  求租！浙大华家池校区，越靠近越好，校内最好！一室一厨一卫。有的请私聊我。  中国电信2017秋季开学套餐营销开始！今年电信公司再次加大优惠力度，推出超级优惠套餐！（线上办理套餐19元/月，享受杭州本地流量无限、新生VPN由2M提速12M等一系列优惠套餐。现招营销人员，线上现在开始至开学前五天结束；线下新生开学日。工资待遇:没有底薪，一单70左右，(去年最高75一单，量多奖励)，今年工资还没定，不会更低，名额有限，先到先得哦！有意者加微信q30355570ps:之前工资待遇有错，改掉了，抱歉  求租，浙大任何校区附近一室一厅，不要单间，谢谢  楼主是南京邮电大学研究生，性别男，下周开始要去杭州实习，在浙大紫金港附近。因为网上很多房源是整租，所以想问问有没有要一起在附近租房的小伙伴，这样选择的余地会更大一些~  浙江附近合租或者整租，谢谢！  高档精品公寓，五星级的房间，带给你极致体验。房间分为床铺区，办公区，休息区，洗漱区，全独立卫生间。最近的公交站是机神村站，离C出入口150米左右。文晖大桥东、闻皇庙这两个站也算是地铁接驳站，距离地铁口差不多都是四五百米。涉及公交线路十多条。户型介绍:MUji风、北欧风、纽约时尚风，总有一款是你想要的。  浙江省公务员事业单位考试培训招生代理，必须是在校大学生或者与学校关系密切的人，平时该干嘛干嘛去，只有在考试前后一个月做点宣传就行，联系方式15205814524（同微信号）愿意做的私聊  城西银泰旁申悦国际精装单身公寓出租重点是非中介，不收中介费！浙大紫金港校区旁，申悦国际。古墩路和萍水西街的交叉口，周边有城西银泰，印象城，联华超市，沃尔玛等大型商场超市。周边娱乐设施齐全完善。距离西湖景区仅十五分钟车程。房内精美装修，家具家电一应俱全，格局完善，一室一厅一卫，自带厨房，首次出租带沙发和茶几。希望找个能爱护房子的人，养宠物的暂时不租哦。价格：3200元联系方式17573405756  浙大新闻与传播考研资料，八本书加复习资料加真题解析，还有我收集到的各类需要用到的资料，只用了一个月不到。基本全新330带走，可刀包邮。求好心人小天使带走点击展开，查看完整图片  求校内无线网 账号密码 外地卡 不好办业务 特借...为日一个月 拜谢  紫荆港校区附近求合租有么有么本人考研党一枚来呀来呀 一起合租呀  兼职 军训期间给女生发放一次花王防晒霜 工资100 联系微信红领:zhl199602  电信兼职营销：史上最高价七十，希望广大小伙伴参与：q群664584682  收2手踏板。  闪讯路由器出售  我来自广东省。8月14号想去浙大旁读一边创业（准备找几个学生或者有兴趣之人一起做自媒体公司其）。学校有宿舍外租的吗？或者学校旁边住宿价格怎样？谢谢知情人士回答  【招募公众号签约作者/文案实习生】工作内容：为公众号撰写指定选题的内容，包括各种吃喝住行、八卦、鸡汤、影评书评现象评类题材文章，要求有观。受众：职场人文风：高效，幽默，辛辣，治愈等字数：1500字左右稿费：200-600/千字工作要求：不拖沓！！文笔好，网感强，擅长各类或某类传播体！加分项：1，自媒体人，段子手加分！2，10W+文案经验加分！3，知乎/豆瓣/简书/头条号作者加分！4，出身传播，中文系专业，有擅长的写作领域，加分！有意者请发文字作品到：lairuiyi@dingtalk.com通过审核会发短信or邮件通知。PS：签约走合同流程，如有需要可开具签约作者证明或实习证明。  收购一辆二手电动车，有的可以联系我q2420834887  出9成新二手山地车。。这个车是正品禧玛诺中档套件，不是那些低档货能比的，是捷安特2000元这一档的水平。。感兴趣的来私聊。。  想做代理私聊我  女，求租，浙大紫金港或西溪校区附近，一室一厅或单间带卫厨，也可合租，求安静，备考的伙伴。。。租金1000左右。。。求房源信息。  杭州西诺教育学费转让，有3536，有意者加Q 774089154。备注西诺教育，可以走闲鱼。  男，求租，浙大紫金港或西溪校区附近，一室一厅或单间带卫厨，也可合租，求安静。租金1000左右。。。求房源信息。  招兼职，有意者私聊  演员通告：现有拍摄计划需要寻找两名潜力男演员，要求如下： 一、外国人We need you:我们需要你：1. Be confidence in front of camera;1. 有一定的镜头感和表现力2. Basic communication skill of Chinese;2. 基本的中文会话能力3. Better if having sense of performance;3. 有表演能力者更佳4. Better if the native language is English4. 母语为英语者更佳 二、中国人1. 风格清新/气质出众2. 在镜头前充满自信，富有表现力3. 英文水平过得去，至少能跟老外唠个5块钱的 First shooting time: Aug.拍摄时间：8月份Location: China Huace (Building C-C， Creative & Culture Industrial Park， No. 683， Wener Road West)拍摄地点：西溪创意产业园区 C-C 华策影视（文二西路683号） 联系方式：TEL：（0571）8755-3088-8337WeChat：EvelynGuE-mail：chenxiaona@huacemedia.com Notice: You are welcome to bring YOUR FRIENDS with you together!注：欢迎携带你的小（好）伙（基）伴（友）一同前来。  出春雨面膜免税店购回 v：xuzeshi8489  有需要兼职的同学可以私聊  二手九成新电瓶车，电瓶一月份换的，要看可以打开看，图片如下，1000，要的话打电话联系我15158240628，面交  求购一辆二手电动车，有的童鞋请在底下回复  求购二手自行车。百元段位。  【网易游戏招募动作类手游玩家进行玩家体验~】【要求】喜欢玩ARPG手游且体验较深入的（一个月以上），包含但不限于：崩坏3、龙之谷、功夫熊猫系列、聚爆、十三煞、掠夺者、HIT等；男性玩家【内容】体验一款神秘新游【时间】8月20日下午1点-6点其中1.5小时【地点】滨江区网商路599号【报酬】100元【报名方式】发送姓名和手机号码到leihuoux@163.com~  [出租]紫金港 天虹公寓 朝南小单间 1100/月详细地址 紫金花路天虹公寓1幢2单元2303联系方式 张同学 15669010729 / 微信 scofield_072907 价格 1100/月出租户型 单间（朝南次卧付款方式 押1付1独立电表 是水电缴费 每月一付日常卫生 自理维修物业 30/月网络宽带 有，30/月退租方式 合同到期，退还钥匙取回全额押金看房请在6点半之后  浙大紫金港附近求合租，男，租金1000元左右的  【来一波电信兼职招募】想要搭讪小鲜肉？想要暴富？那就来2017年中国电信秋季营销吧！招聘校园一线营销若干名，时间为新生开学前，浙大紫金港校区（8月24，25，26，27四天），玉泉校区开学前时间未定，待遇优（无底薪按单量提成，拉一个人办理会有70元以上收入！只要给力，几天下来赚个几千没啥问题。新生们也可以来参加营销，方便拉动身边同学办理）。工作内容：向有业务办理意愿的新生简单介绍套餐内容并引导办理电信业务，因为我们的套餐非常优惠，新生的优惠力度非常大，注意针对的也是新生。有意者可联系我。  英语翻译兼职工作英语议员 英译中 中译英 韩语 法语 德语 坚职 单子比较多，需要翻译有责任心的哦，翻译有简单难，接翻译单群里派发看自己能力哦（保证人工翻译才行） ⁸⁶³¹⁵⁵⁷²³唯￣信  求个浙大健身卡  我是来自浙大家教网的负责人，我们浙大家教网长期找我们来自浙江大学的优秀学生，如果您有才华，有意向教育我们的后辈们，那请来吧。详情请访问   浙大西溪校区附近租房，想一起合租的的朋友们可以加我wx：chen23333333。我们可以一起找房子，共享房源。  毕业了在紫金港准备出国考试，有没有出租校园卡的？主要用来进图书馆（不借书），去体育馆，吃饭，酬金300一个月，卡内余额我自己充值。  【实习生招募】阿里巴巴人力资源部大四老学长在阿里巴巴园区找了一份人力资源的工作，真的是在阿里巴巴哦！说不定能有机会见到马爸爸嘿嘿。有学弟学妹想要来参加的嘛？正好这边想要一个实习生，薪酬100一天，地点也很近哦，就在学校对面，没事的时候可以来看看增加一下经验，要求的话最好是人力，行政专业的，相关专业也可以有意者请私聊或者加微信  1对1家教兼职，加qq群：657900746  浙大玉泉校区求合租，男，来浙大这边学习，要求安静。有意者加VX：JachyLee  千峡湖旅游开发建设有限公司 招聘 人力资源实习生，4个 男女不限，地点在青田，月薪2000提供食宿，可转正。有意向私聊我13166976715同微信  出鼠标（这些9.9新）还有其他的，直接去我店里找（店茗：图吧捡垃圾）可以学长学弟福利价
浙江大学吧规1.0, 【此贴为吧规专用】请勿水贴，除对吧规和吧务组提出意见、疑问和投诉外的其他回复者将予以删楼封禁。  1.发帖者应积极删除帖子中的小号广告，当贴子中超过3条广告，吧务组可将此贴直接删除。2.以爆照为意图的主题贴，在30楼之内未出现正脸照，视为骗回复贴，吧务组可将帖子直接删除。3.未经当事人允许，暴露他人隐私。包括过分暴露个人隐私寻人贴、目的不明的打探贴等，吧务组可将此贴直接删除并封禁。4.伸手性质的咨询贴一律删除，只保留问题质量较高、或从未回答过的提问贴。可多访问浙江大学官网（ ）5.除公益广告和无商业性质的宣传贴外，广告贴一律删除并封禁。6.具有恶俗、H、政治、恶心和引战、挑衅等倾向的主题帖及回复，吧务组可直接删除并视情况予以一天至十天封禁。7.本吧将最后一楼回复日期超过30天的贴视为坟贴，除精品贴及对大多数吧友有用的帖子外，挖坟回复无意义内容将予以一天封禁；若为不知情且回复内容与帖子主题相关，不作处罚且吧务组应当及时给予“坟贴勿回”提示；在帖子中出现“坟贴勿回”提示的情况下继续回复者，将给予一天封禁，一周内出现三次及以上挖坟行为，给予十天封禁。8.吧务出现误删、误封及有违吧规的行为，将视情况予以一至三天封禁，情况严重将撤除吧务职位。对吧规及吧务组的删帖封禁及其他行为有任何建议、疑问及投诉，可直接且只能在此贴回复；自开一帖者不予处理并且吧务组可直接删除原帖。被删贴者再发第二次，删除并处以一天封禁，第三次至第N次处以十天到拉黑处罚。  欢迎我浙学子加入吧务管理团队~链接   新生攻略贴   谁认识杨赟，本人拾到他的钱包，麻烦帮忙联系一下，谢谢！  咦以前的历史的精品贴呢，怎么就只剩下2页了=。=
新生想问下查寝吗, 晚上不回宿舍会怎样
研一新生求购自行车～, 不知道在哪里能买到靠谱的二手车_(:з」∠)_来贴吧试试。女款的，以前很少骑车，想买个好骑些的，不知道有没有人出呀  cc98上面看看 应该挺多的，港湾家园那边和望月小区的自行车店也卖二手车
听说是浙大校花，有认识的么，求, 听说是浙大校花，有认识的么，求芳名，专业  学校花坛都是花  有人认识么
求研究生宿舍照片,     刘明  莫非是单间  学长什么专业  不错@抗小压 @joe祖祖  3楼宿舍这么好，哪个校区呀  单人间  楼主，我们平台诚聘贵校研究生为考贵校考研党有偿分享经验。时间是你们自己定，一天半个小时指导学生，一个人10元
神童陈舒音在哪个班级, 谁知道  我怀疑她是重生者，小学学了一年就全会了，比我们快了五年，这速度太快了，简直就是一点通啊。可初中三年却学了两年，这速度比起小学却不算很快。然后，高中学了三年，这速度，和我们一样了。她可是小学学一年的“神童”啊，高中学习的速度竟然比以往慢这么多？说真的，要我相信这种人说天才，是神童，我更愿意相信他说重生者。原因很简单，对一个智商没问题，高中毕业的重生者来说，小学知识一年确实可以学完了，初中三年的难一点，学两年差不多了，到了高中三年，想考浙江大学的话，就得认真学三年。所以，不用我说了吧  我觉得你们学校已经炸了  请问她有男朋友了吗
浙大求是鹰，^0^战队加来一起, 浙大求是鹰，^0^战队加来一起玩咯，小号38区来，但是尽量改名哦，美滋滋，玩得救是开心哦。大家都会玩，用的小号而已  顶顶顶  哈喽  才白银，丑拒。  楼主qq还是微信的  就这段位还顶着个浙大头衔  我一会改个飘渺水云间  老哥问个问题，外校学生来这边小住几天，怎么连无线？有什么联系吗  呸呸呸  社会  才白银  不如来QS紫金殿  还是这种贴回复的多  美滋滋  欢迎加入浙大手游俱乐部，群。号。码：58。99。917。02  想一起开黑的哦，就可以加  我16楼居然给我吞了  喵喵喵  哟哟哟  emmmm  输了输了  彻彻底底输了  把孙尚香都输没了  突然发现你们都是qq区  阶段性卸载
教育学院的体育教育，双学位可不, 教育学院的体育教育，双学位可不可以修理工科啊？  dd  dd  可以，双学位可以跨科啊
老铁们，高一新生想问文科生在广, 老铁们，高一新生想问文科生在广东省需排第几才有进浙大的希望(补充一下，我表哥在湖南考上浙大，他是很久之前的，所以我也想考浙大)谢谢各位大哥哥大姐姐们为我解惑，也好让我有个定位和前进努力的方向  今年是619分，214名。  全省？  【广东省2017年第一批本科文科第一次投档情况】 
