本科安徽大学（不那么好的211）研究生浙江工商大学（非211）还有一年毕业，应该怎样提升自己？,觉得楼主有点儿不值，虽然安大是211里面比较次的，但好歹是211，如果纯粹因为喜欢杭州这个城市然后考研上个非211觉得太不成熟上个好学校再去杭州工作也不迟啊。找工作很多拼学校，你再牛逼学校人没听过直接pass，安大虽然一般，当冲名字也是个211，而且安大的经济金融应该也是算王牌专业之一了。 不过既然已经上了，就努力拿到学位吧，学业不重就找part-time跟专业相关的实习吧
怎么评价高贵和？,无从评价他，但可以评价他的课。 听了安大不少素质课，太多照本宣科，毫无生气了。逃课的人多，教室里玩手机的人也多。高老师讲课在这样一众素质课中自然是相当不错了。几乎没有不到的人，旁听的人也多，去的迟一点就没有位子，课堂氛围不错，大家的反应也比较热烈，每天课堂qq群里面也有不少人讨论读书、听讲座之类的话题。 对于他的课，我只记得他有令人不适的观点以及我冷眼旁观那种心情，而忘记具体内容，这也说明他不至于太负能量。 讲课比较杂，杂并无贬义，只是这种杂远称不上才子的旁征博引，多是老师自己经历或遇见之事，引用的也不能说多聪明，多有启发性，只使得课堂内容不至于无聊。另外。他的课上常有女生一阵阵的夸张大笑，我不算是不懂幽默的人，但我实在不觉得好笑，比较愕然。 但印象最好的方面应在于他对读书的大力提倡，对大学生功利之心的反对。即使是大学课堂，尤其在非一流大学的课堂上，这点极为难得。 大学生本应为象牙塔中人，只是现在太多太多大学生与塔外人无异，没有那种灵性，也根本不愿意追寻那种灵性。所以安大对高老师课程的推崇是一种好的表现，好歹反映出安大学生有意向对生活进行一些思考，对象牙塔中怀有一些憧憬。但是个人感觉高老师离能够风靡中国大学讲台的水平还太远。在安大对他的过度推崇，既说明安大教育资源的匮乏，也说明安大学生本身水平与鉴赏高度的有限。
清华北大有考试作弊现象吗？,跑题说一下中科大，当然我不是中科大的，是中科大对面的安大的老师。据说，安大学生考前在科大自习的时候去科大缩印小抄，打印店的老板说你肯定不是我们科大的学生，因为科大的学生从不准备小抄。 又据说，科大监考老师极爽，去考场发了卷子就背着手去办公室喝茶去了，考试结束会有指定学生把卷子收好送去办公室。不用担心科大学生作弊，因为他们以此为耻。 不知道真假，也许都是坊间传说，反正安大监考老师表示很羡慕……
2018考研计算机专业推荐几个靠谱的学校？, 按照题主的要求：上海，南京，合肥，211以上，计科专业，学硕，有复旦、同济、上交、华东理工、东华、华师大、上大、南大、河海、南京农业、东南、南航、南理工、南师大、安大、中科大、合工大符合要求  其中复旦、上交、东华、华师大、南大、南理工、安大、中科大、合工大、南理工，据我所查到的都是有机试的。  剩下的同济、华东理工、上大、河海、南京农业、东南、南航没查到具体有没有机试。另外好像南航的复试是有考编译原理的，同济我没看到 人工智能方向，但是有 认知与智能信息处理  方向，上大类似的有  智能信息处理 ，河海没看到类似的方向。  题主可以根据自己的情况来参考一下，因为多数信息都来源于研招网，所以不排除有变动或偏差，具体的信息还是要自己去各院校研究生院的官网找，甚至有些信息在官网上都没有公布，只能自己去联系相应招生办询问。 
想问安徽大学美术专业好不好？省外的是按联考成绩排名录取吗？,现在安大艺术学院美术的有三个方向，环艺、平面和绘画吧，读了四年觉得还不错，大学还是主要靠自己的，要自觉。外省的考安大应该是校考分数和文化分数按比例算总和录取的
安徽工业大学的学生有保研的么？保到什么学校？是哪个学院的？,本人材料学院的，去年保了11个，有东南的，华科的，重大的，南航的，好像还有东北大学的，记不太清了。
安徽淮南女大学生扶老人事件系交通事故的判定有何依据？,不急着下结论，我当时也觉得是碰瓷。  但微博话题有姑娘发状态说: 大家理智点，她身边有例子是老人被人撞了不敢要求赔偿，怕被误认为是碰瓷……  法制不健全，舆论都是物极必反，过度倾斜可能滋生另一些阴暗面。
安徽建筑大学城建学院(三本)当老师是怎样的体验？,即将去该校当老师，小学硕，之前在外企上班2年，双985，不知该学校学生素质怎样，以及老师待遇如何。
安徽大学生扶老人被讹事件上演各种反转，导致网友墙头草，国人到底如何才能不做笨蛋被左右玩弄？,其实，这个和素质真的没有多大关系！ 曾经的我也是一名键盘侠，总觉得骂骂小日本，踩踩富二代是件非常牛逼而值得骄傲的事，甚至于一度的认为这样的畅所欲言，这样的无所顾忌那才是人生，莫名的成就感油然而生！ 然后后来接触了许多人，看到了许多事才能明白，日本没有那么不堪，富二代也大多受了良好教育！ 而为什么我会先去这种偏执中去呢？ 当然媒体引导不客观其实占据了一些因素，但是更大的因素其实更在于一个人的阅历！ 试想一下，一个真正的功夫者更愿意的是见招拆招，急功近利的去攻击者其实反倒是漏洞百出！ 就像你说的事件，那些阅历浅薄的人他们在媒体的煽动下感觉似乎发现了什么新大陆一样急于的去陈述对事件的不满，他的阅历根本让他等不及去探究深一步的真相，因为过去有很多类似的例子，显而易见！
安徽师范大学跟安徽财经大学哪个更好？,这问题真没意思。身边同学填安师的基本都是去不了安财的。我自己的志愿也是安师保底。财经毕竟就业好啊，我校每年校招进银行证券系统的数不胜数，就业薪酬也是可观的。如果你想从教，去安师，考个南师大的研，妥妥进省重点高中当老师。如果你想学财经，肯定安财啊，金融领域财政系统多少校友啊。 我一直觉得比历史啥的意义不大，毕竟是过去了。每年的分数线说明了很多啊。文科安大&gt;安财&gt;安师。理科科大&gt;工大&gt;安医=安大&gt;安财=安工=安理工&gt;安师。
