北京外国语大学预科班？,我猜你指的应该是我外留学服务中心的一些1+3，2+2之类的课程。具体直接上官网了解就可以啦，给你一道传送门：  http://www.  bfsuliuxue.com      
北京语言大学和西安外国语大学相比哪所学校更好？,题煮并没有写详细问题呢，这种对比还是要详细得到专业吧，如果你的分数在北语上个非语种专业，还不如到西外读个小语种专业。 但是，不管对比地理位置，学科优势，学校条件 就业分布来说，北语跟西外的对比差距都不需要到知乎上来问吧。。。你直接百度不就很明了了。。。 难道西北的外企要比北京多？（笑:-D）
考研英语命题组所在地是北京外国语大学，考研专业课命题是在所报考院校专业的命题老师，那考研数学和政治呢？,这个据说是关在不知道什么大山里面去命题的，然后是考试期间呢，就会把他们带出去旅游还是干啥？总之就是杜绝和外面的联系以及泄题吧！
在北京外国语大学南方研究院就读是怎样的体验？, 2016年9月份的时候去北外南方研究院交换，从北京到佛山，天气有点闷热一直持续到10月份上旬，来了佛山就逛了几个景点，祖庙，南风古灶，千灯湖。因为南方研究院是这两年新成立的机构，老师和同学们都比较少，我们班就十几个人，有的时候二十多人一门课，所以更有一个家的感觉吧，和老师们都很熟悉，课上互动很好，基本每个人都会回答问题，有几门课准备了好几个pre，课下也都一块玩啦，去老师家聚餐，有两次下课之后做老师车去外面吃，然后回教室晚自习。超级爱每一位老师，水平都非常高，除了两门课以外都是英语授课。冬天就超级温和了，没有北京那么冷。宿舍楼下就是地铁直通广州。  下面是我们的LOFT公寓宿舍，当时住18楼，震惊！有洗衣机 烘干机 微波炉 冰箱        从宿舍拍的窗外的风景    世纪莲体育中心（Eason 谭咏麟开过演唱会）   坊塔 少年宫 科技馆  学校的企业参访去了美的 传音（一家在非洲卖得很好的） 纺织厂 包装厂 金融科技中心 数码城            圣诞节     交换礼物  最美好的回忆留在这里，那么美的风景，结识了一群可爱的老师们同学们，希望北京外国语大学南方研究院的一切越来越好。 
想上北京外国语大学，特来求助各位哥哥姐姐有什么把成绩稳步提升30到50分的方法？,谢谢邀请！ 作为一个文科保送生，可能我提不出什么有用的建议，不过我觉得你的理综成绩还行，反正大学后也用不到。语文和英语成绩还是有提升空间的。
今年大一，在北京外国语大学读书，我非常羡慕同桌有一个外国朋友，我想找一个外国朋友，但是英语水平不行？, 我觉得北京新东方  很 不错。新东 方的老师 很 负责，大二那会去新加坡学习在新东方突击了半年口语，如果你口语基础不是太好可以先学中教的倍学口语，然后再学外教口语，中外教结合很不错，北外那可是 好学校，你基础应该 很 不错，用不到半年就可以正常跟老外交流了。 
北京外国语大学英语考研需要考哪些？, 同学你好~  “英语专业”这个范围太广泛了，对口的的研究生专业有很多，我在此举几个例子，不一一列出：  翻译硕士笔译/口译，英语语言文学（包括语言学、英美文学、英国研究等方向），翻译学，外国语言学及应用语言学，英汉同传等。  至于考试科目，这些专业都需要考政治、二外（北外的翻硕要求考二外），以及两门专业课，各专业的专业课设置都不一样，具体可以参考北外官网的招生简章。在这也给你几个介绍的网址吧：   北京外国语大学英语学院考研专业介绍、报录比、题型、参考书目_北外考研_北鼎教育_新浪博客      北京外国语大学专用英语学院考研专业介绍、报录比、题型、参考书目_北外考研_北鼎教育_新浪博客      北京外国语大学高翻学院考研专业介绍、报录比、题型、参考书目、备考_北外考研_北鼎教育_新浪博客      北京外国语大学外国语言学及应用语言学考研专业介绍_北外考研_北鼎教育_新浪博客    
在北京外国语大学日研中心就读是一种怎样的体验？,按照题主的几个项目简单作答。   师资： 日研很多老师对我来说都是神一样的存在。文学方向的一位老师被称为国内研究《源氏物语》的第一人。    学风  ： 个人觉得日研的同学在课业和论文上花的精力是比较多的，发表很多，老师要求也比较严格。应付了事的人很少，大部分人都很努力。   硬件： 北外很多同学在食堂上自习这事恐怕不是秘密了。日研有自己的楼，图书馆自习室环境都不错。    男女比例 ：一说都是泪啊。男女比例恐怕是所有外语院系的痛点。平均每届四十人左右（硕士），从前男生还能有五六个，近年就是两个左右的状态。    国际交流 ： 引进来方面：日研每学期都会请相关专业的日本老师来做为期一月的集中讲义。平时有意思的讲座活动也比较多。  走出去方面：目前大概六七成左右的同学（硕士）可以在研二的时候进行一学期的访日研修。相当于短期留学吧，带着毕业论文的任务。  希望对题主有帮助。
如何准备北京外国语大学的自主招生？,一年半以前参加了上外和北外的自主招生。 上外未通过，北外通过。 时间间隔比较久，记忆有点模糊。 高中理科，英语成绩较好，其实并没有提前准备什么。 先拿 高中生英语竞赛（nepcs）全国二等奖 再加上学校开的成绩单 去申请自主招生资格。 我参加北外自主招生的时候，没有笔试，只有两个短暂的面试，先是群面，每个人都有一张a4纸，上面印着讨论问题的问题背景，我记得是类似于生活中发生的一个矛盾，不是什么高大上的国际问题。。。具体内容记不清了。。。篇幅不长，三分之二纸张左右，内容不难生词不多，给一些时间读完，思考，然后坐在教室里的几个人讨论这个问题。 个面，问了两个问题。。。。。忘了。。。。。好像也是和一个给定的阅读的材料有关的，记得是德国接收难民的问题，发表一些自己的看法。 总体来说，我自己的表现并不突出，我还属于，陌生人面前说话就紧张脸红那种，词汇量也仅限于高中课本，最后发现自己居然通过了。。。 个人感受，我觉得申请自主招生时那个成绩单就很重要，我的高中算全国前十的高中，开成绩单时英语成绩都给我开到了年级前百分之二，总排名也是40/1400这样的。。。（高中时我的成绩确实超过北外的成绩很多，但没好到这个程度） 然后，群面的时候，我们决定按座位顺序发表意见，我在后面，虽然这样想到的一些观点已经被前面的人说了，但是我宁可说一些不一定正确或主流的观点，也不想重复前面的人说过的。。。（前提也要政治正确）我觉得这问题本身没有标准答案，主要是让人觉得你是一个有新意的人。 至于群面中的领导力。。。我在这方面没有什么突出的，本身也不擅长。。。有一个女生一开始主动提出了我们按顺序发表意见，我只是表示赞同了一下。 总的来说，不要求面面俱到，我擅长提出新点子，那就在发表评论时下功夫吸引眼球，不擅长领导力，就在这方面回避一下。  别人发言，听到有趣之处，记下来，可以自己说的时候，表示赞同，这样也可以显得自己参与感强一些。。。但我觉得没必要每一句话都记。 如果你想认真准备一下，就看看英文版的国际新闻，再试着自己用英语发表一下看法，两三分钟左右。 最后，放轻松，当成聊天就好。我觉得并不难，如果你英语不错的话。 本人参加自主招生时英语只有雅思裸考5分的水平。。。口语单项是4分(ಥ_ಥ) 加油！
如何看待16岁少女在北京昌平新东方外国语教室遭17岁同学强奸后被勒死？,◢◤◥◤等待已久的判决结果◥◤◥◣    ...........过程(from  红星新闻)..................       对于判决结果，李洁说出“尊重判决”的语气有点勉强。一方面，我国现行法律规定，未成年人犯罪不适用死刑，无期徒刑已经是最高的刑罚，即使她要求上诉，刑期上也没有加重的空间。但另一方面，她说：“作为母亲，我当然希望让他死刑，自古以来杀人者偿命。”  她之前接受媒体采访时提到，她不需要对方赔偿，甚至对于这起案件，她都没有向法院提出刑事附带民事赔偿的要求。也就是说，她“根本不打算谅解对方”。          根据最高法修订后的《关于常见犯罪的量刑指导意见》，对于积极赔偿被害人经济损失并取得谅解的，综合考虑犯罪性质、赔偿数额、赔偿能力以及认罪、悔罪程度等情况，可以减少基准刑的40%以下。         李洁告诉红星新闻，这是因为对方家属一开始处理问题的态度激怒了她。  “出事第二天，我们人还在去北京的路上，他们就托新东方的老师和校长给我们带话，问这个问题能不能用钱解决，你说我当时怎么可能接受。”李洁说，在金钱交易被拒绝后，王哲以及他的家人再也没有联系过他们，在庭审和判决阶段也没有见到王哲的家人出席。  26日下午5时，红星新闻记者联系到王哲的母亲吕红霞，吕红霞称目前在外面出差，不在北京，被问及对判决结果的看法，吕红霞称“我没有在判决现场，还不知道判决结果，不知道是什么情况”，并希望记者能理解她现在的心情。  “我现在还在开会，脑子里有好多事情，不方便跟你聊。”吕红霞说。  2、谈庭审：“穿一身名牌，全场镇定，我感觉对面站了个演员”             王哲并非没道歉，只不过他的道歉并不被接受。根据媒体报道，王哲在4月19日的庭审上数次道歉，但李洁始终没有接受。  对这点，李洁说道歉的前提“至少是承认错误”，但一直到判决，王哲方面一直没承认所犯的强奸罪行。“他一面坚称当时双方的行为是自愿的，一面又给我道歉，这我没法接受。”  李洁告诉红星新闻，在庭审阶段，对方律师试图为王哲做无罪辩护，“对于杀人，对方说是过失杀人，而强奸，对方则辩称两人是情侣关系。”                        为了搜集相关的证据，李洁在这一年中辗转奔波。最初警方的鉴定结果并不能证明强奸，她辗转联系到湖北同济法医学司法鉴定中心的刘良教授、西南政法大学司法鉴定中心的马智华主任和戴浩霖博士，为女儿的尸体做了补充司法鉴定，最终确定了外伤系击打造成，进而帮助认定了◤强奸◢的罪名。在证人方面，刘洁找了姚易在新东方的同学，加上检察院通过技术手段恢复的通讯记录，证明了◤两人不存在男女朋友关系◢。  而北京一中院的判决，最终也采信了相关的证据，认定王哲“违背妇女意志，采用暴力手段与妇女强行发生性关系，其行为构成强奸罪；非法剥夺他人生命，致一人死亡，其行为构成故意杀人罪。”  ...............出了一口气的分割线................  非常感谢大家的关注，希望这可以促进这个恶性案件的公平审理。 【死者妈妈开了微博叫  姚金易。谢谢大家帮忙，超级话题#姚金易#已经开通】 【嫌疑人信息及无码照片传送门：   http://www.  zfjdw.org/show.asp?  id=4322      】  以下内容较长，顺序大致为： 道歉(蓝色部分)→4.19起诉情况(红色部分)→其他答主有参考价值的回答→关于嫌疑人→关于案情  【对于以下蓝色部分，没有辱骂其他无辜同学的人可以直接跳过】  →→→→起诉情况分割线→→→→→→                          关于黑幕的怀疑，可以参考一下这个专业律师的意见：  https://www.  zhihu.com/question/5869  2739/answer/159530424?utm_source=com.miui.notes&amp;utm_medium=social     对刑事法定年龄有意见可以移步这里发表意见→共青团中央的回答  https://www.  zhihu.com/question/5869  2739/answer/159489827?utm_source=com.miui.notes&amp;utm_medium=social     或者这里：  https://www.  zhihu.com/question/5869  2739/answer/158820612?utm_source=com.miui.notes&amp;utm_medium=social      法律的完善无法一蹴而就。在完善的过程中，法官确实应该依法裁判。平民本是弱者。并不是想用舆论操纵司法，而是想让舆论监督司法。希望社会越变越好，让草民可以不用被迫以“非常”的方式来维护权益。  ＝＝＝＝＝沉重的分割线＝＝＝＝＝＝ 以下信息来自  http://www.  zfjdw.org/show.asp?  id=4322       犯罪嫌疑人王祎哲       另外，   时间表     案件发生的次日，北京昌平警方就得出了初步鉴定结果，随后的鉴定结果中没有尸体表面检查报告。受害者家属认为这属于重要遗漏，多次要求昌平警方和北京市公安局进行重新鉴定。遗憾的是，两级公安机关不仅没有书面回应重新鉴定的请求，而且在启动前期设置拒绝查阅鉴定结论、不能近距离查验尸体等种种障碍，即使按照警方的要求草率的进行重新鉴定也难以保障客观和公正，疲于无奈，重新鉴定没有启动。这其中是否有犯罪嫌疑人背景和特权的力量在作祟不得而知。   但是至今案件的疑点却是客观存在的：姚同学的具体的死亡时间是什么时候？是否遭受过新型毒品的作用？姚同学的颈部是否存在骨折？头部、背部、臀部、腿部、足部等处的外伤原因是什么？头颞顶部损伤形成原因是什么？姚同学臀部裤子处大量血迹是怎么来的？阴道是否存在重大损伤及原因是什么？……以上疑点，只有启动补充鉴定才能解开疑团，才能对王某哲的犯罪过程进行还原，犯罪行为进行准确定性。   警方侦查难以还原案件真相   受害者家属认为，警方背后还有另外一股势力在左右。  王祎哲在案发5.19当晚8.55分以后到第二天投案被警方控制之间的时段，使用微信，短信，电子邮件，QQ等多种方式与外界交流，其内容对还原案件真相，分析作案动机至关重要。  据了解，警方通过专业技术手段仅恢复了王祎哲与刘同学的微信记录，显示王某哲告诉刘同学杀死了姚同学；刘同学告诉王祎哲删除了4月25日至5月19日的所有微信聊天记录，请放心……等意思表示。受害者家属认为，王祎哲与死者姚同学的微信及电话、短信记录等能够充分证实案发前后的情景，非常有利于还原案件真相。侦查机关为何顾此失彼？  姚同学身体头部、背部、臀部、腿部、足部多处受伤且伤势严重，警方在侦查过程中仅涉猎了“压迫受害人的脖子即致其窒息死亡”，无法解释多处受伤，更无法解释下身出现大量血迹。不排除王某哲损害姚同学下体的可能。  案件侦查期间，受害者家属应昌平警方要求在刑警支队先后做了4次笔录，在北京公安局做了5次笔录，连同要求重新鉴定的书面申请都分别交到了昌平警方和北京市公安局预审总队，但是这些材料现在难觅踪迹。这些问题不作处理，如何让受害人亲属和关注案件的各界人士认可查明的案件真相？  受害者家属了解到，王祎哲在酒店时用电脑上写了6封信，这6封信的形成时间，显示是王祎哲被警方控制后的时间。对此，警方简单地听信王祎哲所谓的电脑时间不准的说明。在对诸多几乎没有意义的通讯内容进行了鉴定的情况下，对电脑时间不准不加甄别、不予鉴定难以还原事实真相，是疏忽，还是不敢？   如何到达601教室成谜团     据京华时报报道：5月20日早上6时，在学校6层一教室内，姚同学被人发现，但已死亡。据知情人介绍，姚同学头部被校服遮盖，臀部有大片血迹。案发当晚，就是因为此前的矛盾，两人去了平时没人去的教学楼6层教室聊天。王祎哲与姚同学如何约定到达601教室称为社会公众迫切追踪的真相。  警方侦查认为，王祎哲案发当天下午与姚同学在操场上当面约定晚上到601教室，但是没有目击证人，也没有监控录像等进行印证。受害者家属告诉笔者，案发当晚8时48分前，姚同学还一直与她在微信上聊天，但晚9时后，女儿就未再回复。查询通话记录得知，平时基本没有电话交流的室友刘同学在案发前一月内仅有一次通话记录，但在案发当晚（5月19日）21时左右与姚同学连续通话2次。  受害者家属还说，案发前一天21时左右，曾有在601教室约会的同学看到王祎哲前往601教室。王某哲案发前一天独自去601教室干什么？这一疑问至今没有答案。 “601教室之约”王祎哲是否提前踩点，事关还原案件真相，事关王某哲犯罪动机，事关社会公平正义，警方应进一步侦查。   警方认定罪名难以让家属   案件移送审查起诉后，检察院后听取了受害者家属和代理律师的法律意见，他们不能认同警方“王祎哲与姚同学发生性关系后，害怕告发，压迫姚同学脖子窒息死亡，后盗窃了姚同学的手机”的说法，因为按照警方的说法，王祎哲构成故意杀人和盗窃罪。事实上性质严重、手段残忍、情节恶劣的性侵行为应该构成强奸罪，因此到底是不是强奸罪，也是一个焦点谜团。  国内某法医鉴定机构针对案出具的法医学专业意见书认为，姚同学身体头部、背部、臀部、腿部、足部多处机械性损伤，系犯罪嫌疑人为达到性交为目的而多次使用机械性暴力，使被害人丧失抵抗能力来解释为合理。  受害者家属异常愤慨。姚同学身体头部、背部、臀部、腿部、足部多处受伤，单纯以警方侦查的“一个压迫脖子窒息”显然无法解释身体多处受伤，因此王同学所说的 受害者自愿主动发生关系，发生后才后悔 显然存在很大疑问。这些特征极有可能是为强奸制服受害者采取的暴力行为所致。  据京华时报报道：王祎哲自称案发当晚，在姚同学主动要求的情况下，他和姚同学发生性关系，后姚同学反悔，称要将此事告诉老师，害怕被告发，他用手将姚淑勒死。强奸与杀人哪个罪重，王祎哲有基本的判断。为了害怕告发而去杀人承担更严重的犯罪后果，难以自圆其说。  王祎哲在杀死姚同学后拿走手机，定性为盗窃犯罪。受害者家属认为王祎哲强奸杀人后拿走姚同学的手机是一连贯的犯罪行为，是抢劫犯罪。在不能确定王祎哲拿走手机的时间、不能确定这个时间点姚同学是否死亡，就定性盗窃是不负责任的。即使能够确定在姚同学死亡后拿走手机，也与秘密窃取他人财物构成盗窃的犯罪行为存在本质区别。 
