上海理科考生，北京林业大学和宁波诺丁汉大学选哪个更好？,各有千秋 单看生源倍林比宁诺分高不少……样本取自来自10+省份的同学，省份不同无可比性。 都是不错的学校      仅仅仅仅仅代表个人观点  以及个人发展和学校没有，没有，没有关系
在北京林业大学 女生住宿上床下桌是一种怎样的体验？,一种大部分女生都特别想体验的体验。
在特色突出的大学读其非特色专业是一种什么体验（北京林业大学市场营销专业哭过）？,谢邀 自己挖的坑哭着把自己埋了的体验 
首经贸和北京林业大学选择哪个？,所以楼主去了哪里？个人认为，有211的名气还是很好的，对出国留学会很有帮助。所以选择北林比较好。
如何看待六月8号北京林业大学更新网络计费系统后b站上不去，百度打不开？, 肯定是人为因数。   要不自己编辑 host文件，自己解析baidu的域名试试。 
北京林业大学就业前景怎样？,根据所在专业，根据专业学习的水平，根据个人综合能力。只看学校意义不大。
北京林业大学的园林学硕会招本科和这个专业完全不相关的硕士生吗？,我想请问下题主你想考这个专业研究生的出发点。因为我现在严重怀疑题主你走入了一个 误区——只看到了专业的表面 。以下几点仅供参考，欢迎指正。         诚然，北林的园林植物与观赏园艺专业排名和风景园林也一样也是全国第一，但是就业形势就完全是天壤之别。就拿我了解到的北京地区的就业情况来说， 基本不招女生 ，这是园艺专业本科毕业招聘的实际情况，每年在本校的招聘会情况偶尔有出入但大体都差不多。研究生层面的就业形势还有待了解。 园林植物与观赏园艺专业的就业 大致分为下面几类： 1、 优，留校当老师或者搞科研。          我想这个第一应该没有异议。如何搞科研不了解就不说了，下面说下留校的情况。   优势：稳定收入且不低，自己可以做项目接活儿等等，社会地位高，关键还有两个假期简直虐遍上班一族。  缺点：学习过程十分枯燥且耗时，与社会接触不够，相较而言比较适合静得下心搞研究的人，培育植物方面有一定风险（貌似有老师因为一直接触化学药剂之类的导致不能怀孕）。而且真的很折磨人，好几个女老师比正常男生都黑，皮肤也不好，男老师就更不用说了。  条件：北林园林学院的话，博士以上学历（背植物拉丁名你从本科背到博士试试，不比学法的轻松），至少1年留洋经历（这个专业国外貌似也比较稀缺，所以好大学很少）。  2、 中，进入  进苗木公司搞苗木培育  或者  园林公司  搞植物规划设  计  。          这是大多数人的 心理预期 的职业。但实际上干到这份所谓的 对口职业 又能有多少呢。与社会接触是比较多，收入这个方面是可大可小，培育出来一种名贵花木大量卖出你可能就一下子发了......但也有的人只能待在温室大棚里像个农民一样对着天天守着花木过日子。 就算你在园林公司里搞植物规划，现在国内浮躁的业界大环境下，景观设计师都得不到尊重，你一个团队里搞植物规划的什么地位也就可想而知。 想奋斗到这些职业还需要比较高的学历。研究生是必须的。什么，本科生？别开玩笑了。如果你不是搞植物规划基本没公司要的。北京户口的同学肯定可以考虑。哈哈。 3、 次，转行或者跨专业考研或者出国 。         沉重的话题，说实话谁也不希望自己读了4年的专业没用上最后要转行（相信这点题主应该深有感触）。这对每个大学生来说这绝对都是 迫不得已的选择 ，更别说你是211大学全国排名第一的专业。 但是很不幸，不管你相不相信，实际情况就是这样。 今年刚毕业的这届园艺的本科生里我熟识的5个学姐学长里面，一个女生转行当编辑，两个女生回家考公务员，剩下两个男生都转行搞园林工程（园林工程是什么，你是个男生，会吃苦，能喝酒，OK，你来吧，当然肯定不给你户口）。最最乐观的情况就是这60个应届本科毕业生里面就他们5个人转行了，如果你相信的话。          跨专业考研 的每年都有，今年有3个还是4个园艺的同学考风景园林专业研究生的成功了，失败了多少我不知道。反正这难度不小。不过就算你跨专业读到风园研究生了，你的设计基础和同级还是有很大差距，通过努力能弥补到什么程度真的需要好好掂量。  出国，这真的是一个不太好的选择 ，开设园艺植物这类专业的国外大学本来就不多，据了解到的情况是两头分极相当严重，康奈尔大学这样水平的大学真的屈指可数，申请难度可想而知。其他野鸡大学读了毛用。这个行当凭野鸡大学文凭都能找到好工作的话也没那么多人转行了不是么。          为什么这个专业就这么难呢。 在我了解的情况、我的认知水平和我的分析能力作为前提得出的结论是 ： 目前社会对这个专业的整体需求量还不算高，就业之后的平均待遇和学好这个专业所需的付出不成正比，且这个专业的工作环境不是很多人能接受的。 简单的说就是我辛辛苦苦背拉丁做实验好不容易毕业了尼玛还没人要，挤破头皮找到工作最开始待遇还不高，可能还比不上干园林工程的人工资高，在应届毕业生有一定基数的前提下，你还会抱着一定要找这个专业工作的想法么。我想很多人都会动摇吧，就算你不动摇，你乐观YY干几年等我培育出牛逼植物我就发大财了哈哈哈哈哈.........，如果你这种想法的话同学我只想说：去吧，每年几百万就业大军里不差你这一个炮灰。 关键问题是你家里人会同意么。 七大姑八大姨相互一打听一比较，谁谁谁谁家的闺女又怎么着找到工作嫁人了，你呢，背拉丁搞植物研究下温室。你不急嫁人你爸妈都急。我就随便举个例，不愁嫁人的女生和男生自动忽略就是。         所以给题主你的建议就是：   跨专业考研风险大，需谨慎了解清楚再做决定。  就算跨考也不要只看专业排名，综合情况和社会需求才是王道，最后落脚点一定是你的就业问题。   尊重并且仔细考虑父母长辈的意见和建议，但决定权在你自己，不给将来留后悔的余地。           最后需要说明一下， 整篇文章建立在我主观的判断和观点上，不具有任何代表性和适用性。消极的地方请大家用乐观的角度辩证分析。说得不对和偏颇的地方就对不住了，多多包涵。 如果你是园艺的同学，那么你可以忽略这篇文章了。好工作还是很多滴。祝生活愉快。                                                                                                                                       Jon Snow                                                                                                                                       2014.8.8
中国政法大学和北京林业大学哪个MBA含金量更高，为什么？,这俩学校的MBA远不如中国农业大学。
在北京林业大学 女生住宿上床下桌是一种怎样的体验 ？,这么大点破事就要上知乎发牢骚我挺不明白的 要是真是寝室吸引你 你可以多考几分考到北理工去 良乡多好啊 荒郊野外 男女都是上床下铺四人间 还带小空调和阳台 毕竟你在意的是寝室的 省会城市的211寝室条件好得多你咋不报考？ 你要真觉得委屈麻烦移驾去北师看看？ 女生八人间住七人的原因是 没地方放行李 要腾一张床出来放东西 真的我说 北京高校里有阳台的也没多少吧 你真的可以代表八百人吗？ 北林不是每个人都矫情
怎样解除有人认为北京林业大学是种地的偏见？,难道种地的不是农业大学吗？
请问北京林业大学环艺考研需要哪些专业书？,考美术史和设计史~~~
