今年北京师范大学珠海分校的分数线会很高吗？,广东531分
本人北京师范大学自然地理与资源环境专业大二女生，想转专业到数学，应该吗？因为想当老师,我的建议是转。我本是非公立学校的老师，从社会辅导市场说一下，数学的需要量远远高于其他任何学科。第二，从公立学校来说，数学的招聘量也非常高。如果你喜欢数学，又有转的条件，我建议转。
在北京师范大学就读是怎样一番体验？,作为一条师大狗，荣幸怒答之。 人最重要的就是不忘感恩，一帮人说这说那都没人感谢母校培育你们的恩情，你们够了! 刚进师大校门的第一天，我就意识到这肯定是我生命中最美好的四年，一副硬邦邦的小身板，一个心爱的姑娘，一群好哥们儿，无忧无虑的四年日子，夫复何求？现在毕业了，人在英国，无时无刻不怀念师大的好。  -------------------------------------------------------------我不是分割线------------------------------------------------------------  地理位置：号称最接近北京市中心的大学，位于二环和三环之间，本质上就是北三环往南一点点。西面与北邮一条马路（此校常年觊觎我师大姑娘们）。到地铁二号线和十号线走路基本都得20分钟，去西单东门出去直接坐公交不堵车40分钟。有辆自行车还是比较方便的，无论是去上课还是去地铁站。  学术&amp;就业：清北人师，作为老四，常年被清华北大人大骑着打，不过也狂虐下面其他千千万小弟。师大的教育，心理，历史，中文还有其他一些基础学科都是全国的佼佼者，学校整体偏向学术研究而不是偏向就业，所以研究生数量比本科生还要多，想踏实搞学术做研究，来师大吧，如果想去外企神马的，外经贸更合适一些。有一些在外面比较出名的老师，比如说于丹，我蹭过她的课，给艺术传媒学院讲的古诗文课程，别人咋说我不知道，反正我觉得是蛮震撼的。其他更多的大师都深藏不露。另外很喜欢经管的钟伟，蹭了一学期商业银行学。学校选课系统奇葩，选课就跟打仗一样，不过各种体育课花样繁多，除了必修的形体和游泳，哥还修了网球橄榄球，蹭了一个学期的华尔兹。总之各种体育课都不错，女生可以选各种舞蹈。  兴趣爱好：各种奇葩社团千千万，肯定有你喜欢的一款，不过当年过分执着学生工作，基本没有参加别的社团。  寝室：这是师大被吐槽最多的地方之一，师大的寝室楼属于特别唬人那种，金玉其外败絮其中，从外面看上去还是可以滴，红墙白瓦，略有小洋房之感，实际进去真心把你吓尿，本科生寝室水泥地面尘土飞扬这事我敢说吗？上初中的时候寝室都是地砖啊，你搞一个水泥地是啥心态？别的寝室我不知道，反正西西楼是常年有老鼠蟑螂的，半夜打游戏时常看见寝室常驻的白色小老鼠。研究生寝室基本就是我见过内部设施最差的高层之一。刚入学的时候大家集体吐槽寝室，我们导师说他们上学的时候就住那寝室了，五几年的时候，之后来了一句大学之大，在大师不在大楼也，把我们都镇住了。听说现在本科寝室基本都重新装修了，2015年上空调。  尽管设施较差，师大寝室也不乏些许优点，因为师大阴气比较重，所以无论夏天再热，寝室楼道，走廊里都凉快无比。晚上12点熄灯掐电，跟大爷关系好可以要电（哈哈哈哈哈），考试前一个月不掐电，让大家通宵复习，不过一旦不掐电大家再也无心复习了....夏天比较热的时候也不掐电，让大家吹吹风扇，不要半夜被热死在寝室，凉席这东西人手一条，买条师姐二手的凉席感受着师姐温婉气味入睡的事情我会乱说？网络日常使用基本可以，因为接入IPV6所以可以上六维空间，下电影时常10M/S，看了四年蓝光高清，毕业的时候特意买了个1t的硬盘下满了片子。  教学楼：鲜明对比寝室，败絮其外金玉其中，看着蓝转白瓦古旧不堪，其实内部实施十分完善，好多教学楼都自带复印店，一层楼n多厕所，20人的小教室前后俩空调，呵呵！教九楼比较特殊，里外都不错，教室也大，感谢曾宪梓先生的捐助。  其他建筑设施：师大的主楼棺材板设计，23层的图书馆，俨然就是一大墓碑，合在一起真心威武霸气。不过据说师大图馆貌似仅次于国家图书馆和北大的，设施真心超一流，书特别全（貌似还收藏了很多古籍），四年里在图书馆真心看了好多书，咳咳咳...也看到不少美女。操场有两个，西操场假草地随便用，有一些简易健身器材。东操场有看台，真草地，除了重大赛事开学典礼什么的一般不使用，不过西操场够用了...篮球场特别小！！！！貌似就剩10个筐了，而且常年有球场四大怪出没。网球场较小但是够用，羽毛球场是室内的。邱季端体育馆是奥运会的时候建的，最出名的就是科比在里面训练过，设施齐全，带游泳馆。学校内部两个超市，加小西门的小卖部，日常生活用品基本够用。  吃：作为一个吃货，感觉三天三夜也说不完。师大三个食堂，新乐群食堂一共四层，属于甜咸味吧，下面三层都是正常的食堂窗口那种，红烧肉，糖醋鱼柳神马的都不错，基本上一顿饭五块钱搞定，吃好点也十块以下，吃省点，1块钱豆芽2毛钱米饭。四层是单点的，烧鸭饭不错，各种盖面也都可以，室友们也挺爱吃那的肉燥面的。学五食堂比较偏辣，宫保鸡丁和学五凉菜都是赞的不行，有时候连续一个月吃学五的宫保鸡丁都不腻，二楼中午的瓦罐汤也不错，首推黄豆猪脚汤。晚上有夜宵，麻辣香锅五个男生吃30块钱撑死。西北食堂清真口味，有羊肉串吃，拉面四块钱超好吃。学校里面有家桂林米粉，天冷的时候一碗暖暖的牛腩米粉的感觉把心都融化了。桂林米饭旁边有家外卖窗口，其实是食堂开的，各种炒饭盖饭和饼，从早晨七点一直营业到半夜12点，食堂不开的时候很好的选择。学子超市的粽子也不错。学校外边首推本门的小炒湘，毛氏红烧肉，香辣鲫鱼，干锅啤酒鸭...招牌菜太多了说也说不完，而且由于门面小其实知道的人挺少的，北京四年吃过最好的小炒没有之一。北门还有一家烩面也不错，经济实惠，不过时常有民工出没，再往北一点有kfc。东门有麦当劳subway庆丰包子。南门就是几家川菜小饭馆。出学校往西南方向走一点点有著名的北邮小吃街，好吃的太多了，不一一例举了。出西门往南走的老五烧烤，武圣羊杂割神马的都不错，总之来师大不会坑嘴的....  姑娘：男女比例失调，有一次上课，坐电梯，10女1男。由于基数大，所以美女还是不少的，而且能上师大美女基本都是外表好看且内心聪颖。师大的女生除了艺传的基本都不化妆，可能是学校风气使然，大家都不化你想化都不好意思。师大姑娘学习能力超群，毕业之后十分惋惜再也没有这么一群学习妖怪刺激我了。师大的女篮常年包揽全国冠军，女足基本是半个国家队，男篮，咳，师大有男篮吗？阴盛阳衰十分明显。  传说：师大的校园传说太多了。师大这个地方本身是个太监坟，公交站就叫铁狮子坟，北面是北太平庄，南面是小西天，听听这几个站名吧。师大的正门也就是南门基本从来不开，怕妖气涌出...每年都有一个跳楼自杀的，最逗是有一年一个毕业的师兄千里迢迢回到师大在科技楼跳了，说是帮师弟师妹把今年的名额用了，真心好师兄！那天我去寄信，三点路过科技楼，他三点半跳的。西西楼以前是女生寝室，后来有人自杀了，阴气太重，就改成男生寝室了，一楼体院的，据说就是为了镇住阴气，不过说实话，楼里真心常年阴冷。校鸟乌鸦，一到冬天枯树枝上密密麻麻的都是乌鸦，有一年寝室几个兄弟翻小西门出去吃夜宵，回来的时候漫天的乌鸦一群群遮了天空，把我们都吓着了。还有那句特别经典的：白天两千人，晚上两万人。大家自行体会吧。  唠叨了一大堆，其实满满都是对师大的想念。  最后大家一起欣赏&amp;缅怀一下师大的美丽风景吧..   教九门前的小公园  研究生寝室  学五食堂旁边的小路  师大主楼的侧面  咳咳咳，树下常年堆积乌鸦屎，也常有同学被乌鸦击中。  花花草草还是蛮多的  东操场，远处的红色的都是研究生楼  图书馆  主楼，夜间的棺材板格外阴森...  以上。
在北京师范大学军训是种什么体验？,黑压压一片妹纸
本人二线城市普通二本英语（师范）专业，这学期去了大二，想考北京语言大学对外汉语专业，应该怎么准备？, 　　跨考教育张敏英老师为你解答：  　　1、跨专业跨省考研确实比考本校本专业难度大。这个不用听说，就是事实哈。  　　2、考全国对外汉语专业最牛的学校的几率问题，这个决定权在自己手中。机会对所有人是公平的。考试科目和范围对所有人是一样的。只要你足够努力，考研还是相对公平的，可以说天道酬勤。  　　3、北京语言大学对外汉语专业的初试科目三科：101思想政治理论(100分)、201英语一(100分)714对外汉语教学专业基础综合300分(含对外汉语教学概论、语言学概论、现代汉语和古代汉语)。满分共计500分。  　　4、2017年北语对外汉语这个专业录了98人，最低343，最高393。如果想保险。需要考到370以上。本校的学生还是优先录取的。  　　5、建议大学期间把专四和专八考过。对外汉语还是很看重英语成绩的。我之前有同事考首师范的对外汉语，初试过了，但是复试的时候基本上是全英文复试。被淘汰了。她说录取的大部分都是本科是英语专业的，或者英语成绩特别的好。  　　6、这个专业的专业课难度不是很大，目前还是把本专业先学好。大三准备也来得及。政治考前半年开始准备，每天1个小时即可。文科生政治一般可以考70分左右。英语一的难度低于8级，比六级稍难。但是英语系的也不要轻敌，建议目标订到80分。专业课用一年左右的时间，买全资料和参考书，复习5遍左右。分数应该可以考到220分。这样370分没问题哈。  　　我们要战略上藐视敌人，战术上重视敌人。相信自己，只要足够努力，考上是没问题的。  　　如果觉得我的回答有帮助，请为我点赞哦~ 
想知道关于北京师范大学的诡异事件？,是啊，来了就听说大南门也就是正门不能开，开了就死人。 每年只有迎新的时候开一次，然后果断保证了师大每年一个名额保质保量的完成。 还有一次温爷爷来了破例开了。 关于乌鸦：盘旋于师大上空，成为了我们的好伙伴。 有一次清晨刷夜唱歌回来，走在杏坛路上，左手边的北邮，树上干干净净；右手边的师大，树上黑压压一片。 四年被乌鸦屎击中过2次！
有没有人在北京师范大学考过美术，我想了解一下往年的考试跟考题情况，求回复，越多越好，？,请移驾度娘
北京师范大学经济学考研相比央财哪个容易？有没有大神帮忙分析一下并给出备考建议？, 就北师大和央财的经济学来对比的话，应该是北师大更好考一点吧，央财是专门的经济类院校，很多学金融经济的都争着要考这个学校的，北师大的相对来说竞争小一点，但是毕竟是985院校也不能掉以轻心的，如果下定决心要考的话，建议报辅导班来学习，可以避免走很多弯路的，算是考研的一条捷径吧，北京的辅导班也有很多的，我有同学报的新祥旭，听她说还不错，可以去了解一下再决定 
如何看待北京师范大学珠海分校升级为珠海校区？,不了解，谢邀
做北京师范大学王向远教授的学生是一种怎样的体验？,纠结了好久，还是匿名来回答一下。 学术成就当然非常厉害，无话可说。 但选硕博导师的话，如果是女生建议慎重。 人性复杂，不做人品评价。但个人对于师生之间出现非师非友的第三种情感，持一票否决态度。 供参考~
北京联合大学和北京师范大学珠海分校哪个好？, 如果我没有搞错的话，北京联合大学最初是私立的，跟北京师范大学根本不是一个层级的学校，录取分数应该也差了不少。怎么会把这两个学校放在一起比较呢？  十分奇怪！ 
