请问南京航空航天大学通信工程研究生专业怎么样？,我本科在南航对通信工程，觉得挺难的，女生就业不方便，就去其他学校读经济类研究生了。和继续留南航读研的同学交流之后，送你四个字：祝你幸福。
南京航空航天大学有【哪些老师】的【哪些课】值得蹭?,居然有这么多人赞=。=，好吧14个在我知乎生涯算多的了 由于我本人是计算机学院的，所以补充一些计算机学院的老师  操作系统-朱小军 朱小军老师上的操作系统给人感觉就是严谨，任何有疑问的问题，一定会在课后查阅资料然后第二天的课上告诉我们，并且告诉我们查阅的是什么资料。这个课的重头戏是实验，我们做的实验是MIT的操作系统实验的一半，也就是修改一个类UNIX系统的内核（另一半是自己写一个OS=。=），一共有六个还是五个实验我忘记了，但是每个实验都不好做，基本每周要花十个小时以上，基本每周课余时间都来搞这个了（部分大神除外），但是做完收获特别大，很多之前不了解的问题，做完实验感觉醍醐灌顶。因为要阅读每一个同学的代码，感觉老师付出的劳动应该也不少。说句题外话，感觉CS的大部分课学了不做实验跟没学过差不多。当然，最后给分也很严谨，我实验做得还可以，但是因为有几次实验提交的代码和文件不符合规定（比如没有将PDF文件单独拿出来而是打包在压缩文件里）导致分数不是很高。  孙涵 孙涵老师是现在计算机学院的副院长，我没有上过孙老师的课，但是通过几次邮件的交流，给人感觉孙老师是一个很为学生着想的院长。我因为保研的事情前后发了很多邮件给孙院长，都很快的回复了我并且附带了一些个人建议给我。（顺便说一句，计算机学院的保研政策非常开明，学院鼓励去更好的学校读研，在开推荐信和学院意见时也非常痛快，除了xxx，与某些工信部的某些学校相比，简直贴心）  算法研讨 陈松灿 这门课主要是阅读一些经典算法论文然后在班级作报告的形式展开，陈老师作为计算机学院首屈一指的大牛，科研和人品都是没的说。他会在听论文报告后，就论文中的一些重要的点进行提问，然后提出一些自己对这些经典算法的看法，并且指出一些可以继续研究的方向给我们，此外还教给我们一些研究的方法，和查找相关文献的网站等等。  计算机组成原理 冯爱民 冯老师讲课热情非常高，这门课的课改也是她发起的，我们用的教材是DavidA.Patterson，John L.Hennessy 的《Computer Organization and Design：The Hardware/Software Interface》，这本书对于当时没有接触过底层的我来说感觉走进了新世界，上大三后我还重读了一次，当然这门课的实验也算是本科做的实验里最难的，用verilog仿真一个mips流水线CPU，并且解决部分数据相关，最后用工程化方法支持最多五十多条指令。当时因为身体的原因没有从头到尾做完这个实验，最后分数也不高，但是这门课确实让人收获很大。  暂时就想到这么多     原答案=================== 潘银良老师的近代史，讲课生动形象，很多自己对近代的判断，不是一味地照着课本讲。有一次讲蒋介石听说北京解放还是啥的时候，说蒋介石当时滚倒在地，痛哭不已。画面感特别强。听说以前复旦请他去他没去。
目前北京航空航天大学沙河小区都有哪些专业呢？,几乎所有专业都有在沙河校区吧，在印象中好像只有中法学院不在，不过大三的时候都会回学院路的
在北京航空航天大学附属中学就读是怎样一种体验？,学校很小。没有操场。体育课在大学操场，左边踢足球，头顶飞遥控飞机也很正常。 老师大部分比较年轻。学历很高。思维很敏捷。教学质量不错。 学校比较开放，中午可以随便浪。放学也早。北航的食堂好吃。鸡排饭。我的最爱。 学生小部分都是北航大学工作人员的后代。绝大多数同学家境一般都比较富裕。中考都是从海淀区前10的学校考来的。嗯，我是八一中学考来的。学习层次还是比较齐的。 最后还是很感谢那些帮助过我的老师。不匿名。就酱。
普通一本学生（大四应届生）想进入北京航空航天大学的飞行学院学飞行，需要注意那些事项？,谢邀 但是说实话我对北航大改驾不是很了解诶，因为我现在在国外航校。可能你联系一下校方的负责人会好一点？
考北京航天航空大学的自动化专业研究生，有哪些经验可借鉴？,考研成功失败者随便写：  我是北航3系没考上研的，因为在复习过程中一次大变故，我选择了放弃考研。 当然我不是鼓励你放弃，毕竟我身边无数人都是考研成功的，我自己也在本科期间过了两年的研究生生活，除了没有上过研究生的课。  考研的科目随处可查，数1英1政治+专业课 学硕可以选具体的8个方向，可以选考试的专业课：自动控制，模拟电路，数字电路，理论力学，微机原理，当然组合是固定的，我已经忘了，我选的是自控+微原 专硕只有1个，专业课固定考自动控制+数字电路  如果你觉得考个高分不是问题，我个人建议学硕，即使分数线会高一点点，不过他的退路也会更多。本校的报专硕的人非常多，学硕很少，两者差别已经几乎没有。 专硕外校一定慎重考虑，有一部分专硕是宁可招不满也不要外校，有一部分是学硕没招满，专硕又过多导致分数线比学硕还高的专硕最终被裁掉。  复习的方式我不想说，大篇大篇的所谓成功经验随处可查，论坛贴吧到处都是。  资料可以用，但是复习方式希望你自己来决定，这是因人而异的，所谓成功经验大多也都是刷题流，只是刷题的顺序，时间，刷的那一本不太一样，我不觉得这些方面有什么值得介绍。  我只希望你能明确你考研的目的，不希望你和我一样在考研报名后，发现有一些违背自己原则的事情而放弃，浪费了半年的时间。
北京航空航天大学校园环境如何？2017？,泻药，看题主是去北航读本科还是研究生了。  本科一二年级在沙河校区，住宿条件我个人觉得挺不错，四人寝上床下桌，有空调，柜子很多一般都够用。每个寝室都有阳台晾衣架。不是独卫，洗澡和打热水在地下一层。反正不用出楼洗澡这一点就相当赞了。个人觉得，你没有公子公主病的话沙河校区完全能满足你的前两年住宿需求。住宿费900/年  研究生住学院路校区的大运村，四人间上床下桌，但是空间远远不如沙河那么大，也没有专门晾衣服的地方。优势在于有空调有独卫有热水器，24小时都能洗热水澡。记得当年ti4+巴西世界杯那段时间，每天白天睡觉晚上吹空调看比赛，凌晨4点冲个澡提提神的日子真带感2333 不过大运村水电费用自理，住宿费1200/年（以前是1800）  大三大四就说不好了，看你们系前辈有没有给你栽树。比如1005和1205大班都住17号楼（心疼我自己和我的学生们…），1105和1305就能住条件好的宿舍
南京航空航天大学的飞行签派专业好不好？ 在工作中能不能从飞行签派转到空管？,我是南航的机务专业大二学生，正考虑要不要转空管，对于民航系统小有研究，希望能解答你的疑惑。同等级别的待遇：空管》机务》签派》其他地面人员（比如地服等一干人等）当然发展提升的机会也差不多是这个阶梯，空管、机务和签派都属技术工种，待遇会随职业成长而稳步提升。需要提到的一点是，去年空管局进行了大的薪酬改革，空管工资普降，签派的待遇在稳步提升。 还是分专业来说： 1专业这块基本上我们学校绝大多数人走的是空管，少数人做了签派。需要提醒大家注意的是今年很多优秀的同学因为空管局3校联考而落马，非常可惜。建议那些成绩好平时不怎么玩游戏的同学多玩玩游戏，呵呵。总之要重视3校联考，因为确实今年有不少人因此而没能做成空管。其次就是签派了，其实各大航空公司不会把签派的重头戏放在我们学校，因为历年来我们这做签派的人太少了，所以航空公司来我们学校的重点是机务。而且以前很多人先找了签派保底，后面空管局来了又违约签空管局的人不少，所以很多航空公司把招签派的重点放在民航大学 。 2专业和7专业（也就是新开的机场专业），这两个专业基本一致，一般去做什么地面服务，现场监督，客货运等等的工作。致谢工作他们也找大专、中专生，自己想哈，和空管签派不同的是，这份工作很容易触底。所以其实这两个专业第一工作难找，第二计时找到层次也很低很低，当然不排除有例外，强人不论学什么专业都是强人，当人那些人属于与专业无关的，换言之，他们找工作不需要专业的支撑。 3、4专业都是机务，有的公司分开招一个机，一个电，反正都是机务了，呵呵，工作嘛，很好找，待遇也不错，就是苦了点。 最后说一点就是专业人员的成长过程：（争对于持照人员空管机务和签派） 学员---》考执照---&gt;放单----》更高的级别  签派工作较辛苦，工作时间可能为作一休一（每个航空公司不一样），工作可能是一天（24小时中途休息一下），需要能喝酒应酬；工作内容比较杂，主要是负责航班放飞前一切准备、飞行过程中监控、紧急事情处理（百度就有工作内容），如果处理不好，男签派可能会被机长骂，女的还好，地位较低，虽然工作很重要，但是一般不被航空公司太过重视的岗位。 待遇可能起点较高，开始总共4000不到左右，拿到证后会有较大涨幅，能放飞后工资较高（10000不到），最高可以做到签派主任；签派岗一般没人一直做到退休，大概40左右就会要求转管理岗或者不做了，因为压力大，所以比较早衰。 3+1转的录取率要看报名人数，一般在30%左右，如果不是报名人数特别少，女生录取机会较低，因为一般航空公司不要女生做这个岗位，不过每年都会有几个女生被录取。 打字好累，希望可以帮到你 
北京交通大学，北京工业大学，北京航空航天大学，三个大学的交通运输规划研究生如何？,抱歉，我是学运输和建设的，规划方向只是工作中接触，对这几个学校专业了解不深，就我了解这三个学校的规划专业在行业内都只能算中下游，如果考虑就业你不妨再多加几个学校。
如何看待北京航空航天大学被中央巡视组巡视反馈出来的问题？, “重科研轻教学、重智育轻德育”这一句说明巡视组没有瞎。  以我待了七年的化学学院为例，整个化学系的老师，讲课水平基本还不如我一个学生。  当然了，一个化学系，课讲得好有什么用，学校的硬指标是多少SCI，所以还不如使劲压榨下研究生，顺带忽悠本科生来实验室搬砖。最好都别让他们上课，天天做实验。  我猜其他系这样想法的人也不少。 
