北京中医药大学良乡校区学车条件？,本人是新月驾校的员工  我们学校需要的是 身份证原件 外阜的需要居住卡 居住证 没过期的暂住证 工作居住证其中之一 一寸白底彩照 （近视要戴镜框）有摩托车本的也要交来学校 如果自己办不了居住卡 一般驾校都有代办 只是要收费 以上希望对你有用
如何看待天津大学35斋宿舍（现为天津中医药租用）失火？,作为原本住在被烧毁楼层三楼的学生，现在还在宾馆里住。明天还要上课，依然不能好好入睡。心里堵得慌。 我们都觉得是种种因素导致了这样的大火。 有同学三年的证书全毁了。 我们宿舍具体情况还不知道，东西还剩多少也不知道。也许这栋楼对于天大学生而言真的很重要，但是我们毕竟住了将近一年，眼看着大火在自己宿舍楼上方愈来愈严重，却只能无力往后退，我们也是发自内心的难过，甚至崩溃。 不想讨论天大和我们学校谁的责任更大，这个时候，希望妥善解决问题，不是争论推脱。 我一直对天中有很多不满，但我这次要给学校点赞。事发十二小时后，给我们每个人都发了500元作为暂时的补助，对于很多没有带一分钱的同学来说，这简直是救命稻草。当天下午，原本住在四楼的同学已经安排入住其他宿舍，不出意外，17号我们也可以搬到宿舍中住。我们的校长当天晚上从北京赶过来，那么大年纪了一夜未合眼，其他很多领导老师也同样如此。 幸运的是，我电脑也带了出来，16号一整天我背着电脑去这儿去那儿，一天吃了一顿饭。心里真的很难过。 具体起因需要等结果。我们同样需要一个结果。但是我们也希望，比起看热闹，或者说挑拨，学校和学生更多的可以关注到事情的妥善解决以及防止此类事件再度发生。 最后，安全真的太重要了。 编辑于 00:12 著作权归作者所有
川大华西口腔和北京中医药哪个好,我是应该说谢邀吗。。。从来没有在知乎回答过问题，这是第一次，不过正好现在空闲，随便说说感想吧。 北京中医药我不是很熟悉，就说说我在华西口腔的体会吧。 我现在刚大二，川大的学生大一大二都在江安度过，大三才会转到华西校区去。在江安的学习生活和其他专业都差不多，主要学习的是基础医学的内容，解剖组胚生理生化这些，同时和大家一样会参加很多的活动来锻炼自己的其他方面的能力。另外口腔对于手部技能要求比较高，所以也会有一些雕刻方面的活动（纯属娱乐兴趣）。 到了大二下的口腔素描学才开始慢慢的接触到一些口腔专业方面的知识了，除了之前的口腔医学导论课，口探课或者去医院见习之类的泛泛的接触吧。 关于大三之后的教育我就不是很清楚了，不过作为全国排名第一的口腔专业，这方面自然是无需担心的。 另外在说说我去见习方面的事儿吧，我觉得这个对我影响蛮大的，见习就是大一下会有为期一周去华西口腔医院见习的机会，每个人可以选一个科室待一周，我当时选的正畸科，一周时间呢就让我了解了作为一名口腔医生是怎么样的工作，而且当时穿的白大褂嘛，还有人叫我医生（蛮开心的）。 说了这么多好像没答到点子上，不过你说的两者哪个好我回答不了，因为我对北京中药并不了解，不过如果你想学口腔的话华西口腔应该是最好的选择，用成都本地人的说法，他们觉得要考上华西口腔的得要北大清华的分数线才行（虽然差远了，惭愧），不过这也侧面说明了华西口腔很厉害，就我而言，我觉得当时很幸运选择了这里。 最后说一下，高考选专业还是比较重要的，你可以再多了解一下，说不定其余的更适合你呢。 （等同学在校医院看个病就写了这么多废话，写着玩玩，如果还有问题呢你也可以问我哒，最近期末考，看到了就回，惭愧）
北京中医药大学中医学博士，毕业以后想去南京工作难吗？现在（第5年）开始要准备什么？还有规培的认可问题?, 加我微信，有机会可以帮你推荐 
福建中医药大学8年制想考取北京中医药大学，需要做哪些准备？,很巧我是福建中医药大学的，目前实习。考研的话你可以知乎找到很多干货。有点名的学校，报的人都挺多。。
读研究生江西中医学院和山东中医药大学哪个好？,全国的中医药高校，除了北京和广州有非医攻博的招生计划，其它高校临床专业的研究生都不可以招非医本科生读临床，要读也是读基础学科，毕业时发科学学位，不能考执业医师的。你提到的山东中医药大学和江西中医药大学也是我上述情况。另外，想到医院上班，你可以读临床药学专业的研究生，毕业找医院药剂科的工作，但还是不能当医生。
北京中医药大学的中药专业一定不收文科生吗?,我们内部都觉得，中药专业的正式名称应该是  化学分析（中药方向）……  现在请回答我，为什么你一个文科生要和化学过不去呢……
学文的女生能否去北京中医药大学发展？, 咱俩背景一样~ 所以我11年前高考报志愿时，基本把全国的中医院校添满了。 可惜一本差了4分，掉到了湖南中医药大学。不过作为北方姑娘，本科到南方读书还是人生一大收获的~考研冒着孤独求败的心思超过分数线3分考到了北中医…0…硕士是中医文献学，博士是中医诊断学~~说这么多 只是想让你明白，即便本科考不到北中医，考研考博都还有希望~加油吧！舅酱！！希望你在学习中医的路上越走越好 
有没有知友去过北京中医药大学东方医院刺络放血治疗过？,我们实验课做过，我见过
北京中医药大学更注重中医临床思想的老师有哪几位？,这种问题最好是先上学校的官网，上面查一下查一下你的目标导师，你的目标专业。然后再来问。哪些老师，你想报考，但是有疑惑的，你可以把名字贴出来，这样就会有人回答你。
北京中医药大学哪个班好？,@_@ 宁夏哒。我的建议是你加下17级的北中医新生群，里面有各个专业的学长学姐，会说的更全面。
