如何评价崔永元11.29转发的“与中国农业大学小朋友谈谈科学”一文？,赞同最后一段话的第一句  很多貌似与科学有关的事，其实关科学毛线事  你看，像这篇标题带着科学二字的文章，其实和科学也没啥关系，满满的都是“政治”二字。  孟山都为美军提供橙剂也算污点，那我看三菱波音保时捷劳斯莱斯都解体好了。 不过某人就没为自己玷污了复旦新闻学院这块牌子而反省一下？  张嘴闭嘴，就把争论点从科学问题转进到了监管问题、腐败问题上了。敢问贵大人所在的领域就没有这些问题？包括你媒体的虚假宣传，不好意思，那本就不应该是科学的事。  你要么谈科学，别竖稻草人，自然有有识之士奉陪。 你要么谈别的，那就请在科学话题中闭嘴。   大谈科学然后被一次次打脸的崔永元，这次又想用这篇文章转进到哪个战场呢 ？  还有啊，这篇文章的语气，满满的洋溢着高傲与自信。 作者的眼前，估计要浮现出广大年轻学子心有不甘、若有所思、无言以对的悔恨面容了吧。  但看其省略号后面那些“严肃”的讨论，我只感觉哭笑不得…… 哭，是因为如果大众对科学的看法就是这样，那么科普之路任重道远。某些因立场产生的对手，若是傻也就罢了，若是坏，恐怕绝非科研工作者所能对付的。 笑，嘛，这么一说也笑不出来了。就好像日本当年的和平主义者看着祖国一步步陷入军国主义的泥潭，就算明白那终将灭亡，又怎么笑得出来？  不得不说，这篇文章的作者真的很擅长操纵读者的感情。用连绵不断的问号让人无暇思考，抛出一个个乍看之下似乎无可辩驳的问题，在适当的位置爆几句粗口，摆出一副长辈姿态预设着“对手”的见识水平，那一句句侮辱与嘲讽也真是恰到好处。 自己不知道怎么反驳的读者，自然而然地就会认为作者预设的对手——科研工作者也没法反驳 。  想了想，对于这种煽动，个人还真想不出办法。有人说科普也要掌握宣传手段，这没错。可是我想那可能只能用来普及正确的知识，而对于科学、逻辑、科学方法本身的理解，只能通过大量的事实与论述传达。希望有有识之士可以找到一个合适的办法。  大概就这样吧。  （最后的一点感想去掉了，这样应该没有“政治话题”了吧？）
中国农业大学烟台校区如何？,学校怎样不知道，但是烟台靠海，是海的地方我都想去， 学校偏和不偏都有好处， 在市区繁华地段，出门兼职更方便， 偏远地区，没什么可玩的，既省钱又能好好学习， 只要你的学校不是名校，你就只能好好学习了，要不然你怎么拼得过民校毕业生，
985.211外校学生想考中国农业大学临床兽医系，有同样经验的嘛，有没有可以赐教的。？,首先初试成绩要高，考完再找老师也来得急。还算公平，靠实力。
中国农业大学有没有兽医专科，分数线是多少？,有动医  但是不是专科  是本科啊亲    本人是浙江的  所以只知道浙江的分数线   超一本五六十分吧
教育部正式废除 985、211 工程，开展双一流建设，对中国农业大学会有怎样的影响？,ps: 楼上某答案直接套用我的话都不带打招呼的？我也是服了。 有些人说食品也能进一流，这个我不否认。但是食品和西校区这些专业不都一样属于大坑一般的存在吗？你拿个工学学位就真当自己高大上了？ 个人认为是存在弊端的。我很怀念陈章良时代，能搞来资金，也有魄力。陈时期东校区的翻新，公二食堂，奥运场馆，都是现在学生和校方宣传上所津津乐道的，陈把办公重心移至东校区，很明显是要着力提升东区专业的实力，去农科化，办综合大学。陈还提出农大改名，被上级否决。作为一名学生，我是喜闻乐见的。至于有小道消息说陈打算将农大整体搬迁至烟台，先不论这种说法的荒谬性，自古论迹不论心，就算他真这么想，也没有实现。 后来柯炳生时代，柯明显比陈更照顾原北京农大西校区学院和教授的情绪，先涨工资，再将大农学院一分为三，东区学院难望西区学院之项背。农大这个农科大学的名声算是坐实了。 有趣的是，柯出身东区经管学院，陈是生物学家，但二人却同时对与自身专业相反的方向进行政策倾斜。 现在搞双一流，不出意外，农大肯定有一批专业入选，但可以预见，这些专业将全部出自西校区。 然而，作为学生，科研经费也好，专业排名也罢，其实与本科生关系不大。和本科生关系最大的，还是专业热门程度和就业薪酬。西校区以生物和化学为基础的各个专业，注定不会比东校区以工科商科为主的专业有就业优势。而处在获取资讯极其便利的网络时代，了解到化学毁一生，生物穷三代的学生势必在报考西校区专业时顾虑重重，就导致西区专业失去高分考生的青睐。仅存的一些比较优秀的学生，往往毕业会选择出国或者去清北复旦浙大中科院深造，然后就会出现一个怪圈，西校区经费越申越多，学生质量却每况愈下。我就听过一些老师抱怨，为什么成绩好的学生不留校读研云云。 最后总结一下观点，那就是对于农大这种以农科和生命科学为特色的985，较之其他水平相仿的学校，本就认可度不高，也不容易招到高分考生。而双一流的出现，会大大加剧这种情况。单纯靠食堂，转专业政策，校长信箱，空调这些来进行招生宣传，其实是舍本逐末的无奈之举。没有优秀的本科生源，一个大学就失去了未来。
中国农业科学院烟草研究所，河南农业大学，郑州烟草研究院的研究生那个好？？, 利害相关：老郑州，海归，新北漂。家人任郑州烟院部门主任研究生面试官之一，其同学多人在农大和农科院任职  首先排除农大，和剩下两个无论从就业还是待遇其他方面完全不是一个数量级  专业性：郑州院是科技司唯一直属研究机构，就从简单的设备上来说，农科院就差着意思。学科带头人基本上都是烟院的。仅从烟草来说。郑州院全国第1无争议  就业：农科院并不清楚，郑州烟院跟对研究生导师找的工作都很好的（你从这毕业没找不到工作的吧）。基本算是行业内部就消化。烟院第一届研究生就是谢院士，让你自己说该怎么选  但！  好地方难进，还要看自己的实力和科研水平吧  另：不要找我拉关系，这个单位没有这些东西。  以上 
吉林大学、北京科技大学、北京交通大学、中国农业大学选哪所比较好？,这么多说保研的，我来上个干货，你们可以感受一下 
求中国农业大学动物医学专业近五年的录取分数线?,打电话去招生办 问农大在贵省的招收名次  （比如农大在河北每年招的学生名次在6000名左右，因为生源数量和一些二本升一本，导致分数线各种波动上涨，但是招收的名次基本不变）  即使动医没有录你，也可以转专业到动医来，农大的转专业政策很开放很宽松。
中国农业大学西校区自习室外校学生可以进么？,西区几个教学楼都是老楼，暂时不会装门禁，基本没人查证件，能让你进去的就能让你呆着；最近要校庆不知道会不会严一点。 校内图书馆楼下有个咖啡馆，食堂三层还是四层也有咖啡馆和雅座，消费了可以蹭自习。 马连洼周边以前没有，坐几站公交到上地有商场和咖啡馆可以自习，就是消费比较高；不知道现在马连洼周边建设得怎么样据说日新月异了  到我农自习室自习请爱护公物、爱护想认真学习的单身同学、自觉自律、保持自己和环境的整洁，禁止占坑不坐，禁止秀恩爱，禁止冬天开暖气教室里吃大葱包子，禁止看电影还开外放，禁止偷窥骚扰男女同学猫狗驴马不然保卫处分分钟拉走0 0 最后开放的中国农业大学西校区欢迎同学来^^
中国农业大学有什么厉害的校友？,未来的我！ 
