现大三 本科医学类 高中文科 政史地都不错 现在想跨专业考研 马哲 学校华中师范大学 求指导？,排名比较高，出路比较窄，三思后行
普通二本，考研华中师范大学，学科语文希望大吗？以后有出路吗？,赞同楼上 我也是二本学校，而且在二本里都算尾巴的那种，今年也考上了华师的学科语文。 考研这件事是，只要努力，就一定有回报。 加油，坚持是一种有回报的考验。
华中师范大学本科什么专业可以辅修数学？,问辅导员更保险
本人大三，打算考研。想问一下大家，华中师范大学的学科语文怎么样？,首先华师是教育部直属的六所高校之一，又是211，认可度还是很高的。 其次华师的学科语文招的人还是比较多的，虽然有缩招的趋势，但总体还是比其他部属六所好一点。 最后就是华师复试非常公平，没有歧视
求问有没有考过华中师范大学国家文化产业研究中心农业推广的学长学姐？,亲是2017文化产业考研吗？？？？我也是 不过我准备的是文化产业管理  
在华中师范大学华大桂声工作是一种什么样的体验？, 蟹大葱邀。回答自己提问的问题怪怪的。  我就是他们派来写软文的证据如下，我就是阳光男孩，请叫我煽情担当（笑）     －－－－－－正文－－－－－－－    我以前从未碰到一个地方，让我愿意付出大部分的空闲时间和热情心血。说多了总是煽情。我从一个小记者做到编辑到记者团团长再到站长然后又回到最初的编辑，从文章最后的“见习记者 xxx”到后台的“xxx 桂声爱你”再到“您好，请问您是华大桂声负责人吗”，大学几乎所有的记忆都在这里。     看着屏幕，又好像没有喷涌而出的记忆了。上次晶晶要我在大会上代表老人讲话，也大概是最后一次在桂声讲话了。    我说，我爱桂声有多爱呢？    有80s的爱，因为一分钟有60s，每一分钟都想多爱20s。    略显肉麻的一句情话，换到桂声这里就是三年的总结吧。   陪桂声走过十全十美季/一生一世季/独一无二季，就像那句歌词“霜雪吹满头，也算是白首”。   在做小记者时，看到的都是这里的美好，也认识了很多很棒的小伙伴。    但后来从更高的位置看到的更多是我们的不足和需要改进的地方，也是这段时间让我对桂声的爱从“因为你值得爱所以我爱”到“因为你是你所以我爱”。从小到大几乎没有做过管理，一直对这些不感兴趣，误打误撞做了团长注定是想做什么就做什么的结束。回想起刚做记者团团长时，招新一开始就感受到了以前从未感受到的压力，做好了是本分，做坏了就是你不行。更新频率、原创内容、团队沟通、人员流失、新人质量、工作态度、变化适应性等等各种问题都慢慢暴露。每次别人说桂声做的不好、新闻中心做的不好我都感觉在打我的脸。    在这段期间，我已然是一个学姐，和自己的小伙伴们有苦有乐地成为了桂声的“老人”。桂声招进了很多棒棒的学弟学妹，还有在14年五月进来的指导老师。我们都在为桂声努力。      好在桂声在变得越来越好，我也有理由相信以后会越来越好。      我也不知道我在华大桂声收获最大的是有关新闻，还是有关情结。    第一次发表新闻稿是在桂声；    第一次编辑新闻稿是在桂声；    第一次熬夜赶稿编稿是在桂声；    第一次感受到新闻这种冷静客观文字下的热情是在桂声；    第一次与学校行政部门斗智斗勇是在桂声；    第一次做专题是在桂声；    第一次做数据新闻是在桂声；    第一次做师父带徒弟是在桂声；    第一次带团队是在桂声；    ………………    还有很多第一次，都是我从懵懂的新闻本科生到逐渐了解新闻学科的敲门砖，也许还是我未来新闻路的铺路石。     那么，情结呢？     这张图大概是桂声人印象最深刻的一张图：桂声也爱我呀。    桂声的情结不只我一个人有，应该是所有桂声人的。    今年五月桂声十一年站庆，当时安排了新闻中心去联系以前的桂声前辈，出专访。一篇篇稿件翻下去，有些让人热泪盈眶，有些让人斗志昂扬，脑子里想着“这些都是桂声人啊，他们曾在几年前也怀着和我一样的热爱与激情地为桂声努力。”也许有外人会说，你们专访的这些人我们都不感兴趣，是自娱自乐吧。    我可以说出很多个理由来反驳，比如：这是对校园媒体成员的未来发展调查（雾；这是对曾经的新闻理想与现状的对比调查；等等。但我说的确是，自娱自乐又怎么了，能让桂声人更热爱这个集体就没错啊。    当时还给所有有联系方式的桂声前辈发了一封桂声十一周年祝福的邮件，更能表达桂声人的桂声情结。特摘录如下，共勉：     “人的生命中常常会有这样一种情谊——一个人路过了你的生命，你的口袋空空，无法支付对价，让他落在实处，他拿走了你的一些东西，又留下了一些，又有一些你们共同开户的东西，被封存了，可是它却营养了你的成长，开阔了你的视野，他时不时地会在你的生命之河里浮上来，让你对一些美好的东西抱有更坚定的信心。”      桂声爱你，就是以这样的情谊。      我在想一些人——你和他们，来了又走，背影和目光不匆匆，我也好好送。辛苦了，几年陪伴，几年守护。      我在等一些人——那些孩子，奔向我时，我也带着你们的语气和笑，好好接。谢谢了，留给我的，总是珍贵。      所以你看，在新闻道路上，我们从来没有停止前行。      我们有喜悦：毕业合影中那个大大的圆，圈进了华师师生的爱与恋；新生军训中，军营里长长的夜，融进了桂子新人们的酸与甜；全国大学评估报告中，华中师范大学闪闪的五星级，蕴含的是无数华师人夜以继日的汗与泪……      我们欣慰看到，学校在变化。晚点名形式不再枯燥无聊，大型供电线路正在进行紧张施工，WiFi基本覆盖全校，书记和校长在校领导午餐会上当场办公……      我们不满一些现象，学校安全稳定有待加强，选课系统崩溃登陆困难，空调安装却无法使用，宿舍漏水，我们互相调侃：华中停水大学……      但我们依然不允许别人“说三道四”，我们澄清“未成年女孩刷盘子”非华师新闻，我们在网上捍卫被侮辱的性概课老师彭晓辉的权利，我们冷静回应千人大合照背后的原因……这是一种没有经历便不会懂得的美好。      我们也有悲伤。全能神教异端残忍下手，昆明暴恐案，航船沉没，客机失联，ISIS恐怖组织杀戮无辜，我们急不可耐地把视野扩大的时候，现实却残忍地割裂了细嫩的眼角，伤口破开，从缝中涌出猩红。      一路走来，我们把梦想放在肩膀上，把责任揣在胸膛，把情怀诉诸笔端，把焦点对准校内外，做学生自己的新闻。      回想这一路，我也才恍然，      从2004年5月到2015年5月，从  http://  hzu.net.cn      到 华中师范大学学生门户网站         有一群人，撑着一把伞，在风雨中，竟已跋涉了，11年。  
如何看待华中师范大学音乐学院使用某APP每日签到 ，不签到扣素质学分？,谢邀⁽⁽◝( ˙ ꒳ ˙ )◜⁾⁾ 传言华师有一大特色便是晚点名，当别人都在浪时我们在晚点名的路上。当别人都在约时我们在晚点名。 这个今日标签到有异曲同工之妙。平心而论，这确实是一个确保学生安全的好方法。在武汉，确有多起高校学生莫名失踪案件，而相信年初于上海发生的踩踏事件中有一名未与家长老师报备的学生去世的消息也一定深入人心。没错，大学倡导自由教会你呼吁自由，这也是我们一生中为数不多的可以在象牙塔中自由地讨论自由的时光。但自由的行为不应该建立在以生命为代价的前提之下。晚点名或是签到从来都不是一个新鲜事，经管院有微信分享地理位置签到，我们有必须到达某教室点名，或者是查寝，这些看起来繁复的规则都是出于安全的考量。在国外，没有辅导员没有这样的安全排查，所以学生失踪往往几个星期才会引起怀疑，这教会你完全为自己行为自由负责的，但是如若不遵守隐藏的社会规则则是以你无法承受的后果为代价。如果吸取教训需要用生命为代价，那这个教训来的有用吗？  我们应不应该排斥这种出于安全考虑的限制人身自由的行为？我以为，适度才是真。当晚点名或者签到对你日常的生活没有造成极大的困扰的时候，这样的做法完全可以接受。 有人说，我不需要晚点名，我能够确保自己的安全，能够完全为自己的行为负责。这句话我赞同，没错，我们可以，但是我们防不住意外。这样的方法给了我们一旦出现意外能够及时收获关心和紧急救助，最次，也能让人知道你到底如何了，而不是活在一个充满了自由却实质对人毫无关怀的大学校园里。学校有对你和你家人的责任，你有好好活着的责任。 所以在这个大环境下，我们还是要相信签到晚点名的出发点都是好的。 有没有更好的方法？抱歉，我暂时想不出来。 学校的晚点名或者签到另一个重要的作用是提示你重要的通知。不得不说，这个做法是真的把大学生当小学生培养，在国外一切通知都在portal上面，所有需求靠自己，拒绝伸手党，也让学生为自己的过失负责。不过学校用这种方式，倒也是能确保学生知晓一切重要通知不会误事，有利有弊吧。 总的来说，我的答案非常鸡汤正直，但是出于对生命安全的考虑，这样的做法不算过分。
2017，华中师范大学免费师范生协议是什么？,在读期间不收取学费  但是毕业后需要任教十年   的协议
请问考华中师范大学的心理学专硕需要工作经验么？, 全国只有几所院校的专硕要求有在职经验才能报考，一般要求有工作经验的研究生都是非全日制的。  华中师范大学是不要求你有工作经验的。 
本校大多考东北师范大学，如果想往南方考的话，有哪些难度相似的高校？华中和南京师范怎么样？,华中师范大学欢迎你
你最讨厌华中师范大学的哪一点？,男孩子真的太少了…
