考中央音乐学院难吗，怎么考？,评论里和现实一模一样，不只是说央院黑啊，大把人说某某院校黑，包括说我在读的学院，是的，这么说的人都是考不上的人，一点希望也没有的那种，同时还有觉得自己认清了真相，那些考进去的人都送了几十万的礼，或者把某某艺考的黑幕如何运作的段子倒背如流。  请问你们知道15年央院校长王次炤是怎么倒台的吗？真以为院校有多大能力吞钱？  这些段子学生们听见也就笑笑而已，听完还得泡琴房，谁都忙，对于智商不太充足的人，我没时间告诉你事实是怎样，你们继续为自己认清黑幕感到自豪就好，我觉得这么自信的人非常可爱。  くくくくくくくくくくくくくくくくくくくく  评论里都说没看懂，很简单呀，就是即便如此还是不够好，入不了老师法眼呗。  央院声歌系本科每年招8个男声8个女声，还不论声部，这是什么概念？全国有多少人？又有多少学习者日日夜夜无休止地努力想挤进央院？那些复读了一两年专业上早就成熟的人又有多少？说白了在20岁上下这个年龄段，你的专业优异到同类几乎不可能达到的地步才能进，比如你是个男高音，全国20岁上下男高声部能唱得过你的人，大约不超过3个，那你是很有可能考得上的。   くぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐぐ  拿我自己作为失败案例吧。  当年考学想考央院的本科，联系上央院声歌系主任黑海涛老师。  在黑老师办公室见了面，听我唱了几首艺术歌曲和近代民歌，老师非常善良，用另一个人的事情委婉地告诉我我并不能考上央院:  “孩子啊，前几天有一姑娘也想来考学，1米72，形象也很好，听她唱了两首作品，都是咏叹调，不小的歌，完成地很不错。  我就看看她键盘能力怎么样，一首有难度的奏鸣曲，外边老师都进来问我怎么你琴房有钢琴系的学生？  那我再问她，文化课怎么样？450分，稳得很。”  我听着压力山大，然后黑老师嘿嘿一笑;  “就是这样，我还是没收她。”  我当时立马就明白，这事连一点可能性都没有。  最后感谢黑老师，私人上给了我很多宝贵的指导和意见，至今仍然受用。
如何评价中央音乐学院歌剧音乐厅？,绝对高标准啊。六月底第一次去听，恨不得躺在那不起来了。那个音效，啧啧啧，美得我心都酥了。在那听现场真的是享受，享受。中央的老师在那演都比在别的地方给力啊，果然是自个家地盘。还想起n年前我老师来深圳演出，第二天问他厅咋样，他一句“还行”……是给了多大面子啊……惭愧
北京电影学院和中央戏剧学院这两个学校在人才培养和输出上有哪些区别？,我是上戏退学中戏毕业北电拿过俩专业前三的证 但是现在回头看看，我的真爱还是上戏…… 唉，挑学校需谨慎啊，名气不能决定一切，适合你的才是好的（废话  1、招生倾向 北京电影学院 我认识的北电人很多，有小四位数，基本上每个人都很有趣。ta不一定才华洋溢不一定性格阳光，但都很擅长与人相处，找到共同的兴奋点；当然谁都会有天敌除外的啦XD。 中央戏剧学院 中戏人比较极端化，交际花跟御宅族并存，中间人不太多……  2、培养 北京电影学院 北电上课越来越有向学院路他校靠拢的趋势了，学院路别的学校咋上课大家都知道的嘛（茶）同样的，学院路的其他同学可以自由选修（或蹭）北电的课程。 电影学院在平时比较鼓励大家出去赚钱，搞钱！用某教授的话来说：“不会找钱看你们以后怎么搞艺术！”所以大部分电影学院学生在三四年级就已经有不错的业内人脉和履历了，毕业了留在业内的可以占大部分。 北电的整体氛围非常自由，想搞什么只要别害人都没人管你，稍微正常点靠谱点的东西老师都会助你一臂之力。在我最困难的时候是北电的老师跟我讲“缺人的话我认识，不明白的话老师帮你问，你这个项目很棒一定要做出来”的，非常感谢北电的老师。  中央戏剧学院 中戏坚持传统的艺术大学排课制，学校排课和高中一样，排啥上啥。严禁各种蹭课行为，校内本系的话需要教师批准，跨系主任批准，外校的截止2011年每门每学期2w，不知道现在涨价没。 跟北电大肆提钱的氛围比中戏非常象牙塔，当然在这里我很想打个引号。传统的教学模式很锻炼基本功，但是有个弊端就是中戏有几个大雷区一定不能碰，虽然这几个大雷区可能极其荒谬……比如我就觉得很荒谬于是被狠狠修理了噢耶。 这几年的中戏学生在社会实践上很苍白，尤其对于非交际花型的学生来说。到了大四毕业简历一片白纸的人占多数，于是大家之后基本都改行了……表演改导演导演改编剧编剧改编辑……至于舞美……舞美我也不知道他们干啥去了…………  3、学生气质 北电的学生有一种共通的“二”的气质，跟央美的“疯子多”不一样，北电的二可以说是比较单纯。在这个大家都靠裙带关系撑着才能找到活儿的地方……电影学院会哥哥带妹妹姐姐带弟弟大家一起活下去，这点真是感动死人。再加上他们会罢饭以及弹唱小民谣50日问候新任书记及其家属，在这个年头能遇上这样的朋友真是好感动！ 中戏的同学想的就会比较多，不够北电那么单纯。整体来说中戏的同学更靠近普通的中学生和综合大学学生一点，在理想的层次上来说比较靠近现实生活，很少会去想太多和做各种不是必要的东西。  综上所述……我觉得可能不太够客观，毕竟我在北电呆的太少了黑暗传说听的不够多光明看的太厉害XD，等人来补喵。
关于"中央音乐学院十几位教授致王次炤院长的公开信"有什么内幕和真相？,作为一名央音的学生。。。我能证实的只有一点。。。就是他的学生，无论好坏，都留校了。。。但大部分都是在学术上没有一点作为的老师，有的讲课都讲不清楚。搞得整个学术质量严重下降。他个人的学术造诣。。我就不说了，不过天下文章一大抄，看你会抄不会抄
为什么各个选秀节目很少出现中央音乐学院的学生？,看了一些答案，有些答友的回答也是蛮可爱（纯洁的微笑• . •）。作为一个学了十几年音乐的人，对这个问题还是可以简单说几点的。个人观点，不喜勿喷，若喷，请轻喷(ง •̀_•́)ง  1.首先，选秀节目能从平民百姓里选出实力出众的唱将，很大程度上依赖于庞大的参选人数。选择更多才有更好的选择，很简单的道理。而中央音乐学院作为中国音乐最高学府，每年招生名额300上下，全院本科生加研究生也就一千多，这个数量放在全国有志选秀的人堆里，无疑是石沉大海了，基本可以忽略不计。  2.先在此纠正一下有些答友的说法。中央音乐学院关于唱歌的系所叫做声歌系，感兴趣的朋友欢迎到鲍家街43号综合楼八层深入了解。中央音乐学院声歌系目前只开设美声专业，没有民族唱法和通俗唱法。哦对了听说阎维文老师即将入驻中央院开设民族唱法，呱唧呱唧，应该就是眼前的事了吧。  3.众所周知，如今大多数选秀节目诸如＊＊好声音，＊＊女声，＊＊男声，以歌唱类节目居多。而中央院是一个全面的音乐学府，通俗点分类的话，大致分为器乐表演，声乐表演，作曲理论，音乐教育，提琴制作等等……如你所见，声乐表演只是其中一部分或者说一小部分而已。而其余的人则是从事和歌唱无关的专业，怎么说呢，术业有专攻。再退一步讲，不是说唱美声或者民族的人都能唱好通俗，它们从发声方法到情感表达都不是一个概念。当然这也取决于个人的乐感和审美取向。不服的人去搜搜王宏伟的《想你的夜》，你会回来赞我的。  4.还有一点是很多专业学习音乐的人不愿意承认的。那本人就冒天下之大不韪说一句：“唱歌，你不行。”先别急着反驳，沏杯茶慢慢听我说。众所周知，考入中央院的学生，基本都是各省音乐人才的佼佼者，或者说，经过十几年勤学苦练成为佼佼者。实事求是的说确实比常人有着更高的音乐能力和音乐素养，你可以通俗地理解为比常人有天赋。然而这能和唱歌好划等号么？当然可以！（啧啧请按常理出牌←_←）喔好吧，确切的说是可以划约等号。个人认为，音乐的两大基本要素音准和节奏，都是要依靠耳朵的判断来实现。耳朵灵敏的人对音准节奏的控制能力强调节速度快。中央院的孩子长年累月地泡在琴房，对着钢琴一赫兹一赫兹地磨，专业课上依旧被主课老师虐到体无完肤Q_Q 对耳朵的要求绝对是大多数人无法理解和想象的。所以你会看到，身边音乐学院的朋友在KTV个个是麦霸。然而对于顶尖的歌唱舞台来说，只有耳朵好并没有什么卵用，你还得有一副好嗓子。上帝是任性的，他并不会因为你有音乐天赋就附送你一副好嗓子（参见上一季好声音学员帕尔哈提和这一季的流浪大叔）。听和唱不是一回事，所以每次看好声音的时候，我不得不纠结，一边用苛刻的标准给学员挑刺，一边拍案叫绝卧槽为啥劳资唱不了这么好。所以不是中央院的学生故作清高不屑于参加选秀，而是在唱歌这个艺术门类中，音乐学院的学生并没有绝对优势。一个拥有好嗓子和好乐感的普通人稍加训练就足以秒杀音乐学院的学生，这种涉及天赋的行业，木招。不过世事没有绝对，中央院也有很多唱得很好的人但只是当个业余爱好，个人追求不同无须勉强。当然中央院也有唱的好又有这方面追求的，玩的也是风生水起，请看向好声音四把转椅之一汪夫子。  5.补充一点，看到有答友说到中央院的学生不屑参加这种低级选秀。看到这种低端招黑的行为我笑出了声。如果你不是音乐学院的学生你有资格说不屑吗？如果你是音乐学院的学生那我为你感到可悲，每一种艺术形态的存在都有他的意义，以贬低另一种艺术形式来表现自己的高大上，只能说你内心缺少对自己从事专业的认知和认可。人总是想尽办法证明自己没有的东西呢。音乐学院的学生也会参加比赛，从国际到国内，柴可夫斯基到金钟奖，只不过普罗大众不会去关注到这些专业圈内的“选秀”罢了。  6.最后一点，关于几大音乐学院孰优孰劣这种千年老梗不必在此讨论，与问题无关。  以上＠(￣-￣)＠  内个……看到评论说有些朋友想加我，问我有理有据为啥匿名……囧，这是人家第一次在知乎回答，羞射嘛(๑• . •๑)……别打，我出来还不行么T^T  另外，答主是女孩（hàn）纸啊啊啊，只是不知道手机客户端上怎么改性别啊啊啊，是不是要去网页才能改啊啊啊……说我是男孩纸的人，你们不要瞎说实话好么！如果真是的话，我这么可爱的男孩纸，怎么可能还没有男票！！！
为什么艺术院校中只有中央音乐学院是211？央美中戏呢？, 211 985 是公司各种总经理 央美是董事长的儿子 而且是独生子  明白没 
中国音乐学院和中央音乐学院都很难考吗？,谢邀  作为国内前五以及第一的音乐学院，肯定是国内前五及第一的难考 不要有侥幸心理啊
中央音乐学院本科宿舍是否可以独自拉网线？,泻药  我都毕业快五年了呜呜呜，当年还没有综合楼宿舍呢呜呜呜 所以也并不知道现在可不可以牵网线啊，回头帮你问问吧：）
中央音乐学院艺术管理系是不是不在江西地区招生？,是面向全国招生哒，题主不必担心 然后在中央院，艺术管理并不是单独成系的，被归到了音乐学系下面。
中央音乐学院考研需要准备什么？,所有不是本校（中央音乐学院）的考生，都需要加试视唱练耳，而且，就目前而言中央音乐学院的视唱练耳是国内程度最难的，所以需要做好准备。建议你阅读以下几本教材：  国民基础视唱教程(1A): 亨利·雷蒙恩、古斯塔夫·卡卢利 中央音乐学院出版社 国民基础视唱教程(1B): 亨利·雷蒙恩、古斯塔夫·卡卢利 中央音乐学院出版社 精品视唱教程(初级)  中央音乐学院视唱练耳教研室  中央音乐学院出版社  精品视唱教程(中级)  中央音乐学院视唱练耳教研室  中央音乐学院出版社  精品视唱教程(高级)  中央音乐学院视唱练耳教研室  中央音乐学院出版社
川音好还是中央音乐学院好？,当然是中央
考中央音乐学院研究生 除了考专业 还要考什么科目 需要过英语四六级么?,专业课之外还需要考英语，政治，音乐史和一门专业公共课 这门专业公共课可能是和声曲式分析，也可能是配器，也可能作曲四大件都考（少部分专业可能还要考别的） 英语不需要过四六级（英语政治参加全国统考，但及格线会降低一些） 音乐史是自主命题，平常没什么积累的话难度不低，需要好好突击一下 如果考生大学念的不是音乐专业，还会有加试（检验考生是否有基本的音乐素养），分数不计入总分，及格就行
考中央音乐学院怎么考？,高考前一年十一月份多吧在网上报名省内统考 十二月份统考 过了以后二月份去中央音乐学院参加校考 专业和乐理等科目考试要求见中央音乐学院招生简章 如果通过校考 就可以在六月份高考报中央音乐学院 过了文化课分数线就可以啦   祝好  ps：最好先去中央院内找专业老师 不然非常非常难
本科去中央音乐学院好还是去莫斯科柴可夫斯基音乐学院好？,能上中央就首选中央。毕业后研究生可以选择出国。不是说教学质量，而是以后工作的人脉，中央在国内绝对好用
如何利用距中央音乐学院1千米的地理优势，捡起钢琴九级准备十级？如何找到老师或学生然后有权限进入琴房？,找央音的学生吧，去那些央音附近的音乐专业小书店或练琴房看看，老板们一般都认识N多学生
中央美术学院、中央音乐学院、中央民族大学等为什么都冠以“中央”，而不是中国?有什么区别?,题主你不知道有中国美术学院（杭州），中国音乐学院（北京），中国戏曲学院（北京）吗？
如何看待王俊凯考北京电影学院而不是中央音乐学院？,谢邀。 看到这里我不禁笑笑，中央音乐学院毕竟是中国北方音乐类的最高学府，王俊凯根本不会有对口的专业好吗！！ 他是考歌剧系？你知道要进中央音乐学院的歌剧系要唱得多好吗？ 还是考音乐教育？考指挥？考作曲？考民乐？他视唱练耳过得了吗？ 北电很适合他，要外表有外表，台词、表演经过训练都可以出的来。
中央音乐学院远程教育怎么样？, 非常专业，从以下报名条件和讲课大师就可以看出来。   报名条件：  1. 有志于从事音乐教育事业  2. 音乐相关专业大专学历（或同等学历）  3. 掌握基本乐理、视唱练耳知识  4. 具有一定的器乐演奏能力  5. 具有一定的实际教学能力    考核标准：  1. 出勤记录（10%）  2. 课堂表现（10%）  3. 笔试：课程学习心得一份（20%）  4. 实操考核《车尔尼849》、《莱蒙练习曲》、《柴可夫斯基少年钢琴曲集》任意选择一首作品视奏、讲解重点（60%）  考核证书：   参加培训并考核通过者将获得由中央音乐学院现代远程音乐教育学院颁发的“音乐教育”（专业技巧：钢琴）标准级教师资格证证书    报名咨询可以找我，我这里是培训报名点。17802122373（同微信） 
为什么中央音乐学院是211而理论上是同级别的央美，国美和中戏却不是？,更正一下，国美和这几个不是同级别的。至少不属于教育部直属，不讨论办学质量。
问题来了，去中央音乐学院进修好还是去白俄罗斯读研好？,.
如何考上中央音乐学院？,要考中央音乐学院其实没别的，就是练琴。我记得我考学的时候每天要练起码7-8个小时琴。而且你现在大二，要考的话肯定是考研，考研更难，因为你的水平要能和本科的那些学生媲美，且文化课不能太差。当然还要找老师针对性辅导。因为中央音乐学院是典型的学院派，很多东西是有自己的标准的，如果你只是平常自己练琴，没有来学院找老师学习，那基本就是白搭。所以总结一下就是，找一个中央音乐学院的教授辅导，每天好好练琴，文化课也不要丢了（曲式和声英语政治音乐史）。 我们学校没有说北京人招的多，也没有说每个省有名额，全凭本事。我们系七十多人，北京当地人估计也就个位数。
如何在中央音乐学院辅修第二专业？,找学生处
如何评价中央音乐学院嗓音研究中心的韩丽艳老师？,谢邀！一个中央院的老师有什么可怀疑的，能在高校做教师要有很多硬件，学历，学位，研究成果，获奖，比赛……还要经过同行专家认可……鉴定一下你的声部应该没有问题的。
为什么经常看到演戏的小童星去中戏北影这类学校，而鲜有唱歌的小童星去同样级别的中央音乐学院？,央音的声歌系只有美声，这样考生就会比较受限制，很多童星唱歌好听，是因为本身声音带有小孩子特有的空灵，一来不知道变声期过了之后生音会变成什么样，二来很多童星因为声音好听，并且喜欢唱歌，也小有名气，就不再去进行专业学习，而对于央音这样全国顶尖的学校来说，没有每天刻苦的发声练习，以及扎实的视唱练耳乐理基础，只是靠着声音好听或者说一点点的天分，是考不上的，但中戏北电也不是说不好，也要看那些童星考进去是读什么专业，对于音乐剧来说，是需要一定的声乐基础，但远远没有央音声歌系那么严格，说实话，突击一年半年的，不是问题，表演系声乐要求就更低了，主要还是考察综合能力以及对生活的感悟和舞台表现力，音乐制作之类的专业的话，主要是听音，还有物理要好，当然有声乐特长展示更好，没有的话也不构成硬伤，所以很多童星不会选择央音，主要还是培养方向的问题，而且如果他们长大之后想继续唱歌，继续在娱乐圈生活的话央音不会是一个很好的选择，本身读央音没有北电中戏那么容易出名，而且央音是培养音乐家的地方，音乐家和歌手还是有本质区别的
中央音乐学院现在有养宠物的么？怎么躲避宿管？？,呵呵，你报考中央音乐学院，你没听过西游记前面的《云宫迅音》，那你还学个毛的音乐啊？
