研究生想读临床药学药物评价（临床试验）方向，中国药科大学好还是中山大学好？,谢谢邀请 考研选择什么学校，真的是一件挺复杂的事情，你是怎么做出这两个选项的呢？ 我尝试分析一下，听你的语气，这两个学校都不是你本科学校是吗？ 我是药大的，我们学校唯一药学211，且学术地位在行业内不需多言，但是临药专业所在的临床药学与基础医学院大概是我大三的时候，也就是2015年左右新成立的，并不像其他老牌专业那样实力雄厚。你知道临床试验方向的培养模式了看来也是了解过了，我当时和临药学长聊过，学院成立后第一批学生，临床试验方向，基本就是各一年半，那个学长是去恒瑞，而且当时听说好像还是她们自己找的培养单位，，，  这个时候问题来了，你是看中药大的名气，还是真心想学临药专业呢？ 前者，那当我没说， 后者，你了解临床试验相关工作吗吗？   然后中山大学，我打算调剂的时候研究过一点点，但也不怎么了解，我就不瞎讲话了，但我们来讨论一下动机，为什么你的第二选择是中山大学呢？ 我想了一下，你是广东人吗？还是喜欢广州呢？ 如果你是广东人，要知道考研选择学校综合因素真的太太多了，地域太重要了，即使你不是广东人，我把这个定义为对自己未来想去的城市发展的近距离考察，需要慎重啊  然后给你一些建议 我当初选择华西是因为美丽的成都，有城市因素占很大一部分，然后华西临药的地位是很高的，专业排名这种东西你可以自己去查了吧。但是以我考的经验来讲应该比我们学校要难考很多  你不怕难还能选择协和等研究所一类的，也有临床药理等，或者单纯学院牛的北大医学院，或者暨南大学也可以等等吧  最后不得不说，我在皇城北京呆的这快两年，深感北京的气氛特别好，除了未来生活可能无望，好难的，但你若非想留下来也不是不行，我后面还是摆脱不了在大北京读研，但是不得不书，这不管啥氛围吧，学术氛围也好，皇城就是不一样啊…… 其他地方怎么能比   企业招聘和未来发展角度 企业 招聘这个问题中大我不知道，但药大我知道，这个东西怎么形容呢，工作很多，反对于挑剔行业的我，选择很少，但如果只从就业率的角度考虑，那药大就业率全国第一，真的数据给的，不是我吹牛，但是至于你是啥工作，学校根本不管你，这种感觉，我想我想只有找过工作的药大校友能懂。  未来发展， 这就很大了，你了解我们行业所有可能做的工作类型吗，大概也行，如果你了解，你的自身需求是什么，工作和你对未来的生活期望息息相关，还有地理位置因素 未来好难决定的  题外话……老有人问我特别基础的问题，我有时候会回答有时候真的不知道该怎么说，我的回答里面很多都有，然后很多事百度一下就行了。因为知乎我解答了好多人的问题……有学妹，观望的从业者，师姐，同学，我本来是很乐于分享的，但有时候会真的是觉得不想回答不劳而获的问题，
沈阳药科大学可以调专业吗?,可以修双学位，不可以调专业，然而双学位出了东北没什么卵用。考研换专业倒是个不错的选择。
本科应用化学可以考研中国药科大学的药物化学专业吗？算不算跨专业呀？,可以，算跨科，但是药科大学比较欣赏实验技能高超的
中国药科大学考研药物制剂专业考哪些？,1.710药学综合：有机化学，分析化学，生物化学，生理学 2.英语一 3.政治
在中国药科大学生命科学基地班就读是一番怎样的体验？,对的 你会遇见一个喜欢讲古汉语 让你背古英语诗歌 喜欢强行给你灌输他的三观的英语老师
沈阳药科大学生物制药专业怎么样？,沈阳药科大学生物制药在哪个校区
如何评价「中国药科大学李萍课题组在中药药效物质基础研究领域取得重要进展」？,没戏，当年国际制药企业在这方面没少投资，最后都没有什么成果。可见我国的传统医药并不是一个巨大的宝库，你要是把外国人都当傻子那我也没办法
中国药科大学商学院研究生怎么样？,商学院研究生真乃本校最最难考最热门的了……
有没有必要考中国药科大研究生？,我也只是沈阳药科的一个学生，感觉沈阳药科和南药太像，出来以后不是科研就是药代，考研的话感觉可以去综合性大学，学习一些医学方面的东西
考研，想考中国药科大学，选择专业是微生物与生化药还是药代动力学？,首先，微生物与生化药学的分数低是因为招的的人多而报考的人相对少，但是这并不代表该专业下的一线热门教授的分数低，举个栗子，如果你想报考姚文兵，高向东，陈依军，金亮，刘煜，王旻，徐寒梅等教授的话就要做好看到360分以上的准备，甚至名额早就已满，例如，考徐寒梅和金亮的学硕可以说你考380都危险ರ_ರ ...所以你要明确自己的定位。是随便找个小老板混还是真的要学点东西  第二，药代因为不是二级学科，所以涉及的面没有那么广，微生物与生化药学和药化药理药分同属二级重点学科自然会有很多分支研究，又举个栗子，微生物这边南药生科院大致可以分为以下几个主要方向:单克隆抗体，天然活性产物分离纯化和活性研究，微生物代谢产物研究，蛋白质和多肽类药物研究，多糖类药物研究，生物合成，疾病基因调控研究等，你要根据自己的兴趣去选择，其实你要是对此有一定认识的话，就可以发现，微生物与生化药学其实有很多交叉的地方，比如针对活性产物，代谢产物，多糖药物，是与药代药理和天然药化有交叉的，而做基因方向更是离不开药理学的知识，两方老师也有很多合作的。  所以呢，一切根据自己的兴趣爱好，如果只想混三年，就当我没说ԅ(≖‿≖ԅ)咩咩咩
