西南大学在重庆市外名气怎么样 就业呢？, 谢邀。首先声明，本学渣没有任何看不起某所大学的意思。  我读书那时候，成绩实在是不行，就只好考重大了。一、三中的老师，说你只能到围墙那边，是种放弃好不好:(。西南农大和西南师范也许有些专业还行吧（我的专业离这两所学校差的远了点，实在是不了解），学校名气整体肯定没啥影响力。 
重庆大学建筑学考研？,湖大、华科可以考虑。建筑学实力、学校声誉、地理位置均可。
如何评价重庆大学丢失学生证后需要登报挂失才能补办?,西政一样的，有必要为了这么一点钱坑你么。。。
重庆大学有哪些适合女生的专业？,不知道题主邀请我是什么鬼 毕竟这是一个白号  可能因为我对重庆大学的话题关注较多吧  没错 我高三即将高考 想报CQU 所以的确搜了一些资料 有一些自己的结论   重庆大学（CQU）据说现在是综合类学校 然而在我看来妥妥一理工类学校 他的招牌是电气 电力 建筑和土木  这些都是全国都能排上号的   电气和电力性价比超高 分不太高还很好（这也是答主的目标 但据说CQU现在研究方面做的不是太好 我倒觉得无所谓啦 大学四年的课程肯定会给你教得透透的  你是女生 还是山东的 我也没上大学 实在无法给你很妥当的建议  我就随便说说吧 电气什么感兴趣你可以试试 有电子通信什么电路设计什么的 既可搞研究也可走向市场  建筑土木也非常牛 但需要立体感和作图功底 反正我是很头疼了 不知道你是否有这个天赋  还有软件工程 也就是计算机了 这个据我爸说真的不愁找工作 但如果没有对编码的热爱的话 后来会痛不欲生的  CQU的重点专业也没什么别的了 突然想到一个我没太关注的  城乡规划 全国第二 这种东西对于男生的我来说实在光看名就困 你自己了解下哈  别的重点专业也没什么了 （你总不能去学个采矿吧 哪怕他全国第三 重大管的不是太严 基本可以过一个理想的大学生活 吃喝玩乐不耽误 专业课和英语得好好听  还有啊 不要太关注学校的排名和专业排名 按照自己对未来的梦想设想做合理的规划  反正我是非常喜欢重庆 所以瞄上了它 本来家里想让我去大连理工的 专业呢投己所好 或专己所长  反正一个即将毕业的学长是这么想的  我回答这些不一定能解决你的问题 主要最近的确有些心慌 想把自己的目标想法再确定一下（嗯 重大的学长们不喜勿怒 这是一点自己的想法   看我一个30天就要上刑场的人给你写这么多 是不是很感动   祝福我吧 祝我考上重大 等你来年打算来的话我罩着你   加油 还有一年多 每个人都有很大的进步空间  如果你能考的更好的话可以考虑去中山哦 那里适合女生的专业更多（你要真去了 我码这些该哭昏在厕所了   写了15多分钟 感觉整个人都舒坦了  总之你现在还来得及 不着急先确定上限  再见  我又要滚去做题了    记得祝福我哦
如何评价重庆师范大学“最牛院长”吴晓燕？,搬运原题。在两所学校任教过四五年，她是我见过的最差的教授，没有之一。  说几个点吧： 说几个点吧：   1.排挤、辱骂青年教师   至少，学院的年轻老师，她没正眼看过。 对于那些年龄比较大的，尤其是教授，态度更苛刻（因为怕他们抢自己的院长职位）。印象比较深的是学校前段时间调过来一位40多岁的教授，能力很强，然后就是不给认证硕导，想推到其它硕士点。后来据说在开会时还对人家恶语相向，我们几个年轻人都看不下去了。  再说说硕导的事情，学校给学院的硕士点分配还是很充裕的，但是这些硕士点很多都给了和吴关系甚密的外聘导师。所以很多本学院的教授甚至带不上硕士，更别说那些30多岁，年富力强，想出成绩的青年副教授。  对不起，不搞关系，你没有这个机会。   2.论文造假，自我抄袭    基本上现在论文造假，最高的境界就是自我抄袭，只要没人抓，基本上没风险。   这样做的好处实在太多了，比如说，高校评职称，一个重要的kpi就是论文数，而将一篇文章发到5个地方，相当于论文数凭空增加了四篇，你懂的。   吴有10余篇论文一稿多发。如《现代小农经济的一种解释——兼评恰亚诺夫的〈农民经济组织〉》分别发表于《江西财经大学学报》（2006/02）和《生产力研究》(2007/06)，《适应高中新课改需要的普通高师院校学生能力训练探究——以思想政治教育专业为例 》同时（2011/01）在《高等教育研究》（成都）、《西华师范大学学报(哲学社会科学版) 》上发表。  还有简单变换题目一稿多发的情况，主要有：《现代国家对乡土社会的渗透与整合——基于集市变迁的分析 》、《集市变迁与现代国家对乡土社会的整合》、《农民、市场与国家:基于集市功能变迁的考察》先后在《学术论坛》（2009/01）、《求实》（2009/03）、《理论与改革 》2011/02）上发表。  类似的还有：《农村集市与乡村政治研究：缘起与拓展》、《基层市场与乡村社会研究:历史与趋势》、《乡村集市的政治学解读:缘起与拓展》分别在《政治与法律》（2008/08）、《社会主义研究》（2007/02）、《天府新论》 （2008/04） 上发表；《嘉陵江流域生态经济建设的对策探讨》、《生态经济——嘉陵江流域可持续发展的必然选择》同时发表在《科学·经济·社会》（2005/01）；《科技创业月刊》（2005/01）；《论经营城市与提高城市竞争力》、《经济欠发达地区提高城市竞争力问题探讨》、《培育主导产业与提高城市竞争力》、《城市竞争力初探》简单修改后也先后在《兰州学刊》（2003/06）《经济与管理》（2004/03）《理论月刊》（2004/05）《生产力研究》（2004/09）上发表。   其实我还是蛮质疑她的能力的，至少她来之后，就没见过她上过几节课，本科生的课完全没上过。    3.吃空饷   吴是从西华师范大学调任来重庆师大的，人事档案、人事关系及工资关系均在西华师范大学，其本人仍是西华师范大学的专职教授、硕士生导师，除了享受每年6万元的“特聘教授”津贴以外，还全额享受该校的所有工资待遇、包括五险一金。  然后，在重庆师大任院长，继续拿高工资。   相当于一年在西华师范大学吃十几万的空饷，再在重庆师范大学领十几万的工资。这么长时间下来，没有领导管过。据说上边有人，呵呵。    4.年龄造假    吴晓燕在2012年9月12日的西华师范大学网站上，“导师介绍”中的出生年月为“1967年7月”；在2012年10月9日的考研教育网上，“导师介绍”中的出生年月为“1967年7月”；在2013年7月13日的“考研资讯”网上，“导师介绍”中的出生年月为“1967年7月”；   而在2015年10月10日的西华师范大学政治与行政学院网站上，吴晓燕的出生年月却为“1969年7月”。从其到重师的“任前公示”上看，吴的出生年月也是“1969年7月”。 据说，改年龄是为了规避一个45岁以下的调动规定，呵呵……    年龄造假的很多，这么明显的，不太多……     《中国共产党纪律处分条例》 规定：“不如实填报个人档案资料的。篡改、伪造个人档案资料的，给予严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。”   5.上边是有根据的，其它还有很多没根据的，比如说*******，不了解，不评论。  最后贴几个链接，供大家参考。说句题外话，重庆师范大学这两年很乱，经常出各种事情。  吃空饷，抄文章，改年龄——深挖重庆师范大学“最牛院长吴晓燕”     重庆师大两院长学历造假、私刻国家广电总局公章、论文抄袭(转载)(转载)_重庆     重庆师范大学王有亮教授论文涉嫌抄袭     重庆师范大学惊现人事处副研究员牟萍论文全文抄袭事件     以上。
重庆哪个大学的MPA最好？,15年考上重大mpa，给大家分享下。  正式备考之前，所有的考生肯定都会一头雾水，内心焦虑。当初对我来说主要是焦虑这几点   1.考什么，怎么考？   2.教材怎么选？   3.跟哪个老师，具体怎么跟？   4.要不要报考研班？   5.专业热不热门，通过率高不高？   6.我心仪的院校们的招生信息？ 其实还有许多别的大大小小的问题，但是这几个比较重要，就先从这几个说起。   可能有的人看到我的第一个问题都觉得好笑，这个还需要问吗？但是讲道理，首先我是跨考，其次作为第一次接触考研什么都不明白都很正常，反正当初第一个问题我都认认真真找了攻略贴的。（当时看了很多攻略贴，都有一种认为阅读者完全知道考什么的前提，一股脑发书籍名称，我是有点懵）   1.考什么，怎么考？   分两大科。一科是英语二，满分一百。一科是管理类联考，联考里面有三个科目，一个是初等数学满分75，一个是逻辑满分60，一科是写作满分65。一天内考完，上午考管理类联考，时长三个小时。下午英语也是三个小时。   2.教材怎么选？  教材的选择一定要循序渐进，从基础，到强化，到提高。按步骤来。有的人就觉得科目内容简单，一来就觉得先做题怎么，其实还是很看重基础的，基础不扎实就开始第一轮刷题基本就等于盲刷，基本也就等于没有用。有很多版本的教材基本就是一本囊括所有阶段。后期同系列又会出新书强化。现在市面上比较火的书有好几个系列分别来自不同的出版人。太奇、幂学、鑫全、老吕、新东方这些。我认为区别其实都不大，难度要看自己的目标要求，先把基础过一遍就知道自己适合哪样了。不着急一次性买完。我建议备考较早的话，太奇高分指南数学、逻辑、英语阅读理解就完全够用了。后期也比较了解就可以自己找补了。   3.跟哪个老师，具体怎么跟？   现在很有一些唯名师的风气，但是我的建议是，跟老师之前，如果有机会试听，一定要花时间去听一下，感受一下老师的风格、上课内容的安排。在太奇的时候我相当喜欢一位姓赵的数学老师，没什么大的名气，但是他的数学基础，只要有人问我我就会推荐，太扎实了。的确有很多巧解。但是一开始就是要牢牢的掌握好基础才行。有一位英语老师上课风格比较活跃，我不太喜欢，听不进去马上换了一位老师。所以一定要自己去感受。很多名师都开了微博，很容易找到。
在重庆大学校医院就医是一种怎样的体验？,这个学期因为长期熬夜风邪入体，罹患面神经炎，也就是俗称的面瘫。。。 出于对校医院的不信任一直在大学生医院就医，前前后后一共花了1500，后来听别人说校医院可以全额报销的那一刻我的内心是崩溃的( ﾟдﾟ)
如何评价重庆大学夏鸣风老师？,作为一颗从大二上模电（果断挂掉重修）到大二下数电再到大二下末的电子课程设计全部无一遗漏准确地抽中了夏爷爷的闪亮的星，我觉得我必须来回答一下这个问题。  怎么说呢，首先夏爷爷确实是一位完全敬业、专业的老师。其实大家稍微查一下资料会发现夏爷爷除了有高级工程师这个职称外，还具备许多专业研究背景。而从他这么大年纪还一年到头风雨无阻地去虎溪带学生这点，也可以看出他的敬业精神。  可为什么这样一个可以说是勤勤恳恳兢兢业业的老教师会让那么多学生抱有成见、甚至咬牙切齿口诛笔伐？ 在此并不想加入骂街的行列，只想客观地陈述一下我的亲身经历并由此得出一个较为客观的评价。毕竟这个问题是“如何评价重庆大学夏鸣风老师”而不是“你对重庆大学夏鸣风老师有什么成见”。  以下为我过去一年半内几次印象较为深刻的亲身经历：  大二上。第一次模电实验前，用了四个多小时把第一次实验说明上的所有文字、图一笔一划地抄在了实验报告外加两张A4纸上（有密集恐惧症的孩子请不要轻易想象那份报告完成后的样子）。拿去签字，夏爷爷用了大概两秒钟浏览了一下报告内容，一声不吭地签了字。最后发下来，良。  还是模电实验，要验收签字的一次。他指定了一个验收截止时间，我在那个时间前做出了波形和数据，一直举手，看不见。截止时间过了，夏爷爷还在检查另一个同学（夏爷爷检查的细致程度和耗时长度上过他课的人应该都有目共睹）。终于检查完了那个同学，抬起头看看时间说现在最后一个了，剩下的都超时不做检查。我又举手，然而他走向了同样在迫切举手的另一名同学。我看了眼好不容易出来的波形，默默关掉了示波器拔掉了导线。  最后一次模电大实验。去晚了一点，在1219最后一排的最左边两台实验机做实验。从头到尾连了三次线检查了好多遍连方波都出不来，头昏眼花的快急哭了。找夏爷爷换芯片，不换，求帮忙看电路，不看。最后叫来研究生助教，看了半天也没找出错误。终于给换了芯片。方波和三角波出来了，正弦波怎么也出不来。没时间了，找来夏爷爷说能不能看一下前两个波形的数据，他回答都没有直接走开了。心死如灰什么感觉你们知道么。 就此，模电实验光荣挂科。  大二下，数电大实验。实验前熬了好几次夜好不容易把仿真跑出来了。然而可能就是有选中坏仪器的体质，三个妹子一起一根一根地接了两次线，就是出不来结果。于是检查实验箱，发现有基座是坏的，而好的十四孔基座根本就不够用。前排的男生已经签了一个字正要做第二个实验，见状决定放弃第二个，把自己的线全部拔掉要我们用他们的实验箱。去讲台找夏爷爷说明情况，说我们可以证明基座坏了，请他来看一眼做个登记。他听完直接说不可以，再解释他就直接从我旁边走开了。剩我一个人站在讲台边，周围两组的同学看着我。能想象那种尴尬么。  最后电子课程设计又光荣地抽到了夏爷爷。（对，学弟学妹们，是抽签决定的，一切看人品。）两周的设计仿真时间内，通宵了两次，而提交时距电磁场考试只剩一个多星期。检查后又改了一次终于通过，开始焊电路。三个人，十几块芯片，几百个管脚，数不清的线。从早到晚地焊了四天整，其中两天焊到了凌晨三点。（作为参考：室友抽到了另一个老师的课题，他们的实物只用到两个芯片，而且两个组合作焊。作为两组中唯一女生的室友全程没有拿过焊枪，而他们组两个下午不到的时间就完工了）。最后出来了两个功能（要求是四个还是五个），而且还不完善。验收时夏爷爷直接在我们的实验报告上写上了“无功能”，然后给我们一个装次品的纸袋让我们把板子装进去。那感觉就像是亲手把自己半个月的时间扔进垃圾桶一样。  接下来到了最关键的一次经历，这个经历也是我认为最能体现夏爷爷吃力不讨好的原因所在的。 就紧接着上面的验收，下午四点半，其他老师都已验收完离开，我们开始答辩。（在这里，要得“良”及以上，你必须答辩。虽然夏爷爷一再说我们组评良基本没有希望，但我们还是硬着头皮申请了。） 为了不泄题，他把全部申请者赶到了实验室外，二十几个人，门外只有几张桌椅，大多数人都站着等。而答辩是在1219内的办公室内进行的，我至今不明白他为什么不让我们进实验室去等，那里有很多座位可供所有人坐下，还有光可供自习（那时候还没有考完大家复习都还挺紧张的）。 我们组顺序靠后一直等到了天黑，想吃饭又不敢走，而夏爷爷也一直没有吃饭。 到七点钟才有座位空出来坐下。当时为这事前前后后已经折腾两个多星期了，加上刚才验收时受的打击，本来大家就身心俱疲，再加上已经站着等了三个多小时，简直眼冒金星。而这一切只是为了一个可能是挂科的结果。等着等着觉得世界都灰暗了，那是我上大学来第一次委屈到崩溃痛哭，就在实验室外的天桥上。然后叫到我时已然八点多，眼睛都还红着就进去答辩了。答辩时种种更不在话下，总之我完全知道答案的问题最后评语写的也是“表述不清楚”。   我觉得把我的亲身经历总结起来就是，夏鸣风老师是一个吃力不讨好的人。 明明那么认真地备课上课，那么细致地检查电路，那么风雨无阻地跑虎溪，其他老师都下班几小时了一大把年纪还在饿着肚子举行答辩......可为什么把这些看在了眼里的我都还对他喜欢不起来呢？更不要提看不到这些的同学了。 看得出，他是一个有情怀和抱负的老师。想要学生自主学习，想要学生自己解决问题，想培养出优秀的学生，想彰显作为老重大人的尊严和个性。 所有出发点都是好的。  但是也许他没有意识到，并不是所有学生都是优秀，甚至愚笨之辈大有人在。也许对于优秀的那部分学生他的做法可以激发挑战欲从而达到预期效果，而剩下的、占绝大多数的不够优秀的学生，只能是心有余而力不足。对他们来说，一次言语上的鼓励、一番稍为详细的讲解，可能比一次仔仔细细的电路检查挑刺或是一餐因为工作而错过的晚餐有效的多。   另外，夏老师确实缺乏对学生的人格的尊重。为人师长，在知识和辈分上是高人一等，但对学生最起码的尊重和礼貌还是应该有的。比如在我的故事里，对我做实验时提出的请求可以稍微换位思考，实在不行可以用语言拒绝，而不是直接无视或当众走开，这是非常不礼貌的；在众多学生等待答辩时应该让大家有个坐的地方，到吃饭时间应该让剩下的学生先去吃饭，而不是为了防泄题把大家全部赶到实验室外站着，因害怕失去资格而饿着肚子等好几个小时，这让我们一点都感觉不到尊重和作为一个平等人的尊严，甚至有一瞬间让我后悔来了这所学校。还有由于他的态度以及诸如此类的事迹，很多同学实际上都因为害怕责骂而不敢当面提问。等等等等......此类种种看起来低情商的行为，只让我们不再能看见“恶面目”下的勤恳用心，而只感受到对他所教课程的恐惧和焦虑。   师者，所以传道授业解惑也。授业方在。可所传之道呢？应解之惑呢？  尼采说：“爱是一种能力。”爱的结果不是由施加者决定的，而是由承受者体会的。 夏爷爷应该不是讨厌大家，甚至也许是爱大家的。 但他似乎不具备这种能力。
如何看待国内四大交通大学以及重庆大学、电子科大等国内211大学和比利时鲁汶大学的2+2项目？,其实这个回答并不那么切题，这本来是一个“如何看待”式的问题，却被我回答成了一个科普贴。而且原始答案中，真正具有 科普精神的内容也不太多，有很多是自己的感受和经历罢了。希望2017年准备走这个项目的小伙伴看到这篇回答之后，批判的看待内容。况且本回答写于2015年11月，在经过两届之后，也许GroupT的招生计划有变，我已经跟不上时代了。谨此告知。  2016年9月，我参加了Erasmus+ Exchange交换项目，从GroupT来到了意大利的都灵理工大学(Politecnico di Torino)就读一个学期。从GroupT，你有机会去到很多欧洲学校去交换，去深入体会另一个富有特色的国度。虽然这些学校的排名相差很大，但是交换的一个学期，更多的是是体验文化差异、结交朋友、扩大人生体验的平台。这个学期很快就要结束了，已经过去的这三个半月中，我也体验到了许多离开了意大利可能很难了解的东西。  同样，也许在来GroupT之前，欧洲从来不是我的第一目标。如果不是机缘巧合，我可能不会对大陆最西的一个小国有这么多的了解这么多。如果不是GroupT，我可能永远都没有机会去看一场比利时乙级联赛的比赛，而且还是站在围栏外面的“免费站票”；可能永远不会在一个如此古老又现代的小城市——却又是大城市的鲁汶安安心心的生活如此长的时间；可能永远没有机会在这世界上对自行车最友好的国家之一用山地车探索异域风情；可能不会有这样一个据点，去德国、去法国、去荷兰以及那么多袖珍小国悠闲地闲逛，不用趁国内假期人山人海不用像战场一样一个一个景点拍完就窜；可能永远没有机会早上醒来想去卢森堡玩一玩就坐火车出国了，晚上再坐火车回来；可能不会在离大西洋几千米的河里体验到翻船的刺激与无奈；可能不会了解精酿啤酒到底有多么好喝，而不是心心念念地以为这些都是玄学。如果没有GroupT做平台，我可能永远都不会选择来意大利读半年书，不会开始尝试意式咖啡，开始对星巴克之流再也无感；不会深入了解意式披萨，开始对必胜客之类不再尝试。也正是因为GroupT，我才能够在这座城市里生活，去尝试那无穷多种啤酒甚至爱上它，甚至凭借这些拿到百威英博GMT管培生的Offer.  也许现在又有那么多小伙伴，在准备来到GroupT的路上犹豫不决。你们害怕很多，害怕申请美国的学校不那么方便，害怕学校挂科率太高，害怕生活费太高，害怕GroupT是原来合并的“技校”不够正宗，害怕老师不够好不能满足以后推荐信的规格，甚至在害怕越来越坏的欧洲政局以及恐怖袭击。其实，申请美国学校没那么难，它也许更靠的是你自己，而不是你换了一个地方容易与否；学校挂科率没有那么高，虽然有些课不简单；生活费没有那么高，甚至很多小伙伴在国内的消费已经超过了这儿学生的平均消费；学校和别处没有什么不同，请记住你来的时候是本科，你的课程，又能有多么特殊；是的，这儿的老师可能没有教授，但你的推荐信一定是他们认真亲手写的。至于欧洲政局与恐怖袭击，这确实是个令人头痛的问题，但是请记住，只要你要出国，那么你就需要考虑安全问题。不管你是想去欧洲大陆还是英国，还是枪支泛滥的美国，安全从来都是头等大事。  这学期9月15日到18日我在鲁汶，见到了许多学弟学妹，他们也有很多都看过我的这篇个人经验贴以及写了好久的《鲁汶生活指南》。这让我感觉非常开心——如果自己真的帮到你们的话。2017年要来的你们，希望你们能够抵达自己最喜欢的地方，无论是不是鲁汶，无论是不是GroupT。当2017年9月你们来到鲁汶的时候，我可能已经回到上海工作了。就算不能相见，也希望作为校友，让互帮互助接力下去吧。  谢谢各位。 7th Jan， 2017 ———————————————————————————————————— 【20160728重大更新】 历时半年，总结了自身的回忆和同学们的经历，我把进入鲁汶之后的一些基本情况写成了 《鲁汶新生生活指南》 ，通过一些渠道传递给各位即将到达鲁汶的新生。希望对大家有所帮助。 下载连接在这儿：  http://  pan.baidu.com/s/1bLK0Bs      。 ———————————————————————————————————— 【20160319更新】 （内容有更新，更新了本科结束之后的常见去向）   鉴于本答案受到许多对本项目有兴趣的学弟学妹的关注，我把最新的情况和一些本项目的细节再次整理更新，以求更加全面。另外，最近考试过后我制作的GroupT新生指南也差不多完成了，等你们来了可以当做参考喔！   同学们，以下是KUL GroupT 2016年2+2项目面试地点与时间： 3月21日19点西南交大犀浦校区； 3月22日19:00 电子科大清水河校区品学楼C104； 3月23日19:00 重庆大学虎溪校区D1310； 3月24日19:00 浙工大； 3月28日19:00 北交大； 3月29日19:00 天大新校区。 据悉， 上海交大在本项目上仍然在与GroupT沟通，不过看形势似乎不那么乐观。 天津大学 增加一个宏志奖学金名额。  ==================== 20160301更新（内容有更新） 据学弟学妹称，鲁汶GroupT的项目目前在上海交大还没有开始招生。对比其他几所学校的招生进程以及上海交大的信息主页，基本可以断定今年没有这个项目了。。。也就是说我们不会有直系学弟了。。 ==================== 我觉得，我需要给出这个项目的一些细节。   1.客观事实上说。          首先，GroupT和荷语天主教鲁汶大学（KUL），是有一定区别的。GroupT在2013年之前是独立的一所学校（及时百度上搜的时候告诉你的所谓的技术学校），与KUL并不是同一所，只不过是在鲁汶的联合大学圈里。2013年并入KUL，自此，毕业证发的是KUL的，理论上说算鲁汶大学正经的学院了。但是这改不了其前身给国内同学留下的印象，虽然说欧洲的技校和国内的完全不是一个概念。我们的信号与系统书上写的仍然是GroupT Leuven Engineering School，也就是GroupT鲁汶工程科技学校，但是其口碑在工程学校中还是挺有名的（没有数据，有的话再更）。       在鲁汶大学目前的编制里（见 Faculties， departments and schools   ）有两个Faculties 名字差不多：Faculty of Engineering Technology （ Faculty of Engineering Technology   ）和Faculty of Engineering Science（ Faculty of Engineering Science   ），工程科技学院（GroupT）和工程科学学院（正统KUL学院）。这说明，还是可以通过很明显的方式分辨GroupT和原KUL的差别的。        其次，鲁汶大学2+2项目在 上海交大 的认可度比较低（别的学校怎么样不很清楚，但是从GroupT收人的条件来讲还是很宽泛的）。绝大多数人留学首选地是美国，特别是交大这种工科优势学校，每年给美帝和德国输送一大批人。相比之下GroupT的2+2门槛低，学校并不如美帝的出名（就开设GroupT2+2的我们学院来看，美帝的学校有卡耐基梅隆、宾大、普渡大学、辛辛那提等，法国有高矿等，德国有卡尔斯鲁厄），因此GroupT成不了首选。另外，交大的排名年年上升，虽然和鲁汶还有一定的差距（大概50名的距离），但是也没有太大差别，选择去GroupT需要有一定的选择。   2.主观上说。         由于本项目在三所交大以及电子科大每个学校设置了一个全额奖学金的名额（免学费，每月补贴），一定情况下影响了学生的意愿。往年上海交大每年只有一个人来GroupT，当然就是那个带奖学金的啦。就我所知成绩大都不错比如全院前十拿国奖过来的（忽略我，排名30%的渣），来了也变成学霸了（当初交大的大学霸换个地方还跟中国人竞争一般都不会太差吧。。）目前我所知，我的上上届和上上上届的学长都是继续在GroupT读的1年的Master，当然上上上届今年下半年刚刚毕业回国，具体在哪工作没有问过。我目前也是觉得继续1年Master是性价比比较高的选择，而且奖学金继续供应。       关于留学扩展经验嘛，这个要看人了，不是所有人都有这样的想法，因为有些人在国内活的如鱼得水，之前在交大我和许多许多成绩大牛的学长交流过，大多是国内环境给了他们很大的优势，所以也就没有必要出去了。  @刘小莹 这位答主的话还是很好的，哈哈，我当时问别人也是给我差不多的回答，最后自己决定来了。。其实不仅仅是英语，如果努力一些的话，还会获得 荷兰语 这个近乎bug的技能。   3.课程难度反思         从学长哪里来的信息有多种，大都说课程很难，至少想如国内那般水过去是不可能的，至少见过重修四次的人（重修三次就不能正常毕业了大概）。另外某大学的小伙伴称，他的学校来的的学长学姐目前没有一个人是正常毕业的。这促使我们每天好好学习。。至少我是的，有一种内在的恐惧和动力，不再像在国内考前突击八九十分就笑口常开了。是个好事。PS.这的分数是20满分。   4.以后申请其他学校？   在GroupT的基础上申请其他学校是完全可行的。优势在于你的口语能力，以及欧美对于欧洲学校成绩的高认可度（相比较国内大学的成绩，欧洲学校的成绩更具有说服力）。缺点在于，你的后两年不会像在国内那样找到导师、进实验室、做课题带项目积累经验，而更多的是耗费在课程上面。因此可以断言，申请Ph.D相对难一些。 往届学长学姐可以分为以下几类。   成绩合格/优秀，申请其他国家高校。几届之前有一对学长学姐（90%以上，也就是18分+，这个成绩无论在哪里都是很惊人的）分别去了卡梅（ Homepage -     CMU   ）和西北大学（ Northwestern University   ，不是西安的那个） 。当然我的上一届也有一些人申请了，目前结果尚未出。  成绩合格/优秀，继续留在GroupT就读master。有一些学长学姐继续留在GroupT读硕士。时间为一年，上学期上课，下学期去企业做项目完成学位。  因本科课程未完全通过，继续读硕以完成所有本科课程。  硕士毕业之后，又有三种常见选择：留比工作，回国工作，继续读硕——申请KUL工学院（Campus Arenburg）的Advanced Master。    5.如果我比较喜欢浪，那么还有什么刺激一点的吗？   好的，如果你行舟不用桨，划船不靠风向，你的一生，全靠浪的话，那么GroupT，或者说，KU Leuven， 给你准备了exchange programs供你选择。详情我再补充，先给你们个网站有兴趣自己找找玩吧~ Exchange Programs    今天先到这里，准备考试去了。。。毕竟上个学期的成绩都不能看=。=
重庆大学本科的经济学专业怎么样？,首先，匿了吧。 利益相关，我公管学院的，我们学校经济学在公管学院。 作为一个公管专业的学生，我建议你，别来公管。实在对经济学感兴趣去隔壁经管上个相关专业吧。不然你在公管呆不到一年就要对大学生活崩溃了。 首先，就是公管学院在虎溪有个特别变态特别势力一手遮天的某中年妇女辅导员，不过你如果进来的话你这届应该很幸运碰不到，但是很可惜，你们辅导员也会在她的淫威之下不敢说话。我真是活生生被她弄的刚来大学就对大学生活彻底失望了。我从来没见过一个人，势利和贪婪活生生写脸上的。美其名曰教育学生学会做人，呵呵，不知道她字典里学会做人是啥意思。她成功教育出一群马屁精成天围着她转，那个谄媚样我都不忍心看。别的学院都知道我们学院有个变态辅导员，问问虎溪一个学生，谁不知道某妈。 大一大二所谓的集体活动多到让人崩溃，周末基本没有自由时间，老是搞个幺蛾子，比赛要求所有人必须到场参观，还签字，从外面拉开什么卖课的卖书的打着开讲座的名义，让所有人必须去，也是点名签字。 以上，我真是憋了两年的一口恶气。 最后，欢迎来重庆大学。我真的很喜欢重庆大学，我们学院几个老师都很有学识，幽默风趣，近年来还引进了几个青年才俊。但是都是某一个人把公管学院当做她的地盘，把公管搞得乱七八糟。听说经济学曾有一度要并到经管学院。我只想说，经管学院领导请你们不要怂，快把经济学带走吧，不然经济学就完蛋了。哪个学校经济与管理学院没有经济学，经济学在公共管理学院的？ 以及麻烦学校快让某妈退休得了，退休之前记得查查她贪污国家助学金的事。 为什么匿呢？因为这个辅导员，看见别人说什么对她不利的事情，都要查个彻底，把人揪出来。我实在是怕的很呐。
