中南财经政法大学还是四川大学？,谢邀，川大毫无悬念。  其一，985的光环远远比你想象的要重要，能去985就绝对不要去211。其二，中南财大的名气出了武汉没几个人知道，而川大再低调也是全国知名。其三，中南财大的法学在全国早就远远排不到一流了，五院四系都是当年往事了，学法应该去清北复交，或者武大厦大这种。其四，川大我不是很了解，但中南财大的官僚作风绝对可以把五成学生恶心吐。  综上，选川大吧。祝好。
在那起杀人案之前，中南大学是不是知名度特别低？, 他，为何自杀？   文/严鼎   近段时间，某大学的研究生“因毕业答辩未通过”而选择跳楼自杀，在社会上引起了巨大的轰动，反应最强烈的，莫过于该校的学生了。我每次经过跳楼地点——该校的图书馆——时，都会有学生三五成群，既害怕又好奇地指着六楼的某处：“就是在那里跳的”。而该研究生的家人到校闹事，更是引起众多学生围观和好奇。生命的陨落，在任何年代都是不容小觑的严肃话题，对于当下的我们，又应该如何来面对？其实，不妨从他为何要自杀开始。   我仔细将该研究生在自杀前写下的五千字遗书读了两遍，大抵可以读出这样三个原因：毕业延期，面临重修；导师刁难，另眼对待；造假盛行，学术腐败。他是在自己毕业答辩未通过后第三天自杀的，大有以跳楼自杀来宣泄不满、打击报复之意，并声称：你（指他的论文导师）要我留，我就长留，我会经常去机电院和图书馆逛逛的。   人们盛传的自杀原因大多来源于这份遗书。从这当中，我大致做如下深入分析。   该研究生姓姜，生于1987年，来自河南农村。自幼家中贫寒，父母皆不识字，父亲早年便已去世，剩下姜与其母亲相依为命。2006年以高分考取武汉科技大学，大学期间所有学费都靠贷款。大学毕业后，他在武汉某公司工作三年还清了贷款，并于2012年考取了目前的研究生，今年恰好是其毕业、重新步入社会的时候。   从这段生平中，我至少读出了这样几层意思：   一，1987年出生，现年已有28岁，与同村的、大学同班的同龄人比，别人估计多是为人父母了，事业也多已稳定、甚至小有成就，即便与研究生同门相比，也显得格外大龄，他正是处在一段尴尬的年龄。从各种资料中都未曾谈到他有女朋友，这更加加重了他内心的焦灼感。这属于自杀理论中的“相对剥夺”，属于自杀诱因之一。   二，注意他高考所在的省份——河南省，是全国知名的高考大省，也被许多人冠以“录取不公平”、“高考难度巨大”的省份，不可否认，在河南省参加高考，无疑要付出巨大的代价。而武汉科技大学属于全国一本高校，能够考取，也算不易。姜大学毕业距2012年考取研究生，也不过两年时间，而他却在武汉某公司工作三年，也就意味着，他在毕业前即在该公司上班，直到考取研究生。而考研所必需的高强度复习，都是在他工作时完成的，那时候，他还背负着还贷款的压力。他所承担的压力和苦闷，从中可见一斑。我们还可以看出，他对于研究生的前途和价值，该有多么巨大的期待。之前累计了那么多的委屈和辛劳，全都被换算为研究生毕业后的美好前景。正当他满怀期待时，突然被告知无法毕业，那么，之前的所有苦难，都将以被放大的姿态重新喷薄以致淤塞，其后果可想而知。这在自杀的扭力理论中被称为“愿望与现实之间的冲突”。   三，他出身农村，上学又背负外债，在成长的过程中还缺乏父亲的陪伴与指导，母亲担负着家中的巨大压力，可能也无法分出太多时间来关注他的整个成长和心理健康。可想而知，当他遇到困难和挫折时，早已经习惯于自己解决或默默承受，甚至有可能，他在整个成长过程中，因为遭遇太多的“不公平”，心中早已经淤积了太多的埋怨、怨恨乃至报复情绪。他的遗书中多处提及导师让同门安慰他，以免他跳楼轻生，也可以看出，他不会是那种性格开朗、凡事想得开的人，否则不会总让人担忧其跳楼。在自杀理论中，这被称为“应对危机技能的缺乏”。   四，姜的28年人生道路，就是一部自力更生的奋斗史，在他的人生观里，没有奋斗换不来的东西，他也接受并坚信只要自己努力，就一定可以获得相应的回报。然而，当他发现研究生论文的大量造假行为（仅是他一方叙述，真实度有待考查），当他发现自己无论如何努力都无法博得导师的青睐，当他发现同门的投机取巧和抄袭剽窃反倒赢得赞扬和荣誉，他心中的价值体系足以土崩瓦解。更加悲剧的是，他无法为这样的行为找到一种合理的解释。翻遍自己的人生辞典，都找不到一个合理安放的位置，即解构的价值体系无从及时重构，但人要生存就必须拿出一套价值体系来应对，他无从解释，便只好匆匆嫁接一套解释来，即他所谓的“不喜欢我”和“势利眼”。暂且不去谈论这种看法是否真实，单就这偏激和简陋的解释来看，就足以说明，他对此并未做深入的思考，是自己心急火燎时臆测的结果。价值体系坍塌时，对于自己以往认为对的事情都会产生怀疑，内心极度地混乱，以至于生发极端的情绪来。这在自杀理论中被称为“不同价值观的冲突”。   针对第四点，也可以从不同的自杀理论来解释。迪尔凯姆在其著名的《自杀论》中写道，社会道德规范最重要的功能在于给社会成员指明生活方向，因此，一旦规范松弛就意味着削弱了对个人欲望的限制，就会导致欲望的膨胀。不切实际的欲望得不到满足，经常遭受失望和挫折的打击，生活也丧失了目的和意义，人们心中充满了悲观和否定情绪，无法面对各种失望和挫折的打击，会倾向于自杀。这与上文是类似的意思。   与很多人的想法不同，自杀行为几乎很少会是由一个单纯的诱因引发的，《全国性心理解剖研究》报告指出，自杀仅发生在众多因素中的几个因素同时存在时。也就是说，姜的自杀，几乎不能单纯地归因于毕业答辩未通过这一个理由。经过上面的分析，我已经给出了他至少四个自杀的诱因。所以说， 对于任何一次复杂的人性考量，我们如果简单地下一个定论或给出简单粗暴的价值判断，是多么地不负责任并且有失道义。    一个生命就此逝去，不该成为我们茶余饭后闲谈时的话题，而应当从中检索对于生命、对于自身的反思。如何避免这类事情的再度发生，才是我们真正应当不遗余力的严肃课题。   从个体的角度，我给出了四个解释。当然，根据简单的几句生平而做的分析，多少有些莽撞和粗陋，但逝者已去，我也只好做此估测了。下面，我再从社会层面做一些分析。   我之所以不赞成反复讨论并逐渐像八卦一般疯传的原因，是因为一个名词叫“ 自杀潮流 ”。雷蒙•阿隆在《社会学主要思潮》一书中提出了这个名词，并解释为：社会本身与个人是不同质的。有些力量和现象的支柱是集体，而不是个人的相加。由全部个人组成的总体使现象或力量得以产生，而这些现象或力量只能由集体加以说明。有一些特定的社会现象支配着个人现象。最令人震惊、最有说服力的就是社会潮流这一例子。社会潮流将个人引向死亡，每个人都认为只服从他自己，而其实他自己只不过是集体力量的玩物。杰里米•里夫金和特德•霍华德在《熵——一种新的世界观》中也认为：某一社会特定世界观最引人入胜之处，莫过于这一世界观的信奉者多半不能察觉到这种世界观是如何影响他们的行为以及他们对周围世界的认识。一种世界观的成效在于它从人们孩提时代起就对他们潜移默化，从而达到不言而喻的程度。   这些理论性的句子太过生涩，我不妨举个例子。这里有一个很原始的问题：当姜同学遇到挫折时，他为何会想到了死？这个问题好像不难回答，却很难给出令人信服的答案。也许，这种看似“自然而然”的思考，是整个社会给出的一种思维暗示。在现代人眼里，日本的武士道精神是多么的荒谬和不可理喻，可它却深深地影响着历代日本人。当日本人做出了有辱家族或国家的行为，他会毫不犹豫地选择剖腹自尽，而不是替自己寻找借口以苟且。整个民族都默许甚至宣扬这种文化，个体在遇到类似问题时，第一个冲进脑海的想法，自然就是自杀。据权威统计，近些年，日本是工业国家中自杀率最高的国家。当然，这是极端的案例，但从中可以看出，社会的隐性惯力有多么可怕。当媒体、新闻中不时播报自杀的案例，并对自杀者报以惋惜和同情时，渐渐地，人们就会不自觉将自杀列入面对问题时的态度备选项。   第一个跳楼自杀的人，在跳楼前会面临种种的心理折磨，诸如道德谴责之类的，他的压力无疑是最大的；但轮到第二个产生自杀想法的人时，他的行为就不自觉有了一个参照系，他不必再去承担巨大的道德谴责，因为已经有人帮他背负了，他内心对于自杀的拉扯就会变得微弱；至于再往后的人们，他们已经不必再去考虑道德谴责的问题，反而在一切希望都化为泡影时，死亡倒成了一个“不错的选择”。   所以， 维持一个自杀的敏感环境，并对于任何自杀行为都报以最激烈的谴责和鄙夷，该是多么地重要！ 我们应当同情的，是他的父母，他的家人，而不是他自己。无论他承受了多么大的委屈和不公平待遇，他既然选择了自杀，就天然不被同情，再正义的理由都不值得被尊重。   从社会角度来看，还有一个重要的关注点叫“ 社会支持 ”。据腾讯网报道，姜同学自杀当天上午，还给母亲打了电话，“但当时妈妈有事出门了，没接到这个电话”。“如果接了这个电话，如果我们平时多和他交流，如果他可以跟我们说说他的烦恼与痛苦，也许就不会走到这一步。”姜的哥哥如是说。   这又给我们很多的思考。我们都愿意设想一种结果，就是妈妈接到了他的电话，对他嘘寒问暖，轻声细语地提醒他注意身体，让他知道，这个世界上不都是寒冰和沙漠，还有一处温暖的港湾，还有一群家人在他背后默默地关怀并支持着他，无疑会给予他更多的动力和活下去的勇气。   我们还可以设想，如果这个电话在前一天打过去呢？如果以每周一个、甚至每天一个的频率打过去呢？我想，就不会有悲剧的发生了。人的一生，不可能事事都能凭借自己的力量去完成，也不可能全部靠自己渡过所有难关。如果他和家人能多些交流，如果他对同学能少些猜忌，如果他和老师能平心静气地谈一谈，我相信，他不会认为世界是丑陋的，他甚至不会受到所谓“不公平”的对待。   但是，再多的“如果”也挽不回冰冷残酷的现实。我们能做的，唯有好好活下去，并劝勉身边的每一个人，好好活下去。   唯此，才是对姜同学这个生命的陨落，最好的祭奠与反思。   严鼎（微信号：yanding_xdf）   2015年5月24日 
说说中南大学有多黑？,中南大学是一个比较大的学校，学院与学院之间差别比较大。有管理不错的学院，也有很垃圾的学院。建筑与艺术学院真的比较垃圾，从教学质量到行政管理，都特别混乱！正是因为混乱，浑水摸鱼的也可以如鱼得水……点到为止，希望别被谐合了。
中南财经政法大学考研？,行管专业在公共管理学院，每年招收人数蛮多的，但是分数看起来虚高（都是简简单单的专业课在作怪），所以有想法直接上！
湖南大学和中南大学纠结中。？, 看看 如何看待湖南大学学生抱怨大学考试多得像高中？ 中的后半段：   都是半斤对八两半桶水夜郎自大的主。    都比武大东南之类的差，没什么好纠结的。   1、一定要学好英语，一定要多学英语，eecs一定要多刷成绩GPA保持3以上考托福本科直接申美博，国内读完硕士申美博是浪费3年时间。  2、核心课程一定要反复刷分，尽量完全消化核心课程。可能你工作后从事技术工作，一辈子都在消化这些你本应该大学掌握的核心课程。 
如何准备中南大学综合测评？,不知道是不是同是16届面试生，说点自己的理解我们一起加油吧=￣ω￣= 首先，学姐说精髓就是不要紧张不要紧张不要紧张。当然有些人也说不要愤青不要反社会，但如果这个还要提醒的话……额… 其次，很多人觉得他的问题根本是脑筋急转弯，但私以为并不是，就像我被问到的那个关于纬度和肤色的关系，除了大开脑洞说些人种历史的道理，还要地理和生物的知识综合回答。 但是就是无论什么问题都要体现出你的思维层次，你思考的过程要清晰，不能自相矛盾不说，由表及里，由浅入深总是需要的。还有如果可以多角度多方面可能会更被欣赏。 接下来就就是礼仪啦，不能冷场啦，肢体眼神交流啦这些小事啦～ 谢谢
中南林业科技大学风景园林研究生怎么样，导师水平怎么样？,在非985 211的学校里这个专业排名还能看吧
如何看待中南大学研究生被导师逼跳楼身亡事件？,自己都愿意去死了，为什么不带导师一起走。  写这些控诉书有什么用，你那导师还不是活的很滋润。
想听听在中南大学读软件工程研究生的感受？,泻药……第一次被邀有点激动 但是还是懵懵的 我是本科生呀 好的吧 中南大学软件工程专业取消学硕了 不过还有专硕可以选择啦 研究生这个完全看能力啊 见过本校保研超级厉害的研究生学长 也见过从不知名学校考上的某学长 说啥都不会也不太好 但是最起码之前社团和研学会沟通的时候真的挺醉的…… 题主如果想考中南的研 建议还是提升自己在首先，然后就是找个好老师！一定要找个好老师啊啊啊啊啊！ 只有自己有能力老师才会重视你的呀 否则你的导师总是喜欢找本科生做项目不管你也不开心的对吧 而且资源肯定主要是给本科就是中南软院的学生的，毕竟本科就是自己的学生，偏心也肯定的啦 所以感觉外校考来的就得超优秀才能和本校保研学生差不多吧 （其实讲真，目前没听说过哪个外校考研很牛的学长学姐，厉害的都是本校的） 考研也不容易，大家肯定都希望三年可以有所收获 但是研究生这种吧，还是挺势力的，没有能力咋可能有所收获  我也不太懂，反正了解到的也就这么多 但是吧，如果能去计科还是别来软院 真心话，嗯……
如何评价中南大学实行「上课刷脸签到」模式？,出发点是好的，不过依旧是治标不治本。 学校这几年一直在努力抓本科生的到课率。 每隔一段时间，或是学校或是学院，更多的是年级班级总会提出一些千奇百怪的防治翘课措施，比如设立严格的请假制度（很麻烦的事情，有时候生病了也懒得去请假），要求授课老师考勤并且期末提交考勤表，各学院组织熄灯活动以保证大家充足的睡眠，还有什么课前收手机，在课桌上摆姓名牌，辅导员督课，用综测成绩集体加分来威逼利诱等等……无奈这些手段收效不明显，学校只能祭出大杀器:刷脸签到。 学校为了让这群孩子去上课真是煞费苦心了。 看着煞费苦心的学校，我也不好意思说懒政这两个字了。当然，这件事情的出发点是很好的。想让本科生成绩提高，多学点东西，少挂几个人，最简单有效的方法就是抓到课率。 然而这种做法却总会激起大家的不满情绪。除了被强迫的感觉让人有几分埋怨之外，一部分人不满于这种粗暴的方式对自己的时间规划产生糟糕的影响。打个比方，同一门课，我不喜欢听老师a的课而喜欢听老师b的课，但是课表规定要我上老师a的课，之前可以翘掉a课去听b讲课，如今是否即使已经听过b讲课，却还要我在a的课堂上签到刷脸？对考研的同学是否会造成前所未有的干扰？  到课不是为了签到。 为了签到而到课应该是毫无意义的。 我一直觉得，只去签个到，那就不如不去了，毕竟从升华到新校来回路上要花半个小时呢。  下面来点吐槽，我觉得分校区给了学生不小的阻碍，其中最大的限制，似乎就是新校区不能让低年级的同学们知道和了解，自己的未来是什么样子的，自己要在未来面对些什么，我需要为未来做哪些准备。对于大部分专业来说，招聘会在老校区召开，学长学姐们都在老校区复习，就连本专业的老师基本都只待在另外的校区。大部分人在毫无紧张感和压力的环境里，会懈怠，会懒，就会想翘课。 多给大家些真切的危机感，指导大家如何面对艰难的未来，大概会比安装刷脸机更有意义。 不要等到高年级后，只觉自己之前的大学生活像是假的，想改变却积重难返。
