中国传媒大学录音工程系到底算艺术专业还是文化专业。如果属于艺术那么我该需要准备些什么呢？求学长或行家？,艺术专业 会考视唱练耳和才艺 去年没考乐理 但是之前有考过 保险起见还是准备一下 校考前要通过省音乐联考 内容同上
想问一下 除了考研和第二学位 在校大学生还有其他方法去中国传媒大学念书吗？,你好，请访问中国传媒大学教务处官网了解广播电视编导对外辅修班的相关事宜。
非艺术文科考生想考中国传媒大学大概要达到多少分？,谢邀… 我还是不太明白题主的很想上中传却没有太喜欢的专业是什么意思
很多人说中国传媒大学动画专业的研究生比不上本科生是真的吗?,事实就是如此。研究生大多目的是想留校，或者就是混个文凭，其实学不到什么高端的东西，高端的东西都在行业里。而且许多研究生的本科读的不是动画，是别的专业考进我们学院的动画研究生，能力自然和本科是动画的差老远了。而且这句话不仅适合我们学院，同样适合北影及中国各大美院。
中国传媒大学南广学院的文艺编导专业和安徽黄山学院的广播电视编导的专业哪一个更好？,不要来。 答主就是黄山学院广播电视编导专业的，可以的话，去其它大城市吧。 首先，黄山这个城市不行，圈子太小，机会很少，吃喝玩都不行。你要是旅游的话，偶尔来玩个三五天也是不错，长久呆在这不建议。 关键是学校实力真的不行，师资力量可以说很水！专业教师团队基本都是刚毕业没多久的研究生，能力见识都不够，个别老师还都忙着自己的私人业务，心思都不在教学上！唯一拿的出手的是那个号称800万的演播厅！ 在广播电视编导专业方面，省内的安广（大专）都可以吊打黄山学院几条街！！ 黄山学院几个拿的出手的本专业学生基本都是自己学、自己玩的，不是学校教的！！ 匿了。
中国传媒大学？,握握手
有没有人在中国传媒大学凤凰学院婚礼学院培训过 评价一下？,请问你去学习过吗，我也再考虑中呢，期待你的回复，万分感谢
中国传媒大学的数字媒体艺术专业招收没有美术基础的理科生么？,当然要招，我们班绝大多数人都没有美术基础。 之前写的答案可以看一下   http://www.  zhihu.com/question/4890  0464/answer/113224123    
中国传媒大学的游戏设计的校考需要做什么准备？,需要放弃，千万别来传媒游戏
求中国传媒大学18考研参考书推荐？所有推荐的参考书都必买吗？,你都没说你是什么专业，既然是推荐的参考书目，那就看你自己咯
我就读中文系，希望未来从事时尚传媒。考研是选择中山大学的中文系还是中国传媒大学的编辑出版呢？,个人觉得看你以后打算在哪里发展吧。还有，你是哪里的人？  如果你以后打算在南方发展，想去南方报业之类的，那选中大当然是更好的选择。  如果你是北方人，或者，你对我们的帝都恋恋不忘，以后想在京城，那还是考北京的学校吧
一个普通二本院校想考中国传媒大学，有希望吗？,要交光盘，你可以去微信公号上搜一下大家交的作品都是啥样子，自己的自然条件能不能达到…
中国传媒大学的播音系身高要求非常严格吗？,谢邀。。。 然而邀请一个身高170+、声音条件和教育背景都和播音专业扯不上任何关系的人来回答这道问题，注定是得不到你想要答案的。。。  要么，我们聊聊雅思托福留学申请？ 
