如何评价中央财经大学教授肖海林？,谢邀。 首先，我们来谈一谈肖老师主编的《企业战略管理——理论、要径和工具》这本书：    优点：    1、学术性强： 参考文献共92条，可以看出肖老师在考据上还是下了很大功夫的；通篇有某某认为构成，增强了权威性；介绍的战略管理工具没有错误。   2、全书逻辑清晰： 按照从战略分析、战略选择到战略执行的逻辑写书，颇有逻辑；但所有的战略管理教材大抵如此，算不得肖老师的功劳。   缺点：    1、不断重复，略显啰嗦： 很多的定义表达得很绕口、令人迷乱，然后又常有“换句话说”、“具体而言”等进行反复解释，经常显得很啰嗦。可能是想先拿八股文把你敲懵，然后再用白话给你反复解释，以达到让你怀疑自己智商、从而立志发奋读书的目的？  P247 跨国战略是在全球激烈竞争的情况下，形成以经验为基础的成本效益与区位效益，兼顾当地的市场响应与全球整合的需求，转移企业内的核心竞争力。具体而言，跨国战略的做法是，当企业在一个国家的经营中开发特定的产品，能够满足当地需求，同时又能推广到别的国家，这是企业即以该国子公司作为该产品全球经营者。母公司与子公司、子公司与子公司之间的关系是双向的。  2、定义矛盾： 按下面这个逻辑讲，我们是不是可以通过检验每一道题对总成绩的影响来获得分数呢？敲黑板，“来，同学们和我念，第一题，五分！...”，诵经一遍，不落一笔，满分到手？  P118 价值链分析（VCA）要研究的是一家公司如何通过检验每一项活动对顾客价值的贡献来创造顾客价值。   3、常识性错误： 高中数学反复强调第Ⅰ、Ⅱ、Ⅲ、Ⅳ象限是顺时针排列的，于是大学你给我看这个？说你这张图是援引自谁的文章，我们帮你去抽丫。  P124    4、废话太多： 不知道是因为肖老师自己的权威性不够，还是出版社的要求，抑或是除了我这种不喜学术的同学之外很多同学都喜欢这种又长又臭的文绉绉的引用。一本书，34块大洋，多半本书在告诉我某某怎么认为...我就觉得是废话了，我又不能像念咒一样念出“某某说”就解决问题，你写那么多，最后还不是把大家的定义整合一下作为标准答案嘛。根据奥卡姆剃刀原则，“如无必要，无增实体”，少扯名实之辩，多扯点实用的干货是我对每一本自诩商科教科书的书籍的期望。  P39 广义的愿景概念：法米诺斯认为...胡佛认为...汤普森等认为...科特认为...柯林斯和波拉斯认为...希尔和琼斯认为...狭义的愿景概念：徐二明认为...黄旭认为...黎群认为...   建议考试用书《企业战略管理——理论、要径和工具》肖海林 主编  建议学习用书《战略管理：概念与案例》弗雷德·R·戴维 著     然后我们来吐槽一下肖老师的课堂： “肖老师是个很有想法的老师。”   1、某一次布置作业，肖老师问了，迈克尔·波特的三种基本的战略类型——成本领先战略、差异化战略和集中战略能很好地解释这个案例么？然后下一次课时，肖老师果然把迈克尔·波特给否了，“波特的那一套恐怕已经过时了...”当时觉得好牛掰，我的老师居然把哈佛的三位大学教授之一的战略管理之父给否了。然后我就一直认真听肖老师讲这段...然后并没说为啥过时、也没说自己有啥新的想法...嗯，很强势，很粗暴。  2、经常课上，老师与同学就一个问题展开讨论。老师是比较开明的，但是对于自己的观点拥有异常的固执。同学从三个方面反驳他，他只是把最开始的观点换了种方式又给表达了出来。这时，我想起了努尔哈赤的名言“凭尔几路来，我只一路去”，可以这战略很强势。  而作为敌对的一方，后金的总指挥努尔哈赤说：“凭尔几路来，我只一路去”，就是说不管你明朝来多少人马，我都不会去一一应对，而是集中优势兵力，进攻你一路，以消灭敌人有生力量为主。其实，努尔哈赤说这话的时候，未必胜券在握，他作为较弱的一方，也只能用这种方法来迎敌，计谋其实也是逼出来的。                                                                              ——《明朝那些事儿》   3、肖老师经常在课堂上吹嘘自己曾经给国家电网客服中心做过项目，把“大”咨询公司埃森哲给比下去了。据某学姐说，肖老师曾把项目的一部分当成作业留给班里同学做...嗯，反正埃森哲这种“大”咨询公司，我财本科毕业也勉强努努力可以进入的。肖老师带着一波免费的渴求成绩的大三同学做项目，算不得以弱胜强，只得算与埃森哲项目组两军对垒吧，更确切地说数量上应该算是以多战少，时间上以长打短。不值得反复吹嘘。  4、肖老师上课举什么什么地板、装修公司的例子就不吐槽了。上课讲反复讲张瑞敏砸冰箱一类的陈旧案例也不吐槽了。  最后，我们应该清楚的认识到，在中财这个“一流的生源、二流的基础设施、三流的师资队伍”里遇到肖老师这样的老师一点也不奇怪；另外，评价人物不要忘了联系其历史背景，在肖老师那一代人里，肖老师应该算比较有商学素养的，否则不可能熬到教授。尽管现在看来比班主任老师、荣昌敬爱的李老师显得学术能力不足，商业思维跟不上潮流，案例比较陈旧。但是，我们应该认识到，现在社会上身居高位或身价上亿的很多人恰恰是像肖老师一般的人才，这样的现象是历史的结果。我辈青年人应该平心静气，接受事实，并且相信这个现状会随着知识经济的到来、人民文化水平的提高、师资队伍的更新换代逐步解决的。我们也要吸取经验教训，不圉于既往知识和自我陶醉的情怀，现在，我们是新的、适应时代的、潮流的，总有一天我们会变成旧的、腐朽的、终将被淘汰的，到那时我们更多的是以开放的心态接受这一事实，并且努力与年轻人保持交流，给予他们人生经验，向他们学习新的，服务于他们。  
怎样评价中央财经大学的财政学？,题主指的是财税学院的专业，还是财政学这门课？
中央财经大学毕业生可能去顶级咨询或投行吗？需要做哪些准备呢？,可能。 先有一个亿的身价然后去投简历。
2018中央财经大学应用心理学专硕 想问问过来人复习资料从哪找 有没有专业课教学视频！？, 你好同学，资料可以直接给的有个真题分析：      模拟题是pdf的，可以私信我邮箱给你发~~ 
在中央财经大学找女朋友有多难？,隔壁沙航的表示我们都没提这个问题你们急什么
中央财经大学和西南财经大学如何选择？,其实几个211财经的学术水平都是一个档次的，博士点分布也都基本一样，2015年博士招生人数几个学校也都相差无几。上财央财还有西财在科研方面要突出一些，但总体也半斤八两各有所长，上财强在统计计量，央财强在宏观政策，西财强在微观研究。中南财亮点不是那么多，外经贸因为学科设置和历史原因重实践不太重视学术。东财虽然和以上几所学校近似，但是非211劣势暂时不提了。  差别就在地理位置上，还有两财一贸的生源更好，接触的同学逼格比中南财和西财高，老师在京沪相应信息也多，给的机会也多，一线城市实习、就业机会多，高校交流多。 一线城市还有一个好处便是认清自己，毕竟两财一贸在各自城市都不是tier-1，上财觉得自己比央财外经贸更优越一些是因为上海竞争力度比北京小。 西财觉得自己比中南财好，甚至不服两财一贸，而中南财觉得自己和西财差不多，自己不如两财一贸。因为西财在成都当地学科和就业是tier-1，而中南财在武汉上面还有武大的原因。但是我实际接触了上财央财的本科同学，他们的说法基本都是两校差不多。 申请出国来看，两财一贸申到top offer的比例高于西财，西财比中南财高（可能是因为法学出国难的因素）。上财的研究生很少有本校的，上财重就业，大部分本科生都直接就业去了。央财和外经贸重深造，一般财经院校本科生深造率10%左右，其他211财经30%左右，央财外经贸达到50%以上，出国率和国内读研率双双位列同类院校前二。  楼上有人说央财西财到上海被虐的渣都不剩，现实情况我见到的，央财外经贸的到上海找工作和上财差不多，实习面试找工作偶尔能遇到央财外经贸的本科和硕士，或者央财外经贸本、复旦交大研。西财的不怎么遇得到，在上海这边西财和我本科学校基本一样。上海本地人知道央财外经贸的还是比知道中南财西财的多，高考分数线就能看出来。  楼上还有把央财或者西财当靶子打的实在没必要了，任何学校都是黑点满满。包括上财很多时候就是被神话了，网上各种说就业堪比清北复交秒杀其他。。其实国家重视程度和央财中南财西财一样，也只是211而已。在上海的就业并非是所向无敌，学生那么大的基数摆在那，工作找的一般的大有人在。高端岗位竞争不过复交和清北人甚至央财外经贸的优秀外来户，老师水平和教学质量和我本科学校看不出来多大区别。说自己前身是中央大学商学院、国立上海商学院从继承关系来看也是不够严谨的。所谓的校史最长最辉煌的历史底蕴和其他财经院校对比，在现实中完全显示不出来。解放后直到97年211工程实施之前，上海老的9所重点大学里有复交、同济、华师、上外、东华、华理、二军医大等，也没有上财。 就如同中南财大从改革开放以后到211工程实施之前，硕博士点同类院校第一，在校人数也是同类第一，结果211、985平台都不是首批，00年还被迫与政法学院合并。  上财历史悠久，1981年第一个博士点，引进海归引领潮流，财经院校中唯一的既是首批211也是首批985平台。然而国家重点学科少，博士点不是最多，校史断片，1997年之前一直不是重点大学。 中南财八十年代到九十年代中期各项指标同类院校第一，武书连、校友会综合排名高。进211比西财迟，现在财经里政法第一，政法里财经第一，教育部学科评估成绩差。 西财人行直属第一，进211时间早。在进211的时候只是因为部里有名额，实力并不比中南东北强，而且其最强项金融学的博士点获批时间甚至到了90年代，部属第一≠实力强，例如国内贸易部第一是北工商，供销总社第一山西财经。 央财国家重点学科多，名字拉风，最早进的985平台，六十年代颠峰时期曾造就财经黄埔。然而不是四大财经，更名大学迟，进211迟。 东财文革未停办，全国优秀师资尽收囊中，优质师资的首位度在整个财经类院校历史上前所未有，迅速逆袭。现在却划归地方，不是211，各方面忍气吞声。 外经贸1960年、1978年被评为重点大学，这期间其他财经一律不是重点，九十年代招收状元名噪一时。现在没进985平台，重点学科博士点偏少，财经学科实力弱。  另外就有，央财外经贸一直是部办部属院校，干校起家，划归教育部之前一直学科实力不强。而四大财经是大区部署学校，曾经长期下放地方然后划归部委直属。从历史的隶属关系上看，央财外经贸有莫名的优越感。但是从学科办学来看，2000年高校改革之前，四大财经都有一级博士点，招生的博士点都是十几个，央财、外经贸博士点分别为5个和4个。  然后各个学校学生之间吵架也基本上拿自己的优点吹，攻击其他学校的缺点，脸都丢光了。  所以说，然而有些东西拿出来说并没什么卵用，学校再牛自己垃圾更没什么卵用。  我的看法还是绝大多数老师、考生、家长一样，凭良心说的看法（不像有些人嘴上说不服其实心里服）：清北复交差不多，两财一贸差不多，中南财西财差不多，档次已分。
即将去中央财经大学会计学专业就读本科，然而对专业很迷茫，求经历或经验学长解惑。？,欢迎学弟/学妹（你资料里居然没有性别）！ 财大的会计学是核心专业呀，应该没有人会选择转专业的。外资投行对学生的专业背景很看重，但是金融背景和会计背景都是欢迎的，相对来说，他们更加关注学历和成绩，所以像楼上学长说的，考个研究生是最重要的，财大会计的本科已经很拿的出手了，四年之后再出国读个经济类或统计类的硕士，就成了所谓的“经济管理复合人才”啦。之后就是读书的时候多长长见识，多去实习，会计学专业去四大实习很容易，而四大好的项目背景也是外资投行的敲门砖啦。再不济本科毕业去四大工作，在四大待几年跳槽到外资行也是大有机会的。 总之财大会计专业大有可为，而且和你的目标也不冲突，另外还有大量养眼的妹纸呀，珍惜吧少年！ 如果你坚持认为必须读金融的话，那么如楼上学姐说的，刷绩点转专业吧。
人大 中央财经大学 经济学在职研究生哪个好？,         你好，人大是一所以人文社会科学为主的综合性研究型全国重点大学，直属于教育部，由教育部与北京市共建。经济学专业培养具备比较扎实的马克思主义经济学理论基础，熟悉现代西方经济学理论，比较熟练地掌握现代经济分析方法，知识面较宽，具有向经济学相关领域扩展渗透的能力，能在综合经济管理部门、政策研究部门，金融机构和企业从事经济分析、预测、规划和经济管理工作的高级专门人才。  　　本专业要求学生系统掌握经济学基本理论和相关的基础专业知识，了解市场经济的运行机制，熟悉国家的经济方针、政策和法规，了解中外经济发展的历史和现状；了解经济学的学术动态；具有运用数量分析方法和现代技术手段进行社会经济调查、经济分析和实际操作的能力。          中央财经大学： 中央财经大学经济学院成立于2003年，是在经济系的基础上合并国民经济管理专业成立的，也是中央财经大学实行学院制以来建立的第一批学院。经济学院坚持“崇尚经济科学、培养优秀人才、服务社会进步”的宗旨，坚持“兼容并蓄、学术自由、国际标准、关注本土”的办院思路。           综上所述，两所院校都是不错的，是国家211.985重点院校，有着强大的师资力量和丰富的教学经验。 
文科生想考中央财经大学金融专硕，好考吗？数学难度求教，谢谢？,泻药！虽然本人考研很水，至今没有圆研究生的梦，但是考研数学还是能给你一些中肯的建议的，先马克，待以后补充回答！
为什么很少有重量级嘉宾来中央财经大学演讲？,你是中财的学生吗？你在中财听过讲座吗？诺贝尔经济学奖获得者也许在你眼里也不算什么吧～其实我也不知道中财为什么就是请！不！动！重量级嘉宾。也许是财经人士都太高调了，喜欢大张旗鼓跟别人说我好有名好有名，好有money and knowledge。so～～～中财请不懂他们
