中国地质大学(北京)的游泳馆内部如何？,我还以为问的是武汉的地大游泳馆   这个夏天就能用系列....
中国地质大学(武汉)宿舍条件怎么样？,谢谢！
中国地质大学(武汉)音乐专业可不可以转到珠宝设计专业？,北京地大的，毕业十年了。当时上学时，普通专业之间是可以换专业的，只要你想去的专业接受你，且你课程可以跟得上。 音乐和珠宝设计属于艺术生，估计不好换专业吧，毕竟你们高考的时候还有个专业课吧。另外，这个问题最好问学校，在知乎应该没人会清楚学校政策吧。
今年中国地质大学（北京）艺术系是不招生吗？为什么？,我是地大武汉的~不是北京的！我也不是艺术生。我还真不清楚
比较下中国地质大学（武汉）与西南石油大学的石油工程专业？,挺好的，地大石油工程估计还不如本省长大石油，去西南石油挺好的
中国地质大学(武汉)的隧道两端洞口为什么一个是圆一个是方的？,同学玩笑时戏称，天圆地方。 这大概是我听过最好的答案。
如何评价2017年中国地质大学(武汉)模拟联合国大会？,开幕式还没完就被挂了？
试问一下：为何知乎里没有＂中国地质大学＂的选项？,地大武汉飘过
如何评价中国地质大学（武汉）贴吧年度大戏？,还好不是在美国，不然第一年就得有人问请问如何评价种族歧视这种问题了。
在中国地质大学(武汉)材料与化学学院读材料化学专业是怎样的体验？, 你是哪一级的 
如何看待中國地質大學（武漢）的地理係對港招生時拒招高中地理係學生的作法？,年轻人，地质和地理有着天壤之别，我也是中学喜欢地理，就到了地大，然后发现了地质和地理差别太大了！！你中学喜欢地理，可以去一些地理学科比较好的学校（不是地质）。哎呦，跑题了。 ———————————————————————————————————— 地质为什么要理工科？地质类大一大二的基础课程都有工科数学分析，大学物理，大学化学。 学构造地质学可能会遇到应力分析，要学习岩石物理等 地球化学，要研究化学组成，同位素定年，矿物成分分析，矿物间在不同温压条件的化学变化 数学有什么用我还真不太清楚，好像有人研究数学地质的，我不太了解，可能搞地球物理勘探会有用。
