如何准备中国石油大学（北京）石油工程学院研究生预录取面试？,石油工程是石油行业的上游学科，石化类的东西了解即可。既然能过笔试，相信流体力学、油层物理、油藏地质应该都有一定了解了吧，如果是外专业的应该把基础概念了解清楚，最好能学一下石油工程的专业英语，本专业的同学自己看着办吧。
作为一个地质人，你想给还在大学读地质的大学生什么建议？, 知乎首答。  本人目前就读于东北某985的地学院，是大三的在校生，看到这个话题心生感慨，忍不住要自己来回答一下。知乎新人，求大神轻喷。  老实说在来到这个专业之前我还是很喜欢地质的，或者说，我本以为自己是很喜欢地质的，喜欢自己以为的地质。  我住在辽宁省某个县级市，当初高考省排名是6000多，并不高，离我当时的目标有一定距离。高考成绩公布的第二天我妈妈就带我去找了一个她认为很靠谱很有见识的人给我报志愿，由于当时我什么也不懂，对自己喜欢、擅长从事什么行业完全没有概念，志愿填报的过程完全是由那个“靠谱人”一手安排的。他认为我一个男孩子，干诸如石油、地质、矿产这一行非常吃香。我问他“地质专业是不是很艰苦？”他说会比其他行业要苦一点儿，不过挣的钱特别多，并且说了很多学地质的优点。就这些，我听的云里雾里，竟然接受了他的建议。他给我安排的第一志愿是中国石油大学的石油专业，五个平行志愿有四个是和地质有关的。不过最终我不想去北京，便把第一志愿改成了现在的专业。  当时我虽然幼稚，但还是在网上查了一下关于地质专业的评价的。当时我还不知道知乎，虽然精熟于贴吧但竟完全没有想到去地质相关的贴吧查看一下情况，而只是单纯的百度了下地质专业，根据百度知道的内容，我得知地质是一个不错的专业，五险一金，有的还分房分车，最初是苦了点儿，不过干几年之后就有很高的待遇了。  不过当初我并没有注意到下面的回答日期，普遍是2010年之前的。  最终，我成功被第一志愿学校的第一专业录取了。我个人很喜欢科普类动物，读过很多科普类书籍，关于地质的内容也不少，我对地质年代，恐龙化石，史前文明，考古这些东西都有着浓厚的兴趣。我当时心想一定要做一个像李四光先生一样的地质学家。  而步入大学后我发现，我们班一共有32个人，其中有20多个是调剂过来的，个别几个是四五甚至六志愿录取过来的，而第一志愿进来的，只有我一人而已。  在大学待了一段时间之后，我发现这个专业完全不像我想的那样，整个学院学习氛围很差，周围有不少同学一上来就做好了转专业的准备。  大学的课堂和高中的课堂不同，没人管你听还是不听，很多大学老师的教学水平真的不怎么样，单纯的念ppt而已，毕竟，科研才是他们的重要工作。我开始对这个专业失望，加之专业课完全不像我想的那样有趣，我也有了转专业的想法。  不过很可悲的是，我逐渐丧失了高中的热忱，虽然不逃课，但是也不听课，虽然不打游戏，但是疯狂的玩着手机，整天无所事事，变成了自己以前最鄙视的那种人。  虽然大一上学期并没有挂科，但是并没有获得参加转专业考试的资格。我们班有六个同学成功转出，整个学院也有不少人转走了，但是没有一个人转进来，想想都觉得有趣。  当时我强迫自己对地质产生兴趣，我告诉自己，如果在一个你不喜欢的领域干出一番天地，你才是真的牛逼。  现在想想，当时产生这个想法的我真是一个彻头彻尾的煞笔。  下学期的课是上学期的二倍还多，高数线代大物普化C语言还有数门专业课轮番轰炸，一周七天有六天满课，我简直心力交瘁。到期末复习的时候，我真的心态已经完全崩溃了，我开始相信那句“没有挂科的大学不是完整的大学”，还有“重修都很水的，随便就过了”这种话。  于是我放弃了复习，成功挂掉4科，这也是目前为止我大学挂掉的全部科数。  大一暑假就有短暂的地质实习，当时确实蛮轻松的，抱着公费旅游的心态，也不是很累。而大二的六周实习则真的让我对这个专业仅存的一点儿幻想都破灭了。  大二以后，可能是思想上变得成熟了点儿，不再像以前那样自暴自弃，学习态度开始认真了点儿，虽然依然对专业课毫无兴趣，但好在都通过了，挂的科也都修了回来。  现在大三正在复习考研，我们班现在剩下26人，把保研的、出国的、工作的除去，有20人左右考研，其中跨专业考研的人数有近四分之三，我的目标是本校的经济类专业，其他同学打算跨考计算机、软件、建筑、法律、机械的人都有，剩下的同学多半也都是跨校考地质类研究生，考本校本专业的只有一人，可能也是因为我们大三换校区之后这个校区实在是太破太简陋了吧，当然更多的是南方同学想回南方发展。   以上都是我的个人经历，有些长，不想看的就直接从这里开始看吧。   有人说我如此贬低地质行业，贬低自己的本专业，还不是因为自己本科期间不努力吗？  没错，我确实荒废了很多的时光，并且现在有诸多后悔，但这并不是我贬低地质的理由。我们班前五的学霸，除了前两个肯定有保送资格的同学，另外三个全部要跨专业考研。因为实在是因为，地质行业已日薄西山，现在正处于一个寒冬期，过去百分百就业的时代早已一去不复返。本人学的方向是资源勘察，然而现在的资源早就被开采的差不多了，单位空余的职务远远不能满足毕业生的人数，即使是研究生毕业后，想找到好的工作都有一定难度。而且地质工作的付出与完全回报完全不成比例，地质工作者有时候都是用命在工作，基础收入却根本不高，只有出野外才能获得一定的奖金补贴，大家伙多是俗人，工作就是为了生活为了养家糊口，所以这样的工作谁愿意做？  “存在即合理。”这句话并没有错， 地质科学确实是一门重要的科学，李四光先生我也非常尊敬 。这个社会需要地质学家的存在，但是，每年那么多毕业生，最终从事地质工作又有几个？一直从事地质工作的又有几个？成为专业前百分之几的大神又有几个？先不提在目前形势，成为地质前百分之几的精英都没有诸如IT、金融这类行业前百分之几十的人获得的回报多。(这句话化用了另一位知乎答主的话，如有侵权，立即删除。)  因此我给目前大一大二的在读地质本科生的建议是， 如果你真的不喜欢这个专业，抓紧时间转专业，如果转不了，就自学一些自己喜欢的、对未来有用的东西，能考研的尽量跨专业， 千万别指望读个地质研究生工作条件就能改变多少。 本科期间可以多考几个证 ，这对你的未来是很有帮助的。 千万不要尝试着挂科 ，任何和你说“无挂科不大学”的人都是在害你。还有， 学好英语 。  当然，如果家里就是从事这方面的可以给你保证安排一个好工作的，前面的话都当我没说。  如果真的热爱地质，愿意为了地质事业奉献自己的同学，可以忽视掉我的这篇回答，我很敬佩你，这个世界不能少了地质学家，很有可能未来杰出的地质学家里就有你的名字，当然，和我们这些只想为了生活为了家庭为了温饱的人无关。  女生的话，能转行更要转行，地质工作的艰苦众人皆知，很多单位是不爱要女生的，男生想找到好的对口工作都很难，何况女生。(这里没有歧视女生的意思。)  很多该说的话其他的高票答案已经说了，我在这里就不赘述了。不过最后还是想给一些即将高考并且有从事地质倾向的同学一点建议。  ① 地质不是地理！地质不是地理！地质不是地理！重要的事情说三遍！！！ 不要以为自己喜欢地理就代表喜欢地质，这俩是完全不同的东西，之前已经有好几个人这么问过我了！  ②简单明了，别报地质。别报任何与地质相关的东西，离他越远越好。 地质可以作为兴趣，但真的不适合作为工作。 当然了，家里有条件能保证你工作的话另说。  ③如果家里没有上面说的那种条件家长还硬要你去学地质的话，建议你去做亲子鉴定。(手动滑稽)都是娘生的爹养的，谁忍心让自己的孩子一年出十个月野外回不了家风餐露宿的，反正我妈现在特后悔。  本篇回答负面情绪比较多，各位多担待，然而这确实是当今地质的现状，去地质吧看看，就知道什么叫怨声载道了。  以上。 
中国地质大学（北京）宿舍条件和校区条件？,如果你是17年九月入学的本科生 不出意外女生会分配到新盖的十八楼（还是十七楼 忘了… 条件还是很好的 空调 热水都有 不过应该还是八人寝  更新： 现在所有宿舍都有空调  老楼上下铺 比较挤 一般八人寝 新楼上床下桌 比较宽敞 好像是八人寝（不太确定）
中国地质大学(北京)珠宝设计研究生考试可以用水彩吗？纸是绘画纸吗？,可以用水彩，纸就是普通的试卷纸，很软，不是扫描用的那种答题卡。
在中国地质大学珠宝学院就读是怎样一番体验？,谢吆ᶘ ᵒᴥᵒᶅ  题主尽管补充了诸多说明，还是感觉无从答起ಠ_ಠ既然都是自己人，那就随便聊聊好了～  我就读地大北京本科，马上即将毕业。如果说是在珠宝学院就读的体验，那就不在地大这个大环境过多啰嗦了，毕竟可以另开问题。  先吐槽   ＠课程 ：课程安排极不合理，这是我4年本科下来对学院和学校最不满意的地方。我在大二的时候，就认识了一个在长春工程学院的同学，和我同一个专业。那边的专业课程进度比我们整整快一个学期！那时候我什么专业课都没上过，跟一个学校没自己好的同专业学生聊起来显得和白痴一样……而且人家还在一个劲地夸我学校，还想过来旁听专业课，我只能不好意思地回复：抱歉，你说的那课我们还没上呢……wtf！(ノ=Д=)ノ┻━┻大一大二时间几乎都浪费在那些所谓的基础课上，结果就是大三大四的专业课上得晚不说，课时还被严重地挤压。我宁愿把结矿、晶体光学、彩宝上两遍我也不想上什么大学物理和物理化学啊！！！好吧虽然翘课翘得也蛮多的……   ＠男女比 ：这个想吐槽又怕被喷秀优越。虽然男女1：2对广大理工科学校及专业是美得不敢看，但我们还有一个前提：人口基数小，这样再看起来真的很糟糕啊！每个班只有几个男生有木有！！还得刨去基佬不算有木有！！运动会神马的女子撑起一片天有木有！！打篮球找不上打一个全场的人有木有！！一个别的院的男生来我们班旁听，感动地都哭了——“我从来没跟过这么多女生上课”，我坐在旁边默泪……   ＠规模 ：我知道这个实属无奈，现在珠宝教育工作者太少了。我们院算是地大最小几个院系之一，对一般同学的学习生活没什么影响，但是做过学生工作的人应该会有所体会。最直观的影响就是，得不到足够的重视和支持。另外一个方面，人少直接限制了渗透各个学生组织和社团的人数，院内大部分精英都选择在院内发展而不是校级平台。  然后吹一下   @专业 ：真的属于特色专业，出去一说朋友都觉得高大上。学习的知识几乎是以前没有接触过的范畴，而且五光十色的宝石看多了，对专业的兴趣也可以非常容易就培养起来。可以算是一门活到老学到老的专业，不用担心青春饭这类的问题。   @师长 ：老师和学长学姐们人都很好，院系不大，平时抬头不见低头见很快就都认识了。尤其在毕业后，已经工作的学姐学长可能会提供你意想不到的帮助。作为校友，我们有自己的交流平台，资源共享非常方便。但是也遇到过对晚辈一样黑心要价的前辈，实在是让人大跌眼镜。  其实值得骄傲的地方还有不少，可能长时间的置身其中都体会不出来了。很庆幸自己高考能考到这里，因为各省貌似招人都只有几个名额。即将毕业了，继续学习继续努力。
中国地质大学(北京)产品设计怎么样？,谢邀，非地大北京的学生，也没有地大北京的同学，帮不上忙，不好意思啦。
中国地质大学(武汉)音乐专业可不可以转到珠宝设计专业？,北京地大的，毕业十年了。当时上学时，普通专业之间是可以换专业的，只要你想去的专业接受你，且你课程可以跟得上。 音乐和珠宝设计属于艺术生，估计不好换专业吧，毕竟你们高考的时候还有个专业课吧。另外，这个问题最好问学校，在知乎应该没人会清楚学校政策吧。
中国地质大学出过哪些名人？,温家宝 欧阳自远（嫦娥计划首席科学家） 李久林（鸟巢总设计师） 王安顺（北京市代市长） 然后就是一些地质资源类的学术大师了  有50多位院士吧
如何看待中国地质大学（北京）突然宣布食堂自下周一（12月7日）开始排队就餐的举动？,非常资兹！我是校领导nc粉 我不会轻易的选择go die ha～～～你们这些反对派too naive！在中国，青协和学生会是学校的傀儡，狗狗咬人咱们指责主人就好。学校的领导有方，屡出奇招！懂事的学生们！一一拍手叫好！ 在各种新政策的实施下，我庆幸自己是大四学生马上就要离开这个好学校！四年了，找不到一点地大人的归属感，在未来也只会怀念和同学们的情。
17年高考生 考上中国地质大学（北京）的珠宝学院 ，想复读考两财一贸，怎么选择？,嗯 我本人北京地大。地质毕业的， 对于地大的宝石专业 ，确实特别难就业， 如果你是二代 就没得说了 。 大多数人选择的出路 还是自己开珠宝店 或者 家族企业帮忙，对于地质不景气 国家政策没有办法 ， 总之 自己考虑考虑 找个自己喜欢的 ，自己能够驾驭的 专业 ，现在什么行业都不太 好 做，自己 考虑考虑吧。不要后悔
