某著名作家即将访问我们中国矿业大学谈“互联网时代如何独立思考”，跟他请教什么比较好？,谢邀！  建议这么问：如果说从来没有在中国生活过的外国人对中国的制度的批评指责是片面的，那么从来没有在西方国家生活过的您，对西方的制度的批评指责，客观性如何？
文科，中国矿业大学、华中农业大学、安徽财经大学选哪个？,我目前在矿大读书。矿大是一所性价比很高的211大学，校园很大，将近3000亩。学校的花海、鹿园、镜湖和励志园甚至是徐州一个旅游景点，经常看到有家长带着小孩子过来拍照游玩。作为百年老校，文化底蕴很足，教学力量也很雄厚。不要听什么学矿业来矿大，矿大的矿业固然是龙头专业，毕竟亚洲第一世界领先，但是电气和土木、测绘、地质类、工程力学、机械、在国内也是很好的，都是国家重点学科和国家重点培育点。还有很多江苏省重点学科。文科的话管理学院也是非常强，甚至很多工科学生大二转专业到管理学院学会计。我就知道这些专业非常厉害突出，还有其他专业我不是很了解。生活环境也是非常好，宿舍条件一流：空调暖气、独卫独浴以及四人间。学校有两个咖啡馆，三座食堂，一个美食城，一家主营偏西餐类的餐厅，一家茶吧。各种社团活动也很丰富啊。而且经常回会有名人来讲座。上次来了个诺贝尔奖获得者，还当了我们一个研究院院长。最近龚琳娜还来做讲座了。每个班级也不像其他学校有五六十人，我们专业一个班就25人。华农不清楚，但我是安徽的，安财我还是比较了解的，能上矿大就别去安财了吧，分差蛮大的。但如果真的想去也行，安财的金融和会计很好。如果考虑地域因素的话。。。确实略坑。徐州确实没武汉好。但徐州我觉得还是不错的。要想着自己是来学习的，而不是来吃喝玩乐的。不过军训是略坑，尤其内务整理。。。就这些吧，我说的有不周到或者欠考虑的地方请谅解 。
中国矿业大学（北京）和中国矿业大学哪个好？,一年后 2017 07 13     毕业一年了，现在就在深圳，学校很美好，可是不再想回去了。  —————更新于2015-10-29—————— 目前，已经在找工作路上，深感到大城市的机会确实要比徐州这小地方多了不少，就拿宣讲会说，南京随便一个高校，每天的宣讲会数量基本都是矿大的好几倍，所以想找到合适的还是需要自己出去~  目前我就跑了深圳南京两个城市，有份还算凑合的工作垫底吧，目前在观望，再过几天就有矿大的双选会，总共有400+企业参加，还可观的~~不过在外面跑要花不少钱呢，我的家庭不够宽裕也就跑了两趟就停下了。 深感到强烈的危机要到来，又不能带快自己的节奏，生怕自己会走错大方向，但是见仁见智吧，不论你在哪里上的大学都需要时刻有危机感，不要陶醉于象牙塔的梦幻世界~  补点自己拍的校园图，有时候很朦胧那是因为烧麦秸，有时候很清新那是因为下雨了。怀念一下~   我住在梅苑..3中心那个是图书馆，一条小河把生活区和教学区隔开，很有层次感    这是春天励志园   这是冬天的励志园~   冬天过后~只有常青树还绿着...这就是我们的灵魂园艺的作品   图书馆门前的路，寒假空无一人的校园。   对面是教学楼，这是晚上从图书馆回宿舍必经之路（然而我很少去）    教五（博五）草坪还没长出来，经常有家长带小孩来玩~ 放风筝、各种小聚会、小活动    三食堂和竹苑楼间的花    教学楼和生活区之间也有这种花（植物盲我并不懂它是什么额）、   这是我常去的三食堂二楼   天气放晴的时候也会有蓝天，下面是学校的中心地带图书馆钟楼   我宿舍后边的运动场，三年的网球时光在那里度过~ 背靠着山，山的后头是空军....偶尔会看到战斗机，当然不会飞学校上空。。   2014年，又过了一年我又在同一点拍摄~    不知道哪个家伙干的哈，这是丁香。。。真的吗？？！    接下来就是毕业啦，四处奔波找工作咯   去深圳途中还赶上延误了。。     离学校越来越远了  以下﹉﹉﹉﹉﹉更新于2015-9-14……………… 目前属于煤炭形式特别不好的几年，所以我会倾向于北京。       泻药啊，我几乎不写答案的，写简短了见谅，我跟你一级的哦。  首先，徐州和北京这两城市楼主呆在北京知道北京是怎样的了，徐州嘛是个小城市资源等各方面都比不上北京了。我来徐州的感觉还行吧，小是小，交通还算便利啦，高铁动车都是覆盖的很不错。  学术上来说，徐州的比较受认可些吧，毕竟徐州的学生更多..... 如果非得在北京和徐州两个学校学校选，这应该选徐州。（就矿业专业而言，徐州的应该比北京的强不少。）  毕业后打算在北京发展的，建议还是呆在北京比较好吧。  一时短路就说这么多了。  来几个徐州的艺术摄影图~校园2900亩，环境挺好..是少数人不懂。 空调暖气这东西我入学了早就有了..各种硬件算是高校里的前列。     宿舍刚装了感应式的门~刷卡进宿舍..  z暂时写这么多了，原题主顺利。—— 矿大一学渣    学校东门   教五草坪  ——————————————————————  修改一下，下面上个我自己拍的，没有修改过呢。    寒假没有回家，空旷无人的图书馆。   上课我都路过这里...日期就是花期   学院区...接触不多，我们本科基本在公教上课，最多实验在这地方。   这个地方叫不显山...里面有鹿   没错...警察叔叔，就是它。   东门油菜花。   晚上的图书馆楼下，对面就是公教二区。  ——————————————————————————  很多人抱怨徐州是个小地方，其实我觉得有得有失，真有志向不要太拘泥于这些细节，毕业后你有大把时间闯。 
中国矿业大学北京和徐州校区哪个容易考些？,你应该想问的是会计考研吧?具体情况明天帮你问一下。但是本科生是北京录取要比徐州这边高大概十几到二十多分。徐州这边教学设施以及住宿环境校园环境，北京矿大是根本不能比的，会计也是管院最好的专业，但是，由于会计专业偏文科，又由于矿大是理工科大学，有由于在比较落后的苏北地区的徐州，可能没有那么多的资源帮助自己学习，我一保研矿大的金融学学长就经常抱怨现在生活太水后悔留校。不过，矿大有个图书馆，300多万册图书的哦，如果想多读书，可以来徐州这边看看。
怎样看待中国矿业大学16级计算机辅导员（WBL）？,我们院之前也有晚上十点前不允许回宿舍的要求，要求是7到9点自习，之后锻炼身体去，实际上也就是之前几天有点效果，之后就没了回响，现在连晚自习都大把大把的人不去了，没什么大不了的，辅导员也是人，也有三分钟热度的时候，题主只要把自己学习、生活打理好，用实力说话，也没什么。 我们院的辅导员也有类似的情况，感觉是不是矿大这样的辅导员居多？看上去非常努力的样子，但是实际上也没有多少真正关心学生的样子，反而跟学生关系其实闹得挺僵，最近我们学院的辅导员就因为有些事办的太过恶心就被我们16级新生各种怒怼，其实如果辅导员们能够放下身架，扎扎实实解决一些实际的问题，就算有时不了解情况引起误会，也会被我们所理解，不说全部，就我接触的来看，矿大通情达理的同学还是占大多数的。但可惜的就是很多辅导员为了工作业绩好看，反而把那些空架子，表面工程闹得欢腾，忽略同学们的感受，有急于表现、急功近利的感觉，让人挺不爽的。
如何评价中国矿业大学（北京）思政学院研究生强奸案？,此事发生以来，迟迟不见马道华出面，突然让我们觉得此事是真的。不管此事真假，我觉得学校应该即可出面调查清楚，如果属实，给女生一个说法，如果是假的，就不要让别人来玷污我们学校名声了。         学校迟迟不行动，其中应该是有几个原因: 1、打狗得看主人啊，马的导师是思政学院院长，虽然不知道其导师态度，但是一下子把马处分掉，对于其导师后续招生和名誉都不好，所以学校领导肯定有所顾忌，最好大事化小小事化了。 2、学校领导不作为，大领导没空也不管，小领导管不了，加之马作为一个研究生肯定会动用一些社会人脉资源来运作的，相信这几天正在运作中。 说实话，作为一名学生，相信能在这关注的都是有良心的人，于情于理都觉得如果此事属实的话，马应该受到应有的处分，给这个女孩一个公道，不管她学历水平，长相如何。虽然这个世界不一定是公平的，但是我们尽可能的还是要向更公平的地方而努力。
中国矿业大学北京和徐州的研究生相比如何？, 呃，我觉得很少有在两边都上过研究生的童鞋吧，关于两校的优缺点，网络上已经有很多了，不再赘述。个人感觉完全看导师实力，专业已经你想走哪个方向。北京这边整体上可能不如徐州门类全，要论主体专业的话，应该差距是越来越小了，北京的区位优势会很大，就这么多吧，欢迎追问 
中央民族大学的行政管理硕士和中国矿业大学的行政管理 哪个更好呢 ？？,当然是民大，专业全国排名前五。
想进四大，一般的211非财经类可行？比如中国矿业大学（北京），好吧，鄙人就是这个学校的。？,不会的，实习的时候也有遇到农大，矿大，地质大，林大的小伙伴，，加油申请吧
中国矿业大学银川学院怎么样？师资 学习氛围 住宿条件 学校硬件 周边环境？,来了就知道了
