北京语言大学是一所怎样的学校？,如果你是女生，你会遇到隔壁矿业大学男生的追求和搭讪。如果你是男生，你也会遇到隔壁矿业大学男生的追求和搭讪
如何看待北京大学给持刀入课堂的校外人员龙江豪北大网关和匿名发帖女生个人信息的做法？,我以为中国矿业大学就是极品了，没想到北大不愧是牛校，比矿大还过分。
中国矿业大学（北京）和中国矿业大学哪个好？,一年后 2017 07 13     毕业一年了，现在就在深圳，学校很美好，可是不再想回去了。  —————更新于2015-10-29—————— 目前，已经在找工作路上，深感到大城市的机会确实要比徐州这小地方多了不少，就拿宣讲会说，南京随便一个高校，每天的宣讲会数量基本都是矿大的好几倍，所以想找到合适的还是需要自己出去~  目前我就跑了深圳南京两个城市，有份还算凑合的工作垫底吧，目前在观望，再过几天就有矿大的双选会，总共有400+企业参加，还可观的~~不过在外面跑要花不少钱呢，我的家庭不够宽裕也就跑了两趟就停下了。 深感到强烈的危机要到来，又不能带快自己的节奏，生怕自己会走错大方向，但是见仁见智吧，不论你在哪里上的大学都需要时刻有危机感，不要陶醉于象牙塔的梦幻世界~  补点自己拍的校园图，有时候很朦胧那是因为烧麦秸，有时候很清新那是因为下雨了。怀念一下~   我住在梅苑..3中心那个是图书馆，一条小河把生活区和教学区隔开，很有层次感    这是春天励志园   这是冬天的励志园~   冬天过后~只有常青树还绿着...这就是我们的灵魂园艺的作品   图书馆门前的路，寒假空无一人的校园。   对面是教学楼，这是晚上从图书馆回宿舍必经之路（然而我很少去）    教五（博五）草坪还没长出来，经常有家长带小孩来玩~ 放风筝、各种小聚会、小活动    三食堂和竹苑楼间的花    教学楼和生活区之间也有这种花（植物盲我并不懂它是什么额）、   这是我常去的三食堂二楼   天气放晴的时候也会有蓝天，下面是学校的中心地带图书馆钟楼   我宿舍后边的运动场，三年的网球时光在那里度过~ 背靠着山，山的后头是空军....偶尔会看到战斗机，当然不会飞学校上空。。   2014年，又过了一年我又在同一点拍摄~    不知道哪个家伙干的哈，这是丁香。。。真的吗？？！    接下来就是毕业啦，四处奔波找工作咯   去深圳途中还赶上延误了。。     离学校越来越远了  以下﹉﹉﹉﹉﹉更新于2015-9-14……………… 目前属于煤炭形式特别不好的几年，所以我会倾向于北京。       泻药啊，我几乎不写答案的，写简短了见谅，我跟你一级的哦。  首先，徐州和北京这两城市楼主呆在北京知道北京是怎样的了，徐州嘛是个小城市资源等各方面都比不上北京了。我来徐州的感觉还行吧，小是小，交通还算便利啦，高铁动车都是覆盖的很不错。  学术上来说，徐州的比较受认可些吧，毕竟徐州的学生更多..... 如果非得在北京和徐州两个学校学校选，这应该选徐州。（就矿业专业而言，徐州的应该比北京的强不少。）  毕业后打算在北京发展的，建议还是呆在北京比较好吧。  一时短路就说这么多了。  来几个徐州的艺术摄影图~校园2900亩，环境挺好..是少数人不懂。 空调暖气这东西我入学了早就有了..各种硬件算是高校里的前列。     宿舍刚装了感应式的门~刷卡进宿舍..  z暂时写这么多了，原题主顺利。—— 矿大一学渣    学校东门   教五草坪  ——————————————————————  修改一下，下面上个我自己拍的，没有修改过呢。    寒假没有回家，空旷无人的图书馆。   上课我都路过这里...日期就是花期   学院区...接触不多，我们本科基本在公教上课，最多实验在这地方。   这个地方叫不显山...里面有鹿   没错...警察叔叔，就是它。   东门油菜花。   晚上的图书馆楼下，对面就是公教二区。  ——————————————————————————  很多人抱怨徐州是个小地方，其实我觉得有得有失，真有志向不要太拘泥于这些细节，毕业后你有大把时间闯。 
中国矿业大学北京和徐州校区哪个容易考些？,你应该想问的是会计考研吧?具体情况明天帮你问一下。但是本科生是北京录取要比徐州这边高大概十几到二十多分。徐州这边教学设施以及住宿环境校园环境，北京矿大是根本不能比的，会计也是管院最好的专业，但是，由于会计专业偏文科，又由于矿大是理工科大学，有由于在比较落后的苏北地区的徐州，可能没有那么多的资源帮助自己学习，我一保研矿大的金融学学长就经常抱怨现在生活太水后悔留校。不过，矿大有个图书馆，300多万册图书的哦，如果想多读书，可以来徐州这边看看。
如何评价中国矿业大学（北京）思政学院研究生强奸案？,此事发生以来，迟迟不见马道华出面，突然让我们觉得此事是真的。不管此事真假，我觉得学校应该即可出面调查清楚，如果属实，给女生一个说法，如果是假的，就不要让别人来玷污我们学校名声了。         学校迟迟不行动，其中应该是有几个原因: 1、打狗得看主人啊，马的导师是思政学院院长，虽然不知道其导师态度，但是一下子把马处分掉，对于其导师后续招生和名誉都不好，所以学校领导肯定有所顾忌，最好大事化小小事化了。 2、学校领导不作为，大领导没空也不管，小领导管不了，加之马作为一个研究生肯定会动用一些社会人脉资源来运作的，相信这几天正在运作中。 说实话，作为一名学生，相信能在这关注的都是有良心的人，于情于理都觉得如果此事属实的话，马应该受到应有的处分，给这个女孩一个公道，不管她学历水平，长相如何。虽然这个世界不一定是公平的，但是我们尽可能的还是要向更公平的地方而努力。
中国矿业大学北京和徐州的研究生相比如何？, 呃，我觉得很少有在两边都上过研究生的童鞋吧，关于两校的优缺点，网络上已经有很多了，不再赘述。个人感觉完全看导师实力，专业已经你想走哪个方向。北京这边整体上可能不如徐州门类全，要论主体专业的话，应该差距是越来越小了，北京的区位优势会很大，就这么多吧，欢迎追问 
如何看待北京各种高校排名忽略中国地质大学(北京)的现象?,成都理工大学更惨啊有没有，差不多水平的大学都评上985，211了，名字也霸气啊有没有，(ಥ_ಥ)结果自己还拿着个“小211”嘚瑟半天。 都说咱们当初是遵循毛主席的命令建校的，但是润之写的“开发矿业”四个字布满灰尘和落叶也无人问津了
想进四大，一般的211非财经类可行？比如中国矿业大学（北京），好吧，鄙人就是这个学校的。？,不会的，实习的时候也有遇到农大，矿大，地质大，林大的小伙伴，，加油申请吧
如何看待2016.4.25阮经天魏晨等人到中国矿业大学（北京）录节目引起的骚动？,先说说看到他们的景象吧。 我不是他们的粉丝，所以我还是故作淡定的在宿舍里看书。我的宿舍窗户正对楼下，期间我跑到窗户为攒动的人群留影。     后来听到楼道有嘈杂的人声，打开门，我和室友就看到了阮经天，魏晨，李菲儿停在门口的楼梯口，李菲儿还在劝大家都回宿舍去。  看到他们我想的就是，阮经天看着还真挺帅的，李菲儿本人的确是很漂亮就是有点点矮，魏晨也太瘦了吧……    图从室友那里盗来，我的手机在充电     这是几分钟之后，大家随他们去了楼上，我们守着这人去楼空的楼道的场景  在宿舍的室友，我们都在庆幸还好自己回来的早。至于回来晚的吧        这是人群中我的室友，等了一个小时都没进来，好在在我们机智指挥下最后也近距离看了一眼明星。  下面是我两个被困在外面的室友的朋友圈对话 有多少人以为楼外面的人都是围观群众，其实她们只是九十点钟自习回来的girl啊  另外还有个小对话 有一个女孩对另一个女孩说：走吧咱们回去吧，好啊 我室友：你们回哪里？ 她们俩：我们xx的（隔壁学校） 我室友：……   在此期间，我还听到了一群男生在一起喊周杰伦，小岳岳，苍井空 ，真的很烦啊，自己不喜欢就算了，至于这样吗 要是苍井空真的来了就不是这反应了吧  有人开始说了，花痴真可怕，这些人有什么好看的……自己很6就骂起来咯  那是因为来的不是你喜欢的人吧？？？ 来的是你喜欢的你告诉我你啥反应？？ 怎么就把自己当圣人了啊？？？ 你这么厉害怎么没人追你？？？  明星虽风光，那他也是人，而他也是让很多人想去看一眼的人。不管是长的好看还是有什么过人之处，他的确吸引着大家 对明星保持热度，有机会就去亲眼看一眼不过分吧。  有人咋就能批判这样一个火爆校园事件上升到那样的高度呢  晚上还有考试，看书去了我   ps林更新来了，我是真的想看眼林更新
作为中国矿业大学北京的新生应该在暑假做哪些准备？,旅游、打工都可以
