如何准备中国石油大学（北京）石油工程学院研究生预录取面试？,石油工程是石油行业的上游学科，石化类的东西了解即可。既然能过笔试，相信流体力学、油层物理、油藏地质应该都有一定了解了吧，如果是外专业的应该把基础概念了解清楚，最好能学一下石油工程的专业英语，本专业的同学自己看着办吧。
中国石油大学克拉玛依校区今年招生了，作为新办的校区，值得考生报考吗？,做为石大北京的学生，对克拉玛依校区的硬件设施表示相当羡慕，说这个校区比北京主校区硬件好得多应该毫不过分，此外，现在克拉玛依的环境也不像某些外面人想的那么艰苦，克拉玛依市人均gdp全国第一可以想象一下那里的社会环境究竟如何。 但是，大学不只是其硬件设施，克拉玛依校区第一年，一切都要从零开始，包括现在校区主页都没有出来，不知道是要和北京校区公用一个还是说暂时没有建设完成（笔者认为公用一个可能不大），此外偌大的校园只有几百名学生，第一年各种学生社团都没有，可能需要两三年的建设才能走上正规渠道，新校区第一年一百多名教师，按理说一比五的师生比已经很高，即使教师水平不错（毕竟211高校，教师水平应该不会差），也很难会有专业大牛长期在克拉玛依校区待着，毕竟说要共享国家重点实验室资源，可是现在实验室还都没有开始建设，此外工程教育的定位笔者认为也让校区在以后的科研水平上注定跟北京校区有一定差距（必须提一下北京校区的科研实力很强，近三年国家三大奖排名都是第十不是盖的）。 综上，对于第一年的水平还是持保留意见，如果想过一个丰富多彩的大学生活则不建议报考，想搞学术也不建议报考，若成绩不到还想要一个211文凭的话则建议报考，若想学石油，成绩又不足以到石大北京或石大华东，则建议报考。    分割线------ 更新一下，校区主页已经出来  http://www.  cup.edu.cn/klmy       学校第一年由老师主导还是成立了学生会和十几个基本的社团，开学典礼还请俞敏洪先生做了一个发言，要知道北京校区都没有请任何名人来发言，整体看来学校还是对克拉玛依下了很大的功夫并且抱有很大希望，校区建设的速度也在提速，第一批学生的录取线大概是一本线上五分左右，录取学生中分数极差很大最高的可以超过一本线一百左右～ 言归正传，整体的观点没有变化，对校区的发展多了一些期待。匿了
如何看待看待“中国石油大学（北京）一男子化妆潜入女浴室被抓”？,一个润洁公寓唯一一个女生宿舍楼的2号楼， 只有特定的楼层弯弯绕绕才能到达的女生浴室。  开学后， 怕迷路而一个月内不敢独自去浴室的我。  觉得此人除了有足够的情报量和胆识， 并不可能轻易到那  不过话说回来，拿手机拍人家，人家自然会多观察你下，哟，原来是一个粗糙大老爷们。
在中国石油大学（北京）上李振林的流体力学是一种什么感受？,哈哈哈哈哈哈这个没上过，不过有类似体验：上王德国的液压传动是什么体验；上朱宏武的石油钻采是什么体验；上梁伟的状态监测是什么体验……
西北大学 西南交通 中国石油 （北京报哪个呢 ？,去石油大学读经济学佩服题主啊 西北的考古学不错 其他院校都不是王牌专业
求推荐石油大学北京的油气井导师?,邓金根，陈勉，张广清，李根生，高德利！
我是今年贵州的一名高考生，被中国石油大学克拉玛依校区录取，在纠结去不去？, 看分数吧，要是可以上985高校被中国石油大学克拉玛依校区录取，那就去复读。要是勉强自己能达到中国石油大学（北京）分数线，那就去上。要是才达到石河子大学的水平，那你就捡了大便宜啦。看实际状况。 
中国石油大学在国内是怎样的存在？,3泻药 看到这个问题有些辛酸，本科华东研究生北京。感觉对两所学校都有些了解。 这几年排名掉了一些，和教育部评估的当时改变有关。现在高校排名更看重纵向课题和重大项目，文章水平和学科引用排名等。两所石大都还是做的横向课题更多，换而言之，几个大院老师都在忙着赚钱，科研哪有钱重要。相比而言北京科研氛围好一点（挖人也更积极，华东这点做的太差，不出意外明年排名还得降）  两所学校培养了大批优秀的石油工程师，可惜这几年形式不好，原先石大虽然相比后起之秀们，科研和挖人差些，官僚风气重（听说山校长又不换了？华东该换个年轻的了），但行业优势导致学校有钱，非常有钱，只是这几年石油行业形势大家都了解。然而石大们，感觉华东更严重，没有意识到危机吧。科研投入还是不够，老师还是忙着赚钱，在北京见到不少年轻的海归，各个院都有。华东这几年观察，石工反正一个正经的都没有。和政策心态有关，这样下去问题就越来越严重了。  记得大四听储运院一位年轻老师做力学的，很厉害，讲自己是院里唯一做科研的，有些孤独。石工这边姚老师做的好一些，还有几个大牛。希望老姚能评上院士，感觉他也是赚够了钱才更看重科研了吧。最后再吐槽一下，华东的挖人太差了。 不过更让石大学子心寒的是油价吧，排名了没有就业形式实在。本科四年加研究生半年了，对两所学校都有感情。希望两所学校越来越好，更重要的是油价低迷能让校领导意识到，吃老本的时光一去不复返。自己刚读研，看到有和自己当年一样疑问的人，如有偏颇，请大家原谅。 ………………………………………………………………… 17.7.19更新 已经准备转行 看到还有很多回复 以我个人经历奉劝大家  别学石油 来了石大  搞个自动化计算机财务管理 凭借211保研去个别的学校就好了 别学石油了 17.8.14更新 身边有当年放弃保研去塔尔萨的PHD同学，本来是很羡慕的 近闻已经quit了。可能奥斯汀会好一些吧 身边的师兄都在忙着转行，老板说大家毕业考个公务员最是实在。这就是楼下所说的一所「顶尖石油大学」的最好的研究生院的大组的情况  有的师兄文章多 还在坚持做东西想进高校 然而高校压力更大 又是非升即走。身边本科有的同学转行的反而现在都站稳脚跟了。 可能是我自己不够牛逼吧，但一路走上来也算是同龄人中的佼佼者了 也有过情怀和幻想  但都比不过时代不再需要我们了的现实残酷。
如何看待中国石油大学（北京）克拉玛依校区？,原本是克拉玛依想改变当地没有好大学的现状，建克拉玛依理工，定位成一本院校，由于石油大学和克拉玛依关系比较近，让石油大学全程援建，石油大学有几个老师专门去忙了很久。。建成了后报到教育部，投票没给过，克拉玛依理工就黄了。 后来教育部给克拉玛依领导支招，说建新学校不好批，但新校区好批。既然只是想要个好大学，何不建个石大新校区。后来找到石油大学，石油大学也同意了。这事就成了。校区什么的都是原来要弄克拉玛依理工的。  这件事石油大学北京这边其实不是主动的，更多地是被拉入伙，学校领导对于新疆校区的将来发展也没有很清晰的定位。从现在的一些已有文件来看，新疆校区前几年北京帮着带带，后面也还是要独立的。以后石油大学说不定是三校办学了。  内部人士，匿了。
中国石油大学克拉玛依校区的德语系值得考虑吗？,……怎么说  克校区的德语你是考不上的，因为根本没有！！那是俄语好吧……在中亚会俄语是非常吃香的，但是回内地估计就不怎么有优势了，可以转系，前几届因为学生人少，转系超容易的，现在情况是：申请了就可以转……  一般来说转专业条件是：绩点排名中等就差不多了，没啥不良记录，就ok了  最后，国字号的石油大学就两所，中国石油大学（北京），中国石油大学（华东），你说的是第二个，两个学校虽然联系紧密，但，是分别招生的，现在克校区没有和华东学校的交换生项目，不过和北京校区的交换生项目已经出来了。希望可以帮到你。
