加入东华大学平行界科幻协会是一种怎样的体验？,看到“加入川大科幻协会是怎样的体验”、“加入武大科幻协会是怎样的体验”这些问题下面的回答，可以说非常羡慕了。 管理社团给我最大的成就感，不是办成了一些活动，而是看到大家因为加入平行界，生活开始有了一些不一样。 很惭愧，因为一点微小的工作，影响了他们各自的时间线。 小数据：目前协会核心活跃的不到二十人，其中有四五对情侣。 所以提这个问题就是很想听听大家的感受，而且希望之后的每一届都会有新的回答出现在下面。 —————————————————————————  高三毕业填志愿的时候，我确保了三个志愿都有科幻社团，并立志一定要努力成为社长。（我所有朋友都知道我这颗野心，直到现在聚会的时候还有人喜欢喊我会长… 暑假里就先加进了平行界的群，凭着极高的热情也很快混入了协会核心。  大一开学后百团大战，万万没想到那次招新结束后登记了几十个新人的报名表被社长给弄丢了！ 但是很巧，当时我拍了一张摊位照片，可以模糊地看到一些人的信息，于是就自告奋勇帮着找人，忙活了一整个国庆节，能看清电话或QQ的还好，只能看清班级的我就联系同学联系老乡找各个学院的班长…… 几乎动用了我一个大一新生能动用的一切资源，所幸最后还是找回了不少人。 与此同时，我忽悠了我无数同学交社费加入协会，有的是真以为这个社团很好玩，也有的就是给我面子为我捧场。现在想想还挺对不起他们的，毕竟也没有什么福利让他们享受到……因为那会儿我对平行界有什么活动也一片茫然，真的是到处招摇撞骗。 不过后来的副社启言不止一次说起这段往事，他说如果没有你做这些事，很可能这个社团这一代就会垮掉。  在做了这些事以后，就出现了这样的情况：14级的新社员只认识我一个还都以为我是学长；协会表面热热闹闹，其实真心喜欢科幻的很少，愿意为社团做事的更少。 于是时任学霸社长直接委以重任：让我负责开第一次社员大会。 那次我做的主题是“中国科幻110周年纪念”，本意是做一个中国科幻历史及现状的科普，我花了很久准备，还就很多历史疑难咨询过吴岩和飞氘。然而实际效果非常沉闷，互动几乎为0，只有少数科幻死忠粉听得挺认真  在这之后，我发现这个科幻协会和我想象的不太一样，正经活动一次没有，只有几次组织去校外参加科幻苹果核的活动。 2015年初，在失望的情绪快把我的热情消磨尽之时，我揽下了第七届上海高校幻想节东华场的总负责，社长也基本默认让我去策划这个每年平行界最重要的活动。 此时我感觉终于能放开手脚自然选择前进四了，殊不知自己连深海液都没进，即将被加速带来的瞬间应力压死。  随着前期筹备的进行，凝聚力的问题暴露得越来越严重：大一社员因为协会内的聚会太少而没有归属感，我又觉得大二大三的很忙不好意思去麻烦他们，导致我基本上是一个人写策划做宣传做外联（其实这种愚蠢的个人英雄主义很不好，一直到第二年的幻想节我仍然在犯这个毛病… 一度有些消沉，可谁让科幻是个小众爱好呢？  最终那年的“科幻定向越野”，演变成了尴尬的环校园散步；而迟卉老师的讲座也因我时间安排的问题，让部分观众觉得冗长乏味。 但大一也就这么结束了，幻想节后我被正式交接为新会长，开始了不断搞事的一年。  高三毕业的暑假里有一名几乎和我同时进群的社员名叫启言，大学第一周我们一起去了在上海办的银河奖颁奖典礼，算是我在平行界第一位面基的社员。 启言大一一年游走于各种学生会和社团之中，大一结束时，他找到我说觉得这些组织都很没意思，想在大二这一年帮我把平行界好好做一做。 启言是个特别有能力有想法的人，他在高中就当过社长，得知他浪子回头我还是非常开心的，至少我不是光杆司令了，果断任命他为副会长。 大二一开始，吸取了去年的教训，招新被我视为头等大事。从暑假轰炸各个新生群，到百团大战前违反规定偷偷扫楼（学校不让社团在学生会招新结束之前宣传，我也是呵呵），最终招到的人接近一百，虽然并没有收到那么多的社费。 印象很深刻，扫楼的时候一个学弟听说是科幻社，掏出一枚三体徽章拉着我们“我等你们好久了！来来来出来说”；还有一个学弟聊到赛博朋克竟激动地抱住了我……  我经常骄傲地称15级的干事组是平行界“黄金一代”，因为这一届招到了很多真正愿意为协会做贡献的社员： 多才多艺让我乐不思蜀（其实没有）的吉祥物智子； 凭借一己之力将严肃正经的平行界变成飙车协会的小队长； 开着PS就闲不住的设计达人目标； 新晋美女科幻作家狍子老师； 总是自称咸鱼但接了活特别靠谱的笑笑； 误以为加了滑冰社结果被打开新世界大门的果果； 加上留任的老马，曼曼，以及协会永恒的守望者、前前前前前会长老鱼。 平行界不管是从活动质量、密度，还是核心凝聚力，都在这一代达到了巅峰。  目标画的干事组群像，唯一没穿衣服的是我  招新尘埃落定，社员大会暨协会五周岁生日也提上日程，然而那个周末我要飞去成都看星云奖，于是把一切安置妥当交给老鱼主持。那次大会我邀请了远在美帝的创始人QC菌和现场连线，除我之外的几任会长礼子、陈剑、晓琳也都到场，可以说是十分盛大了。 从成都回来后马不停蹄地规划了接下来的活动：执剑人交接仪式、万圣节主题派对、三体茶话会、“优雅杯”科幻征文、年终晚会。 从十月底到十二月初，平均每两周就有一次活动，每个周末几乎都在开会。  说起执剑人交接，这是平行界每年换届要搞的一个中二爆表的邪教仪式，过程如下： 老会长：“首先，让我们向着南方，向我们永恒的敌人——三体星人鞠躬致敬！” 鞠躬完，老会长：“请念守夜人誓言！” 新会长：“长夜将至，我从今开始守望，至死方休。我将不娶妻、不封地、不生子。我将不戴宝冠，不争荣宠。我将尽忠职守，生死于斯。我是黑暗中的利剑，长城上的守卫。我是抵御寒冷的烈焰，破晓时分的光线，唤醒眠者的号角，守护王国的坚盾。我将生命与荣耀献给守夜人，今夜如此，夜夜皆然。” 老会长：“执剑人，接剑！”然后将协会祖传的一枚三体徽章交到新会长手上……  感受一下……  那段时期，协会的自媒体逐渐走上正轨，微博时不时有大V转发，活动也开始有外校同学参加了。 作为松江大学城长久以来唯一一家科幻社团，我们的发展线路开始由制霸松江，变成让协会走出去。 启言的宿舍在五楼，我住六楼，所以他经常会跑上来找我尬聊，关于协会的未来、新活动的策划，我俩对将平行界打造为全国顶尖的科幻社团充满信心。   而在16年年初，第八届幻想节刚开始筹备，我第一次萌生了退意。原因是大二下学期我迎来了传说中挂科率极其恐怖的“四大金刚”（数模电自控信号四门课），课业会非常繁重。 我不是学霸，社团占据了我生活绝大部分时间，坦言说学习确实受到了影响。 于是我就找启言商量换届的事，那时聪明能干的席尔瓦小队长是我们一致认同的会长候选人，我打算直接让小队长做幻想节总负责。 然而小队长告诉我她这个学期要准备托福出国，只能尽力帮我。 所以把总负责的锅甩掉是不现实了，我只好继续自己上，好在这一年不同了，大家全都在努力帮我分担，在我压力大的时候大家也会安抚我…… 由于这次幻想节是我退役前最后一次大型活动，所以我特别想把它做到最好，从而功成身退。 2月中下旬到五月初，在准备幻想节的两个多月时间里，平行界仿佛全民皆兵，干事组的工作激情异常高涨，大家的友谊经受着战场的洗礼，变得更加坚实了。  4月15日，“科幻电影周”期间，我背弃了执剑人的誓言，和智子走到了一起。 脱单之后的时间变得愉悦而轻快，很快幻想节就进入了倒计时。   “银河系摸鱼指南”，招牌活动是小队长策划的科幻模联，这是全国高校科幻社团首创，活动之前其实我特别担心观众难以上手，但现场效果却出乎意料地好，大家都玩的非常开心。 江波和墨熊的讲座也很有趣，熊叔真不愧是圈内著名相声演员，太能说了哈哈哈  自从在成都星云奖上认识了一位星球大战501军团的成员，我就一直想请501的人，这次也真的请到了！其中一位还是501军团首席慈善官！（当天本来501的时任指挥官也会来，后来因为牙疼没来成。   开场狗粮：饥饿游戏主题曲《safe and sound 》，不我的良心不会痛  幻想节结束后，我火急火燎地整理好协会历史资料，连同一大箱家当一齐交给了新会长目标。 对于卸任，我没有丝毫不舍与感慨，相反我对这次告别期待已久。 一入社我就在扮演会长的角色，我从未享受过活动，而此时平行界正走在越来越好的路上，我太想作为一名普通社员存在了。 遗憾还是有的，比如我心心念念了一整年的科幻音乐会最终没去办，微电影没能参演，会服没做，会刊也没做（主要幻想节花太多钱了……  本以为退休就真的不管事了，可不知道为什么，上了大三我仍然习惯性地关心群里动态，我会督促他们招新宣传，督促他们去办新的活动。 在讨论今年第九届幻想节做什么形式时，我提了个想法“办一场星际拍卖会”，大家听了都说这个好当即就决定办拍卖会。 他们有时也说“捷宝你不用这么操心了你都退休了”，可我也控制不住我寄几啊！ 大概是因为爱吧   说回题目，加入平行界是一种怎样的体验： 1.这是个玩脑洞的社团，与体育学术类社团不一样，没有固定的常规活动，总是想到什么好玩儿就做什么，做广播剧，拍微电影，排话剧，自制RPG桌游……论逼格和好玩在东华还是拥有绝对自信的 2.认识了很多有趣的人，科幻圈真的是个藏龙卧虎的圈子，让我不停地学习一个。 由于地处上海，接触到科幻作家的机会特别多，经常能跟别人吹嘘又跟哪个大佬一起玩耍了哈哈哈 3.学会了膜哈。 前几天会长买了个赛艇，打算征服大学城水路，“二期到四期，千里江陵一日还”… 整天在群里开车+1s，什么都能聊，就是不聊科幻 4.平行界有一个魔咒：只要在一家饭馆聚过两次餐，这家饭馆必倒……中过招的前后大概有五六家，以致后来群里有位华政的同学说“四期有家巨难吃的店，恳请贵社前去拔草” 5.开会的内容都是先打桌游打嗨了再说一下正事，一局狼人杀可以被改编成各种版本，诸如“天黑了，请各艘飞船关闭发动机……水滴请睁眼，请选择你们要打击的飞船……章北海请睁眼……”巴拉巴拉 每次抖手小王子老马在的时候，玩的第一项活动永远都是抽积木哈哈哈哈   我是一个特别喜欢琢磨的人，办活动之前常陷入一种兴奋和焦虑并存的复杂心情，没事就会想细节找bug。干了两年，真的很累，但每次活动、开会、约饭约电影于我而言都像是过节一般，充满期待。 担任平行界的会长是我大学做的最牛逼的一件事，与大家一起办活动的日子也是我大学最难忘的回忆。  以上。（黄执中pose
先就读于东华大学纺织专业，大二，毕业想去外企，老师推荐先学口译?,可以报一个口语培训班，锻炼一下口语。
上海大学和东华大学的材料专业你推荐哪个？,可以负责任的告诉楼主，东华大学材料碾压上大
东华大学是不是一进去就分专业？,看专业，我们专业到大三才分专业，有的大二分
东华大学研究生服装设计理论与应用和服装艺术设计有什么区别？,刚刚查了，一个是设计学，一个是艺术设计学     如图， 我也想考东华研究生 有机会交流交流
东华大学833纺织材料学考研真题资料？,你是要真题么？我有全套
东华大学大二服装设计的学生，想要考研意大利或者欧洲一块，希望了解一下学校和生活？, 先问一下，知乎@我 ，我那边没有消息提醒耶!  谢谢邀请哈！  考虑意大利的院校的话，推荐马兰欧尼、柏丽慕达和欧洲设计学院。  读研究生，还是比较推荐马兰欧尼的，因为马兰欧尼的师资、名气在国际上，都是相当有名气的，而且马兰欧尼会根据市场需求，开设一些专业，它的设计也会偏商业化一些，当然啦，马兰欧尼学校和500 多家专业的时尚公司保持着密切合作，使毕业生可以到专业的时尚公司实习和工作！每年都有时装公司、设计工作室、媒体和猎头公司的专业人士赞助和观摩马兰欧尼的毕业秀，发掘人才，给学员提供了向世界展示自己的机会！ 这一点，对于给学生提供了去名企实习的机会，这一点还是蛮好的。  巴黎的话，马兰欧尼巴黎也有校区，柏丽慕达校区是在佛罗伦萨哈。  就业情况的话，意大利和法国本身都是属于时尚之都，时尚产业非常成熟，主要看学生自己的实力和表达能力，学校都是有推荐，最后要看学生自己的争取。  消费的话法国偏高一点。另外还有一点就是签证方面，法国签证没有意大利的简单，通过率也没有意大利高。学生最好是根据自己的实际情况来做选择，而且法国校区招生要求一直都比较高。这一点请同学稍微重视一下。  简要分析了下，希望对你有帮助哈！ 
东华大学校优秀学生四年中只能评一次吗？,题主说的是优异生吧。每个学年结束都可以评的。好像要求绩点是前百分之十。不过这个优异生好像没什么卵用。（就我的学院来说） 这问题我还是匿了比较好……
如何看待东华大学学生1000米晕倒死亡事件？,无聊的问题。。。大学生、体测、猝死碰巧凑到一起就成大新闻了、、、、、、只是一件意外死亡事件而已、、、、、
我是音乐生 今年刚刚录取了东华理工大学的音乐系 不想去音乐专业不好的大学 想复读 父母不支持怎么办？,谢邀 你既然提问了，我就明确下你到底有什么问题是需要我们能帮助你的，且你自己解决不了的 我们逐条深入 1:想复读父母不支持我怎么办？             2:父母因为什么不支持我？家庭条件还是其他原因？ 3:明知道你所要报考学校音乐系不好，为什么没考上更好的，什么原因？ 4:为什么会提出"想"复读，父母不支持，我是不是该继续复读这种问题。而不是我"一定"要复读，怎么样劝说父母。 5:你自己意愿强烈吗？ 综上所述，一条也解决不了
