从就业前景考虑，如何在哈工大、大连理工、吉林大学间作出选择？,确定要读研的话还是报工大吧，貌似出身对考研保研都很重要。 工大的工科专业没有弱的，基本水平都在全国前十甚至前五。 不是说大工和吉大不好，他们的宿舍条件、某些专业可能会好一点，但总体上看应该没有工大能给你的多。 都在东北，就没什么地域优势了。 工大在东北所有大学的领导地位貌似已经是公认的了。
你为什么不推荐他人报考华南理工大学？,现在学生们的要求真是高啊……既然学习条件已经比我们十年前要好，不知道学生们学起东西来是不是比我们要更快更扎实（逃
北京理工大学的计算机专业好么？, 我院教学科研水平其实还可以，但要与国内一流名校相比，当然有差距，自从著名计算机专家梅宏院士就职我校副校长以来，对我院承接国家大的科研课题与项目有利。近些年来，新进了不少年青的有实力的新教师，均为名校毕业，海外求学，象我这种水平，在科研上是垫底的货色（当然偶在教学上强，这点咱也不客气，这块能让我服气的人很少）。  就找工作而言，从未对学生就业和发展带来任何不利影响，毕业生也遍布各IT牛企，每年保送清北和出国深造的都有，很多人的职业发展不错，收入职位都不低，只不过不像名校那么引人注目，比较低调而己。 
大连理工大学由于大三拒绝出观众被辅导员找茬怎么办？,谢邀。 其实题主不必多心，导员这两项决定应该并不是故意找你们的茬，而是事出有因…… 原因就是前些天倪浩博失联的事……你懂的……学生失踪，心理测评，夜不归宿，三者联系起来，应该就明白了吧～  导员嘛，实际上是没有动机事后找你们茬的，何况是找整个班的茬，运动会前他会用各种手段威胁你们去出花束队，现在运动会结束了，再给你们穿小鞋，对他能有什么好处？除了惹一身麻烦什么好处也没有，导员也没那么闲的……  现在你只要不跳出来当典型，一点事都不会有，大学生手册中规定熄灯后用电脑处分，我没记错的话是要影响室友才算数的吧，记不太清了，反正全校没有一个人熄灯后不用电脑的，导员要真拿这个处分你们，学校会把他当脑残看的。而且一旦他拿什么莫名其妙的理由处分你们，你们一个申诉他就得跪，大学生手册规定学生申诉的话学校要组成一个专门的小组来处理，他丢人能丢到索马里去，没人会和自己这么过不去的。  放宽心，该干嘛干嘛，眼看到考试周了，别想那些有的没的，安心学习，认真准备考试才是正事。加油～  得～就在刚才，我们级队也强调严禁擅自离校夜不归宿的事了，现在全校都这样，放心吧。 
在大连理工大学盘锦校区就读，是一种怎样的体验？,多图预警！   总的来说盘锦校区是一个让同学们在“捡了个大便宜”和“跳进了个深坑”之间来回摇摆的地方。   1.寝室生活和书院制  寝室生活是盘锦校区给我印象最深刻的部分（并不是说我大部分时间都呆在寝室=_=）。    寝室内部概览（盗贴吧的图）   答主的书桌   寝室外景  宿舍装修和家具都非常新，非常干净，令人难忘。总体来说住宿环境非常非常好（这是和大连主校区对比评测得出的结论TAT）。六个寝室一个单元，每个单元上下两个大客厅加三层阁楼。寝室外有阳台。每天呆在寝室生活是很惬意的。  盘锦校区行书院制管理，即每个学生学业归属于学院管理，而生活部分则归于书院。在安排寝室时完全打乱专业顺序，不同专业的同学一个寝室。因此校区学生的交际圈大大拓宽！ 例： “你们专业那个美女XXX你认识吗？” “哦，好像是三班的，我帮你问问......”  书院制带来的差异化让寝室内部的思想、知识、人际关系更加多元化，同时由于不同专业的同学学习科目不同，考试时间错位，相互之间没有竞争， 学业压力在寝室内部大大弱化，让寝室的生活气息得到巨大的增加。   高规格的寝室，有趣的生活，让人不想离开。  2.让学习填满生活  大连理工大学一直以来学风优良，所谓“学在大工”。在盘锦校区，学风建设也非常受重视。  学校对学风建设非常重视，新生刚一入学就开展了一系列指导讲座。除了心理健康和安全教育讲座，基本都是教育新生勤奋学习，不要荒废大学时光的。  盘锦校区有专业排名前3%的学生有资格转专业至大连主校区的政策，因此很多学生为了这个目标勤奋努力地学习。涌现出了大量的学霸=_=  重要的高学分科目有期中考试，也起到很大督促作用。  当然，整体上的学风与主校区差距还是挺大，这也是没有办法的。   图书馆（空调），在这里自习一天是一种享受  3.教育资源  盘锦校区的老师们的水平可以说参差不齐。教师团队的主要组成是新上任的年轻老师和返聘的退休的老年教师。  年轻老师们普遍是认真负责，风格差异也比较大，其中诸如高数张金涛老师讲课非常实用，真的会把例题在黑板上一步步推导，把思维的过程完全展示出来，而且看问题的视角非常独到。  老年教师则比较差异化.......  高数谢琳老师讲课风格非常犀利，对问题的分析都要深入到本质。后来谢老师开发了一套“先讲怎样解题再解释原理”的讲课模式，因为一般来说原理部分大多人听不懂，后面怎样解题也就GG了囧。谢老师本来是教数学分析的，你们感受下.......此外谢老师个人魅力爆表→_→  高数袁学海老师对知识点的总结和讲解很扎实，上过他课的学生都知道袁神的上课节奏很神奇，不细说了。  聪明的你可能发现答主怎么会听过三个老师上的高数课。这就要说盘锦校区另一件福利→_→盘锦校区的必修课程都是置入的，没得选，但也因此老师不怎么点名，所以答主是混听三个老师，高数第七章后期有节课听了三遍=_=（判断失误，并非没听懂）。  评论里有提到詹卫申老师，那么也说一下。詹卫申老师主讲大学物理，人称詹神。詹卫申老师的讲课特点就是扎实，但答主认为有时候太过扎实了=_=。詹老师对基础知识点讲解非常详细、深入，并且对例题非常执著。  例： 詹神：“这道题我要讲就得讲半节课！” 台下学生：“......” 詹神：“但是我还是要讲，因为它太重要了。” 台下学生：“*&amp;￥@#%......”  詹神：“这道题一般老师不敢出，这是清华的老师才敢出的！这题我要详细讲一讲。”  詹神：“这道题期末一定不考，因为它太难啦！” 台下学生默认跳过...... 詹神“但是如果你会了这道题，那么这一节你就没问题了。所以我还是要好好给它讲上一讲。” 台下学生：“%*#￥@……”  詹神有个响当当的绰号叫“舞王”！不多说，见下图：   图为詹神为同学们讲解刚体力学（盗图自盘锦校区某小美女空间）    不过说了这么多好，很多老师实很不负责的，讲课也听不懂。不细说，遇上这样老师可以果断切换。   除了师资，学校与主校区联系非常密切，经常有大师来校区作讲座，还有一些必听的讲座，称之为“导论课”。   著名院士钟万勰先生给盘锦校区同学讲授“学问人生”   著名院士王众托先生给盘锦校区学生讲座谈“创新”（盗图自学校官网）  学校不怎么重视竞赛，没有官方的数模课和ACM课。但是各个学院都有给本科生参加的项目。我想这样也好吧，一来校区学生可能大多在中学时候没有对竞赛投入很多，二来对创新型人才来说，或许直接参加科研项目，解决未解决的问题比在竞赛中参加人为设计好的问题更好？让时间来证明吧。  4.环境  盘锦校区周边基本都是荒地和工地，非常开阔，但也没有方便的娱乐和购物选择。很多人称之为“可以专注学术”，答主对此持强烈的反对态度。在答主看来，优质的娱乐有助于一个勤奋的人对工作更加投入。不过好在大多数年轻人娱乐的重心在乎互联网，所以同学们的娱乐生活并没有因此受到毁灭性的打击。  盘锦校区的建筑、花草的美，给人一种“世外桃源”的错觉   A01西侧湖水   从八食堂出来，看到紫色的天空   周五的中午   从图书馆出来看到的天空   盘锦校区标志性的红色钟楼  拍照技术有限轻喷  5.吃  盘锦校区的饮食确实比较值得吐槽。  校区一共两个食堂，八食堂三层楼，三食堂二层楼。答主倒是可以忍受每天都吃同样的食物=_=，不过对于美食家同学们来说食物的选择确实非常少。八食堂三楼是一家独立餐厅，可以点菜，通常同学、老师聚会会选择八食堂三楼。  无奈于周边环境荒凉，校区领导和老师与同学们吃的都一样。八食堂一楼经常可以看见卢中昌校长，而三食堂可以说每次去都会遇到很多基础教学部的老师。  很多同学周末会去营口和盘锦玩耍，顺便改善一下伙食。不过在答主看来营口环境优雅、品味独特的餐厅严重稀缺。盘锦不很了解（在盘锦校区读书一年的答主居然没有去过盘锦市中心！）      另：答主由于成绩比较好已经转学到主校区的电信学部啦 :）希望以后有机会能更新陵水河校区与大洼校区对比评测   总之，盘锦校区可能很多地方还不够好，但他在成长。何况他很多地方已经那么好。  大连理工大学盘锦校区，加油        花絮：  学校一共有两次健康教育（生理健康教育→_→）   第一次是一个女老师，她说： “我对你们的要求就是精神恋爱。精神恋爱懂吧？就是没有肉体接触，享受这个恋爱的过程。”    第二次是个男老师，他说： “同学们知道最重要的是什么吗？一定要戴套！我再说一遍，一定要戴套！而且还要带戴质量好的套！万一漏了呢？我当年最后悔的就是没有戴套！”
如何评价大连理工大学教授施光燕？,大工隔壁来回答。 应该是个很老的教授了。 我认识他是从他的教学视频开始的，感谢他，我的概率跟高数都没挂。
华南理工大学有哪些学生喜欢吐槽的典故？,一.西伯利亚 甩着一个北区在远处是闹哪样啦，两头隔着一站地铁了都，中间还隔着一条东莞庄路，出一次门禁，进一次门禁。 早年的，嗯，八九十年代的华工人，管北区叫西伯利亚。因为那个地方属于华工，但不像现在有大量的宿舍，过去北区基本上毛都没有… 前些年北区还加建了一条傻逼天桥，有趣的是外边的报纸说的是“天桥连接了南北校区”… 多么让人脑洞大开呀(ˉ▽￣～) ~~  二. 男女比例 这事学院之间悬殊。建筑学院表示还好，听说南校的新传学院和艺术学院则简直是个女儿国。不过听说机汽和土木这些学院就厉害了。以前都说“华工男女七比一，一对情侣三对基”，或管华工叫“五山禅寺”。其实还行啦，还行啦。  三.华南施工大学 妈蛋。  四.北二饭堂 一般认为是华工最差的饭堂。不好吃一回事，主要是之前吃出蟑螂还是啥来的。大二搬离北区后反正再也没吃过，无非是道听途说。  五、雷锋 以前的西湖文化长廊是黑板报栏，不是现在这么高大上的橱窗。 每年雷锋纪念日，各个学院要画纪念雷锋的手绘海报在西湖边贴出来。 那些雷锋真是长什么样都有啊！每年这一下都是盛事啊！ 还有穿冬季校服的雷锋哇咔咔~  （图片转自微博）  六、分手亭 西湖里头的那个亭子正式名称应该是叫做烟水亭吧。 可是大家都管它叫分手亭... 偶尔见到有情侣在里面都觉得很欢乐。  七、男神镇楼 那个上身雕像前下方有个灯，晚上天一黑，灯一打，几层楼高的巨大阴影打在身后那逸夫科学馆的正立面上，没心理准备的话保准被吓得坐在地上。特么简直是男神镇楼啊。这个灯这么久了也不去掉学校难道是蓄意的吗~     八、逸夫工程馆 其实华南理工除了逸夫人文馆和逸夫科学馆，还有一个楼叫做逸夫工程馆，在南区，那个位置很多学生直到毕业都不会走到，所以很多人不知道...外面的人来问路的话，十有八九被学生指到逸夫科技馆那边去。  九、励吾楼的兄弟 华农前些年盖了一个楼，整个就是励吾楼的矮胖版本，两个楼又不算离得远，站在东湖边，两个楼能同时看得见。 感觉像是老夫子和大番薯呀~  十、华工体育馆 这个名字不是属于西区那个体育馆的，而是属于东区文体中心旁边那个有电影看的大礼堂的... 也许多年前里头还不是座位和讲台，而是羽毛球场吧？  十一、要考游泳！ 哈哈哈哥是会游泳的~
遇到别人问我的大学，回答大连理工大学软件学院，人家会问是三本么，这时候怎么回答？,我在上海交通大学这一在四五线小城市名气很小的名牌大学读书。以前也曾遇到这种问题。一开始过年回农村时遇到各种陌生乡邻总想费一番口舌解释清楚。但渐渐释然。 在中国，清华北大可以算两个全国皆知名的高校，复旦人大各可以算半个，本省最好的大学也可以算半个，其他大学的名字，对于这些只需要过普普通通生活的人来说，都没有必要知道。他们关心市场上的猪肉价还来不及。所以你这种“我的学校很不错的你怎么不知道”的想法只是一厢情愿。 在意他们的知识水准之低是没意思的，正如你没有必要向一个乡村老妪说明傅里叶变换的美妙欧拉定理的伟大历史地位。  有的学校，在越是精英的圈子，知名度越高。 在一个街头卖烧饼的老头会问，“麻省是哪个省呢？麻省理工学院和闵行理工学院、常熟理工学院有什么区别？这学院是个二本还是三本呢？” 一个呕心沥血叉着腰带着一群小孩的大妈会问“怎么跑去当老师了？还只是一个高等师范学院？国内混不下去了吗怎么去了法国？”  其实这种羞辱感与无力感只是来自于你自身，因为你在乎的只是些本没有意义的东西。 你可以做的，是不断地提高自己朋友圈的水平，他们对你的肯定才能展现你的价值。  璀璨的宝石不会在没有光的海底得到认可，这也不是它应该去的地方。 
大连理工大学化工专业的本科生教育究竟如何？,不是化工专业的。说的不一定对。  化工与环境生命学部人很多，我身边也认识不少化工的同学，感觉他们学的还是挺不错的。不知道老师讲的怎么样，至少从硬件条件来说，单化工实验楼就有ABCDEFG座，还有一座化工综合实验楼，是我们学校最好的建筑群，从外观上看不知道比力学的小破楼高到哪里去了。（当然力学的小破楼里面有价值好几千万的实验设备哈，水不在深，有龙则灵）而且化工方面大连理工大学有精细化工国家重点实验室，经费上也不成问题。 和天大，清华相比也许还差一个身位？这也是我猜的……不过化工作为大连理工大学传统优势学科之一（建筑、力学、化工、船舶、管理，我了解的大概这几个吧），还是很强势的。
上海理工大学的食品科学与工程类专业怎么样？,全国排名第20，还不错！前提是好好学，学到东西！
你为什么推荐他人报考华南理工大学？,少年轮子哥，编程有奇功， 心中存名校，不去清北读， 离别潮汕家，只身赴广州， 日夜忙写码，终成软工牛， 迎娶白富美，入职微不硬， 飞向美利坚，登上人生巅， 巨硬奥菲斯，高级工程师， 闲时轮带逛，钓人来发图， 为何如此屌，只因读华工。   我就问，这样的学校，你读不读？读不读？读不读？
大连理工大学盘锦校区想转商英，有学姐学长给意见吗？,学妹(弟)，不是我忽悠，不如转经济或者知产。
如何评价大连理工大学贺高红教授？,只说一句：贺高红教授在大连理工大学盘锦校区，只手遮天！ 利益相关，匿了
北京理工大学软件工程怎样？,今年是大类招生，计算机学院与软件学院一起招，到大二时再分流。 我校学计算机的，毕业求职深造都不受任何限制，发展之路还是很宽广的。 有一点要说明，就是本科要在良乡呆至少两年。到中关村校区坐地铁也得一小时，偏远了些。
软件工程狗，我应该去大连理工大学（大工）还是西安电子科技大学（西电）？,大工我不了解。西电呆了四年觉得西电的软件很牛，强人很多老师水平也高。 西电适合学习，学校学习氛围很好，学霸多。华为中兴很喜欢在西电招人 西安城市没有大连好，商业化程度不高，个人更喜欢大连这个城市。以上是个人见解
