上海的华东师范大学的HND怎么样？, HND项目，后期接Top-up，是对外合作办学的一种。  首先，先说明肯定是正规项目。（我只说HND在中国合法，至于华东师范的这个项目，建议在教育部网站上查一下~）    国内读两到三年，拿到国外本科学位。     这是英国教育等级分级体系~~~~    看出来了么？Level 6才是本科等级，所以~~~~  这个项目有点像“专升本”，这样是不是比较容易理解了？ 
咨询华东师范大学河口海岸研究所与地理科学学院的自然地理的有什么区别?,1.专业区别 【河口海岸科学研究院】主要从事河口海岸相关的研究，自然地理主要包括河口演变规律与河口沉积动力学研究和 海岸动力地貌与动力沉积过程研究。研究特色特色鲜明。 研究内容 | 河口海岸学国家重点实验室    【地理科学学院】自然地理方向从事常规的地球表层系统各种过程的研究，当然也有自己的特色。研究区域较广泛。 主要研究领域、方向 - 华东师范大学地理科学学院     总的来说，两者的差别很明显。  2.难易程度 可以查询其考试科目差异、进入复试分数线、录取比例等信息。自己心里有数就行。 华东师范大学研究生招生信息网     3.考试信息也可在 华东师范大学研究生招生信息网   查询，锁定目标，扎实复习，谦虚务实，应该不会太难。  祝你好运。
有考华东师范大学英语学科教育的研究生经历的吗？,（已更）17年考的，失败经验要听吗。。  本人二本学校，平时成绩挺好，拿过国家奖学金，四级600+六级580+，前几天刚过了专八。基本情况如上。当时一心想报个好学校，定下来考这个之前也纠结了超久，咨询各种老师，都觉得我努力一下可以的，最后还是差一点… 自己总结了几条失败原因 1.主要是死在333上，这门是花时间心思精力最多的，研究华东之前的真题，每年都考的比较重点，每年也都会有几十分的原题，这个你们研究一下17年之前的也会发现。所以背书的时候有很多小知识点、别的学校也从来没考过的那些，直接略过了，特别是最后冲刺阶段，对着那些重点和真题使劲背，结果。。。结果。。。是的基本都没考(.﹒︣︿﹒︣.)可以说题出的偏，但还是有人背的全，人家就考的好，没什么可说的。一个题都不要放过，不论你觉得这个有多偏，背吧  2.我觉得报考这个学校要有自信，更要有比较扎实的英语语言能力，综合英语考的就是语言运用能力，想考的应该已经看过真题了吧？这门就是题少分值大，所以比较难，个人感觉比专八难度大。而且好学校比较傲娇嘛，出题灵活性很大，如果你是只会对着参考书死读的那种类型，可以再考虑考虑。  3.考研一定一定要清楚地认识自己，自己擅长做什么，不擅长什么类型的题目，然后看看专业课的真题，通过半年的努力自己能不能攻克。自己适合用什么样的学习策略，并不一定每天朝六晚十就一定能考上，可能你早起床就没精神，就不要勉强非要让自己看起来很努力，更不用和别人比，人家谁谁几点去图书馆几点回来，人家看了几遍书了，都不要管。考研是和自己的战争，制定自己的复习计划，找到适合自己的生物钟，合理安排，保证效率，才是最好的。  4.不要把考研想成特别痛苦的事，只要安排好了学习计划，可以适当给自己玩的时间，但是学的时候一定要专心，专心，专心，不要带手机，不要带手机，不要带手机。  以上。想到什么说什么了，有点乱，将就看吧(´･ᴗ･`)希望对你们有帮助，有什么想问的可以在评论问我~
中科大，东南大学，华东师范，计算机考研该去哪呢？, 中科大你是说软院吧，招生人数多得一逼，但是发配苏州，基本上就是挂中科大的牌子了，没导师，学费还那么贵，就是圈钱的，每年收调剂。  华师大软院很好，最近合并了计算机，但是这两年分数暴涨，已经是这三所里面最难考的吧。  东南是这三所里面比较平庸的，名气，实力，地域都不是那么出众。如果不是特别中意，还不如去考华科。 
请问华东师范大学考研考东方房地产学院值得考虑吗？,我也没听说过，可以肯定的是华师的绝大部分专业在上海就业非常好，这就涉及到你以后的考虑了，就是工作地点的问题，如果是学习的话，华师的房地产专业也是历史悠久的（这点我知道，曾经有老校友返校过），知识肯定能学到不少
华东师范大学有哪些好老师？,【时隔蛮久又增加更新】 就说在商院接触过的。范并思，陆建平，孙斌艺，陆斐，薛跃，连燕玲。  先说孙斌艺老师吧。第一次见他，一张嘴说话，便能让我们感受到他平稳温和的不凡气度。学术做得十分不错，我们的微观经济学，宏观经济学课本都是他写的。也与那些埋头学术不会教课的教授不同，孙教授是真的能够深入浅出的把经济知识传授给学生的。不仅是能把书本上的内容通透易懂，也能与时事融会贯通让学生们理解。甚至之前也还手把手告诉我们如何利用学校图书馆数据库查资料，哪些国内外资料库比较可用，一步步帮助我们铺好平易的路，把学生引向经济知识，一点点激起学生对经济学科的兴趣与求知欲。于此同时，刚开始同学们会因为他的普通话有点不准（其实不会我觉得），但他一直很谦逊地承认自己的普通话水平，请同学们包涵。又或是上课偶尔讲错也会向我们好好道歉，请求大家积极指正。这种做人方面谦逊地的身教，也实在是令人佩服的。他是第一个能让我觉得我觉得华师大有这种资质教授才能从教学方面算得上大学的学校。 接着说说老陆哈。陆建平老师的课也是惊艳，每节课教室也会多出很多人来。说话和孙老师一样，也是平平稳稳的感觉。电商多实战，他的案例分析挺棒。有时候把一些大道理和案例揉着讲，加上个人独特的讲演风格，令人受用。能把电子商务基础知识与案例，按照他的方式剖析出来，让我们一步步走向互联网本质，遇到这样的老师，不可谓之不幸运。再讲讲做人，老师不仅会把做人做事的道理融到案例里面一点点让我们体会，而且在平时，他对学生们的称呼都是 您 。虽然不是商学院里面我第一个见过称呼学生为您的老师，但是这类礼貌谦虚的细节也是一点点入心。直到最后一节课，他在最后与我们共享的人生体悟，我也都记得。       唔，现在来讲讲老范。范并思老师真是一位有年轻心的老先生。与学生十分平等，都是当学生爷爷的年纪了，也即将要退休了，但他第一节课就推出了个电子二维码名片让我们扫扫，以便获得他的相关信息。上了年纪的人（可能老师是因为职业原因）能够把现代的东西玩得这么好，真是令我们一众学生心悦诚服。 到了会计系，才发现还有陆斐老师。虽然她的课我学得不好，但是还是很喜欢老师哒。陆老师复旦本科在国外读硕读博海外教学了好几年回国，教的中财比薛老师的课本要难很多，但是课讲得很好。会计的原理和“为什么这么做”给我们讲得很明晰，是真正帮我们一步步学深学通会计的老师。和学生之间也并没有很大的距离感，考试喜欢用我们的人名当公司名（唔，我又把有自己名字公司的那道五六行长的选择写错了），但是还是有满满的女王气场。总之上课时我是两眼冒着小星星听陆老师的课的，虽然是会计班渣渣。 然后讲讲薛老师，薛老师给大类的第一堂课就在讲她的故事，还是蛮励志的。然后喜欢笑眯眯地鼓励我们说你们比复交的学生踏实，比财大的综合，我们华师的学生是最好的（仅是鼓励啦=_=）。不愧是编我们教材的，后来用剩余很少的时间，帮我们把整本书的框架很明晰地搭建起来了，讲课超级厉害。还没上薛老师的专业课就要跑路了有点可惜呢。 然后讲讲小连老师。连燕玲老师有扑闪扑闪的大眼睛，就是大姑娘爽朗亲切的性格。新老师毕竟年轻，和学生们的距离也很亲近，大家也非常喜欢她。她让我最欣赏的，或许是那种要努力成功努力做好事情的韧性。她会在第一节课给我们讲她的励志求学故事，从三本到沃顿，让我们深深相信只要有目标，像老师一样足够努力，是能够依靠自己努力收获未来的。其中她的努力和艰辛，都深深让我佩服，也无形中为她的学生们榜样的力量吧。  把自己商院的老师讲完了，接下来讲讲大学之中接触的其他好老师。  师大最有名的是中文系，中文系的师弟告诉我他们系有个宝贝，是周圣伟老师。自己是去蹭课的，并没有真正选上老师的课。第一次去就被同学们的热情吓到了，大家都拼命往前坐，人满满当当的，而且能看到不同年龄层的人，本科生研究生甚至有次遇到了应该是博士的年龄的听课者。老师讲课自然精彩，不仅是对古诗词信手拈来，融会贯通，对相关的史学也很有了解。特别让人记忆犹新的是他的讲课方式，记得他讲到动情之处模仿小姑娘提着鞋子偷跑，惟妙惟肖，令人全情投入诗词中（课名是诗词与人生）。除了讲课方式，内容也是让人体会到，读诗读文学其实是在读人生读世界，老师也会把自己对世界的见解分享给我们。强大的人格魅力和有自己对世界上各种事情的见解，令学生们都争抢着坐到前排津津有味地享受课程。  韩立平老师，是上文科必须选读的通识课遇见的。课名貌似是国学原典纲要。中文系的课，一直都是令人憧憬的，当时盲选了这位老师，上课之后也十分惊喜。韩老师是个活在国学里的人，上课便难以掩饰出他对国学的喜爱沉浸。真正热爱一门学科，与学生们谈论时所散发的如痴如醉的魅力，纯粹学问人的思维和行为，让我十分羡慕他的状态。有一回上课上得开心了，还给我们唱几句诗词。如此投入，当然国学功底不错，课也是讲得十分生动的。顺便说个小趣事，他上课时还给我们看了他和妻子的结婚照。老师对中国文化如痴如醉，结婚照不是洋气的婚纱，不是简单的唐装，而是和老婆一起脸上画了戏剧特殊的妆容穿着戏服照的。进了大学，见到活在自己学科中的人，真实地感受到象牙塔的滋味。   华师大在我心目中，更像是华东文艺大学。我沉浸在她的人文课堂，也会砸好多意愿值去上艺术体育类课程，毕竟对于我这种文科生来说，更容易投入理解一些。推荐美术系的中国写意花鸟画基础，虽然才拿了2.5的绩点去献了个丑，研究生也被自己任性选课选学校低绩点的事情影响得难申了很多，但是学习书画，培养雅致的机会还是我不想放弃的。没来得及去上播音主持基础这门公选课就消失了，这是遗憾吧。  来讲讲音乐系的谭雅茹老师啦。我非常凑巧地选择了合唱课这门第一年新开的课程，谭老师也刚刚从海外进修回来。谭老师第一节课就给大家发了问卷问我们想学什么。大概因为网上能她指挥水平很棒的关系吧，有的同学就说了指挥。接下来的日子里，她教我们简单的乐理，如何锻炼气息，如何合唱，如何欣赏指挥，如何简单地指挥。能被这种水平的老师教学，会让你真正知道该怎么唱歌，怎么欣赏合唱音乐，每个月月考督促我们练习，甚至给我们带来了真正登台演出运用所学的机会。当我下台，小心翼翼地问问观众席上的观众我们唱得怎么样时，听到的赞扬让我更加肯定了老师对我们的培养。这种走近音乐教室就像走进国外教堂里大家齐声高唱练习曲子的日子，在我的心里便是美得像诗一样理想大学的样子。       一直觉得真正的好老师，是那种你被他上过一堂课后，觉得这才叫大学课堂的人。不仅仅是课程的内容，而是为人的魅力，会让你感受到这是值得崇敬的一个人。 最近挺忙。具体再慢慢码。有空会添加更多好老师和更详尽的东西。 ............................................................. 剧透下，接下来想写的，商院白露老师，陈宏信老师，侯仕军老师。体育系当过奥运选手的陆颖娜老师，还有法语系的女神老师:）。
请问在华东师范大学(中北)洗澡是种什么体验？, 谢邀。  不管是步行还是骑着小黄去丽娃，或是就近在河西洗澡，体验都相当不错呢。  对，穿着拖鞋就挺苏服。 
华东师范大学有会计本科专业吗？,华师大会计专业怎么样？好不好？
华东师范大学图书情报研究生复试考什么？,      谢不邀。        先理一下时间线。官方宣称2月16号可查成绩，实际上15号晚上21：06就已经有同学查到了成绩，不过因为太多人登陆，所以网站一直不稳定，建议心态好的同学直接第二天再查（好吧，可能没几个人忍得住），没人和你挤。查到成绩后点击“打印成绩单”可查排名，根据1：1.2的差额比例可知自己进复试否，最近两年都是共收40人，12人推免，28人统考进来。所以会放34人进复试（28*1.2=33.6四舍五入34人）。但明年推免是否变化未可知，总之同学们用当年公布的计划招生人数减去推免名单（华师官网可查）的人数就可知统招多少人了。因为国家线是3月16号公布，所以华师的复试通知就在17号了。17号华师会电话通知加邮件通知大家复试的具体细节。17年的复试是3月26到27号两天。16年是3月27到28号。3月26号，上午9点到11点交材料，具体材料在邮件里说了。其实交材料就两分钟，交了之后，你大可去图书馆主楼（不用刷卡，那个圆形！圆形！的楼，或者你直接拉住一个同学问哪个地方不用刷卡进）继续复习笔试，下午3点到5点笔试。下面贴出近几年复试笔试题目。劝同学们将这些题目打印下来，因为我相信你在复习时会无数次需要他们来为你的复习方向做指明灯。  华东师范大学2013图书情报复试笔试题目 一、名词解释： 1.图书馆学 2.文献编目 3.高校图书馆 4.竞争情报  二、简答题： 1. 古越藏书楼发展史上的作用？ 2.信息技术对图书馆的影响。  3.政府信息资源价值 4.情报学和情报工作的区别  三、论述题： 1.为什么建立公共图书馆，公共图书馆服务标准体系。 2.图书馆在网络时代遇到的挑战。  华东师范大学2014年图书情报复试笔试题目  一、名词解释 1. 开放存取 2. RAD （resource and description） 3. 图书馆集成系统 4．布拉德福定律 二、简答题（6分） 1. 兰开斯特的未来图书馆设想 2. 新图书馆运动的意义（范并思 《20世纪西方与中国的图书馆学》） 3. 图书分类法 4. 竞争情报作用 （李国秋《企业竞争情报学概论》华东师范大学出版社的） 三、材料分析题 (20分) 一篇材料，讲的是存取方面的问题，一方观点认为存取可以完全取代传统图书馆模式，一方反对。 1. 存取观点给图书情报事业带来什么 2. 你赞同哪个观点 四、论述题  1. 图书馆对社会公平民主的作用 2. 大数据对图书馆的机遇与挑战   华东师范大学2015年图书情报复试笔试题目  1、信息技术对图书馆学发展的影响 2、公共图书馆的社会价值 3、列举三个对图书情报学的产生和发展产生重要影响的人物，并阐述其主要贡献。 4、试述企业情报工作的内容及其在企业管理运营中的价值。 5、移动计算给图书情报行业带来的机遇和挑战。   华东师范大学2016年图书情报复试笔试题目 前4题每题10分，后四题每题15分。 1、芝加哥学派对图书馆学理论研究范式的影响 2、《公共图书馆宣言》颁布的价值意义 3、存取VS拥有争论的焦点是什么。存取的思想的意义 4、MARC的优点和意义 5、新图书馆运动时期的理论研究的特点 6、阮纲纳赞的五定律内容，是否在互联网环境下仍能适用，为什么 7、图书情报学的研究对象及研究方法 8、评述当前图书情报学的研究热点   华东师范大学2017年图书情报复试笔试题目 前4题每题10分，后四题每题15分。 1、评述书目元数据的变革和发展 2、介绍四位重要的图书馆学家及其主要贡献（2个中国，2个国际） 3、谈谈你认为未来图书馆应该具有哪些特性和功能 4、竞争情报的研究内容 5、50年代以来，中国图书馆学的发展道路 6、谈谈你知道的情报分析方法。在大数据环境下仍然适用吗？ 7、知识发现的基本内容和方法 8、评述图书情报学的热点话题   以上便是笔试题目，近两年的笔试都是发一张A4题目纸，外加一张大约A3大小的双面横线答题纸，大小和我们199联考的答题卡差不多。所以每道题大约需要写半页纸。每题大约可写15分钟。大家要一定一定一定要注意笔试题目的变迁，从形式上，笔试题目从15年开始改变，到了16年稳定为8道题，17年同样。从内容上（更关键），先看下华师官方的说法：  笔试：图书情报事业管理。 1.基本内容：世界和中国图书情报事业的发展与变革过程，重要的图书情报理论、文献、人物与事件，我国图书情报事业的管理体制、结构及其基本特点，图书馆业务活动的主要内容与知识要点。  2.主要参考资料：《20世纪西方与中国的图书馆学》，范并思等，北京图书馆出版社（2004）。  15年的一篇经验帖 （  http://  bbs.kaoyan.com/t6235931  p1      ）说“虽然这（20世纪）是官方唯一指定用书，但是考察到的内容并不多，如果你只看了范并思老师的这一本那你复试一定很惨”。所以可能不少16级的同学就按这上面说的，没太重视这本书（20世纪），可2016的笔试题就重点考察了这本书，我作为17级的考生，感觉华师可能要开始回归这本书了，就对这本书看得很仔细，结果17年的笔试题这本书考察到的内容又突然变少。所以，借师姐的话说——“华师经常不按常理出牌”。各位同学一定要认真研究真题，最好找到每道题的出处，把握出题者的思路。不过实在复试时不会也没关系，我复试时大部分题目都不会，甚至第一题就当头一棒，当时就感觉肯定考不上了，最后也录取了嘛。所以大家好好准备，别怕华师的怪异出牌法。这里贴出我问师兄华师的出题思路，供参考。          师兄说的不用怎么准备，大家别真的就不用怎么准备了哈。 我重点说一下参考书目吧。首先《20世纪西方与中国的图书馆学》（我买的第二版，建议大家也买第二版，第一版的一些错误得以修正，也省去了看那刺眼的雪白雪白的盗版的折磨，第一版只有盗版了，已停印）一定要重视，有挺大可能2018会再次重点考察这本书，请同学们去看近三年的真题就会发现。虽然样本比较少，但偶数年对这本书的考察确实多。  1、芝加哥学派对图书馆学理论研究范式的影响 来自20世纪第二章 2、《公共图书馆宣言》颁布的价值意义 来自20世纪第三章 3、存取VS拥有争论的焦点是什么。存取的思想的意义 20世纪159页 4、MARC的优点和意义 20世纪94页 5、新图书馆运动时期的理论研究的特点 20世纪232页 6、阮纲纳赞的五定律内容，是否在互联网环境下仍能适用，为什么 20世纪42页 7、图书情报学的研究对象及研究方法 来自论文，去知网找 8、评述当前图书情报学的研究热点 来自最新论文  大家可以按这个方法，把近三年的真题的出处找到，这样出题者的思路就浮现了。以20世纪这本书为例。2013年，这本书考察了第3、4、6章，14年考察了2、3、4、5、7章，15年考察了3、4章，16考察了2、3、4、5、7章。17？自己总结去。可能有总结得不准确的，请见谅。当初我按这个出题点分布，格外看了高频考察的几章，对于“闻隔”及以后的部分（也就是第八章及以后），我都断言肯定不会考的，因为从来没考过。结果今年第五题（50年代以来，中国图书馆学的发展道路），却突然把第八章到第十章都考了。再次证明华师不按常理出牌，不过这部分依然考察不多，大家不必过于紧张。 其次，李国秋老师的《企业竞争情报概论》，李老师已经离开华师去了上海大学，所以大家能看到在16年关于“企业情报”就突然不考了。不过17年还是考了考“竞争情报”，但没有了“企业”二字，大家要好好把握华师的心态。关于吴慰慈老师的《图书馆学概论》，吴慰慈老师就职于北大，这本书在范老师的《20世纪西方与中国的图书馆学》（第二版，294页）中简单提过一下，由此可以感受到华师对这本书的态度，个人感觉“图书馆学”理论百家争鸣，吴慰慈老师的这本只是其中一家，大家去统计下近三年这本书上是否有出题就知道这本书该怎么对待，怎么看了。舍恩伯格的《大数据》没必要买，通过知网看些关于大数据的论文就够了，大数据不会作为重点考察，只是因为大势所趋，大数据还是偶尔会问到。关于这三本期刊《大学图书馆学报》、《中国图书馆学报》、《图书情报工作》。我大约每种各看了一期，尤其是最后那本《图书情报工作》，专业性太强了（可能怪我跨考吧）。看期刊你可能会觉得很无聊，很晦涩，请坚持。有一位复试大约第七的师兄坦言没看过这些期刊，也没看过导师的论文照样拿第7。但是人家没有跨考啊，所以我们要根据自己的基础来选择适合自己的复习策略。还有师姐复试前三，但是人家有特长啊，并不是每个人都能做到的。所以总结一下，这些期刊最好看看，再看看导师们发表的论文。导师大致名单（排名不分先后）：段宇锋，许鑫，侯经川，陆建平，金武刚，范并思，马晓玲，阮光册，王仁武，袁毅，赵星。大家可以去这里了解导师  http://  faculty.ecnu.edu.cn/sea  rch/teacherList.faces?siteId=10&amp;pageId=0&amp;nodeId=3311        我复试排名中上，不算好。但还是贴出我复试复习了哪些东西。大家看到这篇文章时，你的志同道合者可能也在看这篇文章，所以你得比我做的更进一步才行。我把二十世纪看了五遍，吴慰慈老师的《图书馆学概论》跳着看了一遍，明显感觉不重要的（怎么感觉？研究真题。）没看。三大期刊，《大学图书馆学报》、《中国图书馆学报》看了一两期，《图书情报工作》看了几篇文章（实在是太晦涩了，看着难受。） 范老师的论文看了几篇，其他导师的没来得及看。完。                   3月27号上午8点开始面试，8：00是英语面试+政治面试。这两个面试在一个教室里进行，英语完了马上政治面试，一个英语老师，一个政治面试老师。英语面试在邮件里就说了是“日常口语”，所以大家不用太担心问到专业问题听不懂，说下我的吧，就叫我介绍了下本科学校，然后根据你的介绍再展开问一些很简单的问题。大家可以去看前辈写的这篇经验帖（  http://  bbs.kaoyan.com/t7962555  p1      ），里面统计了不少英语的问题。政治面试最近两年已经变成了口试，所以只要不乱说话，就没问题，可以看一下政治考过哪些题。大家看了题就知道为什么不用花太多时间准备了。（  http://  bbs.kaoyan.com/t7962555  p1      ） 8：30开始进行专业课面试，专业课面试的名单顺序和英语政治面试的顺序是不同的，因为英语政治面试不同专业是混在一起的，但确实专业课面试和英语政治面试在8：30后两者同时进行，今年就有同学因为两边同时进行面试，恰好自己在两边的预计开始面试时间重叠而麻烦，所以明年华师可能会改一下。这一点大家不用太担心，都能面试完的，不会三次叫名字没到就取消资格的。 专业课面试预计一个人15到20分钟，15年分三个组，16和17都是两个组了。 今年我那个组是“范并思+赵星+一个女老师”，另一组是“侯经川再加上还有几个老师”。侯老师那组会很严格，他会看你的本科成绩单，问很多犀利的问题，甚至最后评价你：“你不适合这个专业”、“如果你今天被淘汰了，希望你能继续保持这股干劲”等等让考生现场崩溃的话，今年还有女生哭着出来。据一位当年以复试前三的成绩被录取，在面试时撞上侯老师的师姐讲：“总之我就一直保持微笑，然后点头……”。其实侯老师学术能力很强，只是面试风格偏强硬，大家要明白这份犀利不是为了指责你，只是为了让你充分不知所措然后完全暴露你的真实水平，大家要明白侯老师的良苦用心。所以要多做准备（才不怕暴露）；不要怕，在心里“保持微笑”。 如果是范老师这组，进去后会先让你做自我介绍，时间不定。我的自我介绍太长了，以至于后来范老师直接打断我，其实自我介绍除非你有惊艳的内容，不然不太影响结果。因为老师都知道：自我介绍都是精心包装的台词。自我介绍后，老师会让你抽一道题，很多纸条装在信封里。如果你这道题不会，老师甚至会让你换一道题（好有爱）。但是你不会答的话得告诉老师，不能强答啊。答题后，老师们会依据你的回答继续展开来问问题，这个就取决于你的回答内容了。 以我为例，我的那道题其实我不太会答——“结合你专业和实践经验谈谈你所理解的数据分析。” 我：“数据分析就是……我再举个例子吧……” 范老师：“你的这个答案是从哪儿看来的？” 我：“是我自己总结的。” 女老师：“那你听说过‘数据科学’吗？再解释下。” 我：“当我们在一个名词后加上科学二字，它就不再是……我还是用‘图书馆’和‘图书馆学’的区别为例子来说明吧……” 范老师：“那你听说过大数据吗？云计算呢？用你的思路再解释下。” 我：“……” 在老师们的第三个问题前，我终于倒下了。这第三个问题回答得不太好。范老师还给我指出哪里回答得不好。最后 范老师：“除了考研论坛里提到的参考书，你还看了哪些书？” 我：“……”  同学们可以去这里看看前辈写的面试问题汇总。（  http://  bbs.kaoyan.com/t7962555  p1      ） 和（  http://  bbs.kaoyan.com/t6235931  p1      ）  面试结束后，第二天中午就会出拟录取名单，我是11点左右查到的。需要注意的就是4月20号前需要寄送政审表。请关注华师研招网。最后贴出华师给我们发的两份邮件。最后，还是留一个我的联系方式吧，如果有疑问，欢迎微信674011446 第一封： 考生你好，祝贺你进入华东师范大学2017年硕士研究生招生复试！ 报到时间：3月26日9:00-11:00 报到地点：上海市闵行区东川路500号 图书情报：法商南楼106 应用统计：法商南楼108 报到携带：身份证、学历证书学位证书原件(非应届生，如有)、学生证(应届生)、初试准考证(如丢失作备注) 报到提交：个人简历、本科成绩单(如有)、个人获奖资料等(请将上述资料复印件装入大信封，并在信封上注明姓名，报到时提交，不予退还) 复试安排： 3月26日(周日) 报到(9:00-11:00)；笔试(15:00-17:00) 3月27日(周一) 面试(8:00开始)  若有疑问，请直接回复本邮箱询问 华东师范大学经济与管理学部专业学位教育中心 2017年3月17日 第二封：  各位考生：  我中心复试方案和复试名单已在华东师范大学研究生招生信息网公示。请关注：  http://www.  yjszs.ecnu.edu.cn/        特别说明： 1. 应用统计考研拟录取40人，按照1:1.2进行复试，入围50人（含同分），笔试：概率论与数理统计，外语面试为日常口语； 2. 图书情报考研拟录取28人，按照1:1.2进行复试，入围34人（四舍五入），笔试：图书馆学与情报学，外语面试为日常口语；  经济与管理学部专业学位教育中心 2017年3月21日    以上。   
华东师范大学英语专业研究生好考吗。。普通二本，？,华东师大地处上海，英语学科挺不错，有硕士点博士点，竞争当然不小。  但是好考不好考是没有客观标准的，个人的准备和能力决定。你自己看看往年考了什么，录取分数是多少，估算一下自己的能力，你就知道了。  更多考研和英语学习话题，关注公众号:pathnottaken
