复旦大学的考古学专业怎么样？,题主先看看这几个比较直观的图片。 如果你是本科成绩还不错我建议你考吉大，包括研究生。 但你想冲刺考北大，个人觉得北大的研究生一般般，因为不值钱。而且有名的导师只收北大本校学生。因为北清都是本科生最值钱。这是过来人劝解你。 至于复旦大学考古学，题主你侧重文科还是理科，因为复旦大学考古学的重点研究方向是分子生物学考古，其他的方向不及吉大和两个山大。只能说是学校牌子在南方有点名气，但是专业水准中等。上海一带的考古内容很杂，贯穿中国古代。可研究对象不是很有针对性。但是如果你想学博物馆学可以考下试试。 然后看你是北方人还是南方人。你懂的…   再来看你对考古学研究是不是够专业，如果你想更多的下地田野考察，建议郑州大学，因为河南实地就可以考察。不用导师带都可以。   还有就是你考古的研究分类和阶段是哪部分，最好按时段来划分。因为技能和方法在研究生阶段基本上都是自学。   最后看你以后是想搞科研还是想混学历找工作。                   个人浅见 最后不知道题主是男是女，女孩子的话建议你时刻准备好spf50++的防晒霜… 不然每年夏天你都会因暴晒，会被误认为黑非洲… 希望帮到你。
复旦大学有没有和口琴有关的社团或者协会呢？,谢邀！你一个老人在这儿装什么新=。= 复旦大学口琴联盟，就是你要找的组织！ 微信公众号FduHarmonica，微博：复旦大学口琴联盟。欢迎大家踊跃关注！  复旦大学口琴联盟成立于2013年，各位创始人还都在学校，成立近3年已有一定规模。除了请到上海财经大学的口琴指导宗老师前来教学，社团创始人翎渡大大还没毕业，应该算是野路子口琴的最高水准，2014年亚太口琴节独奏、重奏都是金奖，在网易云音乐有自己的电台：翎渡の口琴工坊。有兴趣可以去找找，准备好膝盖。前几年他不忙的时候总是和小伙伴们在光草、曦园周末小聚，现在有点忙沉迷于实验室不能自拨，还喜欢养乌龟。传说他是口琴界乌龟养得最好、养龟界学术做得最棒、学术界口琴吹得最好的老博士233333老李叔叔萌萌哒，别打我&gt;.&lt;  除了创始人厉害，社团小伙伴们隔三差五还会出去浪一浪搞个街吹什么的，每学期还有音乐会。周边的音乐社团，比如财大风之符、同济口琴社、上外贸口琴社小伙伴都会来助阵。上个学期第一次专场我们还请到了魔幻之声口琴乐团，应该算是大陆地区重奏团的最高水平，成员们都是和蔼可亲的大哥哥（我一直坚定不移地认为和弦哥哥很帅很帅，和弦嫂子不要打我&gt;.&lt;）社团里几位还是马来西亚Fresco重奏团、台湾Judy‘s口琴重奏团、魔幻之声等等口琴乐团的铁粉，反正现场去了很多次，CD买了很多张、重奏谱花了很多钱，还一天到晚乐呵呵的，嘿嘿^-^占尽天时地利人和，社团自身发展和外部资源都非常赞！  还是鼓励热爱口琴的同学加入。社团就像家一样，大学期间换了很多学生组织，但是从来没有离开过社团。无论受挫的是学业、恋爱、荣誉、工作肯定或者其他任何东西，在社团总能获得支持，社团从来没有抛弃我。本人现在已经大四，可能这是我呆在复旦最后一学期。谢谢老李叔叔、宗老师、白菜叔叔、拓爷、师姐、王学长、杨学长、橙子、小凡、小光光、蕾蕾、莉莉、吉祥物、TX、GYX……太多了写不过来=。=好想陪着你们，再练几首重奏、再出几次专场、再去几个音乐会、再到光草曦园人民广场、再在百团用最大音量扰民、再和广场舞大妈较劲然后被重新教做人、再在大家沙龙玩谁是卧底最后一起约了光华楼茬架、再到社团群里斗图最后终于明白“可能这就是命吧”……下次再去小东北好像可以直接约酒了2333333  亲爱的社团，有缘再会。
我是一个二本学校中读一本专业的学生，我想要考研改变我的未来，最想考的是复旦大学经济专业，我可以吗?,可以的，但难度比较大。本人本科也是一个二本院校，但我现在是浙江大学的研究生，也是经济专业。复旦也不是什么遥不可及的学校，只要合理安排好就可以了。按部就班的复习，有计划、有方向。因为在考研的过程中会有很多人告诉你你有多么“癞蛤蟆想吃天鹅肉”，所以你要做的就是顶住压力。只要战胜了自己，就没有什么战胜不了的。
复旦大学有摄影系吗？,摄影？可以潜规则模特啊。  如果你说的摄影是艺术范畴的，那么，艺术的路都不好走。完全没有你想的那么惊险刺激。  如果是拿摄影赚赚外快，那很不错。可以发现生活，也可以遇见很多人。 当然是理想状态。
在复旦大学读完本科没拿过A是怎样一种体验？,本科读完就文科的选修课拿过A的飘过。。。我就不说我都是论文写好交上去前都给老师或该方向研究生修改几遍了。。。完美主义 大一大二没认真读书，各种社团、文艺活动、当志愿者、进实验室，过得很充实，认识好多好多人，其实现在看来根本没花很多经历在学习，还觉得自己绩点低不甘心，大二之后几年想好好读书就是拿不了A 而且我们某理科给分差，但是班上还是有人拿A的，好几次明明读得很熟了考题也都会写还是只有B+，出分后觉得很绝望，但继续努力 因为想走科研路线所以觉得绩点还是比较重要。。到后来已经丧心病狂想刷绩点连实验室也不去了 每学期都不断再接再厉，到后来几学期从开学就什么事都推掉全心读书，还是期末一排B和B+。。。 结果有次期末考倒数两周的时候终于出现抑郁症加上有暴力倾向，那时见到人就想躲，有人妨碍我学习都会立即触发我的暴力倾向，只要和别人说到学习考试的话还没讲出来就会崩溃大哭。。后来因为出了某事去精总开了证明期末全部缓考。。来补考状态不好都得C。。。绩点又更低了。。。 精总的人一直问我有没有想自杀，知道这只是他们问诊的流程，我倒是从来没想自杀，尽管这段时间过得很崩溃，但是还是因为我积极向上充满希望的。 不过在那之后整个心态变了很多，也是因为绩点的改变空间已经不大了，基本其他的事都不想，只是倒数本科还有几门课，都能保住B别掉就好。。 再下学期又稳定拿了一排B和B+。。。 现在脱离考试压力只想多发点sci。。。。觉得复旦本科的考试对我而言就是噩梦，不管是各种通宵准备报告啊，感情问题啊，别的一些项目啊，多么轻松愉快，至少还有其他的机会，但是本科的那些注定得不了A的考试想到就令人感到心有余悸。  我觉得我是那种看到什么大课本都会想要巨细靡遗全部看懂融会贯通的心态，还喜欢去图书馆看其他的书，但是再怎么努力一学期那么多专业课其实根本不能融汇贯通，结果就是看得半懂不懂又不抓考试重点重点。。刚开始的专业课读得很辛苦，几乎看不太懂，所有时间都来研读大课本又去找老师讨论，谈笑风生还是很满足的。。其实后来几学期已经读得比较轻松了，因为一开始会把大课本所有的细节全部抠着，很多细节看不懂就很纠结，后来其实那些细节遇到多了就搞懂了，但是那种不甘心本科没拿A的心态会把我这种完美主义的人逼疯的。。
复旦大学一定比上海交通大学强吗，为什么各种排名里都是复旦强过上交大？,作为一个复旦的工科生，一直感觉交大比复旦高几个level，同基比复旦高0.5个level。。  尤其是鄙软院院长连人带实验室被贵交卷走之后…  之所以排名高都是因为那些和我八竿子打不着的文科专业太强势…嗯用我们大物老师的说法就是那些整天躺在光草上四脚朝天看书的人…
家境不好，但是想考复旦金砖？怎么办？,谢邀。  我查了下复旦金砖的学费是两年16.8万（2015年），相对于复旦普通研究生一年8k或以下的学费，确实是一笔较大的开销。题主的“家境不好”是指何种程度？（一）日子过得紧一些就挤得出20万？（二）砸锅卖铁四处借贷才能凑出20万？（三）根本凑不出20万？  如果是程度一及以上，并且考上了，就去读吧。毕业后两三年内可以回本。  如果是程度三，题主不妨考虑复旦普通的研究生项目。能考上复旦研究生的资质一般也不差。找工作的话更看重个人能力和表现，并不输给复旦（土）金砖（豪）这个项目出来的研究生。  至于程度二，两种选项之间，题主自行权衡。要不要背负借贷的压力、家人的高期许，读一个（假设真如题主所说）很喜欢的项目？  大的方向说完了，补充几个tips：   真的割舍不下这个项目并且目前没有能力就读，不妨工作几年攒点钱后再来申请。  就读复旦金砖和就读复旦普通的研究生项目，在你找工作的时候，起点很可能是差不多的。都在复旦的名号下，企业并不会计较你研究生期间多花／少花了十几万。（除非你只愿意在金砖项目下努力学习，如果是读个普通的研究生项目就得过且过，那这点就当我没说）  复旦有很多出国交流、港澳台交流的项目。读普通的研究生项目也可以争取到这些机会，实在价廉物美。  要就读的话可以想方设法申请各种奖／助学金。我搜了一下并没有找到复旦金砖这个项目对应的奖学金项目。有可能是信息没有公布，也有可能是没有奖学金。题主可以到复旦相关部门咨询。撇开这个项目不谈，复旦有很多其他的奖学金／助学金项目，包括但不限于国家奖学金、人民奖学金和多种企业奖学金，题主可以在这方面多多争取：  http://www.  gs.fudan.edu.cn/2860/li  st.htm        就读期间可以打工。常见的是寒暑假实习、兼职、家教、网店。另外可以考虑学生贷款。  真的就读了，就好好把握机会，利用好各种资源，提升自己的能力。  就读复旦金砖，可能带给你认识富二代的机会。：）  补充上一点：富二代可能更喜欢跟同一个level（及以上）的富二代和官二代玩。 ：）  以上是基于题主考上的假设。如果不确定考不考得上，那么先努力考上了再说。  
在复旦大学读研是一种怎样的体验？,关键是名校能给你一个更高的平台。这就是一个跳板，也没觉得你有扎根落户的打算。那就不必考虑那么多了吧。
如何评价复旦大学2015军训集体学唱民族主义歌曲？,军训的目的本来就是培养大学生的民族主义和集体主义精神。
1993年之后，复旦大学辩论队在辩论圈的水平如何？,弱小和无知不是生存的障碍，傲慢才是。 这句话描述现在的复旦辩论，再适合不过。
南京大学能否这样改革来打败复旦大学？,午休没事来水一波，也不知道被谁邀了……  为什么想打败复旦，以前我遇到过几位南大的毕业生，好像都存在这种，要和复旦交大的比来比去的心思，实际上，作为复旦的学生，我自己和我认识的绝大多数校友并没有这种想法……  别的华东五校吧，好像那几次去浙大玩，浙大同学也有这种复旦就是浙大的蛋，你们不行的，我们现在比你们好的看法……  反而去科大，科大除了吐槽学校地理位置差了点，妹子少了点，好像并没有什么要和复旦比的地方……  其实复旦的学生根本不想和任何学校比这种东西啊，跟交大比完全是为了谐而谐好么，都是一起被清华北大压迫的苦兄弟，还真得争那个全国第三不成？  这种心理真的要被清华北大的学生笑死……  院校排名害死人，殊不知真正有能力的学生，清华北大也不去，直接肉身翻墙的……  最后贴一个契合题目的回答：  南大如果想变国内第一，或者说，要完全压制复旦，先把历史遗留下来的所谓中央大学的失地收复了好不好？  好好发展，引进人才，才是正道，而这样的方式，至少在10年以后才会初见成效。调整专业？对不起，这好像是教育部说的算……  完
