自主招生选择生物方面学科进入福州大学后是不是去“闽台合作”？,当然去本部
福建师范大学协和学院和福州外语外贸学院相比，哪个更好一些？,地理位置协和，其他差不多吧
志愿咨询:东北大学，福州大学，中国地质，四川农大排序？,当然是东大第一 985排名一直飙升
福州人在华中科技大学应届硕士机械电子，选择锐捷还是福清核电？,福清核电，别来。我说完了
请问福州船政交通学院和泉州黎明职业大学哪个好？好在哪里？,首先，那些想要来船政的人都别来了，简直烂到透，八个人挤一间，就一个风扇，八个人共用两个桌子，没有衣柜没有书桌，公共大澡堂，时不时还没热水，夏天还好，福州夏天热到爆，冬天有时候也没有热水，还要用冷水洗！简直日了都，学校动不动爱要我们交钱，就是压榨我们学生，
福州大学厦门工艺美术学院综合实力如何？工业设计和产品设计的实力如何？,前面说的都没错，找工作的时候，你就会发现，能坚持下来的，都是一根筋的人。确实，母校的学子几乎遍布省内各大工业设计企业，尤其是厦漳泉。现在在灿坤，很想换个环境，却发现能选择的太少了，跳来跳去无非就那几个公司。从蒙发利实习出来，转而去了灿坤，又收到隔壁蒙发利的邀请，开的工资自然比tk高，但是太远了，不想再花太多时间在路上。现在压力很大，薪水好低
福州大学物流工程研究生怎么样?顺便问一下福大物流研究生在哪个校区，学校怎么样?,你是指物流工程哪方面呢？师资？就业？物流工程在旗山校区，学校嘛，你可以参考 在福州大学就读是怎样一番体验？ 这个问题。
我是一名本科生，想考研，想问一下福州大学的测绘工程研究生出来的待遇怎么样？？,武汉大学的测绘工程，毕业后待遇更好！
有没有福州大学的同学？我想去蹭课，哈哈,首先，福大的教学区和校门敞开，欢迎四方来宾。本人福大大二学生，蹭课在学校司空见惯，有人来蹭我们的课，我也去蹭别人的课，老师都很乐意。 其次，明确自己想上的课，寻求认识该学院专业学生，拿到课程表，了解老师，搞清楚教室分布，然后就开始愉快的蹭课吧！最好不要迟到，会引起老师注意，可能询问你，这时大方承认自己蹭课，但是会影响老师讲课节奏。 最后，福大欢迎每个积极向上的人，愿你蹭课有所收获
在福州大学法学院就读是一种什么样的体验？, 泻药。  你问我我也不知道啊，我不在法学院念书啊。  跟法学院比较大的一次交集是大一的时候，跟法学院某班级联谊。  对他们知道比较多的就是法学院是有硕士点的，有些杰出的毕业生已经入职福建省各地级市中级人民法院并担任要职。  当然了，法学嘛，女生是不会少的。跟我们联谊的那个班男女比1：3。  福大每届法学专业招生在四个班的规模，150人左右。  还有什么，想起再补吧。 
福州大学水利水电就业情况怎样？,我来回答吧。  本人福大水工毕业，设计院。  我也不知道这个问题是什么时候的，所以姑且以现在的情况随便说说。  福大水利这个专业，只能说是福大中等偏下的专业，就业的话扣除外省生源和考研的，实际上并没有多少人。  所以你会发现，福建水利行业中福大校友少的可怜。顶层普遍是河海与武汉，中层是三峡与江西理工，底层是永安水校。同时，永安水校因为基数大，你会发现你的领导好多永安水校的，工作接触的县，乡镇水利系统也都是水校的。没办法，福大人少。  说到就业，不算特殊情况，本省就业一般也都是去设计院，外省的就五花八门了。女生进政府系统的比较多，这几年省水文局招的还是比较多，但是竞争压力不小。除了省直属的单位，以及厦门的岗位，其他地市还是比较好进的，特别是南三龙地区，如果要去县一级，那就很轻松了。但是要知道水利系统没什么钱的。  进设计院的话，三明明兴，福州永川，宏禹，建江，大禹，龙岩安澜，漳州院，泉州院，都是不错的。如果运气很好，碰到水投，福州水规院要人，也可以试试。  想去三明，找苏老师；南平，找金老师；省外，田老师；福州本地，问问达哥和主任吧。  我们这些人，处于一种比较尴尬的地位，收入不高，竞争大，就业还是基本能够完成的。但是学校说的百分百是骗人的，九成吧，最后找不到工作也会随便给你盖一个三方。  总之，我们吃喝不愁，加班很多，买房困难，偶尔受气，就这样。
福州大学大二金融金融学学生，想报考厦大的研究生，很迷茫啊，不懂得怎么准备？,大二急个啥，把数学和专业课学好即可。
福州大学城周边有什么好驾校？, 通过率高就安吉驾校   教练严格死了  都是一把过 
如何评价福州大学强制要求学生在手机上安装「易班」、「微邦」等app的行为？,安就安喽，怎么了？  易班就是方便学生申请东西的软件，平时很少用到的。那个微邦下了一天就删了。
一名福州的大学生，想要报考厦门的高校研究生或者上海的高校研究生，整个本省或者外省的考研流程是怎样的?,广告要考研么………不是实践更重要么
关于福州大学本科自主招生面试流程？,        谢不邀，2017年6月12号刚参加了福大自主招生，蛮回答一下。         首先要报道，时间是11号上午九点半到十一点半，下午两点半到五点，在这之内任何时候去都行（地点为至诚学院创业楼），报道大概20分钟，结束了就可以走。另外奖项是专利发明和论文发表（没有奖状之类的东西）的同学必须上午去报道因为下午要进行测试/验证（答主也不清楚因为我不用）。         然后是心理测试与候考，时间是12号上午，从八点开始并且有持续到下午的可能（取决于你所在的组人数与你抽签抽到的号数）。早上八点前到至诚学院轻工楼等着，八点开始心理测试，这个特别简单轻松，略。结束大概是八点二十，老师带队徒步走到创业楼去抽签并候考。顺便一说抽签时考生坐在凳子上老师站着把签拿到你面前，所以可以利用高度偷偷看到签是几号的。答主抽了个008号。抽到号数以后要贴身上。候考室环境还可以，有空调，但椅子是大排档那种塑料椅，坐久了略难受。从9点到10点答主都在构思自己的自我介绍要怎么讲还不能透露真实姓名和学校。         最后就是面试啦。等啊等啊等，有个老师会过来叫你，并把你带到隔壁的房间。里面的老师会让你从3+3的题库里从每个3中各抽一题并给你纸垫板笔，答主抽到一到数学和一道论述“谈谈你对万众创新的理解”，然后就坐沙发上疯狂思考数学题。顺便一说这个房间环境巨好，可能是会客用的。可能只过了5分钟那个老师就叫我去面试室了，答主就巨紧张因为数学题没做完论述题没怎么想，但是没办法啊只能硬着头皮上。         --------2017.06.21更新--------         面试室位于创业楼同一层有点儿远的地方。我走去面试室的时候有点紧张把书包都掉地上了，看到旁边的保安一脸黑人问号。         进入面试室，里面空调开得很大确很舒适。这是一个不大的房间，没有多余的装饰与物件，只有一张铺有白色桌布的长桌，那边是三位老师，这边是为考生准备的椅子。         进门先问好，然后一位和蔼可亲的老师请我坐在椅子上并向我要之前抽到的两个问题，我便把抽到的题目给他们。先回答数学题，因为没做出来所以说了说思路，至于论述题是现场扯过去的，原来都没发现自己这么能扯。这俩题目结束以后我才自我介绍，说是自我介绍其实只是说下自己是几号考生，获得什么什么奖云云。         然后老师开始问问题，诸如“你获奖的***讲述了一个什么故事啊？”、“你平常玩大型游戏吗？最长一次玩过多久啊？”之类的，还是蛮简单的。注意不能把自己吹得太狠，按实际情况回答就行了。         面试结束把笔纸垫板还给外面的老师就可以走人了，创业楼外的太阳真不错。End.
很急，想知道部分大学通常的军训时间，比如 福州大学，西南大学，南昌大学？,不如去贴吧看看
福州大学机械工程学院怎么样？？本科毕业初期工资大概有多少？？,福大的机械不错，福大最早的几个专业之一，在省内就业不错，不过狼多肉少，基本没女生，哈哈哈！
福建文科考生，本一线上55，排名1620，读上海立信好还是福州大学？,想知道后来你去了哪
怒！！福州大学青运会强制要求参加?,那么多人，那么多时间....今天就给我们看这种东西...？
统计学专业考研，选择福州大学或者深圳大学，哪个更好?, 如果你迫切需要211的名头或者准备读博做学术，推荐福州大学。其他情况，推荐深圳大学。  统计学在经济和计算机领域有大量应用，这两个产业在深圳十分强势，深圳大学近水楼台。  福州大学的数学系还是有一些底蕴的，福州这个城市也可以让你安心搞学术…… 
