怎样评价贵州大学校长郑强关于空乘的言论？,1.一个空姐就应该得到比其他行业更多的尊敬吗？ 2.一个“推车倒水的”就应该得到比其他行业更少的尊敬吗？  更新。 3.无论如何，空乘行业是用不到研究生的。说得再具体一点，其实是用不到本科生。是的，就算加上你们反复强调的紧急疏散等等等等，也用不上四年本科两年硕士共六年的教育。研究生从事空乘无疑是你的自由，我无权干涉；同时也无疑是浪费，你无力反驳。 4.所以说这样的研究生的含金量何在呢。 5.坐飞机的都是西装革履的体面人，飞机上的都是腿长一米八的空姐，那不叫发达。啥时候农民工坐飞机回家过年，飞机上空乘除了工作之外不再附加任何符号，那才叫发达。我看着高铁上啃猪蹄脱袜子的老大妈，我可感动了。你看，你们国家拿来装逼的东西，我们国家的农民大妈都坐得起。 6.恕我直言，大家都喜欢过分拔高自己的行业。我知道，推车倒水不简单。但你别忘了，搬砖砌墙也不简单，打针开药也不简单，甚至你们以为敲章签字的公务员也不简单。世上无易事，所以才要分工。 大家都值得尊重，但都不值得被过分尊重。 
风景园林专业，长安大学和贵州大学，哪个更好？,同求
福建农林大学园林和贵州大学园林哪个好？,农林大
我是广东人，在梅州读大学，喜欢上一个贵州的女生，但是贵州距离广东尽一千五百公里，毕业后何去何从？,晓之以情，动之以理
求问贵州医科大学的圆通快递在哪里啊？,居然有人在知乎问这个……也只有我这种大晚上不睡觉的人回答了。哈哈 新校区：要是它没搬家的话，在二栋楼下。 老校区：学校后门，卖烧饼隔壁。
我是今年2016年贵州理科女生，高考分数560，位次为9474，想选择杭州电子科技大学，亏吗？,答主，如果能去211，建议你不要选择杭电。占个坑，晚上继续写。
我是贵州省的理科生考453分，请问可以报考哪些比较好的大学和专业？,谢邀 先挑今后打算从事的行业，再选想去的城市，再看这个城市是否有合适的大学。
兰州大学与云南大学、贵州大学综合看谁更好？,兰州大学又遭黑，什么时候沦落到此地步
2017贵州文科生，离高考还有109天，现在总分500，想考的大学至少需要620分，我该怎么做？,过来人，建议刷题。
贵州师范大学考研学科语文专业课怎么备考？用什么参考书？,你找到了吗
