参加天津大学和海南大学联合培养项目，是一种怎样的体验？,每年都有海大的同学来天大学习呀，这个，我们班就有同学。天大的学习生活管理和海大有不一样吧地方 来了能适应就好。
海南大学的普通讲师待遇怎样？,海南大学的待遇是出奇的差，讲师的话，一年工资，课时，津贴，奖金等加一起总收入8万吧。  当年我D类人才引进去海大一听这待遇就把合同撕了。
海南大学会计学怎么样？, 安徽大学也是211... 
海南大学宿舍环境怎样？,这个真的要看运气和人品
山东人或北方内陆人，突然想去南方沿海甚至海南上大学，该怎么准备或注意什么？,多看社会新闻
河南文科500分能考海南大学二本嘛？,额，会计学专业是一本专业……海南大学现在貌似所有专业都升一本了～
海南大学的俄语专业（商务俄语方向）在哪个校区？,大一在城西校区，大二会搬到海甸 文科都是这个套路
今年考上海南大学，应不应该复读？,去年的这个时候，有三个人这么问我，我都建议复读了，后来有两个人真的去复读了。海南大学和大部分211学校一样，只是海南这个地方不是每个人都能接受的，话说回来如果不是因为在海南省，它作为一个211学校分数也不可能比其他学校低了快二十分。上了大学之后会发现，复读的人并不在少数。 可是，现在我发现，复读分数比去年高出一个档次的，并没有多少。除非是第一年发挥失常了。去年被劝复读的是上交大那个水平的学生，但考试的时候生病了，落到了海大，这种情况当然可以考虑复读，可是第二年难道就不会有意外了吗…因为多学了一年的时间，所以第二年哪怕还是这个水平也是复读失败。 复读不是一个人的事，是一个家庭的事。如果你父母这一年并不太辛苦，可以复读一年，一年换一份跟随一辈子的第一学历是值得的。但如果这一年家人已经心力交瘁了，就没必要折磨家人，来海南大学念书并没有那么委屈。刚刚和一个本科园艺考研到pku的学长聊完天，他感觉，还不错。上学之后能感受到和其他同学的差距，但是如果不是985，211大学都差不多。 我男友现在在北大，他们学校的氛围和海大简直是天壤之别，但也没有什么不可逾越的鸿沟。其他学校……类似于大连理工、重庆大学、湖南大学、北京师范等等等等，从就读体验来讲差不太多，海南大学只是学校硬件设施逊色一些，其他的资源其实没差。
在海南人眼中，海南师范大学怎么样？, 海大和海师大在海南的地位就跟清北在国人眼中一样的地位。（感谢楼下纠正）  其他大学在专业上可能不输二海，只是知名度差距太大。 
海南师范大学不给学生装空调，现在白天都是三十六七度，风扇吹出来的风都是热的。我们应该如何维权？,如果你想维权，首先你得知道对方侵犯了你什么权利。大学应该给学生装空调吗？如果你能回答出来这个问题，就可以去维权了。
我能不能上海南大学？,海南大学不是二本院校吗？
男友在内蒙读研一 我海南上大学马上毕业 男友让我去找他，且男友有读博打算，将来又要换城市，我该怎么办？,关于前途的事请除了父母不要为任何人考虑 以后后悔的是自己
海南省的新农合在中山大学的肿瘤医院可以报销吗，报销多少？,谢邀 就目前来说，社保及医保的政策并不具有全国统一性。所以还是建议找到当地社保部门的电话进行咨询。
海南大学毕业在内地难找工作吗？,跟学校无关，跟你有关系。
海南大学联合培养？,如果去了天津大学 首先自身的实力也是有的  但是天津大学管理很严 动不动 不好好学没有成绩 退学什么的 还是挺吓人   我就是海南大学 也想去天津大学 但是力不从心
海南大学的应用化学专业及其就业前景怎么样？,你可以往化妆品行业走。
请问海南大学选修专业可不可以跨校区？？？？？,啊，选修专业是第二专业的意思？如果是第二专业的话是可以修的，不过不给学位证，如果要转专业的话，去年排名是年级前百分20，要转法学的话，还要考试。
2017年海南上大学生活费大概一月多少？,龙昆南校区的话，吃的倒不是很贵，选择也多。 公交路线也多，去哪也算方便。 其实说预算一个月要多少钱，倒不如你第一个月带多点钱，就能估摸着能用多少钱。 毕竟这也不好说。
海南大学文艺学的考研书目？,谢邀，同学这个问题有必要在知乎上问吗，有问的时间早就查出来了，自己上学校官网研究生专栏一目了然
海南大学和南京工业大学选择哪个？,居然就这么被邀请了 受宠若惊 但是对不住了学妹 学姐其实知道的一点儿都不多   我不了解海南大学 你说的那几个专业 说实话在南工也都不是强势学科   只有一条建议 能去211 就尽量还是去211吧  你要知道学姐的某个学姐想去参加某知名大学的夏令营(可以保研的那种) 结果报名的时候  报名条件上 明确要求 要985和211的学生 双非再好 和985 211的待遇上还是有差的    
本人大二海南大学，想考重庆大学的风景园林研究生，我想问问好考么(⊙_⊙)，大家有啥建议？,重庆大学的风景园林专业难度较大，毕竟是老八校嘛。17年一共招收12个专硕，5个推免，也就是说只有7个考试名额，大概有200多人报名考试。 重大考研非常看重快题设计能力，手绘能力占总分比重不大，也很看重出身，如果是海大风景园林专业的学生，出身还是没问题的。 如果想要考上，最好到重庆这边来报班学习，有专门针对重大的机构。现在主要有两家机构，一家是风暴，一家是筑城，各有优劣，但是我个人感觉筑城好一些，因为风暴人太多，而且方案教学相对不强，筑城的话手绘还可以，方案是他们的优势，而且老师太负责了，每天不画完不准回去睡觉，而且会守着你画，有问题也会非常耐心，我就是报的筑城 学弟加油
我河北理科学，今天高考592分，上海南大学可以吗？,第一次被邀，有点小激动。必须认真回答：按以往的录取线，和今年河北理科省控线525，感觉高这么多分报wuli海大有点亏，建议报别的学校（友情提示填报志愿211，985这个对今后发展很重要，好像走偏了）如真的看中海大，应该比较稳妥。谢谢看得起我的母校。
报考海南大学，在想如果被调剂到旅游管理，以后转专业会很难吗？成功概率大吗？还有本一录取的宿舍条件概况？,学姐占个坑，改天再来回答 。。。。。。 回答如下。 不管是哪个专业，转专业都是一样的。看第一学年的总成绩，在专业前几就有资格申请转专业，具体细则在开学发放的学生手册里面都有详细说明。   其次是住宿条件，大一文科生都在城西校区，据说住宿条件很棒。大二旅院住宿全校最棒，不限电限水女生门禁12点，男生没门禁。全校停电旅院都不停电，线路不同。同时，全部四人宿舍，有空调，下楼就是旅院食堂和独立商业街，距离各大教学楼最近，北门商业区小吃街公交站步行五分钟。生活方便，一不小心就变懒～
海南大学紫荆公寓怎么样？,限电，门禁，有电梯。新宿舍，硬件过关，软件吐血。做好心理准备。 还很偏远   在右下角一大块黄色区域的左上角就是紫荆。哪哪都离得很远。
海南大学金融系怎么样？未来如何规划？,准学弟？   分几方面来讲： 1.知识是哪里都可以学到的。全国高校都属国民教育大学本科系列。海南大学作为省部共建的211高校 应用经济学学科体系建设是合理的。 2.金融属于应用经济学范畴，首先要掌握经济学，而经济学的学习有 初级 中级 高级 三个阶段。对应 本科 硕士 博士阶段。 3.金融有俩大方向：资产定价 、公司财务。数学基础要打好。 4.研究生最好 再考去 教育部金融重点学科高校 比如西南财经大学 武汉大学 中山大学等    5.近年毕业生 就业质量也不错 合资投资银行 银行总部等。 总之 好好学习 好好享受海南的快乐时光。
