河北省非211非985院校的本科生考车辆工程研究生的话燕山大学和合肥工业大学哪个更适合？,合肥工业大学是211工程，而且是“ 985工程   优势学科创新平台”学校，而燕山大学并不是211； 车辆工程也是合工大的老牌专业，所以学校上总体还是比燕大要强一些的； 但问题是合工大的考研难度比较高，而且比较照顾本校的考生，所以假如分数不是太高的话比较玄； 而且合肥工业大学在北方相对名气要小一些，在工大毕业后去安徽上海等偏南方的省市就业更受欢迎些，假如你要回北方在河北北京就业可能就不是太吃香了； 燕山大学则是原机械工业部的，很多国企都认，进国企的话会轻松些； 总之大致就是这样，所以就要根据题主自身的具体情况来决定了，两个学校其实都是不错的选择。祝考研顺利~~
河北工业大学交通运输专业怎么样？, 个人经验，不一定准确   母校的交运专业大约是2001年新成立的专业，当时是在土木学院，但该专业貌似比较偏物流，应该放在管理学院的。  课程设置上官方是这么回答的：运输组织学、国际贸易与运输、水运商务管理学、交通运输经济法规、汽车运输场站设计、交通运输技术管理。但貌似很多老师是土木、道桥灯专业的。  就业：答主这一届交运的朋友们，有的去了铁路局、有的去了物流公司、还有的去了施工单位，真是行行出状元，不过总体看来从事本专业的不是太多    
自己现在是河北工业大学大一学生 请问毕业后想去香港读研 需要准备什么？,雅思6.5+。均分85+，参加相关社会实践。
河北工业大学国家大学科技园怎么样？看起来挺火的？,我知道这河北工业大学国家大学科技园一直都是赞的，那边是天津目前有名气的，你可以了解下，前段时间我还去里面看过，环境不错的。
河北工业大学电气学院会搬迁吗？,电气学院有老师说两三年后搬北辰校区，那边电气学院楼在盖了么?
河北考生，在河北工业大学与南京农业大学、东北林业大学之间？,报专业时，一定要找一个你想报考专业的本科毕业生或者研究生跟你说明白了此专业未来就业如何～千万别盲目报考～切记切记～
小弟本三，河北的。想考电气专业研究生，请各位大神介绍下燕山大学和河北工业大学哪个好考一点，不要说华电？,好考当然是燕山、电气是河工大王牌
对于河北的考生武汉科技大学与燕山大学，广东工业大学那你是更好的选择？？？,武汉不清楚，燕山和广工之间选燕山吧  我燕山第二志愿，广工第四志愿，没录上燕山，去了广工
计算机专业，选择法国留学INSA工程师院校本硕连读，还是国内211院校河北工业大学新西兰合作办学本科？, 作为河工大计算机专业的学生，我想说，专业教师水平，专业课上机指导确实很差，但并不妨碍你的计算机能力很强，原因就是，计算机是非常注重学习能力和实践能力的科目，学校的老师水平不高，但是网络这么发达，Coursera，网易公开课，Stack Overflow都是很好的学习平台，即使本科毕业，工作的话主动学习能力也是非常重要，有几个能利用本科的技能就去公司做项目的，都是在不断学习中，只是本科阶段计算机基础和动手能力要非常扎实，怎么做自己去探索，这点事自己都解决不了，工作后遇到的坑更多，另外河工大好歹也是211，出国留学老外认211牌子的，他又不是详细知道河工大的计算机水平，所以这点是有好处的。计算机牌子也好，海归也罢，归根到底还是看实力说话，没实力清北也白搭，最近还面挂过清华硕士（举个例子，没有恶意，sorry）呢，天助自助者，共勉！ 
河北工业大学微电子与固体电子学 考研？,我们信息学院的，微电是本学院最牛专业，2-3个千人计划专家都是微电的，小项目比较多，大项目基本没有了，02专项12年也结题了，现在可能都是一些省部级项目
