太原理工大学和哈尔滨工程大学哪个文科专业好？,为什么要去工科屌丝学校读文科？
如果哈尔滨工业大学合并哈尔滨工程大学会有什么后果？是否具有可行性呢？,哈工大与哈工程，合并好，强强联合，整合优势资源，更名为中国工业大学，是中国最好的工业大学，就像中国科技大学是中国最好的科技大学、青岛海洋大学更名为中国海洋大学是中国最好的海洋大学一样。
学软件工程，是杭州电子科技大学好还是哈尔滨工程大学好？,你是在黑哈工程么。。。
如何看待哈尔滨工程大学改名一事？,哈尔滨工程大学是工信部直属的“国防七校”之一，以“三海一核”（船舶工业、海军装备、深海工程、核动核电）为办学特色，被国家授予“航母建设突出贡献奖”单位。  哈尔滨工程大学的前身是大名鼎鼎的哈军工，即中国人民解放军军事工程学院， 陈赓大将为首任院长兼政委。由于历史和政治因素 ，哈军工响应中央军委决定，按照“尖端集中、常规分散”原则于1960~1962年进行第一次分建和改建，炮兵工程系（现南京理工大学）、装甲兵工程系（现解放军装甲兵工程学院）、工程兵工程系（现解放军工程兵工程学院）、防化兵工程系（现解放军防化兵工程学院）、空军工程系（现解放军空军工程大学一部分、西北工业大学一部分）纷纷迁出，之后学校又陆续成立原子工程系、导弹工程系、电子工程系、计算机工程系。1966年，文革爆发。4月，根据中央军委决定，“中国人民解放军军事工程学院”改名为“哈尔滨工程学院”，退出部队序列。七十年代学校被林彪集团肢解，导弹工程系（1966年改建为火箭工程系）、电子工程系、1966年新建的计算机系以及基础课部和院机关划归第七机械工业部迁往长沙，成立长沙工学院。1978年改建为中国人民解放军国防科学技术大学，重回军队序列；把空军工程系划归第三机械工业部，迁往西安，并入西北工业大学；原子工程系划归第二机械工业部，迁往重庆，与哈尔滨工业大学有关专业，组建重庆工业大学，原子工程系最终还是留在了哈尔滨与海军工程系组成了哈尔滨船舶工程学院；海军工程系划归第六机械工业部，拟迁武汉，后留原址组建哈尔滨船舶工程学院，1994年更名哈尔滨工程大学；风洞实验室改为第三机械工业部（航空工业部）的一个研究所，现为哈尔滨空气动力研究所。  一、从哈船院到哈工程，忍辱负重二十年   哈尔滨船舶工程学院成立于1970年，哈军工主体南迁后，由留驻原址的海军工程系和其它部分院系的教师（哈军工近一半的师资力量）组建，1978年被定为全国重点大学，1994年更名为哈尔滨工程大学。  据我的老师回忆，当年更名期间学校还曾短暂地使用过“哈尔滨船舶大学”的名号，然而最终校方却决定更名为哈尔滨工程大学，其原因一为遵从老校友根据哈尔滨工程学院（哈军工退出军队序列后的名字）而来的建议，二也为学校未来的发展方向铺好了路。当时的校方领导有着清醒的认识，在船舶行业不景气的年代，一所名为船舶的大学很难有所发展，再加上其时正值高校改名潮和扩建潮，由船舶工程学院变为工程大学不仅让学校摆脱了学院的尾巴，更为其他非航海的院系发展奠定了基础，使学校成为一所既有办学特色又能多学科协调发展的全国重点大学。  然而学校唯一没有考虑到的是，哈工程这个名字和哈工大实在是太过于相像了，以至于二十年来造成了无数的误会，由于哈工大从未更名（南迁重庆太过短暂）并一直名声在外，加上近几年加入改名行列的高校越来越多，其中，自然会混进一些“傍名校”的弱校，或是只为招揽生源莫名其妙改名的。新更名的哈工程就这样面临了无法打开局面的窘境，莫名其妙的活在了哈工大的阴影下。二十年来，工程学子从当初被认为是工大的莫名其妙和愤怒变成如今的无奈尴尬与窃喜，其中究竟失去了什么，不言自明。  一方面哈工程的科研成果多次被报道为哈工大所有， 另一方面，哈理工的黑锅也要哈工程来一起背，是以哈工程被网友评为高校改名最sb篇之榜首多年，一切的一切，似乎都在告诉所有人，哈工程这个名字是极为失败的。  这一点笔者是赞同的，哈工程这个名字改的确实不成功，它只考虑了学校的传承和自身因素，却忘记了环顾四周放眼中国，受制于人实乃自作自受。  哈工程应该吸取教训。  二、 哈工程改名法则   虽然哈尔滨工程大学这个名字改的不很成功，但不得不说，它确实是按照其自身的更名规则设计得来，那么哈工程的更名规则是什么呢？历史上几次更名的原因又是什么呢？  1. 中国人民解放军军事工程学院——哈尔滨工程学院 这一次改名实属迫于无奈，改名也并非校方决定，而是又中央军委决定，自此哈军工退出历史舞台。学校退出军队序列，“中国人民解放军”自然不能再用，“军事”也用不得了，只好在前面冠以地名哈尔滨，但是学校性质并没有变——工程大学。  2.哈尔滨工程学院——哈尔滨船舶工程学院 这一次更名的原因是学校分建， 留守部分以海军系全建制为基础，空军系、导弹系、原子系、计算机系等部分专业、教师以及文革中“政治上不合格”干部教师共1500余人组成了哈尔滨船舶工程学院；学院主体（院直领导机关、4个系及基层单位）内迁到长沙组建长沙工学院，1978年改建为中国人民解放军国防科学技术大学，重回军队序列。 哈尔滨工程学院这次改名， 其实质为将校名更名为其中一个系的名字，原因是学校只有海军工程系全建制的保留了下来，其他系主体全部南迁，虽有个别教职员工留任，但却可以说是名亡实也亡。换句话说，这不是更名，而是由于分建而缩名。  3.哈尔滨船舶工程学院——哈尔滨工程大学 1994年，学校更名为哈尔滨工程大学，由于这正是笔者出生的年份，相关资料又不常见（哈船院改名较之哈军工分建实在不值一提），笔者并未找到太多关于此次更名的原因，但是查询哈工程的简介我们仍不难发现当初校方领导更名的初衷。  哈尔滨工程大学坐落于美丽的松花江畔——北国名城哈尔滨。学校现隶属于国防科学技术工业委员会，是一所以工科为主，理、工、管、文、法、经多学科协调发展的全国重点大学，是国家“211工程”首批建设学校和国家55所建有研究生院的重点高校之一。（值得玩味的是，这一段简介居然从百度百科中消失了，可惜别的网站上还是到处都是，笔者不愿妄加揣测哈工程改名是否"蓄谋已久"，但这样“吃了吐”的行为究竟意味着什么，还是让时间给大家答案吧。）  随着学校新专业的纷纷成立与发展，船舶工程学院已经越来越无法代表这所学校的全部，而当时又正值高校改名热潮，各大“学院”纷纷更名为“大学”，于是学校索性去掉船舶，改学院为大学，哈尔滨工程大学就此问世。   据考证哈尔滨工程大学这一校名来自于军工老校友的建议，老学长认为学校既然逐步发展了其他院系而非只船舶一家，何不复名为哈尔滨工程学院？再加上时值学院变大学潮，就该变为哈尔滨工程大学。所以说这一次的更名，本质其实是复名，恢复学校当年的名称罢了。 由此可见学校的更名法则是：退出军队改名、分建缩名、扩建复名，虽然相对频繁，但每一次的更名也都并非无的放矢。  然而老学长的出发点虽然不错，但是显然没有用发展的眼光看问题，他没有考虑到学校更名后所产生的一系列问题。首先的就是学校简称与哈工大难以区分的问题。哈尔滨工程学院时期有没有这种问题我并不清楚，但想来应该是没有的，原因如下。  其一，哈尔滨工程学院存在时间并不长，1966~1970，四五年时间而已期间还经历了高考取消；而哈尔滨工程大学更名至今已二十余年，该出现的问题都已经成了司空见惯的问题。  其二，学校虽然当时名字也叫哈工程，但实际上它是由哈军工直接更名而来，其本质仍为哈军工，故用哈军工作为简称可谓实至名归毫无争议，没什么必要自称为哈工程，更没有可能被别人简称为哈工大；而现如今的哈工程是不敢自称为哈军工的，毕竟哈军工的院直领导机关都迁去了长沙变成了如今的国防科大，所以只好简称为哈工程，由于与哈尔滨工业大学校名同带“哈”、“工”、“大”，被混淆也是在所难免的事了。  其三，当时中国大学才有多少所？现如今又有多少所？况且建国后虽然也经历了一场改名潮，但是却不存在谁山寨谁的情况。如今山寨学校野鸡大学遍地，哈工程被误认为哈工大的山寨也是一种社会现象的体现罢了。  其四，七十年代正值文革动荡年代，且不论工作岗位少，工作压力和竞争小这种事，高考都取消了，学校也停课了，谁会在意你叫什么呢？毕竟当时全国人民都投入了轰轰烈烈的批斗事业当中，知识分子可谓饱受迫害。而如今改革开放三十余年，在市场经济体制下，竞争加剧自不必说。毕业于什么大学就成为了影响就业的关键因素，这个时候学校牌子、知名度与区分度也就成为了一种必不可少的软实力。  结果几十年前没有出现的问题如今却变成了难以解决的矛盾中心，搞的工程学子尴尬不已。  那么是否真的到了再次改名的时候了呢？  三、哈工程应该改什么名   哈工程这个名字确实不好，这是事实。  但是哈工程要改成什么名字才够好？贴吧里有一位叫“韩影宫特委”的同志，虽然他大肆鼓吹哈工程的变相抹黑行为让人不忍直视，然而在改名方面，笔者和此人还是有颇多共同见解，在此笔者就整理并分析一下网络上出现的各种呼声和思路。  第一种思路：让简称变成哈军工，这样虽然有些心虚并且貌似不够名正言顺，但哈军工的牌子的确有足够的影响力，毕竟百足之虫死而不僵（趁着老校友都还健在！）不过可操作性却基本没有，因为军字似乎不是那么容易就带上的。  第二种思路：让去掉哈尔滨，改加国字头，如中国工程大学。这是笔者认为最理想的方案。然而这一方案的可操作性比第一条更低，中国二字基本已经不允许再随便加到学校前面了，哈工程在哈尔滨这个姥姥不亲舅舅不爱的地方想得到特批，恐怕可能性是微乎其微。笔者不禁感叹，东华大学为何放弃中国纺织大学的名号？真是自毁长城啊！你不要给我们如何？（p.s.也有呼声改叫中国舰船大学，这样似乎既突出了学科特色又省得学校其他学科被舰船的光环抹杀，但实际上笔者认为“工程”二字乃是校魂，万万丢不得的！）  第三种思路：加上国防，变为国防工程大学。这种思路在网上呼声颇高，似乎也颇为合理，毕竟哈尔滨工程学院是分建为了国防科大和哈工程，现在哈工程改为“国防工大”，似乎就和国防科大从异姓兄弟做回了同姓兄弟。但是虽然前有“广东省国防科技技师学院”等为例，笔者仍然不认为哈工程有机会可以做到。也就是说，若想冠以国防，恐怕只能重回军队序列，奈何工程学子虽有心报国，但此路却基本不通。  第四种思路： 这一种是笔者最为反感的思路，即更名为船舶科技大学，持此论调者认为船舶科技大学与电子科技大学类似，无甚不妥，但这一论调根本经不起半点推敲。首先科技大学遍地都是，哈工程放着中国第一的工程大学不做，去趟科技大学这趟浑水，能趟出什么来？其次，船舶科技所能覆盖的专业面比之电子科技可谓窄了太多，电子科技偏理论，其含义包括：电子技术应用、通信工程、计算机科学技术与应用、网络安全及信息、光电子材料等领域，这些恐怕就足以覆盖各类工科院校的大半专业，而船舶二字，恐怕只能覆盖“三海”，连那“一核”都盖不进去。持此种论调者还说：船舶来代表哈工程的特色专业，科技来代表其他专业，这更是无稽之谈。“船舶科技”，从语文的角度来讲，“船舶”是“科技”的修饰词语，船舶科技是关于船舶的科技，而并不是所谓的并列关系——“船舶”和“科技”。  第五种思路：校方的思路，哈尔滨船舶工程大学or哈尔滨船舶海洋大学。船舶工程大学暂且不表，哈尔滨船舶海洋大学真不知是谁想出来的奇怪名字。海洋大学一般都是与水产分不开关系的学校更名而来，而且多靠海。哈工程且不说离大海十万八千里，和水产也是边也不粘，据笔者所知，哈工程连和渔船都没什么关系，校内也没有与海洋生物有关的本科院系，这样改名有多不妥，不如想想这些年强行改为交通大学的几所学校好了。 那么哈尔滨船舶工程大学又如何呢？笔者前面论证了，船舶工程学院只不过是分建后叫无可叫的产物，虽然当年这个名字确实曾经小有名气，但如今“船院”已作古二十余年，又不如“哈军工”来得如雷贯耳，究竟还剩多少余温呢？我们又究竟能不能以当年的眼光去审视哈尔滨船舶工程大学这个名字呢？恐怕答案都是否定的。况且当年“哈船院”的诞生伴随着的是“哈工程”的一次分建，那么如今在哈工程并不打算分建的前提下，复名哈船工真的妥当吗？恐怕答案也是否定的！  说了半天哈工程究竟应该改什么名字呢？笔者不否认此乃一比烂账，一时也想不出什么所谓最好的名字，但是笔者仍然可以提出改名所应需要的条件和需要避免的地方。  第一：更名最好要带“中”，带“国”，带“军工”。这样似乎是等于没说，但实际并非如此，虽然现在似乎冠以这些名号千难万难，但并不意味着一丝机会都没有，更不意味着未来就毫无可能。哈工程已存在了二十余年，早已度过了起初最容易被混淆的艰难时刻，如今虽然也偶有此事发生，但现在却不是关乎哈工程生死的时刻，而此时在条条框框下改名恐怕也不会改出比哈工程更好的名字了。从哈船院改成哈工程这二十年中，学校应该认真反思，吸取教训，明白妄动校名、草率改名的坏处，应该努力谋求发展，等待最好的时机，一举成功、一劳永逸，而不是又简单而又草率的恢复原状。   第二：“工程”二字万万丢不得！建校六十一年，虽分建更名多次，“工程”二字始终未变。这是学校真正的校魂！从某种角度说，哈军工的精神所在便是“工学”二字，如今丢掉它，无异于和校史校魂割裂，学校传承的哈军工荣耀就再也不复存在了。  第三：不可加上“船舶”，这样开历史倒车毫无道理，更不符合哈工程的更名原因。学校并未分建，何有自阉校名之理？  说此三点，无非是希望工程对待改名一事能慎之又慎，万万不可轻率再犯错，没有人希望看到这所学校在二十年后再更名了！  四、哈工程如不更名，该如何摆脱目前窘境？   说起窘境，恐怕被吐槽最多的就是哈工程被错认为哈工大或者哈理工的事。尤其是在哈工程的科研成果被报道为哈工大所有以及哈理工mba丑闻后哈工程人无辜躺枪之时。难道哈工大、哈工程、哈理工就那么容易被混淆吗？  没有办法去要求别人了解熟悉这三所学校的区别，所以只能从自身想办法。  笔者在此发表一点愚见，欢迎各位看客批评指正。  1.不再纠结于谁才是“哈工大”，做自己的“工程”。  哈工大1920年建校，从1938年确定为哈尔滨工业大学后除了南迁重庆改名重庆工业大学那几年之外就没改过名字，如今来来回回已近百年，哪怕哈工程的实力真的可以与哈工大比肩乃至超越，恐怕也抢不走哈尔滨工业大学那“哈工大”的名号。那么还为什么要抢？不如去做自己，纵使名字相似，也并非没有办法。  现如今用搜索引擎，搜索“工程大学”，第一条就是哈工程，但不知各位是否知道这样一个概念——“工程类高校”。它大概包括：哈尔滨工程大学、安徽工程大学、上海工程技术大学、南京信息工程大学、武汉工程大学、西安工程大学等高校，而这些高校中，除去哈尔滨工程大学这一211院校外，武汉工程大学、西安工程大学都为省内本科一批，上海工程技术大学在部分外省份也为本科一批，安徽工程大学、南京信息工程大学虽然较弱，但也是本科二批，换句话说，这六所高校中，以哈工程为最，而其他学校也说不上有多么多么不堪。这样一来，完全可以经由哈工程牵头，六所学校组成一种联盟，真正打出“工程类高校”的名号，这样一来，既提携了这些并不出色的学校，又能为哈工程真正的找到一个属于自己的位置。哈工程将不再纠结于“哈”，而立足于校魂“工程”，哈工程也不再成为“哈工大”的校名争夺者，而成为“工程大学”的校名的开创者和领导者，工程学子也就不用在介绍自己的时候说自己是哈尔滨工程大学然后被人追问是不是哈工大，只需要自报家门为工程大学，自会有人问你是不是哈工程大！  此之谓做好自己。  2.你是“哈工大”，我也是“哈工大”，不如我们一起吧！  首先声明一点，笔者并不赞同并入哈工大的观点，但是如果非要做哈工大，就只有合并一途吗？  平心而论，哈尔滨从当年的中国十大城市之一沦落为如今的二线城市，发展得如何你我都心知肚明。这虽然存在这样那样的外部因素和内部因素，却已经成为既定事实。而不论是哈工大、哈工程还是哈理工，都和这座城市的兴衰密不可分，换句话说，他们是哈尔滨的名片，哈尔滨也在造就他们。哈工大虽然一直领先于哈工程，但据笔者所知，在中国高校的地位上，哈工大的位置也并非稳固牢靠，这些年一直有下滑趋势。而哈工大、哈工程、哈理工这三所学校如果围绕校名缠斗不休，恐怕只会加速这一进程。但如果让这三所高校形成联盟，共同竖起“哈工大”的大旗，相信情况会有所不同。  作为同在哈尔滨的三所大学，如果可以形成一定的合力，必然能够发挥出更大的力量。新的联盟将整合哈工大之航空航天，哈工程之船舶核动力与哈理工之电气工程，为哈尔滨的城市建设添砖加瓦。让人们提起哈工大，先想到“哈”再想到“工”，最后想到“大”。这样也许一时会出现联盟中弱校对强校造成不良影响的情况，但其未来发展却是光明的，若能成为良性循环，必将为哈尔滨这座城市以及哈工大这块招牌带来新的生机。  那么这个联盟会弱化工程的校格吗？笔者认为并不会，只要学校依旧坚持特色，一心一意谋发展，哈工大牌子竖起的同时，哈尔滨工业重镇的地位也会得到提升，经济也将得到进一步发展，未来可成为中国工业核心。而三所学校的实力将更加雄厚，特色将更加鲜明，名声也会更加响亮！    综上，哈工程并不应该“变回去”改回哈船舶，而应该“走出来”放眼看未来。  ——————————————————— 赞同回答所说，哈尔滨已经是三线城市了，只不过身为土生土长的哈市人还不愿意承认而已。至于向四线迈进，一个副省级城市，一座省会开始往四线迈进的话，那基本上等于给这片区域都判了死刑了。我不希望看见这种事，但我做不了主。
哈尔滨工程大学是211大学里条件最差的学校吗？,谢邀    不不不 不是的 你要知道爱你更差的地方有的是 只有你想不到 没有做不到    https://  baijiahao.baidu.com/po/  feed/share?wfr=spider&amp;for=pc&amp;context=%7B%22sourceFrom%22%3A%22bjh%22%2C%22nid%22%3A%22news_3282050337260137600%22%7D        附上链接可以对比下
黑龙江考生高考507，全省排名18818。能进哈尔滨理工大学电气工程及其自动化专业吗？,欢迎报考海南大学
在哈尔滨工程大学如何切实地提升自己？, 嗯，如果你是一个想干大事的人，作为刚毕业的学长，我可以给你指明两条明路。   如果家庭条件不好，你唯一的方法就是退学复读。在一个垃圾学校读书你会发现太多的东西是个人努力没办法弥补的，学校提供的平台资源限制了大大限制了你的上限，你的眼界四年下来很可能跟当年去了很好学校的那些优秀的同学相比会落下巨大的差距。与其四年痛苦的在这学校读下来然后用一生去后悔，不如果断复读，考一个好的学校。四年之后你将在新的学校开始大四时光，你会面对保研／出国等重要的人生选择，那个时候你会发现当初选择退学复读然后来到一个更好的大学这个决定有多么正确。  如果家庭经济条件允许，那么你可以选择另外一条风险比较小的路，即大一努力学习英文大二转学去美国重读本科。转学去美国便可洗白国内高考的失败，你可以重新开始自己的生活。在美国的本科四年，好好利用美国学校的资源，保持高gpa，跟教授多套近乎，搞科研，到大四的时候你会发现你未来的路将更加宽阔。   如果你是个想干大事的人，而又在18岁的时候不幸做出了错误的决定，选择留在哈工程这样一个层次的学校，当你毕业的时候，你也许不会太差，但是你必然离世俗所定义的优秀会相隔很远。在未来的人生中，你也将付出更多的努力才能跟那些从名校毕业的中等水平学生站在一个平台竞技。而想和那些名校的优秀学生一起玩，呵呵，怪自己当年没复读吧！ 
哈尔滨商业大学食品安全与工程专业每年什么时候能出去实习？,所谓的实习，就是参观工厂，一般是大三下，或者大四上
在哈尔滨工业大学超精密光电仪器工程研究所（1系12所）读研是一种怎样的体验？, 起早贪黑累的要死？  不，我有仪器强国的梦想。。。 
如何评价哈尔滨工程大学辩手（又名老齐）在校长杯辩论赛中的表现？,实名回答，不邀自来。经验有余，这个有点过誉，本人校内中等水平，实在担不起这等赞赏。诚意不足这个，我还没有想到，可能我的风格更具有侵略性，所以有的时候难免误伤，如果真的伤害到一些同学，这是我的过错，在此致歉。 至于技巧与深度讨论，这个我也纠结了很久。按照目前的评委制度，要考虑到观众的接受度，所以很多场下讨论的东西，特别是长逻辑的东西，我也有时候不太好用，因为怕接受不了，所以诚意不足的批评我也能够接受。 最后，工程的辩论水平还有很多提升的空间。我输过很多比赛，虽然有时候会有点郁闷，但每次后来我都很开心，因为有更多的优秀的辩手喜欢并加入辩论中来，江山代有才人出，各领风骚数百年，希望大家在讨论中共同进步，让我们工程辩论早日走出东北，与更高水平的学校逐鹿中原。
如何简单明了的告诉出租车司机「我要到哈尔滨工程大学」，而不会被司机反复问是黑工程还是哈工大，而不用补充哈船院和哈军工？,到欧亚男科 
如何评价哈尔滨工业大学一公寓寒假期间的寝室地面改造工程？,大概翻了一下，哈工大话题下前二十多个问题中，竟有五个是以“如何评价”开头的。实感慨此句式竟有如此之魅力～ 凡事有必至，理有固然。铺地板之前因后果，大家心知肚明。工大还是那个工大，想让它与一个月之前有所相异，何其难也。果真想求一评价，不妨参考第一个以“如何评价”开头的问题。 个人感觉地板可能铺不成。若真铺了，再来一个“如何评价哈工大阿姨未经允许擅开寝室……”等问题，公寓管理中心恐怕是万万受不了的。如果哪天阿姨真来通知我整理东西，就权当是为回家的舍友们做贡献了。
