如果哈尔滨工业大学合并哈尔滨工程大学会有什么后果？是否具有可行性呢？,哈工大与哈工程，合并好，强强联合，整合优势资源，更名为中国工业大学，是中国最好的工业大学，就像中国科技大学是中国最好的科技大学、青岛海洋大学更名为中国海洋大学是中国最好的海洋大学一样。
山西人去哈尔滨工业大学上大学是什么感受，气候很难适应吗？,呃，我是山西的，太原糙汉子一枚 既然是糙汉子，气候什么的，问题不大 冷不是问题，不怎么出去就不会觉得冷，宿舍里面暖气很足，我一件羽绒服过了一个冬天什么的黑历史我会随便说出来吗？但是家里面怕我冷还是给我带了好几件大棉袄……全都吃灰去了…… 冬天比较严重的问题是雾霾比较大，不知道是不是这里的煤没有处理好……特别呛！表示身在太原还真是没见过这么呛的！ 题主真的想体验非凡的感觉，去南方或者海边，感受那种湿气吧……那才是真·历练，洗了衣服也不会完全干，被子潮潮的，大夏天汗也蒸发不出去，大冬天棉袄也挡不住的。可能是因为本人太糙了吧=.= 这里偶尔会有气温突升和突降，今年还下了场泥雨什么的我会乱说吗//我刚洗的衣服！！  气候什么的真的还好，来到这里你会发现你面对的最大问题是配套的硬件和大学的氛围 北方人就是糙糙的，不如南方人会生活，于是乎一个偌大的校园充斥着混凝土的清香。校园里据我所知没有什么灵气，不像南方的校园，湖啊水啊景观啊什么的。绿化相对哈尔滨是好的，但是也很难达到人与自然和谐统一。话说二校区有一片小树林，里面就是树…… 这里种的最多的是丁香树，有那么一些日子，整个校园都会沉浸其中，尤其是夜晚，简直醉了 其他景观什么的好像就没了，哦对，二区主楼有个红球，一区图书馆有个铁球，正门还有个大环和小球，就是这样。  总的来说，这里是工程师的摇篮，不是诗人的摇篮；这里奉行规格严格功夫到家，缺少浪漫主义和人文关怀
如何控制我国哈尔滨工业大学研发的卫星lilacsat-1(紫丁香一号），给地球拍照？,     1.获得法律许可。要想使用lilacsat-1给地球拍照，需要使用相应的卫星上下行频率，考一个无线电A证应该就可以了。   2.准备工具。个人认为完成拍照需要一套高增益天线和一个电台。车台应该没问题，手台问题也不大。将电台连接电脑。  上传信号用一根145MHz的三单元八木天线差不多就行了。  下载信号比较随意，只要是U段天线，无论是打蛋器天线，还是四螺旋天线什么的都差不多能应付。   3.获取卫星星历及跟踪卫星。比较好用的有:   ①安卓系统的heavens-above和AmsatDroid   ②Windows系统的orbitron   4.安装lilacsat-1专用的livecd系统。 地址:   filehosting.org | Download | M6SIG_Mod_LilacSats_Live_20170528-0.iso.gpg    (这个和下面的链接我使用了短链广告，等待五秒钟点击“跳过广告”即可，没错我就是想钱想疯了)  系统内有星载相机的流程图，可以直接使用流程图控制电台信号的发射，进而控制星载相机。具体方法在这里不太好讲，大家可以自己摸索。    5.等到卫星大角度过境时上传指令。同时获取卫星照片。经评论区  @马行处  补充，一次卫星过境下载不完的话，可以等另一次卫星过境时下载。 效果:  YouTube     以上是获取照片的大体步骤，更多细节还需查找资料，自己摸索。  官方资料:   LilacSat-1 Radio Info &amp;amp;#8211; LilacSat    
哈尔滨工业大学深圳校区前景如何？,先说结论：以目前东北经济形势来看，哈工大在深圳建分校开分舵简直事关兴废存亡。哈工大没有退路，必须背水一战。从这个意义上来讲，哈工大必在深圳开出更美丽的花朵。  哈工大2000年左右在深圳设立研究生院，到今天本科招生。在深圳大学城清华北大哈工大三校入驻的初期，清北校方的动力以及清北研究生同学的认可度都不那么到位，毕竟很多外校考进来读研的同学更愿意感受原汁原味的清华园燕园。哈工大则不同，哈尔滨本地就业环境非常之局限，除却航天领域的就业，来大深圳读书就业是很有吸引力的。  所以从第一届开始能来的同学就包含热情，还有很多和我一样从大二开始下决心考到深圳去脱逃离哈尔滨的同学。前面几届就业人数不多，就业方向也明显不同于本部有相当多去航空航天各研究所的情况。去的主要是高校如深大深职院，企业就是华为腾讯中兴迈瑞大族激光以及各大外企。本人的同学如今也都毕业十年，基本上在各自行业里有了举足轻重的地位（除了学渣的我哈哈）。  这十几年来哈工大可以说是深圳大学城几所高校里投入最多资源与热情的学校，深圳市政府想要的本地就业也属哈工大做得最好。清北的孩子们出国更多，哈工大孩子们一如既往的“规格严格功夫到家”，老老实实的本地就业。  对于深圳大学城的老师而言，最大的限制是之前的经费包括工资仍有很大部分是黑龙江在负责，就工资水平而言，因为不是深圳的编制，最开始是不如深圳大学甚至深职院的。如今开始招本科生，我相信哈工大（深圳）解决了最后的一个难题。这也是在深圳建分校最重要的一环，财政抱上了深圳市政府的大腿（据说哈工大校友刚刚离任的前市委书记马兴瑞推动了合作的进度）。另外在深圳房价高企的今天，政府一系列对高层次人才的政策还是比较有吸引力的。原来我们的一些师兄如今海外归来到学校教书，完成基本的科研工作量收入上一年也有30W--50W。  目前新生的几所深圳高校中，港中大深圳学费比较高昂，对学生家庭背景要求很高，南科大也因创校开局的诸多因素，孩子们也以出国深造为主。清华北大不用说，人大深圳分校也一般不和哈工大毕业生直接就业竞争。所以哈工大还是有很多机会。 之前看北航毕业生在知乎吐槽航空航天领域的就业，我也在感叹。希望母校不要固守，要更多的创新。  本科2016年第一届新生，录取分数据说高过华南理工。就性价比而言，我相信是值得的。哈工大没有退路，一定会和最初研究生院的建设一样，把深圳当成永久扎根的土地来努力生长。同时也希望母校准确定位自己，一定把专业和行业结合起来，深化校企合作。现在民用航天呼声越来越高，哈工大也在深圳参与创建了一批相关企业，相信大有可为。 就录取分数而言，相信会持续走高。一来现在大家都认同深圳的整体就业环境，二来哈工大本来的工科定位天然契合深圳发展的人才需求，三就是前面说过的，哈工大孩子们都是螺丝钉精神，主力都会在深圳就业扎根不会乱跑。  记住现在的一个主流观点，北上广深，北京总部经济权力中心国企中心，上海金融中心外企中心，唯有深圳定位是科技中心创新中心。除开垄断经济和权贵经济，真正能在全世界去拼杀挣美元的必须是民营科技企业。这些企业，深圳最多最强。这样的城市定位，需求最多的人才就是理工科，如前面所讲，工科强校前几名的比如清华的主流就业在北京，浙大上海交大的在上海，剩下如哈工大，华中科大，西安交大的孩子们在深圳就业相对来说最多。因为学校所在地就业环境不如深圳，毕业生们自然用脚投票。            哈工大深圳研究生院的2016届毕业生就业参考本文 ，数据真实，和我随机问一些师弟师妹们的就业相符：    http://  m.sohu.com/a/81734975_4  00345        “毕业生月薪为全国均数1.47倍   2016年全国高校毕业生765万人刷新历史纪录，《2016大学生就业质量研究报告》指出，对32个省市855所高校16.9万名2015届毕业生毕业3个月时的就业状况调查发现，全国2015届硕士毕业生平均月薪为4778元，满意率仅为38%。 截至目前，哈工大（深圳）就业数据报告显示，其2016届硕士毕业生入职月薪1万元以上者占比63%，入职月薪7000元以上者高达95%，为该项全国平均数的1.47倍。   “我们专业84个人中，有20个都选择了华为。这一届一同入职华为的同学有52人。”哈工大（深圳）信息与通信工程专业黄泽浩已在华为上班两个月，入职前他曾跻身华为销售精英挑战赛全国总决赛。小黄说，这有赖于在校期间各种活动与培训发掘出了自己的潜能。 小黄的同学欧阳任耕更是拿到了华为、中兴、北京通广等7家企业的offer，最终他选择了上海微小卫星工程中心。“虽然今年的就业形势比去年紧迫，但是同学们的就业情况都不错。我们班目前96%以上的同学都拿到了offer，签约互联网企业的，年薪大概有18-20万；签约通信类企业的，年薪大概有11-14万。”欧阳任耕表示。 与他们同届毕业的崔晓萌、黄薇瑾、黄哲敏、苗峻分别是应用数学、计算机、材料专业的学生。崔晓萌、黄哲敏都同时拿到2份行业顶尖企业入职邀请。经过一番思量，崔晓萌加入了毕马威，黄哲敏选择了腾讯。黄薇瑾则进入了北京国家税务局，苗峻选择了中国电子科技集团。他们都不约而同地谈到，学校培养出的专业技术和动手能力，使他们在就业时有了从容选择的空间。 历年来，哈工大（深圳）毕业生留深就业排名前十的专业是计算机科学与技术、机械电子工程、电气工程、信息与通信工程、控制科学与工程、微电子与固体电子学、企业管理、材料加工工程、环境科学与工程、管理科学与工程。不难发现，上述专业契合了深圳战略性新兴产业的发展需要，同时给留深毕业生带来就业优势。这折射出高校办学与城市发展的双赢互补效应。”  总之，哈工大与深圳最是般配，未来不可限量。  利益相关，哈工大本科毕业深研院06届毕业生，在深圳生活。 有不对之处欢迎指正。
如何看待哈尔滨工业大学总部本科男生宿舍一公寓和二公寓的住宿条件？,哈尔滨工业大学学生一公寓，始建于1952年，号称亚洲最大寝室，共有六层，每层约100余寝室，其中一层为半地下室结构。每层四个卫生间，两个新装修的，两个旧的，部分水管损坏一直没有修上。设有付费式洗衣机，甩干机，晾衣间，二楼服务间设有吹风机，熨斗和微波炉。四楼设有电视厅可以看有线电视，五楼六楼设有通宵自习室，全楼加装覆盖校园无线网络，网速不是特别稳定，包月30元。后楼有学子超市，前楼有私人超市，前楼超市每件商品价格高于后楼超市5角到1元。现住有航天学院，电气学院，电信学院本科生。 学生一公寓五楼寝室最烂，室内六人寝，上下铺，无空调，无风扇，无独卫。走廊施工属于烂尾工程，没有粉刷新涂料。哈尔滨夏天天气30℃以上，由于建筑结构问题，部分寝室无风，严重影响学生睡眠质量。五楼虽然不是顶楼，但仍有部分寝室雨天漏雨，更不用说顶楼了。大部分床铺不够牢固，容易剧烈晃动。无立式衣柜，学生自己出钱购买简易衣柜使用。室内灯管及线路老化，室内光线较暗，长时间读书影响视力。寝室卫生质量存在隐患，曾多次爆发水痘等疫情。其他楼层也或多或少存在上述问题。
哈尔滨工业大学有哪些坑爹的选修课？,郭丹老师的知识产权！！ 郭丹老师的知识产权！！ 郭丹老师的知识产权！！ 重要的事情说三遍！！！！！！ 可选不上知识产权，也不要去选她的知识产权！！ 静静地等着赞同。。。。
哈尔滨工业大学的研究生好考不？,我本科是东南大学 09年考研哈工大 已通过本科学校熟悉的老师联系好了哈工大的老师 已过分数线进复试  最后未被录取  我就是想举一个极端的无参考意义的例子 出身好有关系又努力还是考不上
哈尔滨工业大学有哪些奇人？,树下老人，馅饼西施，评球小胖，还有一个忘了。。。
如何评价哈尔滨工业大学一公寓寒假期间的寝室地面改造工程？,大概翻了一下，哈工大话题下前二十多个问题中，竟有五个是以“如何评价”开头的。实感慨此句式竟有如此之魅力～ 凡事有必至，理有固然。铺地板之前因后果，大家心知肚明。工大还是那个工大，想让它与一个月之前有所相异，何其难也。果真想求一评价，不妨参考第一个以“如何评价”开头的问题。 个人感觉地板可能铺不成。若真铺了，再来一个“如何评价哈工大阿姨未经允许擅开寝室……”等问题，公寓管理中心恐怕是万万受不了的。如果哪天阿姨真来通知我整理东西，就权当是为回家的舍友们做贡献了。
2017年哈尔滨工业大学自主招生终审笔试面试是怎么通过的？,650就高地了？现在模拟行情都这么涨了？我高三一年模拟没下过670也没说都给过初审啊  还有，模拟高是没有多大权重的，因为该考上的还是能考上，看看竞赛和科研再决定报哪个才是明智的 现在如果没直签降段的话我估计是没有省集训队以上的竞赛了，剩下的情况就是：两个以上省一等奖横着走，一个省一等于两个省二能挑一挑，再次就看人品吧，别指望模拟分能给太好的初审   再有，千万留个保底的自招，就是高考血崩到死还能靠降段强行救回来的那种，万一涂错卡了呢，反正我是真多亏了有这么个保底   利益相关：一堆学校的自招一轮游，最后用哈工大的自招条例止血成功
