湖南大学转专业的有哪些具体要求呢？,成绩很前或关系很硬 ps.胡来大学转专业坑死爹
如何评价湖南大学的校园网计流量制度？,首先，鼬真转无论如何还是要看的 然后这个校园网，具体监测原理真不太懂 然后这个收费，我是觉得有点高的 然后这个上限，我是想问候它祖宗的
去哈工大学金融还是去中南大学或湖南大学学金融更好？,在湖南大学学金融好，还是上中南大学学材料或土木工程好？我喜欢学金融，但别人都说上湖大亏
知乎有哪些有趣的湖南大学学生？,7.11更新 鉴于黄老师要求低调，那我就在前面再安利几个有意思的同学。想看黄老师的往后拉。  @ 李一舟   李一舟学长，就是那个曾经在某求职节目大杀四方怒打脸众多达人最后被疯抢的那位。  看过某求职节目的都应该知道。    李一舟学长本科湖大设计学院，研博在清华，如今自主创业。每年也还会回来给我们做个讲座分享一些东西。  ————————————————————————————————————————————————————————————————————————我是华丽的分割线——————————————————————————————————————————————————————————————————————————  这个问题必须要安利一下我们的黄老师  黄宇峰  同学。  黄老师是个很有意思的人，也是唆使我进知乎的那位，目前不单身，不欢迎妹纸勾搭。  黄老师这个人，胸怀教育梦想，加入美丽中国，转战知乎各地，甚至还开了自己的专栏，当然专业宣传他的TFC事业……除了教育理想之外，黄老师擅长人生导师学，职业规划学，高考报考学，心灵鸡汤学，好人卡接收学等诸多领域。  黄宇峰本是10级，但大二读完之后突然觉得大学读的”并没有什么意思“，于是毅然休学一年，游历各大高校，投身立人图书馆，一年之后回到学校，以改变中国教育为梦想，振兴山区教育为己任。  作为大搬砖院的学生，大四的黄老师申请出国读教育学……黄老师收到了英国两所比较不错的高校的研究生offer，但他毅然决然地拒了！  然后他去美丽中国做了一名支教老师！  这是黄老师知乎近况：   以及一些他的高票回答：   能和黄老师并列第二届湖大四害，实在是愧不敢当。在此强势提名，怒求一赞！
在湖南大学就读是怎样一番体验？, 作为一个南校三年跑北校去上课想勾搭妹子，却从没勾搭到的，补充下我关于北校的看法。   我相信就像上面那个学妹一样觉得南校很好一样，作为一个南校的男生我也觉得北校很好。  如果用两个词来形容北校给人的印象就是“樱花”和“妹子”。   作为一个车流穿梭不息，夜夜歌舞升平，教学楼旁边就是购物中心电影院酒店吃饭约会打炮一条龙服务的南校区的学生，走进北校会觉得像是走进了一个高中。这里的妹子素面朝天，扎着马尾穿着白球鞋，背着重重的书包，情侣比较少，大多妹子都是成群结队的走进了图书馆或者教室自习。这里确实男生较少，曾经上过一堂课，60人到课，包括我在内4男生。作为一个男生，这样的天堂你不爱来？   但如果你觉得北校的妹子心智未开比较好骗就错了，其实就我的接触而言，北校妹子大多白富美居多，并且十分的学霸。这和北校的环境有关，反正没啥男生看，北校的妹子与其花费心力打扮的很漂亮，不如在学习上压人一头来的光彩。毕业后，我认识的北校妹子要么去了很好的企业，要么拿了全奖去国外念书，额……还有要么嫁了个特别有钱的好老公（擦汗）。   说起各种各样的活动，北校确实不如南校，甚至不如南校的一个学院。当我还是个技术宅的时候，因为各种各样的原因，我去给北校的不少活动帮过忙，也曾经去北校做过一个活动的嘉宾，按道理也是北校区校级的活动，但基本上搞的零零散散，流程不够顺畅，中途出问题的环节很多，主持人连赞助企业的名字，还有学生会主席的名字都能报错，整个活动较为拖沓，偏偏主办方还以为自己做的挺好。这在南校的一个学院都是很少有的吧。（有幸也被邀请去过长沙各高校大大小小的活动，还真没几个别的学校的晚会能跟湖大南校的比，尤其是社联十周年和学生会的十佳歌手，我相信这和我们的新影院给力有关。）   也可能是因为课外文艺活动的规模较小、对能力的锻炼较少的原因，北校的女孩确实如楼上所言那么“厉害”，大家的整体印象也是北校女孩没南校的闪光。但事实上深入了解你会发现北校女孩素养很高，主要体现在知识面和谈吐上还有礼貌上。   你和北校的妹子聊动漫能扯上几句，聊国家大事政治也能扯上几句，聊手机数码PC显卡还能扯上几句，我最最惊讶的就是在北校我还能找到个能和我聊“耳机”的发烧友妹子。相比之上，南校的妹子因为周边环境的渲染，穿的漂亮的居多，但当一个人的外貌和衣着就足够吸引大部分男生的时候，她就不会再去用心于自己的内在修养了。至今为止，在我朋友圈搞假代购和卖面膜发广告的，都是些我上学时在南校还打扮的很白富美的妹子。（有人说，我一黑黑了整个南校的妹子，其实不是，只是我个人更喜欢有内涵还较为低调的人，只是偶尔闪光照一下你的人。这可能就是北校妹子的反差萌吧。）   北校的妹子还比较随和，无论是我作为屌丝技术宅的时候，还是屌丝穷摄影的时候，南北两校找我帮忙的人都比较多，也可能是我热心的缘故。南校的妹子偶有那种我是白富美，你为我服务是应该的态度招之即来挥之即去，当然，只是偶有，这样的人遇上了也只能自认倒霉。北校妹子基本比较礼貌，承你一份情，以后你需要帮助的时候也很热心。私以为北校妹子不娇气，更放的下身段吧。   谈完妹子的属性，谈谈追求难度。如果说南校每一个漂亮妹子后面追求的人都排的像烧饼帅哥或者梅干菜扣肉饼前的长队一样，那么据我三年来的统计，北校的妹子基本都有个“异地恋”的男友。反正湖南湖北是异地，中南湖大也是异地，就算你同校，南北两校也是异地。就我看北校妹子异地恋据多，因为异地恋吵架啊，分手的也居多。而不是异地恋的北校情侣基本上走在街上到处都投来杀了这对狗男女的目光，那是赤裸裸的嫉妒啊。所以每当我看到北校的漂亮妹子身边挽着个很挫的北校男生的时候，不由感叹生不逢时，啊，不对，是生不逢校。   再想想三年都去北校听选修课，却没有在北校脱团，这正是听过许多道理，却依然过不好这一生。来过许多次北校，却依然没勾搭到妹子啊。（以泪洗面中。）   再说说北校的樱花，北校的樱花每年三四月开，花期短，花树少，围观的人多。但只是把樱花和女孩这两者联系到一起就足够让人想入非非吧。总之北校的樱花并不特别，不是很好看，不是很多，樱花树下不会有个萌妹子在等你。不过，只要是说一句“一起去北校看樱花吧”，就足够我等南校屌丝心驰神往了。   不要觉得我跑题了，结合楼上那位学妹的回答的话，其实在湖南大学上学就是这样的体验：喧繁于南，静寂于北。南校的喜欢跑北校，北校的喜欢跑南校，每个人都不安于现状，不过大学生就应该这样有追求嘛。   所以你在湖南大学上学一定会觉得这所学校不好，觉得别的学校好，因为南北两校都互相欣羡，更何况中南师大？但这正是这所学校迷人的所在。   每当选修课的夜晚，我穿过北校安静的林间小道坐上902回到灯火纷繁的德智园时，我觉得恍若隔世。  每当情绪低落静不下心的时候，我离开满是奇葩的南校图书馆，在北校水教五楼一个人独享一间大教室时，我觉得世界之大，却唯一人一心。   校园很小，地分南北，岳麓山脚。校园又很大，连门都没有，四处都是校园。   正是这种反差贯穿着你的大学生活，开心和失落，喧繁与宁静，充实与空虚，成就与遗憾。   所谓在湖南大学上学是种怎样的体验，不如说你自己在这所学校里体验到了怎样的生活。   最后感谢湖南大学北校区，在我最伤心最失落的时候，北校给了我一个逃避的居所，感谢在北校认识的朋友，你们填充了我大学生活很大一部分，使时光不虚度，脸上也有笑颜。   最大的遗憾就是大学四年没有牵着一个人的手一起去北校看樱花。不过我建议有机会一定要在春寒乍暖的晚上，沐浴在春风中从北校一个人走会南校，那一路上独处的时光，会给你一种温和而平静的体验。   最重要的事情放在最后的最后说：比起南校打扮很漂亮很成熟很性感的妹子，北校妹子书包球鞋素面朝天大马尾，更像我心中的大学生。   下面贴点以前写的好玩的。  ————————————————————————————————————  湖南大学是个很神奇的地方  1、湖南大学有个很神秘的社团，你或许不知道它的存在，或者你知道它的存在但你找不到它，因为它叫躲猫猫社，你想要加入这个社团的条件就是找到它，传说此社的社长至今没有找到。   2、湖大历年来只开四级培训班，为什么没有六级培训班呢？明明每年考六级的需求量很大为什湖大不开呢？原因只有一个，湖大的六级培训班其实叫湖大六处，和英国的军情六处是同等级的机构，专门为国家培养海外特工。（还记得上过国外新闻的湖大保密学院么？湖大六处就是保密学院的前身。）    3、2011年的湖大经常停电。表面原因是因为长沙电力供应不足限电导致的，但实际的真正原因是因为湖大参与了方舟的建设，要赶在2012到来前将方舟建好，而这段时间耗电是因为正在进行各项调试工作。（后来2012并没有来，广大湖大学子受的苦白费了。）   4、湖大附近有许多小偷，每年这里的学生都要遗失很多的手机。同样，这附近有很多卖水货手机的地方，卖的水货手机价格便宜。但实际上，你买到的所有手机，都是一些学生被偷的手机，然后他们被送到天马附近的一个小巷子的通讯店里经过高手翻新。或许你若留意一下，会在那个通讯店的角落找到一个布满灰尘的牌子：湖南大学物理与微电子学院实践中心。   5、我有个同学住在天马二区，他告诉我，有个寝室，应该是住的软件院，门一直不开，常常半夜还亮着灯，经常有些神神秘秘的人进出，里面总是传出电脑在运行的声音，忽然有一天，这个寝室爆发出一阵欢呼声，大喊说什么“找到了”“花了十年终于定位到了”“这些肯定没错”之类的话。我当时不理解，过了两天看新闻：拉登被美军找到并击杀了。   6、上面那个不算什么，我有个同学是湖南大学武术协会的，每天晚上都在综合楼下面训练。他练的是太极拳，教练是一个体育学院的老师。有一天晚上那个老师在集合的时候说：我这两天要去巴基斯坦出差，这几天的训练你们就自己进行。两天后的晚上，他回来了，对我们说：拉登死了。我们当时嗤之以鼻，结果第二天早上看新闻：拉登真的死了……   7、快递员才是湖大之王，你以为快递员们只是会掂量包裹来猜里面是玻璃杯还是金士顿U盘么？其  实快递员最强的地方在于他们通过送快递，收集到了湖大学生的信息，我曾经认识一个凡客的快递员，我随便报出一个女生的名字，他就能说出她的电话，宿舍地址，只因为她曾收过快递。所以当你的手机经常收到骚扰信息或者欺诈电话的时候，仔细思考下你是不是不久前得罪了快递员    ———————————————————————— 
哈工大深研院，重庆大学，东南大学，湖南大学保研怎么选？,追问补图    谢邀，由于我不懂这方面，但是我朋友圈很多朋友懂，我就把问题发到了朋友圈，你可以看看我朋友们的回复。  回复的人有湖大给排水本科生，有湖大土木本科去同济土木读研的朋友，也有东南大学的朋友，还有深圳大学的老师。         
想请前辈帮忙分析一下，湖南大学与湖南师范大学新闻传播学研究生相比较哪个更适合我呢？,建议你关注湖南师大新闻学院的网站，最近和湖南省委宣传部合作了人才培养，加上一直和湖南卫视的合作，非常值得期待。
工业设计考研，同济大学江南大学湖南大学怎么样？,这个同学我来说吧。我是2015年考到同济大学设计创意学院的，因为运气好，同时加上自己小小的努力，考了初试排名第三，设计史论第一名。平时做家教也带过一些考研的同学，我根据我的经验来详细回答一下同济大学的情况。 首先同济大学设计创意学院这所学院怎么样，我在另两个答案中有阐述，链接在这里：  在同济大学就读是怎样一番体验？ - 范光瑞的回答   在同济大学设计创意学院读书是怎样的体验？ - 范光瑞的回答   以及呕心沥血的最新万字长文……  如何考取同济大学设计创意学院研究生？ - 范光瑞的回答 - 知乎   其他两所学校我了解得不深入，就不多说了，我来说一说同济大学的考研难度。 首先从两门专业课来看。 同济大学专业课有两门，分别是“专业设计基础”和“专业设计快题”，俗称史论和快题。   史论：    从史论来讲，同济的考题在2014年以前是比较机械化的，题目比较简单，只有一两门参考课本，基本上把课本好好背诵，很多人能考130+  但是！但是！但是！从2015年的考题开始，突然画风大便，让很多快题非常牛的人被刷了，因为大家发现，再把课本上的内容背诵熟练也不管用了。为什么呢？看看考题就知道了。  2015年的考题选择题和填空题考到了Google的Material Design、中国的普利兹克奖得主，“大木作”、Tesla和Elon Musk（我偶像啊！！考研的时候墙上贴他照片！！）等题目。大题大家感受一下：   说说罗永浩的锤子手机的设计到底符不符合包豪斯精神？ （罗永浩是什么，能吃吗！？）  说说Richard Buhanna的设计四秩序是什么。 （妈蛋老子只认识理查德布兰森啊！！）  说说设计管理的定义和作用是什么（ 我擦，我只知道有些设计师欠管理呀哎哟喂！！）  说说你喜欢的一个手机App的交互设计。 （喂，中国本科还几乎没有开交互课的好嘛！）  很多同学从考场上出来就直接哭了。真的哭了。因为官方出的基本参考书没怎么考。   然后2016年的题，大家再感受一下：   请问同学，设计在“中国制造2025”中起到的作用是什么？ （我特么是不是走错门进了政治考场！）  请问同学，生成式设计是啥？（ 就是一个设计湿怀了孕，然后生出了一个设计作品？？）  请问同学，维克多巴巴纳克的设计贡献是啥？ （我X，我就认识维克多雨果好嘛！）  请问同学，大疆和苹果公司的异同点是啥？ （都能砸到头上？）  请问同学，你知道什么交互装置吗，分析一下呗嘻嘻嘻。 （我的计算器算么……）  坦白讲，跟原来背诵一个月就能考高分相比，设计史难了不少。但是仔细分析一下，这样的改变又难能可贵。因为通过这样的方式，把那些投机取巧，能考高分却实力不强的人给淘汰了。真正留下的是那些真的对于设计圈子有了解的人，对设计有研究的人。  另外2016年的参考书目，《新兴实践：设计的专业、价值和途径》这本书是一本论文集，虽然本科生不一定能够读懂，但是里面的一些文章却涉及到设计的最前沿，比如“可持续设计”，“设计的范围与边界”，“设计思维”，这可以很好地开拓设计师的思路与事业，也可以看出目前学院为国际化和设计教育所做的很大努力。   快题：    同济的快题跟一些机械、汽车、重工业领衔的设计院校比，无论从版面布局，还是评分标准，还是手绘“风格”，差别都还是蛮大的。  我考研之前听到一位学长跟我说，他的同学是手绘大神，考了三次没有考上，可见同济对于手绘基础的要求得高到什么程度。我一度因为这个不太敢报考同济，因为自己的手绘水平绝对没有“大神”级别。  但是后来在复习中发现不是这样的。同济的快题很看重“设计本身的水平”，而不是一味去根据手绘技能的高低来评判快题分数。而那些手绘很厉害，却对于“好设计”一无所知的人，也难免被淘汰了。但是可能在外行或者外校的人看来就成了“同济快题难度大”、“同济快题很奇怪”之类的。  同济的快题看重设计流程的逻辑推导，设计的合理性、可用性、完整性，造型美观、与功能符合，不能使用太老旧的造型语言。还有题材很重要，同济偏爱一些固定的题材。往年有的同学手绘基础一般，甚至快题水平也一般，但是因为主题选得好而获得不错的分数。  报录比如下图（来自同济大学研招网）：     我就简单说这点，以后有时间再更。  另外 PS：我们最近Information Design &amp; Visualisation这门课在研究一个课题，是关于“中国当代青年Porn Information获取情况调查”，如果有感兴趣的话，欢迎当我的志愿者，我们来聊一聊……当然，对于考研有更深的问题、有疑问也可以联系我，不承诺一定回复，哼~~~ 另外对同济设创有意见也可以联系我，我把你联系方式转给院长…我的微信：chengdongshenger    捂脸跑~  我们是正经的学术研究，请不要要福利呀哎哟喂！！！      上图是在学院的咖啡厅做作业。不过等等，电脑里面的内容是什么……     学院的最近的一张大合影……    “牛奶咖啡”组合来学院开演唱会。因为Kiki是交互方向刘伟老师的同学哦（羡慕……）    宿舍窗外……不过上海天气雾霾越来越严重了。   设计狗深夜回宿舍睡觉自拍……不要信自拍……  啊，有时间再更。
东北大学比湖南大学好得多吗？,湖南大学2016年辽宁文科投档线别说比东北重庆大学高个二十来分吧，比吉大都高，投档线跟吉大王牌专业法学差一分
江南大学，北京理工大学，湖南大学工业设计系该选哪个？,湖南大学的车辆方面制造 设计专业还是不错的
放弃上湖南大学选择了南航值得吗？,在中国只有学不下去的，游戏又玩的不错的才会放弃学业，真正单纯学习好的有几个会选择这条路？
