本人今年十七岁，想毕业后拿了大专文凭后想自考湖南师范大学，就是可以入校读书的，这样子好吗？,首先他们学校有全日制自考培训班吗？如果有，那就去吧，授课和管理都是参照全日制统考生进行的，比其他业余形式的成人教育好得多。你年龄还小，比较适合。
华东师范大学和湖南师范大学的学科英语和学科语文哪个更加好？,就说一句话，华师大是985
考湖南师范大学的研究生。 出来可以当数学老师。最好是考哪个专业？,如果有教师资格证的话，数学系的方向都挺好找工作的，另外硕士阶段数学和教育交叉的专业有数学课程与教学论，学科教学（数学）（注：这个是专业硕士，两年完成），还有一个记不清了。总得来说单纯为了以后找数学教学类的工作，其实课程与教学论和学科教学这种交叉类学科，虽然有教育的性质，但是对于找工作而言倒不如数学类的广。我是学科教学，其实找工作反而觉得不如数学方向的研究生，我能报考的招聘基本他们都能报，而有些学校招聘数学类老师要求的却都是数学类方向（如基础数学，计算数学等等）。所以单纯为了找工作方便，我个人建议报考数学类方向。数学教育类方向的优势是对于教师专业素养的培养会好一些。 基础教育阶段的工作招聘，两者一般没啥差别，都不会有限制，但是有的时候三本院校，大专院校招数学老师只会要数学方向。 另外两者的考试科目不一样，数学类考数分高代，数学教育类考教育学相关，我是数学类调剂到学科教学的，只知道数学教育类考教育学相关知识，具体考什么不清楚，你到时看学校的招生简章会有说明的。
华中师范大学和湖南师范大学，哪个英语专业更好呢？两个学校的其他语言系又如何呢？,只能跟你说 湖师大英语很牛 顺便讲个笑话 本人北外面试 英语口试第四 湖师大英语专业自招 面试不合格 
去高校任教，兰州大学、湖南师范大学、广州大学哪个好？, 本人刚博士毕业，也在选择高校就业，面临和你一样的困惑。要分析就得有足够的信息，首先不知您是哪里人？您爱人的工作如何？我觉得这是两个基础的问题，如果您是湖南或者湖南周边的，您爱人在长沙有份工作，那就长沙吧，湖南师大各方面条件都不错，事业和生活都不差，应该是最优了。兰州大学虽然学校很厉害，但不知道您是不是西北人，不知能否适应西北城市的生活。广州大学在广州，地理位置还行，但对于高校老师来说，长沙和广州是不是差异不那么大？我最近也有一个offer是广州的，也在考虑是不是去广州。 
湖南师范大学树达学院好不好？？就业前景？不是说师大现在很吃香？,还可以啊。  我树达的。   资源共享，老师都是一样的。   环境…离中南蛮近的吧，可以认识认识学霸，比较安静那地方，不怎么热闹。   参加校运会的成绩亮瞎你。   学习…有学霸啊，蛮刻苦的。   素质…还可以。去师大本部会开会的时候一本的个别学生看不起树达的，说三本的还跑过来和他们抢位子，我就醉了，人家树达要搭车来多早，你在本部来的迟还唧唧歪歪。   综上，树达的学生比一本的少的主要是好的学习习惯，而不是学习交际领导办事能力！ 
2017湖南理科女是选择江西科技大学还是湖南师范大学树达学院？,谢腰，一看专业、学校对比，二看城市选择
湖南师范大学709公共管理学考研真题资料哪里有？,你要考吗。可以做个研友吗
湖南师范大学戏剧影视文学怎么样?,居然刷到了这个问题，不知道现在回答会不会太迟了(T＿T)/~~ ………………………………………………………………………… 我是湖南师范大学戏剧影视文学本科生，传说中湖南省第一届戏文本科生（xiao bai shu）。网上能搜到的那些我就不说了，扯一扯我所知道的。    http://  mp.weixin.qq.com/s?  __biz=MjM5ODk5NzI0MQ==&amp;mid=207429224&amp;idx=2&amp;sn=e701e4c624ebf277c51b202eccd91aa7&amp;scene=4#wechat_redirect        这是暑假做的介绍本专业的微信推送，可以看一下 (๑´3｀๑)   【师资力量】 湖南师范大学戏剧影视文学专业设在文学院，专业课老师多为文院大咖。因此，虽然是新设立的专业，师资力量还是可以的。 首先介绍我的男神，外国戏剧史老师，泽金欧巴～ ［百度上的介绍］蒋泽金，影视戏剧家。美籍华人，生于台湾，祖籍湖南。先後攻读中国文化大学戏剧学学士学位丶纽约大学传播学硕士学位丶南京大学现代戏剧博士学位。曾任美国亚特兰大市“华语广播电台”台长丶美国“北美卫视”节目总监等职。2001年来到南京大学戏剧影视研究所师从董健教授。中国传媒大学外籍专家，戏剧戏曲研究所教授。  （受机要没电了，等我想起来再扯π_π。知乎首答好紧张呀！）
填报湖南师范大学 如果被调剂可能去哪些专业？,历史学分数很高，估计会调剂到旅游管理
