吉林大学的化工是什么水平？,诶，我的天，终于看到一个我绝对可以也有资格回答的问题了！！！好开森！  首先，我是吉大化院化工专业本科毕业生。 本专业主体来源于老吉大化学系的精细化工专业，并入老吉工大（南岭）车辆化工专业，以及其他一些合并前学校的化工部分，比如原长春科技大学（朝阳）的偏地质矿产这类的化工等。 吉大的合校确实深受诟病，同样，合并后的化学学院其实也有点这个情况，着急睡觉，改天用电脑了再展开说吧， 总的来说，如果是只读本科的话，化工所属小化，与应化，高分子的培养相差不大，没那么大区别，自然也就无所谓化学与化工之分了。至于化工的硕博士，我不太确定近几年的招生情况，待我查实后再做答复。
如何评价 吉林大学校长 李元元同志？？,有次，我和室友从北苑到体育馆打乒乓球，我俩刚走进去，看到李元元和一个同学（应该是运动员）在最里面的球台打球，我和室友很激动，就想进去看看，这时候，门口坐着的同学站起来说乒乓球闭馆了。室友没说话，我说：为啥啊？“因为校长打球” 这是我听过最牛鼻的闭馆理由。
吉林大学的新校长是谁？,李元元，男，汉族，广东梅县人，1958年10月生，工学博士、教授、博士生导师，中共党员，原任华南理工大学校长、国家金属材料近净成形工程技术研究中心主任，材料加工工程学科带头人、博士生导师，机械工程学科博士生导师。    名字很萌……
一本黑龙江大学法学+吉林大学法学硕士+司法证在东北能找到什么样的工作？,谢邀，在这学历贬值的年代，有题主这种条件的人也很多，我就是类似的条件，四年基层公务员，一年国企法务，为什么会这样，那是因为对自己想要什么样的生活没有预期，自己想要什么生活，自我实现的目标是什么，然后去工作去生活，别人说的不一定对，自己的意见才关键。
吉林大学，西南交大该怎么抉择？,谢邀。 先说专业。 同学，我建议你好好查查交通运输专业。 我是吉大交通学院的，我们的交通运输专业包括了汽车运用工程和交通运输规划与管理两个方向。而我是交通工程专业的，这三个专业虽同属交通学院，但是汽车运用工程学的是汽车，交通运输规划与管理学的偏供应链，而我们学的是交通规划、信号控制、交通管理。所以我建议你好好查查交通运输这个宽泛的专业，这个实在是关乎4年专业的东西，一定仔细看！ 再说学校。 西南交大位置实在太好了，是我这辈子做梦都想去的成都，而且西南交通大学的交通学院名声也是跟老牌985同济、东南媲美的。 但是，吉大会给你另外一个平台，毕竟相比于西南交大有一个985头衔。但是冬天刺骨的干冷，还有夏天的阴雨连绵真的不是南方一般能忍受的。 总之，让我选，我还是选吉大，它的这个平台说起来似乎有点假大空，但是真的是谁用谁知道啊！
如何看待吉林大学不允许社团面向大一新生纳新？,讲道理，不给社团纳新，不给社团收会费，又不批钱给社团，真当社团的钱是大风刮来的吗_(:з」∠)_纳新不给大一参加还能招几个人呐╮(╯_╰)╭
有人知道吉林大学教育学考研参考书吗？谢谢！？, 教育学不是全国统考么？参考书应该是统一的吧。  （经提醒，吉林大学是自主命题的，那就请直接联系本校的老师和研究生咨询，更有针对性。） 
在吉林大学珠海学院上学是一种怎样的体验？, —————————我是分割线———————  又到一年招生季。。。我也马上就大三了，学校很多事情我也越来越不清楚了。给你具体查招生情况的链接。  吉珠招生办： 吉林大学珠海学院招生网     吉珠招生与就业微信公众号：jzzszx  2014-2016年 各省控线： 各省控制线陆续公布，今年广东二本线会是多少呢？【附】我校近三年最低录取分数线     大家可以去查看公众号的历史消息，上面都有招生信息。  还有 今年绝大部分专业的学费涨到22000了   —————————我是分割线———————   最近是招生季，很多同学都在评论区问我多少分可以来吉珠。要是在广东省内的的同学我可以给一个大概的判断，要是省外的同学我只能给你们去年的投档线，你们参照去年和今年的数据来做决定。至于很多更详细的信息大家可以去我们学校的贴吧，各个同乡会以及我们学校招生办咨询，肯定能得到比我更专业细致的回答。   —————————我是分割线———————   来强答一波。 多图预警。 本人是潮汕人，15年刚考到吉林大学珠海学院来，马上就要大二了，来这里就快一年了，说点我的感想。 刚来到这个学校的唯一感觉就是大！ 学校太大了简直，5000多亩，西北方和东南方相差将近5公里.......  1. 地理位置  学校位于珠海市金湾区，学校后面是观音山，前面就是南海。可谓是依山伴海.......   从图上可以看到吉珠离市区还是有点远的，靠近珠海金湾机场这边了。不像中珠，北师珠，北理珠，暨大珠海校区那样子都在唐家湾，离市区近。但是好在吉珠有机场快线，所以出行也不是很麻烦，到市区一般50-60分钟的车程。  2. 气候  因为校门口就是海边，所以回南天的时候湿气很重。作为一个从小在海边长大的广东人，对回南天这种天气已经见怪不怪了。可是来到吉珠才发现自己真的是naive，这回南天真的是五米开外人畜不分。晾衣服一个多星期可能都不会干，只会越晾越湿，所以干衣机是很多宿舍的标配。  上两张对比图你们感受一下。      除了回南天之外还有夏天的暴晒和冬天的妖风，很多同学来了之后都不相信珠海是一座宜居城市了。  3. 学风 学风我觉得这种东西确实是因人而异的。我学的是计算机，基本上很多同学上课的时候都会积极抢前排（除非是水课）。而且同院系同专业也是有很多蛮厉害的人，他们的成绩也挺拔尖的。 不少老师都是从吉林大学本部调来的，也有不少年轻的老师，基本上也有很多是吉林大学毕业的。因为是私立院校，待遇也比较好，有时候会有一些蛮厉害的老师，例如我们的高数老师，大帅哥一个，中大本硕之后去澳门大学读博，接下来要去荷兰继续深造了。 但是也是免不了有一些老师是来这里养老的，遇上这种老师，课程最好就自己学吧....... 来吉珠读书，早上要早读一年。要是报了外语系的就更惨了，大学四年都要早读晚修。有个日语专业的师姐跟我说，外语系的妹子在学校都没人要....... 早读晚修到连谈恋爱的时间都没有。 至于平时考试也不难，平常出勤率高，表现得积极一点，考前看好重点或者跟老师混脸熟，基本上都可以拿高分。要是遇到严格的老师，他们一般也不会给你挂。 学校也是很乐意举办和参加各种比赛的，毕竟学校也要镀金。继李总理提出“万众创新，大众创业”之后，学校也是很积极举办和参加各种创业大赛。明年学校就将举办珠海市大学生创业大赛。还有一个互联网+大赛值得一提，因为第一届全国互联网+创新创业大赛在吉林大学举办，所以吉珠作为半个东道主还是很积极去参加，学校很重视，结果也获得了还不错的成绩，所以学校更加重视了，各种创业大赛成就了不少有想法的同学。 学校还买了知网的下载服务和数据库访问服务，在学校可以用知网下载论文，这一点也是很方便的。据我所知很多学校好像也没有做到这一点。  4. 饮食 吉珠分为两个饭堂，一个是新饭一个是旧饭。新饭又分为三个厅，一厅二厅和三厅；旧饭就分为五个饭堂，一饭到五饭。而且旧饭还开了一个麦当劳，把麦当劳开进校园里的学校不多见吧..... 答主因为离旧饭近，所以基本都在旧饭吃饭的，旧饭价格还算是很公道，从六块钱到十几二十的饭菜都有。看你自己的能力消费，大多数的选择一般都是七八九块，菜色也算得上很好了。 还有新饭，答主很少去，因为离答主宿舍太远了，但是答主经常听到很多同学都在吐槽新饭的饭菜又贵又难吃....... 心疼他们。  5. 宿舍  吉珠的宿舍是四人一间的，标准的上床下桌，一个阳台一个厕所，但是学校没有24小时热水供应，热水会从傍晚六点开始供应，一般到晚上12点左右热水基本就不热了。  宿舍分为四个园，分别是竹园、桂圆、梅园和榕园。   竹园在学校的南边，靠近南门商业街，被同学戏称吉珠CBD，就是离教学楼和图书馆太远；桂园在学校的中段，离旧饭很近，离教学楼和南门商业街都不远；梅园在美丽的天河湖畔，出门就是教学楼，去上课特别方便；榕园就真的是....... 只有一个新饭堂，离南门特别远，离教学楼也还好，被同学们戏称为吉珠养老院。 在吉珠，要是竹园和榕园的人谈恋爱就能称得上是异地恋了。足以可见学校有多大。  6. 生源 因为学校在广东，所以学校大部分都是广东人，其次也有很多东北的学生。其实学校最多的人群就是潮汕人，不止是吉珠，基本上广东的很多高校都快被潮汕人承包了..... 学校留学生也还不少，绝大部分都是韩国的，走在路上经常可以遇见很多说着韩语的韩国妹子。其他地方的留学生就少了一点，但是偶尔还是可以看见几个黑人或者白人。因为校园巴士总站离留学生的宿舍楼很近，所以偶尔早上去上课的时候，会发现有一车的留学生说着各种语言....... 学校的男女比例接近1:1，可不像广东某基佬大学哈哈哈。不过答主所在的计算机系基本没有女的...... 有一次我去蹭音乐舞蹈学院的课，整个大教室都是女的，就三四个男的，让我情何以堪......  6. 教学楼  学校有五栋教学楼，分别是一教二教三教、机电实验楼、实验楼和产学研实验楼。一教二教是很多专业学生上课的地方，三教就被外语系和建筑系以及部分公选课承包了，而机电实验楼顾名思义就是机电系的，实验楼就是被化药系和计算机系承包了的，最后一个产学研实验楼是吉林大学本部的，是本部用来培养吉林大学南方研究院研究生和部分留学生的。    7. 图书馆  学校图书馆号称亚洲最大单体图书馆，其实我也不知道这是个什么概念，就跟中山大学珠海校区有亚洲最长教学楼那样子....    学校图书馆还是很棒的，我要的书基本上都有，而且空间也是很大的，除了考试周，我都能在图书馆找到我心仪的座位。平常很多同学早读后没课或者晚上就会去图书馆，学习氛围也是很棒的。图书馆里面也有咖啡厅和电脑机房，除此之外图书馆还实现了全WIFI覆盖，到2017年中旬就将实现全校的WIFI覆盖了。   8. 其他  这里就放一些图吧哈哈，图片来自我自己和网络，侵删。   南门海边   天鹅湖搬走了的天鹅   紫荆花   足球场   观音山俯瞰学校    我觉得学校招生办要给我打广告费了哈哈哈。  大家要是有什么问题欢迎在评论区留言。 
吉林大学有哪些学生喜欢吐槽的典故？,在长春，坐公交，一不小心连上了  http://  jlu.edu      
吉林大学有哪些诡异的故事？,我刚刚的回答被删了，决定重新写一次 1、这个学校最有名的校友的人生经历不能在网上查到  2、每年的四到五月，吉大的学生都会给知乎贡献极大的访问量  3、许多学生嘴上说着愿意奉献生命、修习膜法，身体却抗拒长拳大舞  4、社会主义一流大学建了日新楼  5、每当有贪官落马，我第一反应都是去查查是不是吉大毕业的  作为一个小白，破十赞了，附一张盗来的图纪念一下，侵删    补充6、高考前刚听说武汉理工凭借在高考期间禁足学生搞了个big news，马上就听说吉大部分学院在高考期间要求签到三次；刚听说陕西师范大学强制学生搬寝惹众怒，今天导员就在群里发了统一搬寝的时间。你说诡异不诡异？（不反对这两件事本身，但是反感学校的决策和执行方式）
