暨南大学保研率为什么那么低?, 因为暨南大学不是教育部直属的985高校。 
如何评价暨南大学珠海校区？,坐在题主所说的地方，我觉得有必要答一下。目前大一。 千言万语汇成一句话： 珠区妥妥不是暨大亲生的！  好了，容我冷静下来分析一下。  ======== 珠区劣势： ①公选课比本部少很多，需要抢课。 ②校区小，饭后想散个步都是那几个走腻了的地方。 ③校区坐落在建材城里面，你能想象吗？（崩溃脸） ④大部分老师上课比较敷衍……当然不知道本部是不是也这样。 ⑤图书馆的书比本部少很多。可以跨校区借书，但麻烦啊。不过说实话，珠区馆藏饱和量约80多万册，一个人四年（不考虑回迁的学生）又能读多少呢。需要资料网上大把。 ⑥大三大四实习机会没有广州本部多。 ⑦暨大是侨校，本部的外国人随处可见，但在珠区，肉眼可辨识的老外全是外教。其他所谓外招生基本来自港澳台，少数来自新加坡马来西亚等华人色彩比较浓厚的国家。 ⑧很多名人专家开讲座都去本部，来珠区的人，分量真心不如去本部的重。据我所知，今年马亲王就去了本部，去年卢思浩来过珠区，我还是因为他要来珠区才知道有这个人的……喜欢他的旁友请不要打我。 ⑨本部食堂果汁好喝，珠区食堂没有！  珠区优势： ①珠区的一部分优势是珠海这座城市带给它的，比如说空气质量完爆广州之类的。珠海的优缺点请参考 珠海这座城市怎么样？ - IT 公司  ②校区小，能节省很多时间。 ③离华发商都、拱北、九洲城还有澳门都不远，吃吃吃买买买，分分钟浪起。想好好享受大学生活的，这里不比本部差。 ④相较于本部，气氛没有那么浮躁，有决心搞研究定力又不够的，珠区欢迎你，当然前提是你选了这里的专业。 ⑤珠区妹子平均颜值甩本部好几条街，讲真。仅限妹子。毕竟中国男性颜值普遍偏低，在大学里这一点体现得尤为明显。 ⑥宿舍条件比本部好，内招4人/间，外招2人/间（似乎新生报到晚了的外招也只能住四人间），有空调，有独立卫生间（可惜热水供应仅限17:30-24:00），可安装洗衣机…… ========= 暂时想到这些。感谢舍友对我的兹磁，没有她那句“想想看，如果是你，会不会希望报暨大之前能看到这方面回答”，一个懒癌晚期是不可能写这么多的……天知道，我列到劣势第二条就想放弃了。 ＝＝＝＝＝＝ 2016.10.20 补充一条劣势，我也是最近才从朋友那里知道的，珠区有很多课请的是北师珠、北理工的老师来上，按我朋友的原话就是：“这特么跟考了二本有什么区别！” 再补充一条优势吧，答主现在已经转专业到了本部，感触最深的就是本部住宿条件真比不上珠海hhhhh 答主在本部上了近两个月课，感觉本部老师好的多水的少，珠区老师反之，知识水平还是需要再提高一下。当然如果你对自己的专业不感兴趣啊不在乎学没学到东西啊，那也就无所谓了～ 总之是金子在哪里都会发光的，但如果可以还是尽量来本部吧。
北京能考暨南大学历史系吗？,自己看招生计划
今年我广东高考分564，文科省排名是2801，我是冲华南理工大学，还是选择暨南大学？我什么专业都接受。,讲真，我去年文科2200+，在暨大都选不了专业。最后，不要来珠区，不要来珠区，一定不要来珠区。
只要达到一本线就可报暨南大学提前批吗？,同安徽文科狗 今年587省排1600+ 了解到暨大文科往年至少需要省 1700-1800 左右 感觉我的分数进去只能等待调剂到珠海校区 纠结(Ｔ▽Ｔ)
暨南大学和西南财经大学如何选择？,2333，本科暨大在读，哥哥西财毕业，曾经因为志愿顺序问题没去西财的人来答。先说结论，暨大无疑。but，前提是题主不去金融行业工作。说西财在广东没影响力的估计对西财不了解。深交所可以说是西财人一手建立的。西财在深圳乃至广东金融行业都有很强的影响力（西财本科金融实习就是在深圳）。
大家认为暨南大学怎么样?,1.有難度，但進來了卻發現資源不怎麼樣（就師資和環境資源方面）2自由度大3進來難，進來卻學業不重
请问暨南大学2017年（非全日制）法硕（非法学）的复试科目是什么？,复试科目：笔试，民法                     面试，法理学，宪法，刑法
准高三文科河南考生，想考暨南大学，不知道有没有希望？,说实话，英语有点薄弱了，这种东西要记得每天做一点，不会的单词记在小本本上，英语至少要保证自己每次都能考到120以上吧，听力阅读这种东西就不可以错了  语文嘛，不是很好提的，每个星期适当的做一两套试卷，上课认真听就够了  数学什么的说实话你不必要太担心，因为上高三会有很大的进步，只要能完成老师的任务上课认真听讲，到后半部分课下有时间刷刷试卷，就一定可以考的不错。  文综倒是不了解，不过听说有人填地图什么的，不清楚啊啊Ｏ(≧口≦)Ｏ（不阔以要求人家一个理科生谈文综嘛(⊙ω⊙)）  还有，高三啊，转变很大的，所以要有信心啊，而且最后高考成绩真的和平时模考成绩毛线关系都没有啊（亲身验证W(￣_￣)W），所以平时一定不能太在意成绩，踏踏实实去做就对了，太在意结果反而会失败，要注重过程啊！！1
如何在80天内考上暨南大学金融研究生？,  那就应该多加强数学的复习了，多做点习题。文成暨大考研网的考研模拟五卷套就很不错，可以去找一下。以下总结了些专业课的考研重点，可以参考一下。  1、 支持价格及供给价格   这个知识点容易结合当前的政策考察政府对某个商品的价格管制和支持，比如今年的某些过热产品的限价措施，建议多关注相关的热点结合相关的价格管制、支持自己多分析分析。   2、 需求、供给弹性   这个知识点容易出选择题和简单计算题。熟练掌握几种弹性的计算方法，遇见相应的题目条件能够快速用相关方法得出准确结论。   3、消费者均衡   掌握消费者偏好几点假设及相关的边际替代率的计算方法，结合预算线重点掌握消费者均衡的条件、结论。考察计算题可能性较大。   4、 替代、收入效应   这个有可能考察分析、论述题。可以结合国民收入、价格变化和居民的消费转变出相关考题，很能把微观和宏观结合考察考生的综合能力。可以自己多关注热点问题结合理论做相应分析。   5、 生产理论   熟练掌握几种生产函数形式与运用。容易结合总产量、边际产量和平均产量关系考察计算题，同时注意和消费者均衡的相似和不同点（几乎相似，不同点在于生产者理论边际报酬递减规律有个拐点）。考察计算题的可能性相当高。  
我大三，请教暨南大学文化创意与文化产业专业的研究生学长学姐，考研需要看哪些专业书？,请问有资料信息来源吗 同求暨大文化产业管理
