你怎么看辽宁大学今年法律硕士突然就爆发了，报考就1400多人？,说明越来越强了 事实也是这样的 
十年后，辽宁师范大学AIA国际课程学生与自己同学有何不同？, 辽宁师范大学AIA国际课程中外合作办学目前模式：3+1(国际本科)模式、3+1+1(五年本硕连读)模式和2+2(国际本科)、2+2+1(五年本硕连读)模式。 
海军职工大学辽宁省涉外旅游管理学校怎么样?,还有校友玩知乎吗？我在这里就读，很严，很严，私立学校，我还没有毕业不知道嘴里说的分配会不会好。反正时时刻刻想回家
辽宁大学亚澳商学院如果外教课一学期没去会有什么影响,妹纸 你想fail就直说吧  中教大课就算了 外教小课可是节节点名的喔 你看有些外教不记 但他心里有数 eg.Dennis
在辽宁省石油化工大学读书怎么样啊，要不然我就去复读了==?,辽宁石油化工大学有几个专业还好，学校都差不多，主要还是看个人，哪里都不会埋没人才，辽石化也一样，会给你展示自己的平台的
辽宁师范大学学科教学语文研究生竞争力怎么样?,不咋地。不是六所直属师范院校，一般一个审核第一轮就被pass了。身边很多同学最后去了小学当老师。如果你也能接受小学的，你也可以来。
一个福建人去辽宁大学读理科值得吗？,不值得，我辽大的都嫌弃辽大理工科
考上辽宁科技大学研究生了，也收录取通知书了，但是里面没有调档函，辽科大需要调档函吗？,打电话给招生办问清楚
如何看待辽宁大学马克思主义学院号召学生捐款修建马克思雕像一事？,谢邀。  今年年初，我一个在安徽滁州开广告公司的朋友，手里剩了一块广告牌。 他想空着也不像话，自己还是个左派，就设计了一幅海报，上面挂着马克思，列宁，毛泽东的巨幅画像，之后旁边写了两行字。  ——"不忘初心，方得始终。" ——"纪念十月革命一百周年。"  全程全自费，无任何法律纠纷问题。 结果挂上不到一周，让政府摘了。 他本人也是犟的一笔，和政府杠上了。市委推治安，治安推宣传，市宣传推省宣传。跑到合肥找省宣传，省宣传让我们走"正当上访程序"。就因为这事儿，他被国保支队请去喝了N次茶。我也有幸陪客，喝了一次。  所以我感觉这事儿吧。怎么说呢。 挺纠结的。 完。
如何评价辽宁大学“不交学费不让选课”的行为？,咋不交学费还有理了呢？  现在这些年轻人真是...
辽宁工业大学整体怎么样？就业好不好？, 我外甥在这所1.5（介于一本和二本之间的）本科学校，口碑不是很好，外甥以前是个阳光男孩，现在去了料工以后每次见到他好像得了抑郁症一样，经常抱怨学校里面发生的事：“不过这可能也和锦州这个古塔区封建的氛围有关，听说这所学校取消了专科批次招生，然后依然保留统招专升本、成教和艺术类招生，这所学校整体校风不是很好，晚上几乎没有去自习学习的，男生多女生丑，我外甥大学五年（专科+专升本）都在这，据说每年到大四上学期的时候，才会开两个专门的考研自习室，食堂有地沟油，浴池漏水洗手间特别脏好像17年才翻新，大多是从农村来的学生或者被调剂或者是考不上一本的，只有两个院汽车和土木是一本，但这俩院学生还素质特别低，成教，专升本和艺术类就更乱了，经常在寝室抽烟喝酒打架，你想想男女比例8：:2的学校一堆老爷门儿能是啥样子，对外吹牛说纪律上是东北小青华，每天要求学生做各种事情，老师上课点名，学生找人替课，技术学不到，理论也教不好，学校的创业园和实验室都是老师做买卖的地方，完全给学生不给学生用，你来就找理由搪塞你。。。。不是人呆的地方，不建议报考！ 
