怎么看“兰州大学流失教授可再建一所兰大”?,就考了这么点分，还整天985，科研实力，历史上怎么怎么滴。  清华的学生会无聊到来问这种问题吗？  只能说小地方的人见识就是这么狭隘，短浅。  如果我是北上学生的父母，我宁愿叫小孩上本地的三本，去什么鸟不拉屎的地方。
兰州大学究竟有多好？,这些标签加得好
为兰州大学放弃北邮国院值么？,不值，非常不值得，别说什么985，专业更是幌子。  有个词儿叫偏安一隅，学校地区太偏远，便会忘记自己有几斤几两，甚至会有一种与世隔绝的感觉，就会难免有一种“老子天下第一”的感觉，这不但是学生，可怕的是老师都可能会这样。  举个例子，现在在某985高校，号称全国计算机前三的湖南某高校。昨天看到一张图片，为了防止撕逼，就不上图了，图片上的大致内容是“建设世界一流的航院”。当场真心不是滋味，哈工大，西工大等历史航空强校没有敢这么张扬；就是北航，清华航院恐怕也没有这么吊炸天的口号吧。  今天上课，某教授，就是提出p=np的那位教授的第一句话是：你们是全国最优秀的学生，我敢保证你们在世界上的任意计算机课堂都是很优秀的。我估计要是有他浙的学生，估计会当场反驳之（滑稽）。别说其他，就是清北恐怕都没有这个底气说自己的随时可以在计算机领域混得很nice吧？  其次，该老师还提出，他们居然提前比图灵提前提出计算机构架的概念。。。。当场，差点就想问该教授的数据来源了。。  昨天去办电卡，说的是周日11：00下班，11：01分到办事处；办事大妈一副老子天下第一的态度，说了一句：已经下班很久了，你们改天再来。她的态度仿佛是，咋地，劳资就是天下第一，你爱办不办，你想咋地就咋地？可是，她咋不想想昨天长沙的温度是35°呢？  以及，昨天在学校大概走了一圈，学校的教师公寓楼，简直连烂尾楼都不如。不解的是，国家每年拿那么多钱，为什么不改善一下在校职工的工作条件呢？  该校图书馆，教学楼，各处的走廊贴的是和该校有关系的历任两院院士的头像。因为不是军人，可能不是很可以感受这种所谓的荣誉感，但是，与其挂这些东西，个人觉得恐怕挂科学巨擘更实在一些吧。  还有一个例子，该校号称建造世界一流，可是其研究生部的教学楼，绝对比清华一教和二教翻修之前还差。里面的设备什么的，真心是不堪入目，不想撕逼，不上图了就。  北京是个好地方，因为压力大，也因为有清北人等好高校，高校都比较低调也能够看清自己有几斤几两，大家也比较知道自己该干嘛，知道自己的水平在哪里。而不是，像某些被天天灌输一些正能量的，只会喝鸡汤的高校一样，觉得自己就是世界第一了。
为什么兰州大学在国际排名很有优势，但在国内知名度，请从学科方面解答下？,这事儿分两个方面说。首先兰州大学最早是因为国家政策而兴起的，后来国家的大环境变了，所以相对衰落是必然的。当初辉煌时期的口碑其实现在也还流传着，只是知道的人都已老去，也不怎么宣扬罢了。至今每年招进来的学生里，还是有学生自己没有明显取向，但家长坚持所以报考兰大的情况。而学校自身积弊也不少，错失了很多新兴学科的发展机遇，所以在社会上关注度较高的方面诸如金融、信息等专业发展本就薄弱，在国内声名自然不显。其实甘肃乃至整个西北对于发达地区的大众来说也是颇为遥远和神秘的，这跟兰大没有直接联系。前段时间流传的骆驼驾驶证虽然出自兰大校友，但那起初也是多少次误解之后的一种自嘲，换做甘肃省内的其他高校也一样。  另一方面兰大由于环境相对封闭，也较少的沾染东部学校的那种浮躁习气，学校的学风在985高校的圈子里都有口碑，所以在传统的优势学科，也就是当年国家政策倾斜的基础文理科领域虽然也有衰退，但也有学科仍然能保持当初的格局和地位。特别是对于需要做冷板凳、下笨功夫的学科，兰大地处的环境反倒可能是好事。所谓的国际排名很有优势，也只是国际上的一些排名不像国内考虑硬件和规模，而是侧重公开发表的高质量成果，所以使得兰大在一些国际上的排名相对国内的大多数排名更好看一些而已。其实国际上的那些排名，兰大也只能算是榜上有名而已，谈不上特别突出。而在国内排名很靠前的大学，在国际上的排名大多也在兰大前面。  差不多就是这样。
在兰州大学上学是什么样的生活？,  作为一个劲想往西北走的西南姑娘，看中的就是西北范儿。 兰州没有让我失望，如果你要的是浮华，对不起，兰州给不了你，兰大给不了你。如果你要的是自强不息，独树一帜，那你就来对了。也许，你也会失望，也许你也会迷茫。但是你往黄土高坡一站，就不矫情了，哪有那么多为什么，吃碗羊肉面片，来个手抓肉，吃碗二细牛肉面。爽快。 现在大学四年，要走了，万分不舍。 没有后悔当初选择了最朴实最委屈的985。 唯一需要注意的就是，这里天气十分干燥，洗衣服一晚上就干，厚衣服最多一天半。我的珊瑚绒毯子，一晚上就干了。可想而知。 如果要来了，记得补水，记得买加湿器。 别的，带着一颗纯净的心吧。兰大会给你不一样的体验。
如何看待在高考填报志愿之际，网易新闻发布关于兰州大学地缘因素的新闻？, 我看了下同学们的讨论，结合自己的观点做一个总结吧。  1. 立志学术，一心从事基础学科（数理化，核科学等）的同学 兰大是一个很好的选择。首先，专业的名气很大。我在国外朋友听说我兰大退学的都表示不理解，说兰大数学物理很强。其次，985 211的牌子在你研究生复试或者出国留学申请时很管用。就我来说，当时能申请到本科的学校，兰大的牌子应该来说还是占了很大的一部分因素。兰大扎扎实实学四年，争取发paper，凭借兰大的专业名气和985 211牌子直接申到美国实验室读硕士，博士，甚至拿奖学金都是很有希望的。这里必须要指出，兰大在国外大学眼里分量还是很大的。  2. 虽然很多同学评论表示了不同意见，但我还是坚持我的看法，地域因素对兰大影响太大了。大到影响了它的社会学科或实践性比较强的学科。拿萃英班（整个兰大一届中选拔出来的最优秀的几十人）或者每年学校的十佳优秀毕业生来反驳这个观点是没有意义的，经过了几年学术训练的同学应该都能看出来，这样的例子并不具备普遍性。  3.有些同学希望我给他们一些建议，我担不起这样的责任，但就从我同学朋友的例子我可以给大概几个专业的建议。我个人认为：会计金融 首都经贸大学 比兰大好  法律专业 西南政法 比兰大好 新闻学 暨南大学 比兰大好，历史考古 吉林大学 比兰大好。这都是可能分数差不太多的学校。至于有同学说两电一邮，当时在我们省分数都比兰大高很多，别的省我不知道，所以我就不拿出来说了。最后就是上海大学，我必须说兰大肯定还是比上海大学好的，上海大学我很多上海的朋友都看不起（上海大学的朋友请来喷我吧）。之所以有这个争论更多的是地域和名气实力哪个更重要。从这一点我们可以看到地域因素在我们应届生填志愿时有多大的影响力，直接拉平了兰大硬实力的巨大优势。  4.最后，很多兰大的同学们，我敬佩你的情怀，扎根西北，说实话我做不到。从根本上来说我逃了，而你们坚守，就这一点你们比我高尚，你们喷我，我不喷你们。但是兰大的问题你们这样遮遮掩掩，连说都不让说，完全是损人不利己的行为。我可以很肯定的说，要是中国有美国的条件，在同学们填志愿之前父母开车去那个大学转转，兰大的抛档线至少再降5-10分。兰大现在有这个分数线都已经是占了信息不对称的便宜了。我写这么多，并不是想喷兰大，也不是泻私愤，实际上我都不是写给兰大的学生看的。我是希望以后的高考生在填兰大志愿时能对它有更确切的了解，不要和我们当时一样看着985 211听父母亲戚一撺掇就填了。大学是要读书，但是我不认为条件艰苦和读书有什么相关性，我们的大学不要再抱以以前培养工农兵大学生的老一套观念了，以后的985 211大学生应该是中产阶级的主力，那么有消费需求，追求个人享受又有什么错呢？   我能说的都在这了，除非有事实错误，就不再改了。  加粗字体是更改的原回答的事实错误     这里是分割线       我当年在兰大读了x年果断出国（具体多少年不说了，怕有同学猜到）。  在我看来去兰大除了学数学，物理，化学，核科学等极少数基础学科外，其他都不是太好的选择。  很多高考应届生可能不知道，兰大本科不在兰州而在榆中县夏官营镇，是个真真正正鸟不拉屎的地方。在这个地方待三年确实是非常无聊的。  这个无聊首先体现在吃喝玩乐，兰大榆中校区有个叫后市的地方（听说后来关了）（ 后市没有关 ）有理发，洗衣店，澡堂，几家奶茶店，几家家桌游店还有不到40家饭店，这就是兰大本科生基本所有的娱乐活动了。从兰大榆中校区到兰州市，基本是两个方法，校车或者门口打黑的，校车几块我不记得了，打的基本是100元，各耗时一个小时。所以哪怕你不在乎钱，你的精力也不支持你经常到兰州玩。  其次是实习兼职，我一直认为大学生大一大二应该开始兼职接触社会，大三大四要开始找实习积累经验，特别是工科和社会学科的学生实习更为重要。而这在兰大是很难的，首先本来兰州机会就少，其次你的位置还那么不方便。我很多在北上广读书的同学，从大一开始就有很多实践活动，毕业出来让我帮他们翻译英文简历，看起来都特别漂亮。而如果你在一个较偏僻封闭的大学，我相信你的简历会充斥着社团活动经验而缺少与工作相关的经验。我知道很多北上广的同学简历也不好看，但这是他们自己的问题，而不是外部环境的问题。  我能理解很多兰大的同学这种维护母校的情结。但是兰大本科校区地域问题是客观存在的，我觉得把它让更多人知道是好事，穷则思变，生源质量下降必然导致之后四六级通过率下降，毕业生质量下降。这样学校和政府才会真正的考虑到地域因素对于兰大这个老牌名校伤害有多大。你们就真的忍心让你们的学弟学妹背着行李来到榆中结果哭都哭不出来么？你们忍心每年让那么几十个同学毅然决然的回家乡复读么？  如果我的弟弟妹妹高考分数不上不下，我会强烈建议他们去东部211而不是兰州大学。至于很多同学洗地的理由我也要拿出来讲一下。兰大有淳朴的学风我承认，但是这种淳朴的学风是被偏僻的地理因素给逼出来的。两者相比我个人认为后者伤害更大。其次，不要把考研考得好当作一个理由，一心考研为什么不去曲阜师范大学（ 我之前写的曲阜师范学院，对不起。这里只是打个考研基地的比方不针对谁 ）？一个理工科／综合性大学天天拿考研说事我个人觉得宣传有点跑偏。还有就是什么美国时代杂志评选中国top8大学，兰大名列其中，那都是90年代的事了，咱们别再说了好么。还有什么祖国的最中心，难道这是优势么？初中地理没学好吧，我国地形地势怎么分布的？黑河腾冲线忘了？（ 黑河腾冲线是人口分界线，一定成都上可以延伸理解到经济分界线，这里和地形地势没关系，行文歧义 ）  最后不要说美国大学也在乡下，人家有车你有么？ 
兰州大学招聘会会有什么公司来？会有沿海大公司来吗,兰州拉面可是在沿海地区非常有势力的大企业，曾经的两大寡头之一。
2014届毕业生 兰州大学的，如何在西安找到预防医学专业的职位？知友们，帮帮忙呗~?, 可以去西安的职业卫生评价公司，医院的预防保健科，院感科，疾控中心，卫生监督所。 
兰州大学还是巴黎七大？,你这个中国留学生项目多半是中介搞的吧，为了一个中介项目放弃在国内上大学的机会，这样真的好吗？  跨文化及应用外语专业，看名字应该是LLCE吧 (Langues， Littératures， Civilisations Etrangères)
兰州交通大学毕业在全国各大铁路局和工程局工作地点固定吗？,不好意思，还没有签工作。
兰州大学医学部条件如何？2017？,师弟或是师妹，您好！我是历史院的一名准大四生，这个月刚刚搬到医学校区，所以我对医学校区，除了住宿条件，其他方面的了解也不是很多。我们住的是5号楼6层，住的是6人间，所以宿舍不算宽敞，走廊也是。现在是夏天，宿舍从早上到晚上都挺热的，凌晨好一点。5号楼每层一间厕所，一间水房，每两层一个投币洗衣机，这个月宿舍楼就要装热水器了，好开心。毕竟是住在市区，可以开始体验城市文明了，这挺好的。关于学习氛围的话，兰大学生都是勤奋、求实、进取，自强不息，独树一帜的人，条件再有限，大家也会早早起来，准时去图书馆上自习。关于师资条件的话，像我们，是只分专业，不分校区。而且兰大药学院的师资力量应该是很强的。关于转专业手续的话，开学之后，就会发学生手册，上面有详细说明。一般都是从较冷门的专业转到较热门的专业比较难，反过来比较容易。开学可以申请一次，大一结束又可以申请一次，还有跨学院转专业和同学院转专业之分。希望我以上所介绍的能对你有所帮助。祝你能做好准备，完美开启美妙的大学之旅。
临床医学苏州大学好还是兰州大学好?急？,苏大，兰大医学特别水，而且要明白一点，学医看地域，兰州的地理位置标定了先天不足，在甘肃本地很强，出了甘肃其他省份都不怎么认同
在兰州大学化学化工学院就读是一种怎样的体验？,别的院都在仰望，只有自己知道多苦逼。 气氛上，大家似乎都觉得只有考研才是正途，本科毕业时保上或者考上好学院or研究所的最被人羡慕，我这种只想着赶紧毕业脱离苦海的完全是另类，因为离校前都没有签工作，收到了很多怜悯的眼神。 我们宿舍五个人三个人都是学霸保研我跟另一人就业，七年后一流大学直博的进入一三流高校，本校读研的俩一个进了甘肃的大型国企一个去了某国家军火研究所，三人都是月入几千的水平。 就业的那个妹子在成都成了中层管理年收二十多万，我一直飘在一线城市打工搬砖如今比她工资高一点不怎么需要加班。
兰州大学的计算机专业水平怎么样？,兰大计算机人，引用我本科老师的原话：“不入流”
如何看待美团外卖打砸兰州一大学生外卖公司？,接下来还原一下整个事件，简单来说，这是一个“谈独家”引起的事件。（谈独家是什么最后有说）  被打是大学生创业团队，做了个小的不能再小的外卖平台叫“优外卖”，连APP和官网都没有。只能在微信订，而且只能在创始人的母校服务——兰州财经大学（就那个疑似发霉的黑点馒头大学）。   先看一下兰州财经大学和平校区的地图，可以知道，和平校区是一个远离市中心的校区，生意极度依赖当地校内大学生。    因为在自己学校创业，加上又跑腿又满减，大学生的小外卖生意稍微有点起色。 优外卖订单，美团外卖比较一下，可以看到优外卖的在学校里的销量，比美团高一点点。  外卖生意做不过，于是当地美团员工先对商户谈了独家，谈独家还算是正常的商业手法。美团因为有团购业务，在非核心城市话语权还是很大的。顺利的把商户从对方平台劝下来了。  自己商户走了，大学生不太开心，发了个说说。  “有本事不要用这种手段竞争，服务好顾客”   于是美团员工···就恼了。 “哪里来的鼠辈又不是饿了么，还敢骂我，看我不收拾你！”（拟台词） 于是冲上门，围住小公司的CEO，开始砸东西，咣咣咣全砸了。   砸了之后，砸店人员还要求大学生挽回美团名誉损失。  然后他们又逼我发布说说，让我向美团致歉，让我在自己的公众平台给他们推广。 他们还要求将我们学校广告牌全部贴上向他们道歉的广告，并保持1个月不能下。 ……简直黑社会啊，砸了你还要找你要和解费，割地发公报。   但这不是一个孤立的事件。  美团公司最近沉浸在很紧张的气氛里，压力很大，两个月裁了很多人（各地摄影和品控等等），被裁的员工还扬言要在双11拉横幅要赔偿。  业务面又剥离了酒店业务和非餐业务，把宝全都压在变现上。要求前线人员加班加点卖POS机，加班加点充值推广通。  对于员工来说，提成砍了，反而业务在收紧。抓拜访抓成交抓独家，业绩完不成BD晚上要总结汇报检讨，周六还要加班。   虽然体量够大，但是美团自身核心竞争力还没有起来。现在经营压力大，上市遥遥无期，压力全都推给一线人员，很多美团员工怨声载道一触就炸。用“美团+打人”搜一下，可以看到近期大量不理智的同类事件。   诺大一个企业要出手打一个大学生的小平台，可见其焦虑程度。  但是这件事用的着这样吗？  地推的招数实在太多了啊···从谈独家这种矛盾值两星的，一下子就跳到打架砸东西这种矛盾值最高还违法的行为。  这么不理智，搞的现在这样子怎么收场？   四十多岁的美团员工，不要像个黑社会一样就知道打架砸东西，一点技术含量都没有。最后给大家普及几个常见的BD竞争手段，并不用黔驴技穷去打人砸东西。   1.跟活动：  矛盾值：★ 竞争对手做多少活动，己方也做多少活动。维持自己市场份额，竞争对手没有长进。   2.谈独家：  矛盾值：★★ 简单来说就是让商家选边，把竞对平台的商户下了，让商户专心在自己平台经营。   3.贴海报：  矛盾值：★★★ 校园地推最原始最直接的方式，在校园布告栏里贴海报。通常伴随着撕掉对方海报的行为，直接破坏其劳动成果。   4.转单：  矛盾值：★★★ 让商户接收竞对平台的订单是不派送，再把顾客信息转化为订单在己方平台下单，用自己平台派送。可以对方不知不觉的情况下，有效增加自己的单量。而且还可以夹带自己的宣传单，转化用户。   5.拒单：  矛盾值：★★★★ 让商户把竞争对手平台所有单都不送，顾客找商户过就说忙不过来不送。饿着顾客，以败坏对方平台声誉。   6.打架砸东西：  矛盾值：★★★★★★★★ 和竞争对手产生肢体上的冲突，不但违法也没什么意义。只有脑残才会以此打击对手的手段。     美团外卖和平站工作人员砸了外卖公司--新华网甘肃频道   
