17年考生女 在东北农业大学和黑龙江大学中选择？,农大大四食品厨子一枚，今年的分数线看你的分数农大确实选择不太好选择，推荐黑大吧，母校对不起啦。另外学数学你要有个准备很难学的我觉得，因为我是数学绝缘体。祝你报个好学校。
如何评价黑龙江东北农业大学学校强制所有在校本科生研究生去校门搬石头行为？,90年代大家集体去干农活大家都说那是一件光荣的事情，现在学生生活水平提高了，学校让去捡石头干活就怨声载道???现在国家都白养活咱们了吗??
为什么东北经济衰落了？,         西方国家崛起需要资本原始积累，他们通过海外殖民来获取发展基金，建国初期东北工业基础发达，资源丰富，教育成度高，红色思想广泛，自然成为全国发展的资本获取地，长子一般有个特点：不吃饭多干活和背锅，可以说中国的资本积累是通过工农业剪刀差和东北的资源人才近乎无偿调拨完成的，而且东北地区大国企央企多，税收直接上缴中央与地方政府是无关，除石油行业待遇好些，其他行业人员工资水平一般，但地方官员也需要资金改善生活啊，大国企不受管辖，自然向本来就滞后于改革开放的受国企挤出效应的不多民企萌芽和平民开刀，吃相自然难看，也是给人感觉腐败黑暗的成因，改革开放后，中国还未成熟工业品直接与涌入发达国家产品竞争步履维艰，然而直接采用类俄罗斯私有化的方式改制，造成大量人员失业和集体资产到个人手中，这也造成东北工业元气大伤和一些社会问题，如今东北振兴积重难返，已不是通过喊口号投资修路调领导来镀金就能解决的，可能天量资金和人才注入才可能有起色，最可能有用的解决办法是松绑（耕地红线和农业基地定位）和国企税收归地方，不过这根本不可能。         总说东北·收入低·企业不行·官员不行，这恰恰是没有政策的地区马太效应负反馈的结果  这事你赖不到沈阳，辽宁，东北头上。。。这种强势政府·庸官懒政·不作为，恰恰是 没有政策地区的 发展的结果。而不是原因。  中国经济最成功的地区，全部都是 免税 减税开路（早期的珠三角，中期的长三角）。靠和周边地区形成税率差，大量吸引各种企业落地。同样的产值，低税率地区并正常税率地区每年多赚30%，自然会疯狂吸引投资。然后形成配套效应，最后不用招商企业自动上门。。。。  中国真正有真金白银的政策倾斜的地区，只有两个。。。。1东南沿海省份，2西部省份。。。因为只有这两个地区有实实在在的税率优惠。。只不过东南沿海隐藏在水下（实际受益更大），西部地区的税率优惠摆在台面上  振兴东北吼了100多年了。你看那些摞成山一样的文件中，关于减税的字有没有？一个字都没有。。。因为他们心知肚明，减税对一个地区的经济发展，那是立竿见影，马上就见效。你今天给东北减税，，我保证下个月东北的外来投资就会指数级提升你信不信？。。不过假振兴怎么能给你用真金白银的政策呢？  第一波广东，靠免税和包税起家。赚的钱不交税或者交足定额就行了，疯狂吸引世界和全国各地企业去广东投资，形成强大的企业群配套效应。这事大家都知道。  第二波长三角大家就不太知道了，实际长三角获得的政策益处比珠三角大的多。上海90年代中期被定位为中国经济中心后，各种外资企业中国总部全部设立在上海。这些外企附带的为了占领中国市场的和利用中国廉价劳动力出口的生产基地几乎全部落户在长三角地区的苏南浙北。。。由于外资本身是超国民待遇10%所得税，大大低于国企和民企的税率，实际造成其他正常税率地区的经济被长三角隐形剥削。。。。  而长三角的国企虽然也死伤惨重，但是由于当地民企在家门口靠近外资企业（离十几公里几十公里远），苏南浙北的民企就此崛起，从给外企配套开始，逐步做大到自营出口。由于中国实行出口退税制度。就是 产品出口全球的企业 所得税全退。造成了长三角地区 珠三角地区 享受了 双重税率优惠。  而且长三角的泥腿子民企靠近水楼台给外企配套，见识过了世界级的产品水平和营销管理水平，各种学习，肯定要比闭门造车的其他地区企业和产品更好更适销对路，于是内销市场他们也占据优势。  你们经常鼓吹的长三角地区，江浙 ，政府透明，决策效率高。。。是这种政策优惠的结果。而不是原因。。。正是为长三角定位为中国经济中心，所以外企的总部和生产基地几乎全部布局在长三角，当地的泥腿子政府必然要适应外国客商的要求，在政府决策上要透明高效，以满足外商的要求  （你看沈阳政府里服务宝马的部门效率高不高？透明不透明？服务意识强不强？只会比长三角更强。）这都是外企倒逼的，不是他天生就这样。。而长三角当地的民企也是连带受益，享受到了政府为了外商改变的政府作风的好处，那么他们那么相对高效和透明的政府这到底是自我变革的结果呢？还是外企倒逼的呢？别再倒果为因了。  再说西部地区，确实地理位置太差，不给15%所得税优惠，根本活不下去，吸引不到任何项目。。所以给大多数制造业项目15%所得税。。。。但是问题是 中国真的是 西部地理位置最差吗？如果以四川和黑龙江举例。四川当地1亿人，周围临近5个省湖北湖南云南贵州陕西共2亿人。。。相当于四川又一个3亿人的内需大市场。而15%的所得税优惠又让他如虎添翼。  而黑龙江自身3800万人，只靠近一个人口小省吉林，黑龙江周围的内需市场只有6000万级别。这还要受到辽宁这个沿海省的企业对于吉林的市场份额的分食。但是黑龙江这种比四川更差的地理位置，却仍然执行25%的全国最高所得税率。丝毫没有减税的意思。你能说是黑龙江人不努力吗？黑龙江人的综合素质不比四川强出太多了。但是结果呢？  那么问题来了，中国领导人 为什么偏偏和东北过不去，给东南沿海，给西部，税率优惠。。。就是不给东北税率优惠呢？  答案很简单，因为中国的首都建在了北京，从改革开放刚开始的不敢摆在台面上的京津唐发展，到现在理直气壮摆在台面上的京津冀战略。。中央利益地方化体现在北京最明显，北京心知肚明东北是和他竞争的最主要地区，90年代就打压，比如同样的钢企·鞍钢税收最高·首钢利税全退·，天津保税区20年前就批，营口保税区知道现在都没批。。天津靠大开银团贷款绿灯轻松引进各种工业项目·而东北所有城市都不能。东北和京津冀在地缘上处于一个地区，无论已经做大了的长三角企业珠三角企业。还是吸引外资内资。他的基于北方市场的项目，是不会选择两个地方的。要么去华北，要么去东北。  而如果你东北有了税率优惠，临近的华北立刻就会成为资源和项目流出地区。东北成为项目和资金和资源的流入地。而这完全和中央第一战略京津冀战略背道而驰。自然是不会给你东北税率优惠的。  上次和一个家里在沈阳开厂又在天津开厂的网友，他说沈阳卡税严，天津卡的不严，这不就是典型的没有政策优惠·导致的没有项目流入的结果吗，财政收入不高，税源少，自然是耗子肉也不嫌少。。。你让沈阳也享受一下天津的招商引资项目就给配套大量银团贷款，各种多层次金融试点。大量的企业都涌入沈阳，你看沈阳卡税还严不严？肯定不严吗？因为税源多的是，不差你这点。             
四川 文科男 560 去211的东北农业大学（哈尔滨）还是上海海洋大学？,任何一个211都比海洋好
为什么有些东北人不愿意走出东北？,东北人不差，差的是政府，为什么非要我们自己走而不是政府滚？当年闯关东祖宗选择这里，还有日本选择这里不是没有原因的。 东北的好，不来你们真不知道。 这里四季分明，环境优美，和很多地区没事动不动就洪涝地震海啸台风干旱，东北的气候和环境最起码是正常的。 即使是资源枯竭的现在，农业生产也仍然有得天独厚的自然环境，黑龙江西部只要出了城市就有大森林和江，吉林往东是长白山，云顶天宫的所在。辽宁往西是渤海往东是黄海，仍是北方海鲜主产区。如果全国的菜系都只放基本的盐，那东北生长的一年只有一季菜应该是最好吃的。
东北平原和南方山地丘陵地区相比，仅靠农业哪里能承载更多人口？,别忘了丘陵可以用机器推平
为什么哈尔滨暑假的三场高中生模联会议都与东北农业大学有千丝万缕的联系？,被挂了我能怎么办我也很尴尬啊 难道我要对上面两位学长说：我乔良辰有一万种方法让你俩在农大混不下去ԅ(¯ㅂ¯ԅ) 这不合情理啊(눈_눈) 利益相关：在农大家属楼里住了七八年的图南秘书长
你是否愿意去从事农业？,一入农学门，终生农学人。 看到这个问题就很激动，因为我的男神一直是袁隆平啊！！！ 高考前的目标是中国农业大学，不过按当时的水平感觉自己可以考上南京农业大学。高三后期家中变故，高考发挥失常，报考时，以为自己能考上东北农业大学，结果最后去了一所综合大学学农。其实心里落差很大，但是在这个地方，老师手把手教你做任何事情，有点因祸得福的小确幸。 每年都会去学院的试验田，春耕秋收。看到一眼不见边际的大田和郁郁葱葱的作物心里很欢喜，是那种最原始的付出劳动就有回报的欢喜，单纯简单的欢喜。也下定决心要在农业这条路上闯他一闯。 最后就想说一个字，值！
东北农业大学农业机械化考研录取分数线？,农业机械化有两种情况。 一是你先考到机械类，大二选方向的时候排在专业前列。（前30）这样你大二下学期就是农业机械化， 第二你可以直接考81班，本硕连读。不过分比较高
食品专业考研，东北农业大学和北京工商大学那个更好一些？,我是东北农大，想考北京工商
