我现在就读于东北林业大学生物科学专业 据说专业前景极差 我现在很迷茫 和家里商量复读 是否可取？,林大出来的怎么全是生物黑要转专业的…前景看你是不是大神啦，如果你成绩够好科研够好保一个C9的好专业直博，出来进公司上海的话年薪20W左右差不多，但是这建立在你C9专业博士至少能发5-10的文章的基础上，大一赶紧进实验室吧，看看自己是不是那块料，不行赶紧转专业，林大的土木机电交通等着你
(๑˙ー˙๑)东北林业大学风景园林专业怎么样？(๑˙ー˙๑)？,这个时候才看到知乎上有问的人。。。估计你连录取通知书都拿到了吧。。。先回答你的问题吧，东林的风景园林还是很不错的，毕竟是农林类院校，自身优势还是大大的^_^老师们都很好，都能当朋友处的( •̀∀•́ )就是平时图多了些，不过设计专业都是这样，北林也是，图集中的时候熬夜刷夜是免不了的。不知道你被哪录取了，如果你已经被东林的风景园林录取了，欢迎你～～有什么其他关于这个专业或者大学生活的问题还可以再问我～～随时都可以～
东北林业大学新校区离哈尔滨师范大学北区多远？, 林大新校区和老校区其实是在一起的，只不过新校区是这几年大兴土木才盖的所以叫新校区。林大离哈师大江南校区（老校区）很近，就隔了一个林大的林场。但是哈师大江北校区在江北，离林大挺远的。具体的距离你百度一下就知道了。 
东北林业大学城乡规划本科生考华南理工大学的研究生难度怎么样？, 华工规划账面上的报录比在10:1左右，今年的录取名额是学硕6人、专硕18人（不计少骨），参与复试人数为29人，复试淘汰率不高不低。考虑到每年总有至少七八个的本校考生以及他们有别于外校考生的高胜率，对外校考生来讲有效的报录比就更低了一些，不过又考虑到东林也叫做是一个比较好的学校，综合来说胜算就当还是报录比的这个数字吧，一成左右。  从近几年的统计来看，东林是有人考华工规划的，但能过初试的就好像没有了。既然是一成左右的胜算，其实打不过也不丢人。  尽管从我自己的角度看，人是个体，考生能不能考得上终究不能撇除自身情况来说，有先例不代表能复制先例，没有先例也大可创造先例。但这个道理也真的很难让大家接受，历来都是某个学校出来了先例、尤其有了多人考取或者顶尖分数的话，明年这个学校就会有许多人受到鼓舞，一起结伴到广州来学快题。考虑到其实很多事都是看基数的，这样一来这个学校当然在下一年的赢面也就较高，一直循环。  我希望每个人在考研这件事上都是基于对自己的能力与决心的综合判断的，有依有据，不被先例这样的外物所牵动。  今时今日的华工规划，总分走高，今年开出350学硕/360专硕的较高分数线，要求科目的均衡，不像早年允许偏科。快题今年虽然以90分为及格线，但至今也没有听说有人不及格，当然这可能是幸存者偏差吧，但总之整体的打分打得是比较高了。然而考虑到目标是需要凑出370以上的总分，“有效”的及格分其实好歹需要110左右。  考华工规划报读观内外基本上已经是标配了，事实上呢，按我们今年的数据，我甚至觉得只要决心是考华工的考生，我们连说服这件事都可以省略掉。  有进一步的问题可评论或私信。 
学软件工程在只燕山大学和东北林业大学之间选择，求解？, 谢邀。  邀我的话，我只能推荐我的母校了，浙江工业大学！  坐落杭州，浙江第二。  相比北京，杭州压力相对又低很多、雾霾也少些些、就业环境也不错。  来吧，浙江工业大学欢迎你！ 
在东北林业大学生命科学学院就读是一种什么样的体验？在外国语学院俄语系就读是一种什么样的体验？,谢邀，楼主大一俄语狗一枚，因为喜欢外语才报的俄语专业，但是俄语真的不好学  ，比起日语英语专业，我们有早读，我们课也最多，最主要是俄语难呐。。。俄语一共有6个格，名词和形容词每个格分单数和复数，还要分阳性阴性中性，对应关系要一致，动词每个人称还有变位。。。。诸如此类就不说了，都是眼泪。 作为俄语狗，每天都有基俄专业课要上，所以我就过上了每天都要认真写作业背单词课文对话第二天检查的日子，这难道不是高中吗 ？大一下学期开了俄语语法课，老师留作业都跟闹着玩儿似的，老师自己都说她的课及格不是那么容易的，总的来说这个学期睡得越来越晚了  得益于林大的月考制度，基俄3次月考，语法2次，俄语视听说1次，俄概1次，一共七次，都是专业课。。。 学院里关于日语和英语的各种活动很多，俄语的仿佛根本没有，而且俄语系没有保研名额，大坑，大二据说满课，大三大四大多出国了。。。还是有光明的嘛  虽然学习俄语是一个很辛苦的过程，但是看着自己逐渐掌握一门外语，并能运用于生活中，真的是一件很有成就感的事情，而且如果尝试去了解俄罗斯，你会发现俄罗斯是一个很可爱的国家，很有情结的地方，我相信你也会爱上这个国家，这门语言。希望大家都能试着去了解俄语，喜爱俄语   
请问 南京林业大学的木材科学与工程（木结构建筑）专业怎么样？就业前景呢,跟你的分数匹配的话，性价比算是很高的了。 楼上的，这个专业在材料科学与工程学院，以前是木材工业学院。 不知道你是想从事科研还是倾向于想学设计。搞科研木，材科学与工程这个专业最老牌最好；做设计风景园林、家具设计等专业你的分数够的话也可以报。 打算考研，林科院、北林、东北林等都有木材相关专业，本校南林也不差，而且有一定的地域优势。 就业的话看个人真正想要什么，擅长什么。
《东北林业大学》给你留下最深刻的记忆是什么？,只有当你经历过的时候，才知道什么是难以忘怀的记忆。这是一个最好的回答，也是一个最坏的回答。 到目前为止它确实不在最尖端之列，也不是硬件设施和教学资源最好的。当然也还是有些不人性化的制度一直让同学们怨声载道。 餐厅的菜肴味道和特色确实有些难以去赞美。不过新餐厅的建设确实使得用餐环境得到了巨大的提升，至少能让人处于一个很不错的环境中，只是菜品的味道改善依然任重而道远。   最近校园开通了公交，确实也受到了赞美，毕竟忙的时候有时候可以少走十来分钟的路。 若是想要看看风景，那冬天和秋天应该是最好的时候。         只是冬天想出去看风景的时候得准备一下防霾口罩，有时候霾有些重。 东亭南墙三百阁，回眸一笑无颜色。   今年空气状况好得多，我想把真挚的感谢送给那些为之而做出巨大贡献的人。 看了这么多的风景，我们也该聊聊其他的了。确实，那自然纯真，平淡而不平庸的景色给我留下了难以忘怀的记忆。 图书馆里的人总是有点多，要不是假期时间空位不会太多。 每一缕的回忆想起来都会那么动人心弦，其实最使我难以忘怀的正是学参天地，德合自然这八个字。自从在校门口第一次看见，就喜欢上了。每一次经过的时候，都会去看一眼。 学参天地，德合自然。不知道这其中又有多少人难以忘怀的记忆。
东北林业大学经济统计是只招收理科生吗？今年有可能招收文科生吗？（毕竟在经济学大类里）,文科生应该可以，我省可以
我国东北有什么适合文科生上的大学吗？,你要是来东北林业大学，说不定还可以趁着我没毕业一起浪一浪哈哈哈哈哈哈。
