求赐一个东北师范大学文学院对外汉语专业的学姐学长！！！？, 东北师大的对外汉语专业的硕士在国际汉学院培养，不在文学院 
考研想考东北师范大学，拜托求建议！！？,人文气息很好的一个学校，在学校读书时候也各种吐槽校风太严肃太沉闷，但离开了很想念。学校很好看，食堂很好吃，本部在市中心周围有商业圈去哪里都方便，欢迎你来：)
选东北师范大学还是西南大学啊??,西南大学，东北师范大学没空调！没空调！没空调！大半夜热醒，难受 
东北师范大学的宿舍要求？,限电。啥都不让用，不过我室友以前好像会偷偷用功率很小的直板夹烫刘海……供暖也挺好的，不会觉得冷。衣柜够放当季的衣服，用不着的我会都放在箱子里收起来。
东北师范大学的学生好就业吗？,东师大万年师范老三和老四，学校可以有正事，教师教育还不错。教师工资整体低的可怜，建议进校之后直接违约，读研究生出来再工作。
东北师范大学学科教学(数学)是否可以跨专业报考？,这是我在东北师大研究生院的官网查的 应该不可以跨专业 
请问东北师范大学的数字媒体技术专业怎么样？请就全国排名，师资力量，学科建设，就业待遇等方面回复。？,不建议来，好像是近两年才新开的专业。
东北师范大学转专业考试具体考什么？有什么要求？顺便想问下学校环境设施如何？,东师2016转专业网址原文 关于开展2016级全日制本科生转专业工作的通知 时间：2017-04-06点击：2900  各学院（部）： 　　 为进一步完善因材施教的体制机制，营造有利于人才成长的学习环境，促进学生的个性化发展，根据《东北师范大学全日制本科生转专业实施办法》（2016年7月修订）（东师教字[2014]004号），现就2016级本科生转专业工作通知如下。 　　 一、转专业工作原则、要求、学生申请基本条件、组织机构及职责等按照《东北师范大学全日制本科生转专业实施办法》（2016年7月修订）（东师教字[2014]004号）实行。 　　二、工作程序及时间安排 　　 1．2017年4月10－13日，各学院（部）成立工作组，通过各学院（部）网站对本学院（部）专业准入细则（见附件2）进行公布，并通过教学服务系统填报计划接收人数、接收条件、考核内容、考核方式、考核时间以及咨询方式等内容，报学校审核。 　　 2．2017年4月18日前，学校对各学院（部）填报的接收和考核信息进行审核。 　　 3．2017年4月19－21日，各学院（部）安排专人负责对本单位转专业工作相关政策细则进行解答，联系人及联系方式见各学院（部）专业准入细则。 　　 4．2017年4月24－27日，申请转专业的学生登陆教学服务系统，进行转专业申请。所有申请转专业学生须于28日再次登录系统确认已送审，如送审成功，“转出学院审核状态”应显示为“审核中”，逾期未送审视为放弃转专业资格。 　　 5．2017年5月3日前，各学院（部）通过教学服务系统对申请转出的学生进行审核。 　　6．2017年5月16日前，各学院（部）按照公布的转专业工作细则对申请转入的学生进行全面考核，确定转入名单，并通过教学服务系统对考核结果进行报送。同时将通过教学服务系统打印的《2016级全日制本科生转专业学院拟接收学生名单》报送教务处学籍管理办公室。 　　 7．2017年5月22日前，学校对转专业学生进行资格审核，并在网上对转专业学生名单进行公示，公示时间为一周。 　　 8．2017年5月30日前学校在教学服务系统中完成转专业学生的学籍转入、转出工作。获准转专业的学生按照《关于转专业学生住宿办理的通知》相关要求办理公寓调整等手续。  9．2017年9月4日前，不适应新专业学习的学生填写《普通全日制本科生转专业撤销申请表》（见附件3），向学校申请转回原专业，并在退补选期间重新选课。逾期不再受理。 10．2017年10月前（具体时间另行通知），获准转专业的学生届时按《关于开展转专业课程认定工作的通知》要求完成相关课程的成绩认定工作。 　　 11．2017年10月30日前，转专业学生登录本科教学服务系统，申请更换学生证。  　　 联系人：金松　林美宇 　　 联系电话：85098320 　　 教学服务系统网址：  http://  dsjx.nenu.edu.cn/         后面两个没下，你可以开学了，自己去看！ 百度网盘：  http://  pan.baidu.com/share/lin  k?shareid=3104225701&amp;uk=1178654252        想转专业，去学习想转的专业的知识，以外院为例，转专业的同学们说是以专业四级的难度来出题，而专业四级考试时间为大二下半学年！可想难度较大！（两年的知识一年就要准备好，有的转入转出有人数限制，竞争激烈！） 所以如果想转专业，一定要想办法！不要放弃！人生是自己的，要对自己负责！ 不过也要事先跟导员沟通，如果是专业有要求，特别是专业成绩要求考前几名，就要事先准备，如果达不到，还有其他的机会，   可以申请第二个！ 一定要和导员，教务处的老师，特别是要转到专业的导员和教务处老师，搞好关系，嘴甜点，多问，多准备！ 到学校了，可以多问转专业成功的学长学姐！（毕竟我离校好久了！） 最后，机会是留给有准备的人！祝你好运，加油！ 环境设施，不知道怎么答！ 我哥哥说吉林大学的环境比东师好，因为从吉大的树下走过有雨，东师的没有，东师每年会给树打针，还会花草翻新，还行吧，环境设施都差不多！   看到这儿了，留个赞呗！
东北师范大学本部的住宿条件是怎样的？,？？？没人回答？这个问题是什么时候的呀。。。16级的来答一波  以下回答仅限于本部  我是生命科学学院的，东师现在住宿比较好的是新三舍，我住的是三舍c，三舍一共三栋楼ABC，另外旁边是留学生公寓，三舍的住宿条件比较好了，六人间，上床下铺，向北的寝室有的有小阳台，暖气很强势但是没有风扇没有空调，没有独立的卫浴，但是我感觉我并不需要独立卫浴。。。宿舍楼大厅很宽敞通风也很好。 三舍c是最高的一栋楼，22层？电梯很方便，但是一个学期总有那么一次停电，住二十楼的就觉得很惨了 但不是所有的学院都住三舍，另外还有五舍六舍等不太了解，外观看上去楼层低，比较旧，我知道的，住在三舍的学院大概是生科数院文院地科化院教育学部，还有马上就要搬过来的史院，说的不对的或者漏掉的还请补充
求知乎大神告诉我东北师范大学634教育学基础综合的参考书目有哪些？！？,想考研 至少要学会怎么查找资料
中央民族大学和东北师范大学哪个好？,这个真的要区分专业了，中央民族虽然是985，但更多的是政策照顾。东北师大在语言方面，理学（数学化学生物）之类的学科上比较厉害，作为教育部直属的五大师范院校之一，又是211工程，在师范类大学内部属于是第一流大学了。中央民族大学顾名思义，最好的学科是各种少数民族语言类学科还有民族政策之类的专业，此外在法律类，政治类等文科专业上也拥有较强的实力。
本科长春理工大学化学工程与工艺考研想考东北师范大学学科教学（生物）专业学位以后当生物老师计划的可行性？,考前联系导师，有导师同意要并且你考上了就能上研究生，出来当老师需要满足最基本的条件，教师资格证，普通话二乙及以上，计算机二级，招聘单位同意你是跨专业的，如果参加事业单位考试看是否符合要求，有的招聘单位要求不能是跨专业什么的
