南京农业大学和南昌大学哪个学校更好些？, 谢邀。  由于对南京农业大学不甚了解，且两者名号上都是211，不敢妄议。  只能从城市和大学侧重点两方面说说自己相对有把握的观点。  曾在2014年暑假到过南京，那时正值青奥会，城市整体感觉不错。参观了南京大学，南京师范大学和东南大学，对这三所学校是力荐的（虽然它们不在此题考虑范围内）。另外南京总统府等历史性景点的确会让你感觉南京是座有历史重量的城市。所以，如果题主对此城心向往之且意愿强烈，可以优先考虑南农。  南农是农林类专业性高校，如果心仪专业属于其专业领域，则南农更佳。（和心仪外语则外国语大学更佳，心仪金融则财经大学更佳，心仪法律则政法大学更佳是一个道理，不赘述）  若对专业没有明确想法爱好，推荐南昌大学这类综合性高校。（因为有机会听各领域的课程认识各专业的人，利于认识自己把握未来）毕竟南昌大学理工医文史哲也算独步省内，同时不乏国内顶尖学科。  另外南昌大学由于在南昌红谷滩新区，和南昌老城区不可同日而语。自知很多人对南昌老城持偏激态度，在此不做评价。客观对待这座城市即可。  对于南昌景点，比起秋水广场音乐喷泉，南昌之星摩天轮等，本人最爱是八大山人纪念馆，滕王阁次之。  本人南昌大学毕业生。对母校有太多感怀。若题主选择后者，愿你能在她的怀抱里度过快乐且无悔的四年。  祝好。 
南京农业大学的中药学专业怎么样，以后的就业前景和就业方向大体有哪些？谢谢（2016）？,背景:大四，准备找工作。 专业偏向资源学，会有很多很杂的基础课。涉及中医方面的内容比较少且不那么重视。由于偏向资源，所以药用植物学以及药用植物XX学都很重要，千万记住，学好这些也是非常牛了。 工作方向有医药代表(销售)，药企质检和质量控制，这两个是最常见的。上课老师会讲可以从事食品/化妆品行业(我存疑)。哦，还可以考公务员，今年毕业的一个学姐考公务员考到了海关。药品研发基本不可能，因为学历要求基本在硕士及以上。 就16毕业的学长学姐来看，就业形势不错，两个班都得到了院里就业相关奖金。前景主要看产业发展趋势吧，政策啥的也对中药产业很有支持，所以前景应该可以。 啰嗦一下，多学技能，充实自己，把自己变成一个牛X的人才是正解。PS:多去药房，在那里可以实践，能学到好多东西的，生科楼负一层。 最后，希望你能拥有美好的大学时光~
南京农业大学的研究生宿舍是什么样子的？,讲道理，为什么邀请我回答？我是一脸懵比的。但，谢邀。 一，我不是研究生啊！我是一个放弃考研的人啊。 二，我考上研的同学也没有考去南京的呀！ 三，我没去过南京啊。（捂脸.jpg） 四，我也没上过南京农业大学啊！ 但提醒大家，如今美图秀秀都有了，看照片是没用的。你们可以实地考察一下，问问学长学姐们。 寝室熄不熄灯呀 有没有热水呀 洗澡方不方便呀 离食堂近不近呀 最重要的一点！这是重点！重点！（敲黑板）你们学校是不是很适合学习呀？  嗯，我当年就这么被学长学姐骗过去的。除了校园环境优美，没了。郊区啊！天啊！去市区以前要一个小时啊！从宿舍走到学校大门要十五分钟啊！还是轻装上阵啊！还好最近ofo拯救了一下。自从上了大学，我回家逛街就没带怕的！（我属于赶紧麻溜买完赶紧回家摊的人）
在南京农业大学土地资源管理专业读研是一种怎样的体验？, 南农的土管是全国第一！感觉应该还是比较好的吧！？ 
南京农业大学行政管理专业，江苏苏州人，毕业后想去北京发展，大二狗，理想目标公务员方向，应该做什么准备？,外行人见解：实习、工作、读研先来北京看看，再作打算；加油
南京农业大学新生想问问军训怎么样？,浦口欢迎你，本部的表示无能为力✺◟(∗❛ัᴗ❛ั∗)◞✺
如何评价南京农业大学歌王肖宇雄？,谢邀 作为肖某的一位熟人 他对歌的理解达到了一定的水准 某软件上对歌的评价一直达到高赞  此人每天起床读书时天都还没亮  可见其勤奋度
南京农业大学蔬菜学研究生毕业后的就业方向？,同问。。。。。。
南京农业大学可以辅修其他专业吗，有没有要求？,现在南农有本校第二专业了  有金融  管理 园林这些 你可以查一查  只要报名就可以的  然后是周末上课
本科专业自动化，都是调剂南京农业大学农业工程和南昌大学的控制工程怎么选择？,这个≡￣﹏￣≡ 邀的我都碎了。 南昌大学倒是知道点。不过具体到这个专业就不知道了。  唔。。。南昌那个地方好热的。如果单纯说体验，比武汉还热。不仅仅是温度，关键是四面环山，中间是水。 这是什么造型？说好听了，聚宝盆。说难听了，高压锅。 当初在南昌待的几年，除了学会吃辣，就学会了各种除湿，降温的方法。 住宿舍的话，有多高住多高，千万别以为越低越方便。回南天能活活把人卤了。 还有江西的妹子。。。呃。 算了，说点别的吧。
