南京师范大学附属中学是一所怎样的学校？,对于南师附中的学生而言，“附中人”一直是一个十分令人骄傲的身份，以至于进了大学都会带有一定的优越感。  1.升学率  如果谈升学率，在南京觉得是实打实最高的。因为南京外国语学校，另一所名校，由于外语特色的原因，每年都有大批学生获得保送（小语种等语言类专业）以及大批学生出国。而南师附中不仅出国的同学所去的学校都很好，每年靠数学物理化学生物计算机竞赛获得保送资格的学生也很多，而且在高考中整体发挥也都相当好。基本上每年都能出个状元，而且所谓一本率也都很高，我高考那年是有四十多个北大清华，南京大学、东南大学有些专业甚至每个班都有南师附中的学生……而且就连比较小众的艺术类专业，学生也都能去比较好的学校，比如我们那届总共不超过10个美术生，考上清华美院中央美院中国美院的都有。  2.综合课程教学  南师附中作为一流的高中显然不仅限于升学率。学校非常重视素质教育，所有的课程（尤其是一般学校都不大重视的“副科”）南师附中的老师学生都无比认真对待。各个教研组都会组织相应的课题活动，比如我们高一时，政治课学经济生活，就组成小组试运营公司赚钱盈利。 最值得一提的是语文课程。当大部分高中都在重视数学英语这种靠着“狠抓”可以提分的课程时，南师附中的语文组老师在通过自身的努力提升整个高中学生的人文素养。附中很强调阅读，我们高一时的语文寒假作业是通读红楼梦。我们的语文书有两套，苏教版和上海版，作为辅助阅读。平时下发的课本以外的阅读材料则包含了卡尔维诺、博尔赫斯等等。必看的电影是《春风化雨》。而现在，南师附中的老师们（不只是语文老师）组织了地平线读书社，交流阅读，并且定期将老师们写的文章汇编成册发给学生。此外，我们在学习戏剧选读时，在课堂上会有话剧表演，并且全年级举办话剧节。  3.和大学一样的课程及活动设置  我们有选修课和社团，有固定的活动时间让同学选择自己感兴趣的活动参加。选修课包含中国结、剪纸、绘画等等（我当时比较关注艺术课程，其他有趣的课程毕业太久记不清了=_=）还有街舞社、书画社、各类体育社团、头脑奥林匹克等等。 南师附中的学生高一时会需要进行研究性课题的选题，选择课题和导师，自己组队组成课题组进行调研、实验学习，高二时答辩汇报。 而国际节、体育节、合唱节这些经典活动更是能调动全校同学们的活力。比如国际节时，每个班级都选择一个国家，进行国家文化展示。而其间有一天是作为“自由着装日”，所有同学可以不用穿校服，选择穿着自己喜欢的、有特色的服饰在学校里面学习一天。 我们高一时的秋游是11公里步行，走一个上午。高一的春游则是31公里步行，从夜里10点出发一直走到凌晨走回学校，是所有附中学生毕生难忘的经历。  4.志愿工作  所有南师附中的学生都要求有一定时数的志愿者工作，需要工作满多少小时才能毕业。每逢寒暑假我们就会和小伙伴组队去做志愿者，图书馆、书店、社区我们都去过。虽然工作时间有限，但真的能让同学在志愿工作中体会快乐。我上了大学以后就特别喜欢做志愿者……  此外还有很多很多关于附中想说的话，总的说来，附中拥有优秀的老师和教育资源，不仅是一个学业能够都到高质量保障的地方，更是一个培养独立人格的地方。她通过课程和德育活动去培养学生的价值观，这些改变甚至可以影响学生的一生。另外，这里拥有优秀而且有独立人格魅力的学生，能让人在一个积极的氛围中成长。  很多附中人毕业之后找男盆友女盆友找了一圈又找回附中人了呢……  --------------------------------------------------------------------------------------------------------------- 5月25日补充：  有人觉得我是在秀优越感，其实我只是想说有这样一种优越感存在，并非说它好或者不好。对我个人而言，我从察小到树人到附中，一步步都可以说是奔着自己的理想去的，在附中我也是认认真真读了三年（虽然成绩不算好），很融入地去学习去参与活动，因而附中的教育对我而言意义重大，相应的提起附中我也满是自豪，很愿意和别的人去分享我心中附中好的地方。  但这不代表附中是完美的，必然作为一个应试教育枷锁下的中学她有很多不足的地方，但这也是很多中学普遍的问题，我认为没有必要多说。另外，读了大学之后对比下来，我觉得全国各地也有很多很优秀的学校能培养出很优秀的学生。同时，附中对于我们所谓“嚼得菜根，做得大事”的教育，在我看来实在是太沉重了，到了大学以后我发现其实很多时候心态不用那么紧张的，人也不是一定要优秀要做大事的。如果只有附中的教育，我会是一个严谨的、愿意思考的、有着使命感的人，同时也是一个紧张的、总是有压力的人（这也和我个人性格有关）。但是因为有了大学的经历，我意识到人生没有那么多“一定要怎样”或者“必须得怎样”，我现在会停下来去享受生活，去发现身边细微的小事，会在琐碎的日常中逐渐接受自己的俗气与平庸。这些不是附中带给我的，与附中的理念可以说是相悖的，但我觉得也同样重要。  我的回答其实很主观，我现在看来也不是很合适，但是写了就写了也不想再去改。我现在的好友中也有南外和金陵的，当然也有其他省市很多学校的同学。我觉得不同的学校有自己不同的气质特点，大家的高中都是三年也没谁少过一天。只是对于我个人而言附中的三年对我影响重大，我提到的课程、活动都是让我记忆深刻的。回答这个答案真的不是想秀什么优越，是我真的太喜欢也太怀念附中了。（当然我也很喜欢也会很怀念我的大学，个人性格罢了）
南京师范大学的学姐学长看过来～？,报录比是绝对不可能公布的，好好准备吧
武汉理工大学和南京师范大学的企业管理哪个会更好一点？,南京师范吧。这个专业相比之下。 
本人今年二战考研考应用心理学专硕，在华东师范大学和南京师范大学有点纠结，想请大家指点一下～？,你纠结的点是什么呢？
南京师范大学《师大青年》是本怎样的杂志？, 人到大三，越来越排斥写字抑或发言了，想了很多，无法完整表达，大致说说吧。   原题是：南京师范大学《师大青年》是本怎样的杂志？杂志狭义上是指《师大青年》的杂志成品，广义上是指这本杂志背后的编辑部，以及它的各类衍生品，无论是成形的还是虚拟意义上的。   曾经自以为是地编辑了百科，有一些基本内容可见   师大青年（南京师范大学校刊）         关于杂志     先说说这本杂志。   平均每两个月艰难出版一期，黑白印刷，发行量五百，东西北三区叫卖，标签团刊，编辑部学生主稿，有两三专题，夹杂各类软硬文章，质量参差。戴着镣铐假装跳舞，常常摔跤。   我自己做过三期专题：《占中》专题、《同志》专题被毙，《迷茫》专题被删稿。写过20余篇文章，寥寥数篇可看，其他都是稚嫩的学生作品。   这是一本最正常不过的团刊，它拥有大部分校媒的共性：团委管控审查，学生编辑内容，受众面向校园。它同样也有各种各样的问题：发行量偏低，内容脱离受众，编辑部自娱自乐，宣传推广意识差，大部分时候成为学生刊物和团委刊物中间地带的矛盾综合体。   杂志的内容确有一些精良的制作，有的评论犀利而且鞭辟入里，有的人物刻画细致令人动容，在江苏甚至全国也都评过大大小小的奖项，也有部分读者反馈内容挺“深刻”，算是某种程度上的肯定。   而作为一本杂志而言，它是有很大不足的，而这些不足，既是编务人员的问题，也是杂志属性的局限。专题模块和编辑排版都有不尽如人意的时候，这些东西，也因人而异。       关于衍生物     再想谈的是这本杂志的衍生物。（以下简称“师青”）   师青一直打的口号是：独立和自由。这两个宏大的词虽然遥远陌生，并且烂俗，但确实是我们一直以来所推崇的理念。理念这个东西，的确很神奇，它能让我坚定地时刻保持对公权的警惕，保持对多元观点的接纳和包容，保持依附逻辑事实勇敢发言。   这些东西很重要，也很难，但师青一直努力。选题会上让每个同学发言，希望都能有平等表达自己的机会，审稿编辑让大家写得不那么官方，不那么死板，希望能够促进彼此独立的思考，组织内部有运作体系但没有官僚，大一同学因为理念不合直接找主编撕逼，都是很正常的事情。   从第一次坐在学正的阶梯教室里听大家谈论自己的选题，一堆人涌到南师对门的“老侉子”烧烤撸串儿，到如今熟悉组织的大小事务，学会如何和团委协调博弈，的确感触良多。   有些事情若非经历，难言其中。       关于想法      1. 做杂志不能光凭理念。    一本杂志的诞生，不是光靠着热爱和理想就能无性繁殖出来的。   提交选题→选题会讨论→写稿交稿→编辑返稿→汇总排版→校对修改→审查→团委通过→交付印刷→宣传推广→杂志发行   一本杂志从无到有需要经历这些大致的流程，而其中只要有一处有了不可抗力的影响，就会影响到整个流程。选题的单一，记者的拖稿，编辑的怠工，排版的差错，审查的严格，宣传的无力，发行的尴尬，每一处都会存在焦灼的问题。   师青标榜的独立和自由在此时就显得无力了很多，因为杂志的一切在于最终赋予每一个读者的意义，没有有效成体系的制度流程，没有强有力的工作监管，杂志往往难产。    2. 意识形态和权力无处不在。    我们以为它很远，其实它一直都在身边。杂志的审查和毙稿不再多说，对于每一家媒体来说都是家常便饭。   上学期所做的《占中》专题被毙，团委告知香港占中属非法事件，不许再议，即便我做了种种打算，观点中立，以批判占中的形式呈现，但还是被撤。反而被置换成某“暖冬故事”的专题。单此一件事，就耽误了杂志的整体流程。   最近的一件事是，团委介入了师青的微信平台，内容的敏感和语言的激进让他们坐立不安，虽然我并没有觉得我们多有影响力。总而言之，庆丰治下一个加强管制的时代来临了，并且逐渐渗透进人们冠以“自由”的新媒体世界。    3. 杂志的意义在哪里。    对于媒体而言，一向的观点是媒体为受众服务，而对于师青这样的团刊定位，受众是南师的学生，内容应该以校园生活为主，至少不该跑得那么高，教人摸不着。但是现实是，杂志多给人一种阳春白雪的感觉，不接地气，也完全没起到校园媒体的作用，并且质量有待提高。   我曾为此彷徨纠结很长一段时间，这本杂志的意义到底在哪里？500的发行量影响不了多少人，内容也完全是自娱自乐的写作。我的老学姐徐雯当时为师青写过这样一段话，我一直引以为师青的意义所在：   一本杂志的力量，不在于一定要超越世俗的想象，而在于，它可以去影响一部分人。   这句话曾被我用在各种地方。但其实，很多时候，意义是人类喜欢强加赋予的东西。如果说师青的一次选题会让某个同学有了些许启发，如果说某一本师青杂志的文章让几个读者很喜欢，如果说师青能让几个人对世界有了另外一种认识，那我可能就觉得足够了。   因为世事实在艰难，能做多少就做多少。   譬如我是被影响的几个人之一。    4. 其他一些。    师青在我的大学生活里占据了异常重要的地位。因为谈得过多，所以显得疲劳，对我和我身边的朋友而言都是这样。   以前谈写作，后来谈理念，如今谈传播。但这一切不过都基于这个伟大的时代，我们只是小小的人，边缘的杂志。   师青对我是个异数，它不是一本正常的杂志，在主体思想的普照之下，居然有一群年轻人妄想谈论什么，这不是老大哥该允许的。   上学期末的时候，我和鲁威把师青办公室里以前的杂志都搬出来卖给了收废品的，希望和过去做一次诀别。那些都是优秀人物做封面，满篇宣传新闻稿的旧杂志，我们扔下楼，就像哈利波特里，有求必应屋的老物件被地狱之火吞噬殆尽。   有时候我一个人坐在312的办公室里，会感觉很落寞。这可能不是我们的时代了，师青像一个人，他随时代长存，也随时代改变。    另附几张矫情图，见下：    
暨南大学、东华大学的翻硕和南京师范大学的学硕哪个好？,南师
南京师范大学的随园校区都是博士生吗？,不是，但是几乎博士生都在随园校区。另外部分理科的博士生也可能在仙林，比如生科院和地科院，因为他们的实验室在仙林。  and随园校区现在主要是文科研究生，硕士和博士。比如文学院，新传院，教科院等。  另外现在随园也有本科生，主要是音乐学院的。前些年，音乐学院和美术学院重新划分了教学楼。基本上音乐学院都在随园，美术学院都在仙林。  再补充一点，现在随园校区好多外国留学生。可能由于扩招的原因，毕竟新建了两栋十层宿舍楼。
南京师范大学的“人文科学基地班还有强化班”学的是哪些内容？相较其他专业有什么优势？怎样才能进呢？,文科基地班 学习的是汉语言文学的课程，但是教师安排都比汉语言文学普通班强，也就是师资力量很强。到了大四，会有百分之五十的保研名额（好大比例）还可以保送到外校，比如南京大学、北师大等。想保研，平时认真学习不会很难啦。（平时成绩百分之七十，大四上有一个保研考试百分之三十这个比例排名）。想要进入文科基地班，首先你的高考志愿填报中有这个选项，一般只有江苏籍或者浙江、安徽籍的考生才有机会上，其次就是高考分数要够高咯～
南京师范大学强化院怎么样？,不请自来。本人此前回答过类似问题，便粘贴过来。  一、南师强化院利弊   好处：  1、学院与学校正在大力推进国际化，政策倾斜较多，申请优先，有专项资金扶持出国交流交换。  2、保研率高，从本届开始可能会达到六成，去向最低本校和南大，最高清北复交人社科都有。  3、选课自由，不必严格按照年级修读，时间自主性大。同时大一的文综/理综比较拓宽视野，可以为大二选专业提供兴趣参考。  4、专业在可选范围内任选，无需转专业考试。  5、跨院系，认识的同学多。   弊端：  1、课业压力大，大一不接触专业课，大二开始要大补，有可能专业课基础不牢，有一定风险挂科。  2、选课易冲突，强化院大二大三有自己的公共课，和专业院专业课容易冲突，如若安排不当有延毕风险。  3、同学专业不同，可能毕业时除了本院本专业同学，两个院其他同学都不熟。  4、学习自主性不强者容易懈怠，有少量降级或延毕风险。   二、考试难度 由于政策修改未曾参加过，可咨询上一届同学。文科的考试门类确定但答案可能是开放的，可利用暑假增加相关科目知识背景，便于临场应对。  三、与文基班 文基班全称应该是文学院的国家基地班，隶属于文学院，入学后主要专攻汉语言文学方向。 文强班全称是文科强化班，隶属于强化院，入学后专业不确定。  以上供参考。  利益相关：南师强化院毕业生。
安徽人想考南京师范大学难吗？,刚好是安徽人，刚好读的是南京师范大学，刚好看到这个问题。就回答一下吧。 我前几年入南京师范大学教师教育学院数学师范专业。那年，南师在安徽招了44个学生，虽然那个招生那本书上写要两个数学师范生，但是最终我们班有四位安徽的。 安徽很好。更不用说我来自皖南，看的都是黄山九华山太平湖那种徽派世界。但是很可惜，山好水好，适合游览，可能不适合留在那儿奋斗终生。安徽的人才流失是很严重的。目前也打算留在南京工作了。
