南京理工大学生活怎么样？,不怎么样
上海理工大学，浙江工业大学，南京工业大学会被选人双一流么？,预测会有一流学科，但不会有双一流的可能
南京理工大学创新实验班和普通专业的区别？,本人南理工教育实验学院学生一枚~ 之前我们院叫做优才班，设三个专业：机械、电工电子、材料化工。 说实话不知道这个创新实验班是个什么鬼，但估计和我们院是差不多的路数。 建议你也找找教实院的一些介绍看看。 如果还有疑问欢迎继续提问~ 话说，志愿填报是不是结束了哈哈哈
高校工作选择，offer，中国石油大学，北京工业大学，北京理工大学，中国民航大学，南京航天航空大学？,选北京理工大学 985的光环还是很值钱的 师资博士后不靠谱 南京的气候对北方人来说简直是噩梦 民航大学就算了吧
南京理工大学 西南交通大学 上海大学 该如何选择？,南京理工大学武器类专业不错哦，西南交通大学运输类专业很强哦，至于上海大学就太了解，上大留沪率94%，也不错哦，个人推荐去西南交通大学，因为南京理工被水淹了，上海大学压力大，节奏快
我想问一下考研考南京理工大学概率统计与数据分析系要准备什么？谢谢各位大神了？,就是我们学的概统？
你怎么看南京理工大学冯起当选社团联合会副主席？,冯起请客             就怪了
南京理工大学的广播电视学怎么样？,谢邀。        我始终不推荐来一所军工出身的理工学校研修非工科专业。        南京理工大学历史悠久，历经转折，由哈尔滨军事工程学院的分支成为现在的南京理工大学，一直以来致力发展的是国防科技专业。设计与传媒学院开设的广播传媒学近几年开始招生，但该学院在校园的地位实在不足为外人道也。          如果特别希望来南京这个城市，可以谨慎选择我校的广传，如果对专业要求高，请务必再考虑。 
南京理工或南京航空航天大学的学长学姐进来？,环境都不会差到哪里去，省内的同学能考上南航南理的分数线直接出省吧，可以忽略这两所学校。
南京理工大学适合文科生就读吗？,蟹妖，图不多不少。 1、    （2014年南理工大学各学院就业率，来自网络，有问题概不负责）  2、               （南理工优势学科，来源于网络，有问题我也不负责，鉴于各大高校都会在毒瘤度百科上给自己美化，所以这个数据应该是不会招黑的吧´_&gt;`）    所以就南理工适不适合文科生就读这个问题上，我觉得已经显而易见了吧？ ps:不管南理工怎么样，文科生来南农是挺不错的 ps2：我蛮喜欢南理工的，学校效率高校园文化多样 ps3：为什么邀请我回答这种问题呢，我还是个孩子啊(，，•́ . •̀，，)
南京理工大学最帅的人是谁？,  他很帅 而且不同的是 他的帅 不溢于肤浅的外表 就像是香醇的美酒 饮一口 让你醉 饮两口 让你痴 饮三口 让你狂 越看越耐看 原来是你 偷偷溜进我的心房里 感谢有你 感谢南理
南京理工大学的计算机专业和别的学校的到底差距在哪里？,我是南理工计算机学院毕业的，09级13届本科生，这里随便说几句：   老师眼界比较窄，都是名校博士毕业，尤其是自己学校本硕博留校的，出去交流的经验不多，感觉缺乏大局视野   楼上说得很对，数据库大作业居然要求用delphi做，这老师的教学大纲多少年没变啊！   因为学校的历史关系，主要接军工项目，技术要求不高，利润丰厚，所以老师们过得还算安逸  本科教学质量有限，就那C++来说，小班是60-80人，大班100人，而同城的东南大学是20-25人的小班，差距显然  导师不够   本科生   南理工：每个班一个导师，基本上只能开开班会，不和学生练习  东南：三四个人一个导师，带着做科研训练   研究生   一个硕导能带30个学生   拼命接项目  不放同学出去学习，导致学生在就业市场受到歧视     校园氛围   南理工：考研氛围浓厚，为了提升分数线，辅导员喜欢鼓动没想法的同学考研，最后很多人没考上，害了很多人。出国的同学不多，大多是澳洲/英国，申请到好学校的就更少了  东南：出国的人明显比南理工多，能申请好学校   就业   南京本身比较尴尬，缺乏好的IT企业，所以优秀的毕业生都留不下了，基本都去北京上海深造，或者去北上广深就业了   其他   欢迎提问，有空再补充~   
像国外的MIT，KIT等理工类学校，男女比例会像南京理工大学，北京理工大学一样失衡吗？,在KIT读机械，希望以后能去MIT做一次访学。  KIT卡尔斯鲁厄理工学院在16/17冬季学期(Wintersemester)开始，也就是2016年10月，大概有两万五千名大学生，男女比例约为62：38。机械专业的男生比例较高，大概是75：25左右。  据我所知，国外的大多数高校男女比例较均衡，但也有一些例外，比如说德国的许多应用科技大学(Fachhochschule)，男生大概占百分之八十，甚至更高。
南京理工大学电子信息类前途在哪里？,作为在南理校园内住了很多年 最终高考并没有考上南理的南理子弟……只想说南理的工科 只要专业学扎实了 最好基本都是可以进蛮好的公司的啊……不好意思歪楼了 只是看到这个问题进来感慨一下……
听说南京理工大学比较乐意接收安徽大学计算机的推免生？,我们一个班的，感觉
如何看待南京理工大学博士生住在12平米的双人间，还是一楼的阴面房。？,来二运晒太阳啊学长
南京解放军理工转到南京工业大学。何时才能正真转到。学期初？学期末？,部队不会让转到地方院校的。
关于本科生考研，我是一个山东建筑大学的学生，想报考211工程的研究生比如南京理工大学，有希望吗？,一般真的努力去做了，考上还是不难的，提前一年准备就好了，复习时效率要好点，我那时都不带手机的，还有几个人结伴是相当不错的。不过我们没那么久，五个多月吧。
今天在南京理工大学是不是有博世的校园宣讲会？时间是什么,这种百度搜搜就能出来的信息就不要上知乎了，丢人。
南京理工大学知识产权学院怎么样，大家出来一般干什么，是从事知识产权方向的事吗？,我一本科同学，本来是我们电光院的，后来放弃了本院的保研去了新成立的知识产权院，现签了中兴。所以出来后可以在很多大公司做知识产权保护等相关工作～
南京理工大学的什么专业毕业后还找工作 待遇又好？,兵器类
南京理工大学本校生考外校研究生如果复试被刷了，有没有可能被调剂到本校？,这个问题的答案是不可以，以前我也很不理解学校政策，明明本校学生高考成绩都很高，和那些考南理工的外校学生比起来自然是好多了，那为什么学校不要自己的学生呢？原因可以归纳成几个方面：第一，南理工学生对本校的认可度还算可以，尤其是江苏籍，安徽籍的，这些学生本科就可以去一些中上游的985而选择了南理工，自然是对南理工的就业科研水平是认可的，所以在保研考研的时候，很大一批人选择了本校，一方面选择外校的余地不大，比我们学校稍微好一点的985，如大连理工，山东大学，华南理工之类，这类985也属于地域派的，影响范围有限，在江苏就业的话不一定能比的上南理工，考这些学校性价比相当低，所以我们学校很少有去这些大学的，一般要去也是外省（非江苏）学生，再往上的985就是上交，浙大，华科，同济，东南这种，这类985是南理工考研考外的主要选择目标，而这些大学在全国知名度都很高，所以报考激烈程度也很大，考上也不是特别有把握的事情，这时候南理工的政策就起作用了，如果南理工接盘本校调剂生的话，那么势必有大批本校生会选择以上高校，即使考不上还有本校嘛，心里有底子，往顶级大学考岂不美哉？但是，这样的话，势必造成南理工成为外校学生的主场了，生源质量肯定下降很厉害，要知道，每年的就业报告里面，研究生的生源是否为211985是很重要的一项内容，所以即使考外失败了，绝对不会允许调剂本校的，一旦这个口子打开，对学校的科研质量是不小打击。第二，南理工属于工信部高校，工信部一共管七个学校，其实我想说就是有钱，南京又是非常热门地区，北京上海其实现在并不是考生的最理想选择，生活成本和空气质量都是很重要因素，很多在北京上海的名校读完还是回到江浙一带，所以报考南理工的学生是非常多的，这里不乏985考985失败的调剂生，每年这样的调剂生都很多，所以，本校考外校失败了的学生对于学校来说并不是优化生源的最优解，自然拒绝的。个人觉得，如果要考外校的话，就要有一定心里准备，这个准备是即使没考上我还可以出国，愿意就业，或者再战一年，而不要把考外校当做一个唯一解，人生需要多个支点。当然，愿意考本校的话，也是不错选择，本校厉害的人也是不少的。还有就是，考研失败一般分数还行的话还可以调剂研究所，这个也是一个不错的结果，当然，女生一般研究所很难调剂进去，还有就是调剂研究所需要考学硕。考研这个事情其实我们纠结的更多是得失罢了，越长大越害怕失败，因为来自外界的评价影响也越来越大，选择的余地也多元化，反而没有了高考那种定力，太计较得失了。我经历了一次考研，与其说是学业的竞赛，不如说是一场成长的考验，尤其是你身边的同学纷纷保研而你需要保持高强度学习和初试完等成绩50多天时间里，个中滋味，只有自己明白。深思熟虑，落子无悔，你会感谢坚持到最后的自己，加油！
南京理工大学为什么被南京当地人叫做理工大而不是南理工?,不，他只有一个名字，皇家和尚庙
南京理工大学的经济学和工商管理怎么样？,不知道刚报了自考
为什么南京理工大学不是985?,你来这学校读一年就知道了……
各位师兄师姐前辈们，我该坚持理想还是考虑现实，考研华南理工大学or南京航空航天大学?,这个完全没有必要纠结，必须华南理工啊！优缺点你都摆明了，还犹豫什么！至于你以后想在航空航天领域发展，去了南航也不一定就能进航空航天系统，去了华南理工也一样有机会进去，静下心来，好好复习考研吧！
在南京理工大学就读是怎样一番体验?,学习、生活  学校有明显的军校风气留存，像军训二十多天、教育班什么的……所以学校在学习管理上也是炸。 学习风气很不错，氛围浓厚，跟挂科率高有关系，本屌丝表示多门绩点不足2.0，大神也很多，江苏貌似（貌似！）前5000才能进来，江浙一带认可程度很高（欢迎来喷，）。好老师一堆堆，各年龄好老师都蛮多，学校发展劲头还是很强劲的，毕竟我毕业了，现在怎么看母校都是十分的好。  现在我在北方的某高校读研究生，跟母校一比，简直渣透了。 学校宿舍条件不错，我住一小区，南理工最人性化小区，大叔大妈十分和蔼可亲，像家人一样，胖大叔能叫上每个学生的名字，笑眯眯的。 寝室4人一间，最后一年装了空调，享受一年真好，寝室空间极大，没有独立卫生间，超级喜欢，四个人，十个柜子，东西喜欢怎么放怎么放，宿舍经常十人三国杀，空间大的好处尽显无疑，对门两人间，有点冷……寝室的卫生间，真心的干净，阿姨超级负责任，貌似所有小区都这样每个楼层都有喷头，没有热水，夏天可淋浴，热水澡要去澡堂，澡堂很普通。宿舍的卫生间实在太干净了！ 食堂（二三清真）便宜好吃，菜量大，明苑要看小阿姨心情了……听说我们毕业了之后二三清真变差了，可起码有餐盘分格子，不像我现在这样要天天吃菜汤泡饭，炸鸡块西红柿炒鸡蛋加八毛钱米饭，清真肉包子，鸡蛋炒刀削，二楼自选大骨头，一楼利尿奶茶，卷土豆丝……数不胜数，同学们打饭都好好排队，也谦让妹子们，我真是为南理工的学生们骄傲。 四号门据说再难回复往日盛况，不谈也罢了。 一小区的炒饭大叔，每晚夜宵首选，排长队常事，一小区盒饭阿姨，也是很美味，不过不要常吃……还是多去食堂的好。 附近的好吃的好多，一号门一堆堆的可以挨着吃，好想去买份汤包，然后去福庆来份炸酱面，买栗子和泡芙南瓜饼回宿舍，或者吃宫保鸡丁盖饭，粉丝汤？烤肉冷面？或者台湾小吃？紫菜包饭？哪种都行。 学校地理位置上，那真是不错，去哪都方便，都方便，主要有地铁，就是学校太大了，不过我们人人都有自行车啊～没有也要借啊，借了的车也是一样丢啊～哈哈哈哈哈 水杉林二月兰二号路三号路的梧桐英雄祭坛上喝酒吹牛逼，一运都拆了，体育课可以上三年，开心。是不是都骑车驮着亲爱的人，从二号门一直溜车到转盘。毕业照都坐到日晷上去了吧。  一工二工三工四工，别的学校根本不知道什么鬼。作息时间小学期，真是十分有意思。外面下着雨，坐在大图二楼的沙发藤椅上发呆，真是舒服，去古城随便溜一圈，都可以晚上地铁回来，宿舍晚上不关门，好爽。  我不想说了，也没有头绪，有了头绪再来答吧。 其实是，说着说着，就心酸了，我想南理工，想我的大学四年
普通二本自动化考研，西北工业大学 重庆大学 南京理工大学哪个最好，难度怎么样？,噫_(:з」∠)_居然被@了。 我是重庆大学自动化学院的。 重大自动化水平的话，本学院并不是那种学校内顶尖的，在学校内是中流水平吧，全国来看可能就会有点捉急了。不过学的东西和电气（电气工程及其自动化）还有通讯很相似，学校的电气学院全国排名相对要靠前很多，有心的话应该能蹭到很多好的资源吧。（事实上自动化学院相当多的人就想转专业去电气或者考研去学电气的）。 至于考研难度，我觉得在985里应该是容易的了，重大毕竟是传说中的二三本考研首选的985→_→自动化也不是王牌专业。 歧视外校学生这个不清楚。招研究生不可避免的要更偏向自己学校的学生嘛，不过猜测应该没什么影响吧，外校考入是正常难度，本校考入稍微简单一点而已。 不过还是那句话嘛，难不难还是看自己努不努力，只要做好准备就没有什么困难的事情。 （话说西安科技大学可是我某个高中同学很想去的学校→_→）
南京有在校大学生，想要暑假去支教的吗？求路子。我是南理工艺术设计的。,我也想
西南交大，南京理工，该如何选择？,首先想纠正一下题主。可能谈起西部，大家第一印象是落后，然而经过近几年的发展，成都已经成为一线城市，作为西南地区的政治经济文化军事中心，gdp名列全国前茅，基建也都非常完善，地铁规划，机场建设都已经进入第二阶段。成都确实很安逸，号称来了就不想走的城市，但是绝对不影响你在这里读书深造，成都的科研实力和高教资源也很丰富。 还有就是题主既然是女生，其实读工科是不适合的，不是说强度高，女生学不好，相反工科女生多学霸，而是就业存在问题，很多单位会歧视女生。   西南交大是铁总（原铁道部），教育部，四川省，成都市共建的高校。211，985平台高校。总体来说是一所铁路特色的工科大学。西南交大目前比较强势的学科有土木工程（第八）、机械工程（第十八）、电气工程（第八）、交通运输（第一）、通信工程（排名记不清，十几名）、测绘（第六）、建筑学（记不清，但是是非985的211高校中第一）。另外还设有茅以升学院。这些专业中我比较推荐题主报考建筑和电气，因为这两个相对而言适合女生一些。另外学校一些什么重点实验室我就不介绍了，跟本科也没什么关系，题主感兴趣可以上网查一下。 学校硬件我认为还不错吧，学校目前有三个校区，本科生都在犀浦校区，在成都郊区，不过通了地铁，去市中心大概四十分钟。宿舍都是四人间，上床下桌，有空调，有热水器，独立卫生间和阳台。总体男女比例为2:1，不过个别学院男女比可能会达到10:1。 题主要是学霸我建议报考茅以升学院，可能辛苦一点但收获也很大，读研出国什么的都很有优势。 南理工也是非常优秀的高校，我去过几次，好几个同学也在那，但由于本人是西南交大的，就不便去介绍南理工了，以免产生抹黑的嫌疑。 随手回答，难免有疏忽之处，欢迎校友补充回答以及斧正。  
