请问怎么看待南开大学津南校区浴室的设计理念？,拐    弯    那两个喷头的位置已然告诉我们一切~~~~
面临对外经济贸易大学和南开大学外院的选择？,在南开校学生会fly的可能性小于1% 红专好智障啊 南开风气是不是被你们这种人搞坏的
如何看待南开大学2016年的引进人才计划？, 学校意识到了人才问题的突出性，外加新校区的事基本解决差不多了（至少一期如此），已经有精力和财力在人才引进方面取得重大进展了。另外今年天津市外专局也开始大力支持南开，许多海外高层次学者的经费都是外专局出的。 
参加南开大学历史夏令营是一种什么体验？,你应该看重将来高考成绩方面的，这个你看看不知道对你有没有用。。  高考到底为了什么？既然高考不能决定一辈子，我们为什么还要玩命高考？ - vczh 的回答 
南开大学法学院邢禹大神是个什么样的人?,不请自来 985高校法学院本科 辩协扛把子 同为辩论队大神 关键词：撩妹，18cm，两小时 达到知乎平均水平
湖南大学和南开大学的金融专硕哪个好考？,并不，南开的专业课比湖大难，而且南开考395，需要看经济学，南开可以参考我知乎的帖子。
南开大学转专业转到法学？,不清楚(⊙o⊙)…
南开大学 经济学院 考研问题 必须有问号？,书够啦，也有点多啦，重点就看曼昆、范里安多就好啦，高和圣才的打基础，用来答简答很不错。真题淘宝有一家很靠谱的，买过资料很不错，里面有些拔高的知识点和计算题可以重点看看，考前会有几份卷子，也值得做一做。  
如何客观地评价南开大学津南新校区？,2016.4.8更新 接受  @大云豆 的建议，删除了过激的“不如不开”的言论，希望大家关于这篇转载的文章本身。 对于  @杨欣悦 的所谓“爱母校就不要抹黑”言论，评论区已经很多人回答的很好，待我今天下班再来撕。 ~~~~~~~~~~~~~~~~~~~~~~~~~~~分割线~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 什么都不说了，大家直接看刚刚在朋友圈转的很火的文章吧！文章有理有据，可是发出来不到一小时就被删除了，我开干维稳速度！ 
396、395联考是不是竞争很大？不想二战，南开大学国际商务怎么样？,泻药。 这两个联考没有数三那么难，是很多想学经济类但对数学有畏惧感的同学的不错选择，竞争力不会小的。 南开大学国际商务是没毛病的，南开本身就985而且经济学类实力雄厚，名气很大。可学校地理位置比较尴尬，天津虽然是直辖市，贸易港，紧邻北京，但发展一直处于高不成低不就的状态，金融经济类市场，前景都不是特别大。如果你想在天津，或天津周边省份就业，南开是不二选择。 我不太清楚南开国商是不是专硕，就2017年招生情况来看，南开经济金融类专硕还是呈现扩招趋势的。 最后是大环境问题，近几年考研人数逐年增多是大趋势，但18年可能达到最大，因为教育部建设双一流大学的政策，其中一个指标就是深造率，老师们可能会动员大家去考研，造成考研人数剧增。 加油。
考研想考南开大学经济学大类的研究生，请南开目前在读研究生告诉一下南开目前的考验难度和就业前景?,这个我觉得还得具体来看吧，首先看是选择专业硕士还是学术硕士，还有是金融学院还是经济学院。16年金融学院金融专硕和保险专硕两个专业的专业硕士的分数线才统一330，但是今年保险专业过线的我了解到只有七个人，一共二十多个名额，那些没有考上的同学可不是傻子，也有不少考了好几年的。金融学院的大厅看到屏幕上一个很高分的同学复试被刷了，四百分的也有不少，前几名都是南开本科生（考的，不是保的），所以说还是要综合考虑的，包括今年的政策，还有去年考题难度等等。像去年增加了很多应届考生考金融学院，还有一半以上的名额都给了保送的，按理说剩下名额都可以稳稳的被剩下的考生拿走了，结果并不是这样。  还有就业前景，保险方面比较好的出路无非大体就走精算、保险、证券、银行。证券去的人也非常的多，上一届很多去了不少券商的总部，待遇不错，再前几届去券商的较少，保险发展潜力还是非常巨大的。还有一部分留学深造，这部分比较少。  南开很好很公平的。      补充：那个高分的同学似乎最后并没有被调剂，因为我知道的时候，得知他就已经回去复习再战去了。  而且分数和判卷尺度学院间也是有一些的不同，对比一下今年的经济学院和金融学院的出卷和判卷就能比较明显的看出来。  我和老师聊的时候，老师也说今年金融学院的专硕的确有些亏，因为据我所知是因为新成立金融学院，加上新校区建成，还有招收应届生报考这几个因素，导致这一年的金融学院在考前更改了考试范围，超出了原本的复习的很多内容，395到了数三的难度，专业课也是比往年增加了不少，而经济学院的出卷和判卷分数则要成熟不少，一个学校两个学院的差异今年很大。  图片新老校区   
厦大，南开和中山大学，志愿应该怎么选择？,利益相关：我开本科毕业狗一只。 1）从名气上讲上述三所都是名校，且基本属于同一层级，属于第二梯队名校。如果你没有特别的地域偏好（如珠三角、京津冀等），学校名气的影响不大。 2）从生活条件上说，三所学校校园我都到过，厦大去过本部和漳州，中大去过南校和东校。平心而论，厦大有湖光山色、巨大的图书馆、无处不在的人文关怀；中大有南校的砖楼草坪、自由开放的风气，两校软硬件都远胜我开。 3）从城市而言，广州是华南一霸；厦门文化多元，还有小情小调。而天津会相对保守，创业氛围不够浓厚，实习没有广州多，情调不如厦门足。但我开虽然在天津，我开同学的视野可以不局限于天津，到北京、滨海新区实习都是可以的。 4）从个人感受方面，内心有千言万语难以明说。从高考失利自以为折翼到我开的中二病少年，到今天工作后愈发懂得敬畏的新鲜人，南开包容了我四年。在我心中，我开学霸们低调肯干、不事浮夸的作风，是南开精神最好的体现。当去深圳实习，感谢我开给人【老牌名校】的印象，面对清北的同事也有不觉低人一等的底气。工作后，还有碰到几次合作伙伴说我们领导就是南开毕业的；-D 说实话，南开大部分是普通人，不过它给了你一个往上走的平台、一群以后有前途的、靠谱的伙伴。如果想去更高大上的地方，抓紧这四年，毕业后争取刷海外或国内1st tier学校的背景。在申请上，我开不会比另两所差。 另：我有个感悟，每个地方都有顶尖资源，只不过享用的是那5%的人。与其坐等学校给你带来什么，不如想办法成为5%的其中一员。只有顶尖的人才配得上顶尖的资源和岗位，和是否target校无关。 希望对你有帮助 祝安！
为什么天津大学和南开大学老校区人口这么聚集的地方没有地铁经过？？,看看清华东路西口就知道了，为什么15号线始终接不上13号线？北大东门地铁站已经对北大的精密仪器造成了影响，清华不想重蹈北大覆辙。 据说原来3号线打算从南开底下过，南开坚决反对，才南移到了从天塔过，想想看，难道南开大学或者天津大学这个地铁站名哪个不比天塔好？无论本地人外地人都一目了然。 由此看来，南开和天大还是有战略眼光的，一条地铁带来的方便远比不上科研的落后带来的损失。
