南京航空航天大学高水平艺术团文化课考试难吗？,过两天南航见
为什么有人认为 西北工业大学 比 南京航空航天大学 好？,嗯。。。我知道是哪位了。 /*  这样吧，我们边家村职业技术学院和东大职业技术学院哪比得过南京航空航天大学呢。  首先，我们在西安啊，这地理位置就差一截。 其次，我们叫工业啊，全国一堆工业大学，而南京航空航天大学则是全国唯一的211航空航天大学诶，边院负分滚粗。 再次，南航无人机独步天下，西工大就一蹲在西安城墙边磨锤子的。而且南航和北航谈笑风生的时候，西工大还在挖煤呢！ 还有，南京航空航天大学才是华东航空学院的主体，我们只是历史的余流而已，上海交通大学碾压西安交通大学，那么南航也同理嘛。边院收到*2的伤害。 最后，南航就是牛逼嘛，西工大就是lowb嘛。 结论，南航各种体味完爆西工大。 */  作为一名西工大学生，我真的觉得南航和我校关系不错(贴吧里可以看出来)，西工大和南航在交流上挺频繁的(我校一堆南航毕业的师兄师姐，人都挺不错的，而且我校也支援了直升机系，很多南航的老师对西工大真的很关照的)，我校也在南京建立了自己的实验室(我校原来一堆南京的教授)，我觉得大家都是航空航天类大学，没有必要在知乎上撕破脸，给外校同学看去了，又是一堆啥航空航天航海浮躁啊。  更何况，咱们之间也没啥嫌隙。(注释打给没文化的喷子，不谢)
南京航空航天大学今年四川地区要多少分才能有把握啊？, 你查下自己省内排名更好，我那年3300名，能进的最好专业是自动化 
南京航空航天大学有【哪些老师】的【哪些课】值得蹭?,居然有这么多人赞=。=，好吧14个在我知乎生涯算多的了 由于我本人是计算机学院的，所以补充一些计算机学院的老师  操作系统-朱小军 朱小军老师上的操作系统给人感觉就是严谨，任何有疑问的问题，一定会在课后查阅资料然后第二天的课上告诉我们，并且告诉我们查阅的是什么资料。这个课的重头戏是实验，我们做的实验是MIT的操作系统实验的一半，也就是修改一个类UNIX系统的内核（另一半是自己写一个OS=。=），一共有六个还是五个实验我忘记了，但是每个实验都不好做，基本每周要花十个小时以上，基本每周课余时间都来搞这个了（部分大神除外），但是做完收获特别大，很多之前不了解的问题，做完实验感觉醍醐灌顶。因为要阅读每一个同学的代码，感觉老师付出的劳动应该也不少。说句题外话，感觉CS的大部分课学了不做实验跟没学过差不多。当然，最后给分也很严谨，我实验做得还可以，但是因为有几次实验提交的代码和文件不符合规定（比如没有将PDF文件单独拿出来而是打包在压缩文件里）导致分数不是很高。  孙涵 孙涵老师是现在计算机学院的副院长，我没有上过孙老师的课，但是通过几次邮件的交流，给人感觉孙老师是一个很为学生着想的院长。我因为保研的事情前后发了很多邮件给孙院长，都很快的回复了我并且附带了一些个人建议给我。（顺便说一句，计算机学院的保研政策非常开明，学院鼓励去更好的学校读研，在开推荐信和学院意见时也非常痛快，除了xxx，与某些工信部的某些学校相比，简直贴心）  算法研讨 陈松灿 这门课主要是阅读一些经典算法论文然后在班级作报告的形式展开，陈老师作为计算机学院首屈一指的大牛，科研和人品都是没的说。他会在听论文报告后，就论文中的一些重要的点进行提问，然后提出一些自己对这些经典算法的看法，并且指出一些可以继续研究的方向给我们，此外还教给我们一些研究的方法，和查找相关文献的网站等等。  计算机组成原理 冯爱民 冯老师讲课热情非常高，这门课的课改也是她发起的，我们用的教材是DavidA.Patterson，John L.Hennessy 的《Computer Organization and Design：The Hardware/Software Interface》，这本书对于当时没有接触过底层的我来说感觉走进了新世界，上大三后我还重读了一次，当然这门课的实验也算是本科做的实验里最难的，用verilog仿真一个mips流水线CPU，并且解决部分数据相关，最后用工程化方法支持最多五十多条指令。当时因为身体的原因没有从头到尾做完这个实验，最后分数也不高，但是这门课确实让人收获很大。  暂时就想到这么多     原答案=================== 潘银良老师的近代史，讲课生动形象，很多自己对近代的判断，不是一味地照着课本讲。有一次讲蒋介石听说北京解放还是啥的时候，说蒋介石当时滚倒在地，痛哭不已。画面感特别强。听说以前复旦请他去他没去。
南京理工或南京航空航天大学的学长学姐进来？,环境都不会差到哪里去，省内的同学能考上南航南理的分数线直接出省吧，可以忽略这两所学校。
如何评价南京航空航天大学本科生杜吉超？,这是一个值得思考的问题
高校工作选择，offer，中国石油大学，北京工业大学，北京理工大学，中国民航大学，南京航天航空大学？,北理吧，离两家都近，还是母校。压力的话，人总要有压力才能有动力。
南京航空航天大学的飞行签派专业好不好？ 在工作中能不能从飞行签派转到空管？,我是南航的机务专业大二学生，正考虑要不要转空管，对于民航系统小有研究，希望能解答你的疑惑。同等级别的待遇：空管》机务》签派》其他地面人员（比如地服等一干人等）当然发展提升的机会也差不多是这个阶梯，空管、机务和签派都属技术工种，待遇会随职业成长而稳步提升。需要提到的一点是，去年空管局进行了大的薪酬改革，空管工资普降，签派的待遇在稳步提升。 还是分专业来说： 1专业这块基本上我们学校绝大多数人走的是空管，少数人做了签派。需要提醒大家注意的是今年很多优秀的同学因为空管局3校联考而落马，非常可惜。建议那些成绩好平时不怎么玩游戏的同学多玩玩游戏，呵呵。总之要重视3校联考，因为确实今年有不少人因此而没能做成空管。其次就是签派了，其实各大航空公司不会把签派的重头戏放在我们学校，因为历年来我们这做签派的人太少了，所以航空公司来我们学校的重点是机务。而且以前很多人先找了签派保底，后面空管局来了又违约签空管局的人不少，所以很多航空公司把招签派的重点放在民航大学 。 2专业和7专业（也就是新开的机场专业），这两个专业基本一致，一般去做什么地面服务，现场监督，客货运等等的工作。致谢工作他们也找大专、中专生，自己想哈，和空管签派不同的是，这份工作很容易触底。所以其实这两个专业第一工作难找，第二计时找到层次也很低很低，当然不排除有例外，强人不论学什么专业都是强人，当人那些人属于与专业无关的，换言之，他们找工作不需要专业的支撑。 3、4专业都是机务，有的公司分开招一个机，一个电，反正都是机务了，呵呵，工作嘛，很好找，待遇也不错，就是苦了点。 最后说一点就是专业人员的成长过程：（争对于持照人员空管机务和签派） 学员---》考执照---&gt;放单----》更高的级别  签派工作较辛苦，工作时间可能为作一休一（每个航空公司不一样），工作可能是一天（24小时中途休息一下），需要能喝酒应酬；工作内容比较杂，主要是负责航班放飞前一切准备、飞行过程中监控、紧急事情处理（百度就有工作内容），如果处理不好，男签派可能会被机长骂，女的还好，地位较低，虽然工作很重要，但是一般不被航空公司太过重视的岗位。 待遇可能起点较高，开始总共4000不到左右，拿到证后会有较大涨幅，能放飞后工资较高（10000不到），最高可以做到签派主任；签派岗一般没人一直做到退休，大概40左右就会要求转管理岗或者不做了，因为压力大，所以比较早衰。 3+1转的录取率要看报名人数，一般在30%左右，如果不是报名人数特别少，女生录取机会较低，因为一般航空公司不要女生做这个岗位，不过每年都会有几个女生被录取。 打字好累，希望可以帮到你 
有一个南京航空航天大学的女朋友是怎么一种体验？,作为一个铲屎官表示在两人满满的课表中找时间和主子一起吃饭，一起自习，没事聊聊科幻，画画电路，算算力学，大概这就是工科狗与工科猫的爱情吧。
南京航空航天大学的材料加工研究生值得读吗？,我室友也考了397。。  南航材料专业确实不算好，但只要选对了老师，还是比较有发展前途的。而且南航在江苏名气还是蛮响的，以后想留江苏那应该还不错。
求教！ 东南大学软件学院（苏州）和 南京航空航天大学计算机技术 的硕士，该选哪个？,哪里不重要，真心，一个是你要考上，考上之后更努力。选择哪一个并不决定以后前途发展
