国防科技大学的男生有一个特别漂亮的女朋友是什么体验？,会有很多人羡慕嫉妒恨！
国防科技大学和清北哪个更好？,这是国防科大在知乎上被黑的最惨的一次。。
读国防科技大学有什么优点和缺点？,优点就是不用担心就业 缺点是以后自己就是国家的了
国防科技大学的军人研究生又对外交流的项目吗？,有的，但是不建议为了这个去国防科大，因为实际上概率会远远低于地方大学。 本科毕业生想要出国留学，必须先获得保研资格(对，所以首先得是技术类专业的的学生，指挥类读研都没资格)，而科大的保研是非常难的，需要平时成绩的平均分，加上竞赛获奖加分，担任骨干加分，品德加分等总成绩进行pk，所以你本科期间直到大四那年十月份，都是必须要全部精力放在保研上，等到确定保研以后才能复习托福雅思这些内容，而且必须考上世界排名前列的名校才能去，跟地方大学的同学相比难度可想而知。我们班本科毕业出去的就一两个人，都是最顶尖的人才。 硕士毕业想出去，也需要先考上本校的博士，难度稍微小一些。如果在本校读博，期间有一些联合培养的项目更容易一些。 最后，来自灵魂深处的拷问，你对外交流了学了又有何用？你毕业后最好的出路就是留校，竞争极其惨烈，留校失败的去了别的院校或者基地往往大材小用，更有悲催的下了部队基层，天天拔草搞卫生，专业直接废掉。最可怕的是，按照现在改革的大趋势，以后军校工作人员以文职为主了，你军人学员毕业了大部分都要去基地或者下基层部队……部队的体制决定了不需要这么多高学历人才，所以想清楚了自己需要什么再来。
高三的学生了，要是想报考国防科技大学，流程怎么进行？,流程什么的挺简单的，但要求成绩身体都得不错，现在军检的初步审查应该进行了吧，过了以后好好学习，等高考成绩出来以后会有政审什么的，然后就是复检，过了的话就填提前批，最后就等录取结果喽
西电电磁场考国防科技大学博士?,我也今年去国防科大读地方博士了
长沙国防科技大学的信息?,国防科大不在北京，在长沙，谢谢。
弟弟高考605，理科，河南考生，想读国防科技大学，被录取的可能性大吗？,我听说去年在好几个省都没招满
女生就读于国防科技大学是一种怎样的体验？,她们都是异常的优秀，优秀，优秀。无论是体能、还是实力，确实碾压我们
研究生阶段读国防科技大学的信息安全如何？,想贴个标签那就去吧。至少在国内发展没有太大问题。
读国防科技大学本科的法学专业平时也是军事化管理么？不像其他大学一样有自由的时间？,本科都是军人，军人自然要按军队军事化管理，例行跑操例行训练例行拉练，跟你的专业没有关系
国防科技大学和上海交大的国防生各有何优劣？,国科分配这几年越来越差了。 有上交大的水平去上国科的。权衡一下热爱可不可以持续一生。 谢邀
2017年国防科技大学哪个专业发展方向好？, 推荐计算机相关的所有专业，不过现在录取结果都出来了吧，不知楼主考上了没 
国防大学好还是国防科技大好？,哎...国防大学是培养我军人才的地方，训练机关的地方，并不向社会招生。 况且你问的不够详细啊...没办法回答。
喜欢上了来学校军训的国防科技大学教官好揪心想要联系方式哪怕他不喜欢我？,我男票就是我的教官。 说句实在的，如果他不喜欢你，还是再掂量掂量吧，有没有让他能慢慢喜欢上你的地方。 一开始我觉得只要我敢追只要我坚持肯定可以的。追了他一个月，成了我男票，可是会感到是在绑着一个人在身边。 他还有半年毕业，而我才大一。 我相信你应该也是一样，那么如果明知道没有结果，又为什么要开始？ 昨天晚上我对他没有男友力这一点进行了讨伐，然后就深入到了后来。 他说一毕业就分手这是肯定的，离开长沙我们的相处会很累，他说要么你现在就把我甩了要么我陪你半年，他说他们学校很多像我们这样，但都长不了。 他要我认清现实。 我没忍心让他继续说下去。连我自己都知道有未来的可能性很渺茫。虽然我们现在都在长沙，可是他铁了心要回云南，而我家在江苏。 他还没有喜欢到可以为我来江苏的地步，我也没有到为他孤注一掷去云南的年龄。   其实都是明智的。 如果他能喜欢上你，如果你们地域上分歧不大，那我还是支持的。  只是这条路太累。要么别开始，要么你能遇见良人。  太矫情，我还是匿了吧。顺便说一句，这是我的处女回答。      还是想偷偷问句，学姐哪个大学。 CD么？
国防科技大学的校园对外界开放吗？不开放如何进入？,北门、西门和南门都有一条线，内书：军事禁区。  进门需出示证件。  找个校内的熟人带你进去是可以的。  好奇题主的目的。说实话校园并不漂亮，如果为搭讪帅哥也不现实（话说大家都是集体活动，或骑自行车来去匆匆）
中国国防科技大学是所怎么样的学校？,校内人懒得答，校外人不造怎么答的学校
