为什么有人认为 西北工业大学 比 南京航空航天大学 好？,嗯。。。我知道是哪位了。 /*  这样吧，我们边家村职业技术学院和东大职业技术学院哪比得过南京航空航天大学呢。  首先，我们在西安啊，这地理位置就差一截。 其次，我们叫工业啊，全国一堆工业大学，而南京航空航天大学则是全国唯一的211航空航天大学诶，边院负分滚粗。 再次，南航无人机独步天下，西工大就一蹲在西安城墙边磨锤子的。而且南航和北航谈笑风生的时候，西工大还在挖煤呢！ 还有，南京航空航天大学才是华东航空学院的主体，我们只是历史的余流而已，上海交通大学碾压西安交通大学，那么南航也同理嘛。边院收到*2的伤害。 最后，南航就是牛逼嘛，西工大就是lowb嘛。 结论，南航各种体味完爆西工大。 */  作为一名西工大学生，我真的觉得南航和我校关系不错(贴吧里可以看出来)，西工大和南航在交流上挺频繁的(我校一堆南航毕业的师兄师姐，人都挺不错的，而且我校也支援了直升机系，很多南航的老师对西工大真的很关照的)，我校也在南京建立了自己的实验室(我校原来一堆南京的教授)，我觉得大家都是航空航天类大学，没有必要在知乎上撕破脸，给外校同学看去了，又是一堆啥航空航天航海浮躁啊。  更何况，咱们之间也没啥嫌隙。(注释打给没文化的喷子，不谢)
西北工业大学中的学生能否修双学位？其难度怎样？,可以修，但是建议考研转专业，不要双学位  ／／／／／／／／／／／／／／／／／／  在一次大班会上，院长已经明确表态说希望我们这届就有人修双学位的，下一届更是应该有人修双学位。
西北工业大学的自然环境究竟有多美？,图书馆   东门   秦岭   
西安电子科技大学 西北工业大学 西安交通大学 那个计算机专业好？,能上西交，无论什么专业，不要考虑其他两所
在西北工业大学（NorthWestern Polytechnical University）就读是怎样一番体验？,   先上张图片表示一下心酸之后挖坑慢慢答。  不过看西电的回答好多人都跑到去评判教育去了，我没那本事，想看我也说不了，观众可自行下滑。   作为在这所主流院校非主流专业就读了三年的混圈人来说，西工大靠着他的三实一新已经脚踏实地的度过了76年，又逢学校去年刚刚更换校长之际，个人感觉在接下来的十年内将是西工大进入2.0时代的高速过渡期。   碰巧今年456月份到学校招生办做勤工助学，也是在不经意间发现西工大对外的影响力已经悄然上升了很多，各个高中处于“二把手”位置的考生们怀着笨鸟先飞、后程发力的心态积极奔向胸大。11年那会，我如同打了鸡血一样也怀抱着一颗航空报国赤诚之心不顾父母劝告填报了一所仅从昨天刚知道名字的西部院校，那一个月发生了对我影响至深的两件大事，第一件是我不幸被他录取了，第二件是我幸运的分到了这个非主流学院软微学院，让我有更多的闲暇时间来一边抠脚一边仔细琢磨这所学校。      循序渐进吧，我没有做政务的天分，不会讲那些很上得台面的理论，就先从最接地气的说起。作为她的孩子，我们最清楚她的好与坏，吐起槽来止都止不住，就像只有张小龙才最明白微信的弊端。作为性价比最高的985院校，在学校的软硬件设施来说只能是差强人意，我不用三四，我只知道微博人人上一到冬夏就会热议两个话题，一个是空调，一个是暖气，     我还知道12年夏天教西c晚上有学生偷偷爬进去打地铺，还有东大温泉宾馆生意很好（谢谢）。这些东西说多了会显得很罗嗦，但是想跟新校区的同学说你们知点足，到了旺园你也许会说：知道你不是天堂，但最后没想到你连地狱都不是。     不过很是欣慰的是，在汪老上任之后，我看到了很多亮点，学校的人文气氛越来越浓，逐渐的淡化之前浓重的工科气息。13院整改，独立出外国语学院，莫非是要加大文科生的股份，还是要扩招的节奏，但是14年的招生计划并没有明显的表现出来。13-14元旦的那天，想必所有人都感受到了，从以前在教学区地上贴张纸都会被叫停到数百人在翱翔广场地上集体涂鸦，那是我第一次在西工大有了大学的感觉；还有当晚的跨年晚会 西北工业大学2014跨年狂欢千人齐唱《当》   ，虽然我没有待到最后一刻，但是那晚的氛围我的激动程度不亚于我的初夜。     （正好讲到人文气息，随刊附赠肖大师一篇心血之作 西北工大人文经法向何处去？   ）  混的圈子不同，感受肯定会不一样，不过在文艺体育方面，西工大绝壁是我的骄傲。西工大男篮稳居Cuba全国十六强，并曾经勇夺西北王称号。像舞龙舞狮、健美操等运动类，随让不是热门，但都属全国前列；vfree乐队（ 黑撒乐队康师傅+VFREE乐队，rolling in the deep 光圈CLUB【人人网   ）可以说是西工大音乐历史上的一座里程碑，14年毕业季的那首星空中的四季（  http://  v.qq.com/boke/page/c/j/  e/c0126vwwzje.html      ）让我当成闹钟铃声我都不会烦。13年Cuba瞬间流行的那首《啦啦啦西工大》 LA LA LA 西工大 歌词+试听   真的不能再赞，作者vihcle所在的dirty twinz（nous underground Sina Visitor System   ）在全国说唱圈子里也很有口碑，其实可能在聊这些东西的时候，我更想对别人说“这是我们学校的”。    麻雀虽小五脏都有，胸大的学生社团花样多多，但是也希望大家看到的不止是百团大战的繁荣现象和粉饰太平，要想真正去了解的话您还得走进去看看，就像走在二街路上会有好多大叔和大妈说进来玩玩吧，但是屋里是什么货色，你还得掏个一百二百去体验一下。其实完全没有讽刺的意思，只是哗众取宠罢了，看客不要生气。目前胸大社团的状况就是种类和数量可观，高质量社团有待进一步提高。    虽然我是个非主流学院的学生，但是就像我开始时说的，我很幸运，我没有分到去搞航空，我也在被迫的环境下爱上了我所在的领域，因为我真的很心疼每年一万四的学费。   从我所在的专业来说，西工大是很落后的，它真的不配在一个985院校里，学院用的是将近十年前的教材，不过我可以理解为以不变应万变，不过我还真招架不住着瞬息变幻的互联网时代。14年4月份，我去腾讯面试产品实习生，我挤在一群群交大和西电的同学之中，这个互联网的大佬居然将所有的西工大报产品的学生全部忽略，也许只是一个简单的if语句的筛选系统，真的让我很是心寒。但那一刻我恨的不是腾讯公司，我恨的是我的母校。    互联网行业发展迅速，在这一领域我们在西电面前可以说是战五渣，一没有氛围，二没有资金，三没有充足的软硬件支持，这让我们毕业出去之后怎么跟北大青鸟和蓝翔的同学比。在这只想说一点，希望西工大尽快搞一个孵化器，因为你真的不知道在大创答辩时有多少人只是为了那两万块钱去的，你也不知道学生的创业团队搞起来有多艰难，（还有就是创业的项目麻烦你们也支持一下好不好，不要只看那些搞机器人和飞行器的。连续两年我帮我班答辩获得全校模范班级，那一天翱翔答辩的有多少人是拿着厚厚一沓的机器人竞赛奖状和数模奖状，你真的还不满足吗）给上海的VC打电话联系，人家一听你的项目在西安直接就拒绝了，只留下我们无力的骂娘。    翱翔云端、谦谦文化相继在西工大崭露头角，可能还有一些正在筹备中的项目，这些团队的出现真的是一个非常好的契机，我也在14年2月份加入了圈哥的瓜大生活圈团队 瓜大生活圈的微博   ，抱着一个互联网改变校园生活的心，希望能为西工大做点什么。一学期的时间，瓜大生活圈用户增了将近一万人，目前全校学生中将近有一半的学生在关注瓜大生活圈，不到半年，该平台上线了校园团购、校车预定等一系列功能，并召开校史上第一场产品发布会，做的这一切只是希望让胸大的互联网氛围更重一些。    （坑挖的太深，会不会把自己陷在里面，以上内容为个人扯淡，大家权当笑料，本人概不负责） 
如何客观的评价西北工业大学这所学校？,不错的学校，不过在我省（甘肃）自存05年后就疯了，线差从20左右飙升到现在的100+。性价比已经超低了，甘肃的高三狗们注意了
西北工业大学有哪些好老师？,马静老师，教英语的老师 我本科期间遇到的最好的老师，没有之一 虽然她年纪并不大，可是同学们还是亲切地叫她马奶奶 真的是真心实意的为学生着想，给学生提供各种各样的机会，让同学们的英语水平得到了极大的提高。 而且，为人非常和蔼可亲。总之我从来没听人说过马老师有哪点不好，从来没有。 感觉最好，最感激的，就是她啦。 谢谢您，马奶奶~
西北工业大学GPA如何计算？, 谢邀，我瓜采用五分制，具体换算公式如下：   是包括所有课程在内的哟，如果有出国交流选的课程貌似不算在里面，5分制对申请挺有用的，毕竟看起来数字大了不少不是23333333  当然有些学校可能会要你换算成4.3分，其实100分制也在逐渐被认可。没有具体申请过~只能帮到这里啦。 
如何评价西北工业大学张炜书记？,也许装空调 ---------------------------------------- 已经发现其形式主义和官僚主义 悲哀啊~
如何看待西北工业大学提出的双一流建设目标？,我不想说什么双一流，也不想说什么科研水平和校园环境，我只想说一个简单的例子：         我所在的学院有个看门大爷，他在学院里根本没有起到什么看大门的作用，唯一的作用就是每天晚上十一点赶我们回宿舍，态度极其恶劣，因为有时候我们的实验到十一点根本做不完，他不管，反正他要睡觉，我们不走他就把门一锁让我们自己实验室过夜。我们有多次学生和老师甚至院领导去跟学校申请要求把他撤掉都没有成功，据说他是学校保卫处某领导的亲戚。        后来实验室一师弟的自行车在院门口被人偷了，去找他，他说不归我管，监控早坏了没法查，师弟说你是负责保卫学院治安的，车子在院门口丢了不归你管归谁管，他说以前他也抓过小偷，抓的小偷曾经偷走过学校的贵重设备，因为立功学校说给他奖励200块钱，结果这200块钱拖欠了一年多，到现在都没看到影呢，他的命可金贵着呢，要是哪天多管闲事被小偷捅了一刀，该咋办。  这就是西工大，讨论双一流什么的真的没啥意义。
