是报宁夏大学这个211呢还是普本大学呢？/cry,匿了 ... 普通的一本吧，宁夏大学的教育质量（硬件软件）都不算怎么样。宁夏比较穷，财政收入还不够修清真寺，需要国家补贴的。宁夏大学的学生比较彪悍，对吃猪肉的卡菲勒来说比较危险。 补充图片：  
211 985真的重要吗？像石河子大学，贵州大学，宁夏大学那种出去找工作和那些211待遇一样吗？,我们公司招人本科相对低点但大部分是211，硕士必须双211，博士必须三211，大公司也不愁招不到人。前面所提到那些大学，我在公司都有碰到过。你觉得211有没有用？
李绍先，殷罡的学术水平如何，要如何评价？李绍先为什么到宁夏大学去了？,宁夏是中国伊斯兰研究资源最丰富的地方，对李绍先教授的伊斯兰研究来说最适合不过。
石河子大学、青海大学、宁夏大学、新疆大学、内蒙古大学、兰州大学哪个好？,这是我看到的知乎上黑兰大最狠的问题
宁夏大学国防生怎么看？,那边绿化很好
宁夏大学和台湾东海大学哪个更好？,东海大学相当于二民院  利益相关 女朋友是台湾逢甲大学的肄业生
碰到一个宁夏来的超级不爱干净的室友你们会怎么办？,           题主题目应该改成宿舍有个女孩子不爱干净什么什么的吧？什么叫宁夏的女生不爱干净？说真的，看到这个题目有点气，哪个女孩子愿意被人说不爱干净？           我平常2天洗一次澡，天气热了天天冲都是有的，天天泡脚，卫生什么的都是很讲究的，洗衣服的一个盆，洗脸的一个盆，洗脚的一个盆，洗内裤的一个盆，想问问题主你有我讲究？而且这样的不是我一个人，女孩子的卫生习惯都是自小身边女性培养成的，我身边的女性不分年龄都是这样的，甚至有些比我还讲究。            我也是出门读大学住宿舍的人，周边女生五湖四海的哪都有，讲卫生的有，不讲卫生的也有，真不是我地域黑，第一次见到衣服、裤子、内衣、内裤、袜子一个盆了洗的情况，当时内心一万匹草泥马飞过，这种行为在我们那就是不讲卫生阿，可是在南方很常见吧？我还见过有些女生四五天不洗头，顶着一绺一绺的头发和满头的头皮屑来上课的（当然两个月不洗澡真的很过分了，随便用别人东西什么的，这种人那都有好嘛）      还请题主不要因为一个人恨一个省好嘛，毕竟成年人了，理智点。
宁夏大学阿拉伯学院所谓“2+1+1”模式怎么个情况？,是的吧，有朋友学的阿拉伯语，在本校学两年，然后留学去阿拉伯语的一些国家。然后大四回来实习。
为什么宁夏面积这么小？,不针对本提问回答，算是对 @庸侠草民 回答的进一步补充。 土生土长的宁夏汉族人（祖籍外省）表示，对于宁夏未来的颜色前景是有担忧的。 @庸侠草民 所言非虚，目前国家给予回族的优厚待遇实在是养虎为患的下下策。本来此教对思想的控制就极为厉害，现有政策对于民族融合起不到一点作用，反而由于不平等的待遇更会激化矛盾。小时候生长的地方远离聚居区，故对这个问题没有什么概念，直到上了大学（本地大学）才觉情况严重。举例说明，回族高考加20分，答主文中已经提到，然后没说的是，被划定为山区的所有考生不论民族好像都可以加10分，所以，山区的回族理论上是可以加30分的（此理解兴许有偏差，未经严格考证，但与周围很多人讨论时，并没有人提出过异议）。另外，大家应该还听说过预科这个东西，由于毕业很多年了，现在印象不深了，隐约记得是录取分数线下50分以内的考生可以报预科。也就是说，极限情况下，一个考生的高考分数在录取分数线下八十分都有可能上大学。宁夏的录取分数线一直是全国比较低的，理科二本常年在四百四五十上下，有些人考个三百五六就能上大学。再加上一些体育或者艺术类专业本身就偏低一些的分数线，想想办法三百分上大学也不是不可能。看到这里估计那些人口大省的考生都要mmp了吧23333。最后一件让我在大学被毁三观的事情是，亲眼目睹本校一名回族，山区生源地的学生在高考当日，高考考试时间内，通过电话帮电话另一头的人答题。虽然知道高考作弊年年有，可能省省有，被爆出来的并不多，但真当自己经历时才毁了三观。综上，作弊加持下，考个三百来分就能上大学，这到底是侮辱了谁？本人大学期间，母校大学，充斥着大量小流氓混混一样的人，虽然不能说这些人都是回族，但是多少都是沾了相关政策的光，钻了政策空子上来的人。所以这些民族优待政策才是造成当前社会对回族等少民怨恨的源头。也是这些民族优待政策，给了某些想搞事情的人去控制他人行了方便。 追加：目前来说，宁夏大部分地方的人还是淳朴的，也欢迎大家来宁夏游玩，走进来多了解。最后希望宁夏的未来还是越绿越好，当然，不是人绿。
如何看待宁夏明确痛经假？,大学上课，点到不在，不交作业，也是要扣平时分的！
东部沿海地区的高中毕业生在宁夏大学上大学是一种怎样的体验？,谢邀老实说啊，我是在深圳工作，然后调动到宁夏 类似于题主的情况吧 1、如果题主是济南的话，劝别来，落架的凤凰不如鸡，鲁西一些县市的可以考虑下 2、我从深圳到银川落差很大，环境和人文素质都是如此 3、宁夏的环境、教育水平、发展方向肯定和山东差得远 4、如要在宁夏读本，请考虑毕业后攻读更好的研究生专业 5、一定要考虑到外部环境对一个人的影响，当然自我改造能力强的除外 6、总而言之，劝别来，要来的话请做好规划  ps：啰嗦几句，个人觉得少数民族多的地方都不太好，索然曹县也是回回多，银川或者宁夏的氛围不是很好，由于工作原因我要处理很多难办的事和难缠的人，同时还负责招聘，在宁夏是我遇到最多蛮不讲理人的地方。
宁夏的存在感为什么这么弱？,1.面积实在太小。在地图上存在感最弱。当你看地图的时候除非特别去找它，都很容易无视掉。 2.人口少（630万还不及某些大城市）。所以你身边很少有宁夏的朋友同学，在名人中也很少听到宁夏的（最出名的应该就是张贤亮了），所以它被提及的次数太少。 3.没有名号特别响亮的旅游资源（像黄山、西湖、兵马俑、三亚这种知名度的）。所以很少听到有人说专门去宁夏旅游了。 4.没有知名的大学。大家高考的时候又忽略一次…… 5.没有特别出名的小吃。四川有火锅，陕西有凉皮，山东有煎饼，福建有沙县小吃……宁夏？ 6.没有具有代表性的社会特点或问题。在大众的刻板印象中，许多地方都有鲜明的地方标签，穷有贵州，富有上海，干有甘肃，红有重庆，毒枭有云南，民风有东北，挖煤有山西，民族问题有新疆，谈论信仰有西藏……宁夏？ 7.以上每条独立看待时都不能成为主要原因，但是加在一起就……
宁夏联考中比较好的大学有哪些？,不好意思，这个我真不太了解，但是还是谢谢邀请(^_^)
宁夏大学和河南大学 哪个更好一点呢？为什么？,你如果去宁夏大学的话，你就吃不到卤猪肉，干炒猪肉丝，猪肉炖粉条，宫保猪肉丁，麻辣猪肉，猪肉丸子，洋葱玉米猪肉水饺，萝卜烧猪肉，猪肉馅饼，黑胡椒蘑菇猪肉盖饭，姜烧猪肉炒菠菜，卤猪尾&amp;猪肉冻，咖哩猪扒，红烧肉，四川回锅肉，猪肉白菜炖粉条，汤氏猪肉大葱肉饼，猪肉韭菜饺子，菠萝咕噜肉，农家小炒肉，芹菜胡萝卜猪肉水饺，青椒肉丝，芹菜炒肉，辣椒炒肉。
她是宁夏大学才女，我是个专科生。值得去追她吗？,把值得改为配，
在宁夏育才中学就读是一种怎样的体验？,现在毕业半年了，想忘记，努力忘记
宁夏大米和东北大米哪个更好吃？,吉林油田的劳务输出人员出来银川人手一袋东北大米，吃了宁夏大米后第二次来就不带了。我上大学时在西安的超市买米，宁夏大米比东北大米单价贵4毛。宁夏大米蒸出来比东北大米甜一点，想吃颗粒分明的水放少点，想吃软粘的多放些水。
宁夏考生超过一本11分，518，想上西安工业大学，不知道把握大不大？,这分差不多可以。去年西安工大录取平均分超一本线10分。不是好专业没问题
我河北上大学，户籍地是宁夏的，之前在河北考了教师资格证，过了一门，剩下两门能不能回我的户籍地宁夏考？,应该是可以的，教师资格证考试全国统考，报名地点可以选择。
国网新源公司和宁夏电力设计院我该选哪个？,进了国网新源水电公司下边的一个常规电厂，进来半年就后悔了，但是没有想好后路先忍着干着，累，不仅活多身体累，心更累。各种复杂的人际关系，说实话如果没有关系进新源就是把你当驴用的，累死你也没人管你。抽蓄，不管是哪个抽蓄，进去都是累死，我同学有在桐柏的和宜兴的，基本上是早上八点干到晚上十一点，领导还不领情，他们只管照顾有关系的大学生。还有很多领导很好色的，女生进来就是送福利来了，进厂先拉你喝几次酒，试探下你的酒量，再带你唱几次歌，是不是摸摸碰碰你 看看你的肚量。水电厂，特别是抽蓄都建在偏远的山区，你的活动范围就是那个山沟沟里，人际交往也基本局限于厂里的人，所以男孩子进来很难找对象的。工资只够吃饭的，这边物价奇高，一个破县城，房价一万多，当然远高于你的收入，水果是吃不起的，苹果都十几块一斤。而且听人资的说这两年招不到人了快，招进来又有很多辞职的，所以现在找的人都是查过档案的，招偏远地区的，穷苦的，做好是农村的孩子。总之，谁进来谁后悔！！！
