在北京大学就读是一番怎样的体验？,“同学，请下车推行。” “同学，请出示北大证件。” “同学，我三天没吃饭了。” “同学，我老伴三天没吃饭了。” “同学，我推翻了相对论。” “同学，吃个包子吗？” “同学，三个代表是我发明的。” “同学，哪有公共厕所？” “同学，清华怎么走？” “同学，买水果刀送网关还有中关新园的房子哦。”
在北大当国防生是怎样的体验？,  当然了，说多了其实都是命。  成为北大国防生是我人生前二十年做的第一个让自己怀疑努力的意义的选择。  国防生是北大的二等公民，这是我当北大国防生三年最重要的体验。说是二等公民并非校方或者学生群体或者选培办歧视我们，只是这样错位的设置在怪异的环境下产生出的自然结果。说得明白一点，别人毕业进500强，你毕业中尉副连，而这样的区别并非因为能力差异而是因为国防生的设置。会有人说500强不如中尉副连吗？二等公民的感受就是这样产生的。除此之外还包括日常生活、思想灌输等的方方面面。总之别来当北大国防生。  说得理念化一点，大学应该是一个人自由探索自我不断发掘自己兴趣爱好特长从而进行职业选择和人生规划的阶段，国防生只是军队为了所谓军民共建瞎搞的项目，压根不管你是谁。说得现实化一点，当国防生在上学期间过得不伦不类，毕业的工作环境也大多因为培养经历而产生了不适应。  国防生不是普通生，北大也一样。没选择北大国防生，你可能会因为没能进入北大而遗憾；选择了北大国防生，你一定会因为没能好好上个正常大学而后悔。至于打算毕业违约的，现实情况是大家进来时几乎都这么想，到毕业时大多数都进部队了，因为此时进部队就是一个不那么坏的选择了。除非你家里极其有钱，无所谓个人简历，无所谓找工作，也许你能承担得起这个代价，普通人家的孩子还是别想毕业违约这条路了。在校不自由（上了大学才发现自由这种东西最好不要量化，它带给人的负面心理反馈可能非常严重），毕业前景很一般（大部分师兄师姐本科毕业因成绩区别选择或留在本校或去军校读研，因为直接上岗的话素质确实不够，留北大读研的话以后的出路由选培办负责给你找，而选培办在军内各个单位都说不上什么话因为很边缘；去军校读研的话毕业分配就按照军校同意安排，如此一来你的本科学历优势就没法体现了。如果本科毕业违约，16万违约金+不能保研出国不给开英文成绩单；如果研究生毕业违约，则按照逃兵已处理）。  北大国防生有自己的公众号：pku-gfs，感兴趣的可以通过这个平台了解下，看完再想一下这个公众号的立场就差不多都明白了，要还是想来就随便找一个文科类/综合类985大学的大学生，听听他/她对这种生活的评价就行。  结论：如果你以为北大国防生的分配单位都是驻在北京的各总部，那我可以很明确地告诉你too naive，因为送北大国防生下基层最能体现选培办的政绩。如果你只是为了进入北大而报国防生，那么我很不建议你这么做。而且如果最后不打算进部队，那么报国防生从一开始就是个错。在大一上半学期结束前（11月）及时退学重新参加高考（高考报名一般在11月）就是把损失降到最低的选择（损失为一年时间，无经济赔偿。PS：当国防生经历了一学期的生活发现不适应之后，一般高考报名已经结束，所以在大一上学期结束时退学就得耽误两年，虽然这不是有意为之，但这种一个学期定四年再定一辈子的效果真是没谁了）。时间越长越对学生不利，而且这种生活于过程于结果都丝毫不值得苟且。  个人体会：在北大，“我是国防生”就像“我长得不帅”“我没钱”“我GPA不高”一样，是那种极力掩饰不想让别人知道的东西。换言之，在北大，国防生的身份从来没给我带来过自豪感。而在北大之外，当别人因为你是北大学生而对我另眼相看时，我只会因为自己是国防生而感到惋惜。当然要错就错在自己高考时分数不够。  有关于国防生的一切问题都可以归结于一点：国防生身份带来的种种限制是你在地方大学校园里当了国防生之后才慢慢体会到的。报之前大家都觉得“啊报国防生能让我来这个学校啊什么什么的”，来了之后就发现“既然成为了国防生，那么谈论在哪所大学读书就没什么意义了，越好的学校越是如此”。  往细了说，选择北大国防生之后你面临的问题不是以后的出路，你面临的问题是你会获得一个非常差的大学生活体验，这个是真真切切可以感受得到的，举个例子，作为国防生你连个决定自己发型的机会都没有。至于想谈恋爱什么的随意，但是国防生门长得又黑发型又呆前景又差，但是和普通生最后走到一起的很少，国防生群体里每届70人左右最多5个女孩子。除此之外，国防生没有出国交换的资格（小语种专业除外，但是每年不超过10个），没有注重个人形象的必要和机会。当同一年龄段的身边人都在逐渐完成从不谙世事的学生到职场人士的转变时，你就只能剃个寸头晒得黝黑被一群人逼着天天像个呆瓜一样跑五公里。而这一切别扭的根源，就在于你当时脑残报了国防生。（在报大学时只要不是穷到没出路，就别听家长什么“至少有个工作”这种言论。好工作从来都得靠自己努力争取。但你一旦成为了国防生，你就失去了得到最好工作的可能。）而且什么时候就做什么事，本科时期就好好读书多交朋友拓展人脉，对以后都有好处。就目前就业形势来看，硕士学位才是主流。所以在本科时期就考虑就业什么的，只能让自己什么都搞不好。然而本科就读了国防生就只能大学四年过的不伦不类，考研还一堆限制，前景还不甚光明，。  另外，对于那些打算毕业后违约的想法，你要知道选培办作为契约中绝对强势的一方，用以控制你的手段比你能想到用以反抗的手段多太多，千万不要高估选培办面前的自己（不说别的，选培办随时有权力和你解除协议让你回家）。同时你的大学生活体验会极其差劲（前面已经提过了）。  （说些干货，对于想毕业违约的人，本科毕业违约的话选培办会扣留学位证毕业证两年，自动失去保送北大研究生资格，而且国防生作为定向生，教务系统无法为其开具英文成绩单也就是出不了国，以上是在北大的做法，除此之外还有合同里写明的一些措施比如不得考取公务员和国企职工之类的；如果本科毕业不违约并保送了北大的研究生，在读研阶段要和选培办另签协议，到研究生毕业时再违约的代价就是按逃兵役处理。  所以大家也都看的明白，那种抱着以国防生身份拿北大两证的其实到最后也会被选培办操作地没什么出路，保研报不了本校出国也没办法，这对于北大本科生其实蛮蛋疼。与之相比，如果到了人复交当普通生，至少保研出国什么的没人管吧。而且说实话就现在的就业压力，加以国防生设置的那些专业，不读硕士是很难找工作的。总之那种打算毕业违约的请三思，不论政策如何调整，学生总是被动的一方，而且大学体验真的不好。  PS：我真的不是在黑选培办，我明白主任干事也不过是拿着党国的钱替党国办事。但是名校国防生这种身份设置对于能考到这个分数的孩子的个人发展真的不利。高中生刚毕业最多也就十九二十岁吧，别让自己的路从一开始就走的很窄。）  至于那些奔着北大名头想进北大的人（现实中的大多数），你们手握着差北大不到几分的高考成绩到清北之外的任何一所学校都好，因为北大国防生的生活不是普通大学生的生活，这一点不会因为“北大”而有所改变，北大国防生绝不是实现你 正常 北大梦的捷径。  北大国防生契约中各方利益分析：  军委或者人们意淫中的领导：压根没时间管国防生。国防生不论在部队还是在地方大学都是个很边缘化的群体。  学校：完成党政军交给的任务，无正面效益也无负面效益。有的话就是使得自己在党中央面前的形象更好了，与学生无关。  选培办以及相关工作人员：绝对的利益获得者，招生规模越大办公室的权力和影响力就越大。就算学生最后违约，选培办也可以在每一个违约的学生头上赚取12万的违约金。  学生：完全弱势的一方。唯一的好处就是获得了降分进入北大的机会。但是多问一个为什么，进入北大是为了以后更广阔的发展空间。而国防生设定的初衷便与此根本相反。（这个在报考之初一定要考虑明白，报国防生是为了进北大，进北大是为了获得更广阔的发展平台，国防生的身份会限制你的发展平台，所以为了降几分以国防生的身份进北大而不是以国防生的心态进北大会很痛苦，因为你和北大普通生差太多，这个差距不是你个人原因造成的是你国防生的身份造成的，总之国防生的北大和普通生的北大不一样，强烈不建议仅仅为了进某所大学而报考该校国防生！！！）。  如果只是想满足军旅梦想的，建议考北京地区的大学，然后大二参军入伍两年义务兵，保留大学资格享受几乎所有军人转业后能享受的待遇，二十万「也有说24万」差不多，另外例如免学费，任选专业（本学校内的专业，你能理解这意味着你可能就从哲学、生物什么的就可以无条件转到最好的专业学习），考研加分，考公务员加分与特定名额，专门的每年的奖学金，体育课满分，以及进入特定单位后北京户口的解决～   作者：清镜 链接：  https://www.  zhihu.com/question/4897  5873/answer/113741969     来源：知乎 著作权归作者所有，转载请联系作者获得授权。  这个回答在这里针对北大国防生，不过我觉得对任何一所分数线高过大多数军校分数线的高校的国防生都有借鉴意义，因为结论是一样的，即不值得。  （很多人在报考北大国防生的时候没想这么远，但时间一长才发现选培办仅仅是为了把你送到部队会在无形中掐死你的很多退路）  另外：如果你极其有钱或家里有一颗金星以上的 可以直接影响选培办 的关系，你当然可以来。如果你是一个没什么背景立志通过高考改变命运的人，那所谓名校国防生完全不适合你。  总之，北大国防生会让你丧失很多选择的机会。其得远不偿其失。  你要是想体验正常的大学生活就别报国防生，不论是哪个大学的国防生。北大国防生是一个身份，你可以认同也可以不认同。就现实而言，大多数人都不怎么认同（大家报之前不知道是什么，报之后发现真差劲）。  当然，如果来了，就别和别人比了（校友+普通211学生），俗话说人比人气死人，就因为你是国防生，你就总是那个被气死的。（ 人家出国留学旅游你不能，人家成绩好了保研你选培办卡名额，人家想留什么发型就留你得遵守军容风纪，人家社团学工玩的飞起你在五四运动场跑五公里，人家暑假游玩实习你在军校跑五公里，人家毕了业进500强你下基层当排长，人家高富帅光环加成和女友幸福恩爱你剃个寸头晒得黝黑和一帮哥们比谁力气大，总之北大国防生群体与周围环境格格不入选培办还总安慰我们一抹橄榄绿是校园里一道亮丽风景线哈哈哈哈哈哈，望前途别人至少不会进山沟失联再次出现在报纸上就是“壮烈牺牲”，当了北大国防生大学四年过得不伦不类以后工作也就这样你说你到底为了什么？为了进北大？进北大为了什么？其实多问一个为什么就都明白了 ）尽力说服自己接受一个与自己高考成绩相去甚远的未来吧，以及偶尔会想想当年如果没报北大国防生的话，日子会是怎样。  据说在地方大学设置国防生之前，军队为了提高自身素质，曾经在各著名高校（基本就是现在招收国防生的大学）进行过校园招聘。但由于军队性质的特殊导致的发展前景狭窄和与企业相比微薄的薪资，军队在校园招聘中完全处于劣势，这才想出了搞国防定向生的办法。（和选培办老师私下聊天听到的）  奉劝各位考到了这个分数（北大提档线-20）的考生和家长：孩子们努力学习了十几年，考出了超过绝大多数人的成绩，就是为了能在就业市场上面对用人单位时自己能多那么一点点主动权。如果当兵进部队的出路真的那么好（针对所谓“好歹有个工作”的想法），为什么各军校不会在高考录取中成为超越清北人师航的存在反而多在一本线上下徘徊？但是一旦报了北大国防生，不如北大的其他同学不说，连自己在选培办面前也是完全被动的。所以，请三思！  最后回答题主的问题：  1，每周五早晨出早操（一小时），每周六下午体能训练（两小时），平时检查“军容风纪”（男生剃寸头，女生不能染发）。（这管理看似轻松，但是一旦和身边的普通生相比，大部分国防生都颇有怨言，毕竟20多岁的人连头发都得让别人管着，而且你身边的普通生就没人管，你气不气？.同时，周六下午一般是各个学生组织安排活动的集中时间，虽然选培办名义上不干涉国防生同学参加社团学工等学生组织，但是一旦发生时间冲突，一般都要以选陪伴为先，久而久之，国防生们自己也就不怎么参加这些组织了）。暑假要占用一部分（与寒假涉及过年相比，暑假也是找实习、社会实践和各种学生志愿工作的集中时间段，也是学生出游的集中时间段。也就是说别人在朋友圈里分享多彩生活，国防生在军营里参加“军政强化训练”看不到手机。如此一来倒是好事，至少看不见别人也就不羡慕别人了）  2，多亏了一位某退役大学生士兵WXA担任编外的北大国防生辅导员，现在的管理越来越正规化（繁琐化），出操要记考勤，期中期末有定期考核，平时有不定期考核，节假日出校要请假，节假日结束要收操（就是这种程式化，就看人能不能受得了，同时这种事多半是别人站着说话不腰疼，他们不受约束就不懂那种不想被约束的心情）。而且自由这种东西，只有在你失去时才能感受其可贵。（这种限制更多体现在细微之处，没法感同身受。选培办的老师基本都是军校出身，对地方大学生活不了解也无可厚非）  3，可以选择违约，但是代价极大，前文已述。（经济赔偿，不能保研，不能出国，扣留两证）  4，我觉得很没必要，周围大部分人也很后悔，。（大学体验极差，绝对比不上普通生。发展前景，如果不违约就是军官而已，至于所谓军队对于北大国防生认可度高的说法，答主表示意淫伤身；如果违约，不能出国，不能保送本校研究生，扣留两证，发展前景的话题主自己想吧）  总之，站在国家角度，我不知道北大国防生（或曰名校国防生）设置的效果如何，是否真正涌现出了一批先进人物，实现了人尽其才（官媒大都报道清北国防生的战斗英雄事迹而不顾专业技能，例子就是有一个清华的楚科纬学长，现在好像因为个人事迹突出而迎娶了某军长的女儿，这就是所谓部队灌输给我们的价值观2333333333333333333，前两天选培办主任在毕业分配动员会上说的）；站在学生角度，考到这个分数的人报北大国防生（或曰名校国防生）从一开始就是个错，拖的时间越长，对学生越不利。到现在为止，我听说过运气最好的一个孩子是2015年报了北大的国防生，后来因为新生体检不合格回家了，然后16年以普通生的身份又考进了北大，真是羡慕。  至于其他答案中提到的有些同学因为国防生身份而自我沉沦的问题，我认为一方面是个人原因，但另一方面国防生的内在激励机制是很有问题的，即学生越在学校有所成就，越会对未来进入部队的生涯规划产生怀疑，越好的大学越是如此。  虽然选培办也明白大部分人是为了降分录取才选择国防生，但作为官方机构，毕竟不能把国防生完全做成用违约金买20分降分录取的生意，更何况国防生入职率几乎是衡量选培办工作成果的唯一标准了，因此出于办公室自身利益对于违约处理得很紧（学生违约就是选培办工作失职），而且以后会越来越紧。  PS：不论是哪所大学的国防生，晒得黝黑剃着寸头在大太阳下被干事们催着跑五公里是一定的（旁边就是一脸不理解的普通生们），不体面。如果想有个正常的大学生活，就别报任何一所学校的国防生。  2017.2.25  刚刚结束了本学期第一次训练，再来梳理下想法。  讲实话，国防生同学们人都很好，干事们也认真负责，训练也有训练的乐趣。  我也承认评论里的那位同学讲的很对，反思自己方能进步。  但是，就群体而言，国防生的身份是个心病，对其认同很不容易，因为事实就是国防生不如普通生（排除普通生里有人自我沉沦）。而所谓心病，就是如果你纠结于此，便会陷入困局；如果对此释怀，其影响就会消减。身边也有国防生同学大学活得不错（成绩、社交等方面），都是些乐观大方的人，但这种人在国防生中很少，并且他们同样对国防生这一身份心存芥蒂。所以，北大国防生就是这样，你在这里首先要接受选培办的各种管理（以上），除此之外，能否克服这个心病从而获得一个相对精彩的大学生活因人而异，然而就是大部分人都因此而沉沦了。  所以，如果你是个内心比较敏感自尊心较强容易自卑的人，那国防生毁你一生真的是不开玩笑，因为大学四年对于人的一生极为重要（三观养成、人际拓展和情感成熟等）；如果你天生乐观开朗，你面对国防生身份的心态也许会好一些，但是其他不可控因素太多，而且更应该重视个人前途。如果你对自己的性格还不太了解，我很不建议你拿国防生来测试自己，因为代价真的是太大了。  国防生的身份所赋予你的义务或曰负担，远比你想象的多（不单单是在行为上，更重要的是在观念上和生活方式上）。而违约记录，总是对人不利的（道德、职业发展）。所以我想在这里告诉大多数和我当年想法一样的人：北大国防生， 绝不是花了16万买来了20分这么简单。 就我而言，如果能给我重新选择的机会，我不会选择当国防生。  来了的不少同学都觉得自己是被骗来的。至于我为什么说选培办的招生行为带有一定的欺骗性质，原因就在于选培办在招生之时向有可能报考国防生的同学有意识地隐瞒了很多关于国防生日常生活的细节以及以后的出路问题，告诉大家可以违约，但是不告诉你违约的要付出的代价。更有甚者直接许诺说保证分配到北京的各种好单位。然而只要学生一来，他们的嘴脸马上变。如果选培办将这些信息坦诚地告知学生，那大部分人肯定就不会报北大国防生了，如此一来选培办就没事做了。一旦你被北大国防生提了档，那么选培办就完成了招生任务，接下来只要在毕业时把你忽悠到部队它的任务就全部完成了，从始至终都不考虑你的退路和发展，不给你选择的机会。  从13届到16届招到的人确实越来越少啦，我总觉得是件好事。  还有就是大学生保留学籍入伍和党国防生是天上地下。大学生入伍被标榜成理想主义，在校有一大堆优惠。国防生就是线下20分+信息不对称（歧视）的产物，丝毫不高尚还处处被选培办戳脊梁骨。  当然至于扎根部队前途到底好或者不好因人而异（背景能力诸多方面），但是呢，毕业进部队在所有的正常大学生群体里都是个很另类的选择，毕竟以后要是想在军队发展为啥不去读军校。国防生设置在根子上的弊病就在于它让你和普通生接触，然后拒不承认难免产生的比较，一旦你开始意识到自己身陷深坑，选培办又会以道德和现实（违约金啦扣证件啦什么的）来强迫你。那当年把我忽悠来的时候咋这些东西一句不提呢？  至于题主为什么会问这种问题，我才很有可能是因为只是为了想通过国防生进入北大吧。如此一来前文所述的好多问题就有很大几率发生在题主身上。当年我在报考时也考虑了这些问题，后来慢慢发现问题的根源不在于国防生的身份会在多大程度上造成你和其他同学在活动上的不同，而是在于你和普通同学存在着性质上的差别。即使哪怕在北大当国防生从来不用训练不参加考核，到最后国防生也是要进部队的。这样的前景展望就很有可能使很大一部分人直接失去奋斗的动力，毕竟结果就在那里，你作为一个普普通通的学生又能做什么？另一个极端，假设在北大当国防生训练量大到压根没时间学习，那你上大学的意义在于什么？锻炼身体吗？总之，不论训练水或者不水，国防生就是国防生而不是普通生，你学习不是为了你因你的知识不能按照效率变现，你学习不是为了国家因为专业不对口国防生下联带兵拔草和高数线代压根没关系，你学习压根不知道为了什么。  说实话，我个人认为，大家在还没入职的时候发这些关于国防生的牢骚，原因在很大程度上不在于对于以后发展前景的展望，而是更多来源于对这种不伦不类的大学生活体验的不满。毕竟你与普通生的差别无时不刻不再体现着，有了差别就必然有好坏的区分。每当你得知下周五早晨要被检查发型而被迫去燕园美发理个20块钱的寸头，理完发之后回到寝室得知普通生室友和心仪已久的妹子终于在一起时，我不知道你的内心会有什么想法。  一下是一些图片啦，用于展示北大普通生和国防生在生活状态上的一些差异。这些图片全部都来源于北大各个学生组织的微信公众号。  北大国防生在校状态：   （选培办开会什么的）      （同样是选培办开会什么的）      （训练）      （前几天选培办为进行集体建设组织了一次定向越野比赛）      （定向越野）      （考核）      （主任训话）  与此同时，人家普通生的生活：      （北京大学剧星大赛某剧组）      （某个寒假社会实践团）      （吉他协会的日常活动）      （同上）      （同上）      （同上）      （同上，妹子可爱吧）      （同上）      （北大摄影协会的人像作品）      （同上）      （同上，看的开心不）  这下明白什么叫做国防生的北大和普通生的北大了吧？  这个答案前前后后修改过好多遍，相信今天挂了图片之后各位能对什么叫做正常的大学生活体验有一些个更加直观的认识。（要是在报考的时候有人告诉考生北大国防生如此的生活状态即各种五公里各种寸头各种脏话各种屌丝行为，孩子们肯定就不报了）。  而选培办的做法就是，在招生时“就一句话也不说”，考生们当然会想当然地以为上了北大生那么生活就是后面几张图的样子（毕竟高中生对于大学生活充满了美好憧憬无可厚非），然而一旦成为了国防生，发现生活的真实模样原来是前者，再联想到日后的生活环境，你绝望吗？相信各位对于知乎上的大部分国防生问题就都能理解了。  如果你在报北大国防生的时候对于大学生活的期许是这样：      （前段时间很火的北大图书馆男神）  那么对不起，事情不是你想的那样。  如果你在成为国防生之后对于未来的期许是这样：      （这个就不用介绍了吧）  那么对不起，事情也不是你想的那样。  那事情到底是什么样的呢？  在校：寸头+黑皮+体能训练+GPA+社交+睡觉+潜在的心理问题。  毕业：入职（素质不够）违约（赔偿金、没证书）本校读研（很少，有成绩要求，以后再违约就是逃兵役）军校读研（之前的学长学姐联系不到，不了解）。  说实话，在学校里每次看到那些三五成群有说有笑的同学、两人如胶似漆卿卿我我的情侣或者一个长得漂亮的让我在自习时分心的女孩子时，我都有一种因为自己是国防生而产生的深深的失落感。如果当年多考了几分，也许我的生活也会像他们这么精彩。如果当时没报国防生，我也许能在另一个校园里书写自己的故事，找到自己爱的人。然而如今，我虽然站在了北大的校园里，却总是摆脱不了那种北大二等公民的感觉。国防生学长们说别那么不自信，你们和他们没什么不一样，然而我每时每刻都能感受到自己和普通生的不一样。选培办说没事别和别人比，然而我是一个有感官有体验有想法的人不是木头，这种封闭自我以实现心安的心理建设我实在做不到。  总之自己的大学就这样了，要说有什么感觉就是好死不死的活而且以后的日子也就是这样。要说有什么惊喜吗？对不起没有。  希望有想法报考北大国防生的人能看到这个答案，在做选择之前多了解下北大国防生生活的真实样貌。如果还是想不明白，我的建议就是别来，想好好上大学的你肯定会痛苦，想从军报国的你不如去军校，没啥想法的你会因为国防生的限制永远都发现不了你到底想干什么，而且试错成本太大了。  还有就是有人怀疑我不是北大国防生写这个答案是专门为了黑北大国防生的，你疑心这么重，为什么不怀疑一下你是不是你爸妈亲生的  总之国防生制度进行到今天，我是越来越不看好了。对于这一实验性的事物，我想说的是，如果失败了，国家损失的不过培养你的几万块，你损失的是一个正常的大学生活以及许许多多可能在大学发生的影响个人前途命运的机会和选择。如果成功了（不多），国家收获的是物美价廉的科研人才（一个海归博士要多少钱才能请回来），而且一开始说好的科研干部，后来就变成了“国防生第一任职就一定要下基层”，你这不是搞笑吗？  好多难听的话不想讲了。总之不希望再有人报什么狗屁北大国防生.  从17年开始不招生啦，祝大家各自前程光明！！！ 
北京大学心理咨询中心对外开放吗？, 如果你已经完成了学业，去了注意保护自己的隐私。  如果你在其它学校上学，我担心北大心理咨询中心的心理老师把咨询的内容和结果通报给你们学校的领导。所以，换个地儿吧。  大学心理咨询之怪现状： 好个知心老师——大学心理咨询真实面  
如何评价北京大学限制优秀率的制度？,泻药。 作为一个拿过好几个84分（百分制）和B+（五等级制）的人，听闻你校最近实行此制度，表示卡优秀率这种事情早已是我科多年来的传统了，我们早都是身经百战见得多了。  P大貌似GPA分得比我们细，就算被调剂后没拿到优秀，损失也不会很大。而在我校，总评85分是3.7，84分就是3.3了。（注：科大满绩点是4.3，北大是4.0） 所以这种事情在我们看来都是浮云。我们不会在意这些细节。
中国地质大学北京和武汉选哪个？,能不考地大就别考地大，能不考地质就别考地质，未来你会感谢我的，
北京大学口腔医院正畸？,直接说出来吧，或者约此前在北大口腔的专家，例如丁鹏教授，田岳红医生。
北大光华在北大校内是怎样的存在？,记得第一次和非北大人说读光华时人家以为我读的是三本挂靠院校…… 记得开学报道那天老师问这一期有多少个省状元时刷站起来一批人（并不包括答主） 记得我们毕业典礼时的口号是“千秋万代一统江湖”（暴露年龄了吗？） 记得自己觉得再烧脑再坑爹的科目都有人能拿到满分 记得院里的海外交流项目貌似是最多的 记得常常有人对经院和光华的定位傻傻分不清楚（其实是自己没法很好地解释清楚的答主留） 记得某人文通选课说自己是光华时被全班侧目 记得小组演示一听说是从光华来的自动被选派做ppt和主讲人 记得院里的社团貌似常常有全球或者国际等前缀  当然狂喝咖啡的习惯是那时候养成的，虽然现在的地下小卖部貌似已经改成咖啡吧，也许可以有现磨供应而不用像当年的自己老喝速溶 商学院做金融有铜臭味没有心怀家国天下？光华也许有其特色，但依旧常伴未名湖侧 看法是别人给的，但行动是自己做出来的 正在海外为国打拼的某人留
北京大学法律硕士？,北大牌子放在那里，除非清华人大学硕，否则一定去读
北大比清华差很多吗?,1 知乎的受众是以程序员为核心以工科男为主体。清华是IT领袖，先不说“大神”，哪怕是普通学生，上知乎的清华人也比北大人要多。 2 清华近几年来热衷于造神。 3 整体而言，清华偏工，北大偏纯文理，以“世俗成功”的标准衡量，应用型学科的人“年纪轻轻走上人生巅峰”的概率更大。
如何评价北京邮电大学60周年校庆众筹？,我们对众筹校庆没啥兴趣，能不能我们自己众筹一下空调？？？ 没钱你就别装逼   大三经管在校生
