为什么高翎资本的张磊向耶鲁大学捐款 888 万美元，但是没有捐给另一所母校中国人民大学？,这得看赵家的孙子想在哪儿念书，他捐完了以后，某赵家的孙子就保送进了耶鲁。
武汉大学还是中国人民大学？,人大什么时候堕落到和武大比？百分之95以上的武大考生都上不了人大吧
请问中国人民大学苏州校区如何？,因为这个评论收到了太多私信问我报考志愿的，没能一一回复，不好意思啦，我再这里把回答补充的全一点。祝贺那些问我以后今年高考之后要去ifc renmin的同学们啦！虽然你们都是学金融没有学文学的。我就一个要求：你们新生见面会的时候如果有人问你们怎么知道的，记得说在知乎上看到了我的回答！！！算是我跟老师们的一次再交流吧！ 还有要看照片的，要是点赞超过50的话我就放几个我和学校的照片。。。  补充部分：  人大苏州校区，不是一个野鸡学校，类似于清华深圳校区，只是学校不在本部而已。苏州校区的分数线一直挺高的，15年今年已经在江苏高考的录取分数线了超过了人大本部北京校区了，各省分数线应该至少在一本线上60-70分以上，还会继续涨。  人大苏州校区真的是我在国内见过的最有国外优秀大学风范的国内高等院校了，我的一些去国外上过学回来和我一起来到苏州校区的同学也这么感觉。 真心的非常优美的学习环境，学霸的学习氛围远超本部北京校区，国际化的氛围（因为本来就是合作办学所以留学生非常多），非常有意义的社团活动，还有真正的非常非常好的老师们，老师们我真的好想念你们啊啊啊啊啊啊。  本科我了解不是特别深入，因为我是研一在ifc读的。人大苏州校区本科主要两个大方向，金融国管方向，法语文学翻译班。苏州校区有多牛呢，15年毕业的苏州校区的本科金融班是50还是60个人，3个人考上了巴黎高商（这所学校在国内的录取难度堪比牛津剑桥，法国乃至欧洲大陆最好的商学院）。如果你心里想：切，不就3个人么。。。前提是哦，他们是本硕连读，本来硕士按照教学安排是在马赛波尔多商学院读的！就是说，这个金融班的人，在已经能上一个不错的法国高商的前提下，自己本身真的很努力，居然考上了巴黎高商，而且三个（这个学校每年在中国招生名额是个位数）。。。汗颜啊我本科也是985呢，法语系已经好多年没有一个能考上巴黎高商了，只有考上第二和第三排名的商学院的。。。法语文学翻译班高考分数线比金融低一些，但是交换的法国学校也是公立大学里数一数二的了，巴黎四大和蒙彼利埃三大。我觉得人大苏州校区学生的法语水平整体比其他院校要好很多，从他们的专四和法语水平考试上能看出来。  硬件条件，四人间寝室，有空调有宿舍里的独立卫浴。苏州高教区是个大学城一样的环境，所有学校宿舍区都在一起，所以会遇到不同学校的有意思的学生。这点也挺像国外的大学。  缺点就是，学费确实不便宜，但是跟其他合作办学（尤其英美的）相比，倒是一点儿都不贵。。。君不见隔壁的西交利物浦，动辄学费一年十万，还只是国内的本科。。。  我好想念学校的老师们。。。。不知哪位看到了老师们替我问个好  以上  原来已有的正文分割线------------------------------------------------------------------    正在苏州校区学习中。  我参加的是人大中法的硕博连读项目，研究生一年级在苏州，是巴黎四大和蒙三大的老师来这边讲课，研二和博士去法国读。这两个合作的学校怎么样，你可以自己去百度，尤其是巴黎四大索邦大学。  简单说说学习体验吧，我觉得如果用心学习的话，真的是挺难，确实能找到高三的感觉。老师督促着你做projet，写论文，等等。课程都是文史哲，重点是，这些课程都是法国大学老师直接授课的，全程无中文，想混文凭的就不要做梦了。学费也挺贵的，但是在法国读研一的话生活也得这些钱。  我其实很佩服这个校区中法学院，注意，不是国际学院的，本科生，经常在图书馆看到他们非常刻苦。他们在大二考TCF或者TEF达到B2等级的有90%，要知道，法专大四学生也不一定在没有培训的情况下考到B2。就不提那些上着什么FF新东方各种机经班的学生了，他们的法语，呵呵，我觉得真是白瞎了钱。总之，人大中法学院真的是我见到的学习氛围最为良好健康的学校，注意是良好健康，我的意思是，他们不是死学习的学霸，而是会学习的学霸。学校的法国留学生很多，感觉和中国同学相处也很好。  我是研究生，教学的老师们都是巴四或者蒙三的大学老师，真的非常非常的有名。另外还有两个法国的老师专门负责我们的研究projet，都很负责细心，要知道我们班只有20个人，却有2个法国老师监管学习计划。另外还有一个专门负责签证能事情的中国老师，类似于辅导员。因为学校走的是法国路线，所以没有团委团支书等等来烦我们。  校园不大，但真心的好美啊，图书馆旁边有个湖，里面有两只黑天鹅，我经常一个人在图书馆学不进去的时候就去看这两只黑天鹅。真心很喜欢这个学校。  本来想贴几张学校的照片，发现自己入镜太多，避免被说成自恋我就不发照片了。
中国人民大学有什么梗？,见图  求两校别打我。。。 另。。我们是人大附中附属大学 给各位人大附的同学跪了！ 我先跪为敬！
中国人民大学HND 怎么样谁能介绍一下具体的情况？,人大的应该是最早做HND项目的，我有亲戚家孩子在那儿读，现在在英国的伯明翰读硕士，还是不错的。他们好像在英国有个留学生服务中心，那孩子去的时候，还有专人接，刚去的各项手续也是他们帮忙办的，挺好的。
人类能在三天内学完西方经济学微经宏经两本书吗（中国人民大学出版社，高鸿业）?,别想了宝贝，想想怎么补考吧
中国人民武装警察部队学院和武警工程大学哪个好？,武警学院和武警工大都是正军级单位，狼院是公安部直属，工大是武警总部的学校。有本质区别，狼院是公安现役部队的学校，工大是武警部队的学校。想去公安边防，消防，警卫部队就报狼院，想去内卫(或警种部队)就去工大，内卫说白了就是宪兵。 还有，工大的招生是军校招生，和解放军院校一起统招，参加军队组织的政审，体检，录取。而报狼院参加的公安系统的招生，是和公安大学，刑警学院这样的警校一起招生的。 工大的技术分数可能比狼院高，但指挥没狼院高。 部队院校没有好坏，多少分的学校出来都是当排长，拿统一的工资。
有什么关于中国人民大学的冷知识？,说几个，也不算很冷。 静园前面有一堆石人石马，是清代著名词人纳兰性德家族墓地挖掘出来的，纳兰性德本人并没有埋在这儿，由于都有损坏，就随意仍在这儿了。 阳光地带（广义的）是个好地方，有超市，咖啡馆，饭店，还可以打麻将，打台球，而且生活服务设施很全，不过在地下。像我这样中午晚上赶不上饭点的经常去。另外校内理发店也强烈推荐阳光地带的，东区澡堂子那个总让我办卡，太烦。 静园也是个神奇的地方，每天几乎都能听到楼下在吵架，吵的内容我也听不懂，感觉蛮带劲。 另外校内有个大妈，喜欢带个耳机喊政治口号，不知道有啥故事。
中国人民大学的校徽是谁设计的？, 异曲同工之妙
中国人民大学有哪些出色的老师？有哪些优秀的面向全校的课程？,好冷啊……~~~~~~~~~~~ 要是清华北大应该就不这么冷了吧~~~~~~~~~~~~ 说几位我自己经历过的老师 1.雷立柏 古拉丁语、古希腊语、古希伯来语、以及相关典籍分析的一系列课程都是必须一听的，课上经常会用汉语、阿拉伯语、英语、德语甚至日语韩语互译解释，细致入微丝丝入扣，经常是一个词希伯来语是什么，希腊语拉丁语又变成什么，与之对照的阿拉伯语是什么，演化到英语法语德语又是什么，日语移过来是什么，汉语借鉴过来成了什么，有时还会引用蒙语……让你真正体会到穿越历史穿越民族的语言考证！ 雷老师一个外国人来华十几年，是汉语拉丁语的权威（也是词典作者，想想普什图语词典的那位老先生，你就能知道雷老师多伟大）而且对于汉语拉丁化的源流和过程有一套独特的见解，并且自创了外国人学汉字的新方式，正在推广。 清北哪有这么样的大师呢？北外都没有啊！陈寅恪在世不过如此啊！ 2.王以培 真正的诗人，思想清新纯真，很有灵气，上他的课你会跟着他的语言进入另一个世界，怎么说呢，对于他的小瑕疵你不会挑刺，而是打心底希望替他解释，替他圆，哈哈哈哈。（细的不说，我觉得这个感觉最好了） 3.金灿荣 电视经常见，对于国际大事谈笑风生，很有见地，在轻松愉快之中纵横捭阖。幽默而不轻佻，不为了卖笑掉节操，有干货，听闻让人增长学问，加深思考和认识。 ~这里不得不黑一下徐之明，总是为了搞笑而搞笑，年年岁岁都是这几个段子，会的也无非就是一点伤痕文学的反思，一点苏东历史而已，出了本考研材料就公开黑肖秀荣，说人家材料水平低……唉，这也太……还号称什么四大名嘴，我们要听段子听郭德纲好不好，何必你五十多岁还在这耍宝？动不动就”苍老师“……一次听金灿荣老师讲日本生育率下降老龄化，说道日本年轻人都是宅男居多不好好结婚，”窝在家里看宫崎骏“这里真是赞一下外交人士的风度，其实底下谁都知道日本人窝在家里看的是啥，但是不为了搞笑这一下就开口胡说，真是为人师表。 4朱子辉 文质彬彬，对诗词节律特有研究，听他的课也会给人清新自然的感觉，可惜听得不多 5胡邓 胡邓是从校务升到老师的，确实在心离学有着自己独到的研究和教课方式，课程幽默带动性强，不是为了搞笑而搞笑的，很能让人学到东西 其他一些老师也都各具特色，劳人的石伟老师，感染力很强；农发的郑适老师幽默有干货……总之来人大读书真的不亏，比起清北也不亏，真的
中国人民大学苏州校区汉语国际教育专业怎样啊？,我是人大的研，认识很多这个专业的同学（同一师门的） 首先，毕业证学位证都人大的，和本部没有差别，这点你可以放心，毕业典礼是在本部 其次，第一学年的课是在苏州上，师资力量肯定是比不上本部了，但是定期有本部的教师来授课 第二学期开始做论文加实习，导师都是本部的，大部分同学会去本部租宿舍，为了离老师近一些，并且北京就业机会多 你要问这个学院是不是二流的，我只能说这个专业整体就是二流的。因为现在在中国对外汉语还不成熟，就业机会少，当然你可以选择去国外任教，抓住机会的话这个还是可以实现的 不过如果你也没有很喜欢这个专业，而只是想由此拿到人大的硕士学历，那么完全没有问题
