四川大学华西医学院和中南湘雅医学院如何选？,谢邀 利益相关:中南湘雅医学院大二学生 本人专业是医学检验，对影像不是很了解。而且据我所知湘雅好像没有影像专业诶…… 湘雅的专业有临床五年 临床八年 麻醉精卫检验 。临八整个教学和生活全都是独立的，不和短学制在一起(*｀Ω´*)v 个人觉得能进临八简直太棒了吧，对外接触的机会多，又不用读研很划算。湘雅的专业除了检验我都推荐...因为男生实在不是很适合，女生还可以。 华西不是很了解，但整体还是要比湘雅强一些的吧。建议你好好研究一下。专业方面如果确定学医建议临床，毕竟以后就业面广，各医院各科室都可以选择。不过缺点就是很辛苦，要读研要规培。影像不了解，个人认为是个挺好的专业。 南方医科大和首医大专业性挺强的，但是双非，如果可以选择还是985 211来的好一些吧。考研找工作都有很大优势。
中南财经政法大学还是四川大学？,谢邀，川大毫无悬念。  其一，985的光环远远比你想象的要重要，能去985就绝对不要去211。其二，中南财大的名气出了武汉没几个人知道，而川大再低调也是全国知名。其三，中南财大的法学在全国早就远远排不到一流了，五院四系都是当年往事了，学法应该去清北复交，或者武大厦大这种。其四，川大我不是很了解，但中南财大的官僚作风绝对可以把五成学生恶心吐。  综上，选川大吧。祝好。
四川大学和厦门大学的微博在怎么回事？,你问我此时电子科大心里的阴影面积是多少？  15.08.22更新最终版。     后续：        最终版来了。  心疼。❤️
四川大学的国际经融与经贸不错吗？,隔壁西财。川大经院很一般真的
吉林大学、武汉大学、山东大学、四川大学，选择哪个学校好？,推荐看下 教育部学位中心2012学科评估结果   。我的意向是：山东大学》湖南大学&gt;中南财经&gt;苏州大学。“》”表示远大于。个人湖南大学非经济类专业，对湖南大学没多少好感。
想考会计专硕，武汉大学和四川大学哪个好些呢？,川大有会计专硕吗
我是该选西南大学还是四川师范大学？,西南大学  重本这个名分的含金量，绝对是比川师所谓最好的专业要高的，特别是在毕业找工作的时候。  另外，大多数人毕业后从事的工作，和自己当初学的专业，往往都没特别大的关系，这本身就是两码事，只要读的专业别偏离自己喜好太远，都是可以接受的。如果自己确实很喜欢某个方面，平时多去努力一下就是了。  再者，学校重不重视所学的专业，其实也没有那么重要。如果大学一天知道各种浪，从来不认认真真去学点什么，做点什么，学校就是再怎么重视也没有任何意义。。  最后，城市的选择，成都和重庆其实没差多少，当然这个很主观。  总的来说一句 在毕业之时会有如何造化，其实都是看自己大学四年到底怎么过的情况下，重本这个名分，用处总归是更大些的。  「插一句，西南大学只是211，不是985」
如何看待四川师范大学分尸案？,  4.21更新。刚看到新闻，果然被害人生前曾多次向辅导员提出换宿舍，而辅导员说这是上大学要学习的内容之一。这个锅某些制度要背。   　　据死者卢海清的室友向本报记者介绍，在一起住了3个月后，几名室友就发现异样：相处不那么融洽，滕某比较法难相处。有室友向学院申请调换宿舍，其中就包括芦海清。因为他和滕某的床铺紧挨着，下床时会发出声响，尤其是周末，他在外面做兼职，7点就要起床，多少有些响动，会影响到滕某。因为这事，两人争吵过。后来芦海清想和别人换个铺位，但没有人愿意，芦海清先后两次向老师提出想更换宿舍，他不想和滕某的关系继续紧张下去，但老师的建议是，新生要学会和不同的人相处，这也是上大学要学习的内容之一。   http://  news.sina.cn/sh/2016-04  -20/detail-ifxriqqx3114692.d.html?from=wap        一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一    中国的大学早该反思一下集体宿舍的分配方法了，你没条件让大家住单人宿舍就把集体宿舍的分配弄得人性化一点。   我是真的感谢当年室友的不杀之恩！大学时候我们宿舍就超级垃圾，舍友几乎一星期说不上几句话，关系几乎等同于陌生人，有个舍友的性格超级像马加爵经常自言自语的骂人，整个宿舍给人的感觉就是那种窒息的压抑。不过好在舍友虽然相互冷漠，但也相互尊重，所以没有把矛盾激化。可是大学长期处于这种压抑环境的结果是工作后对集体宿舍本能的厌恶，公司提供的免费集体宿舍也毫不犹豫的放弃，宁愿多花2000块自己租房住。   真心非常强烈要求大学推广一些单人宿舍供有需要的或者有条件的同学申请，集体宿舍的分配应该以习惯，性格等更为人性化的东西为依据，不要反人类的一刀切，辅导员对学生换宿舍的要求更宽容理解一些，不要为了逃避责任对学生的要求什么都不准许和推脱， 否则要你辅导员干什么，你辅导员是为大家服务的，不是给学生当官老爷的！   想想大学四年自己每天有一半时间要在自己的私人空间面对着让自己恶心的人是什么感觉！大学集体宿舍的合理分配是为了减少因宿舍矛盾产生不必要的内斗和内耗，为自我学习，自我提升创造良好的环境，也可很大程度避免某些性格极端反社会人格的人杀人，而不是在学生每天休息的私人空间天天上演各种宫斗剧，让学生学各种宫斗和撕逼，更何况人家宫斗戏里的娘娘们也都有一个人在寝宫休息的时候。     4.18 更新 真心希望复旦投毒案，川师大分尸案等能让中国大学宿舍制度有所改变，现在已经是21世纪了，现在大学生都已经是95后了，不是在物质极端缺乏的时代下成长对什么都没有诉求的老一代了。刚搜索新闻看到国内现在已经有大学这样做了，真心希望能在全国推广 。  今年，电子科技大学成都校区学生宿舍管理中心首次开通2015级新生网上自主选宿舍及卧具选购系统，新生不仅可通过该系统挑选到生活习惯、兴趣爱好相投的室友，而且还可在系统上选择中意的房间。 2015年，大一新生就要报到了。昨天，现代快报记者从南京审计学院官方微信获悉，南审推出新生自选宿舍新规：学生可以根据自己的性格喜好甚至是未来打算，选择“最对胃口”的宿舍，让志趣相投的人住在一起。  上海9月4日电 (记者 许婧) 上海交通大学   4日宣布，将在2014级本科新生中推行按照兴趣爱好选择室友，分配宿舍，此举打破了常规按照学号、专业等编排班级和宿舍的方式。  2014年，湘潭大学一改往年学校分配、学院安排、班级协调的宿舍制度，利用网络打造新生自主选择宿舍和室友的网络服务平台。湘大新生可在8月20日至8月30日之间登录湘潭大学迎新自助服务网自主选择作息习惯相近或者志同道合的同学作为室友。    2015年9月14日，作为今年最早迎新的上海高校，上海大学迎来了将近5000名大一新生。记者从校方了解到，今年上大在经管大类约450名新生中，试点根据学生的生活方式、学习兴趣安排寝室。 
四川大学的录取难度被低估了吗？,川大一直以为自己能和武大浙大相提并论，毕竟国内最容易进的top10大学
复旦大学，华中科技大学，四川大学，它们的医学院各自有什么优势？,在复旦大学第二届上医文化论坛上的发言     巴德年（中国工程院院士、中国协和医科大学原校长、中国医学科学院原院长、中国免疫学会名誉理事长、复旦大学上海医学院董事会成员、浙江大学医学院名誉院长、原院长，第九、十届全国政协委员。浙江大学医学院开设医学试验班“巴德年班”。），2014年11月16日，上海复旦大学枫林校区明道楼     各位同道，我不是上医校友，但我赏识上医、我关注上医。因为在中国，如果像上医这样的医学院都办不好，中国还能办好医学院吗？这话不是我今天在这里向大家说，我曾经向教育部部长Yuan Guiren先生，向国务院副总理Liu Yandong女士如实讲过这话。我下面要讲的，全都是我个人总结的材料和看法，供大家参考。  中国，对世界医学是有贡献的。我曾经在《科学时报》一个记者采访我的时候讲过，我没有想到有如此的影响。在《科学时报》上发表了之后，卫生部部长、医学会的会长，上海市的市长都引用了我讲的这些东西，大家注意，中国对世界医学的贡献中，陈中伟、汤钊猷是上医人，一共7、8项，上医占了2项。药学，中国人第一个从中药当中提出单体的是协和的陈克恢教授，在  1922年。在30、40年代的时候，第二个成功提取的是上医的张昌绍教授。可见上医人对中国，乃至对世界的医学是作出了贡献的。  刚才两位老师讲过，大学要有大师。大学有大师，这句话不是我说的，是想当年清华大学梅校长说的。但大学要有大师，出大师、育大师，是我在上医80年校庆讲话时说的。我说上医是名副其实有大师、出大师、育大师的一流大学。根据这样的精神，大家看协和，是这样的状态，浙医是这样的状态（指PPT上名单数）。  在上医创建80周年庆典大会上，我当时没有稿子，我就拿着名单说我对上医的看法，最后是上医把我的讲话全部记录下来进行整理，我一字没改，就成了我自己收藏的“巴德年在上医80年上的讲话”，我想把这个讲话献给上医校友会。  刚才说，上医有49位院士，告诉大家实话，上医人有的虽然不是院士，但是在我眼里，在医学界，可以说上医的这些人比院士还院士。  从这个意义上讲，我也不是说上医一切都好。上医这几年，以我看相对落后了。拿谁比？协和。大家注意，这是我做协和院长期间提拔、培养的名单，这些红色的都长成了院士了。浙医，原来一个院士没有，现在也有三位了。这些黑色的，都是强有力的、未来院士候补队伍。  不管怎么说，以上几张幻灯片说明了一个问题：1、上医人是出成果的。2、上医人是出人才的。  上医凭什么出成果？出人才？我在协和做校长期间，协和人教育我，说协和的人不是教出来的，而是“熏”出来的。不管你是谁，你进了协和就得“三基三严三高”，按照协和的规矩，按照协和的步伐走协和的路，“熏”出来的。熏了那么多协和的人，还把我这个校长也“熏”出来了。我在100周年纪念的时候，我说了一句话，我到浙大去做医学院院长怎么当的？就是本着协和的精神，甚至我都用了我在协和的招法、套路，来办这所所谓的“南方协和”，我不是在协和熏了之后成长起来的吗？上医同样，谁一旦进了这个学校，不是听了党委书记一个报告，也不是哪位教师、辅导员讲了两堂课使上医人变成上医人的，而是在上医这个环境 里面受了熏陶、受了训练。刚才戴尅戎院士的讲话非常生动，他说上医毕业这么多年都没有懂校训，最近读书才读出来。说明他熏出来了，尽管理性没有达到这样的程度，但是他的作为和表现就是上医校训铸造出来的。我也读了很多上医的书，但和戴尅戎院士相比是小巫见大巫了。我摘录了很多，我如果说就甘拜下风了，但有一条我必须说，“上医人是天使，上医人也是战士”，上医人说上医，是亲身体会的。今天我们随便找一个人，他们讲的可能没有戴尅戎那么精彩，但也会相当不错。为什么？他们可能没有看那么多书，但他们有亲身体验。  “上医人是天使，上医人也是战士”多美的词句？事实上上医就是这样。我在想，这里面写了这么多都很好，所以我赏识上医，我关注上医，更重要的我期盼上医越办越好。  我读过你们《上医文化研讨会文集》，里面曾经有人说，上医要再不独立，上医就完蛋了。但是我认为，上医现在独立不了了。在这种情况下，上医怎么办？我告诉大家实话，我曾经和你们原来的老领导，并且是非常强悍的一个领导对过话，那是2005年在长沙。我作为浙大的医学院院长在大会上有一个发言，得到了强烈的反响。但是你们党委书记不以为然，他在会上发言说：为什么复旦大学把上医分成这么多个单位，直接归学校领导？他说他挨个征求  了下级领导的意见，下级这些领导愿意归学校直接领导，不愿意再归医学院领导。我在会上介绍的经验，浙江大学实行两个最大化：“最大化的利用浙江大学的综合资源来培养医学生，办好医学教育。要保持医学完整和统一，把医学教育体系、医学管理体系一致、统一、完整。”这是我2005年在长沙会议上的发言。由于书记这样的一个发言，我回敬说某书记，你忘了？你征求他们意见说愿意归大学领导，还是医学院领导，你要问，是愿意归Politburo领导还是愿意归校领导的时候，他们一定说愿意归Politburo领导。问题，不是愿意归谁领导，而是该归谁领导。保持医学教育的完整统一，是医学发展的必然。让我感到幸运的是，当今恐怕不用再喊上医独立，而是要解决复旦大学下的上海医学院如何发展。不是不行的，是可以的。“全世界最好的大学，往往都有一所最好的医学院，最好的医学院往往在最好的大学里”，中国凭什么不行？不是理论上不行，而是实际上没有好好弄或者弄得不对造成的。最近看到了上医的进步，看到上医向正式的方向发展，我觉得高兴，但远远不够。从这个意义上讲，桂校长继续努力，继续争取。  我今天和你们新来的许校长(注:许宁生，中国科学院院士、复旦大学校长)说了一个事，我说：复旦大学理科不错，但难说你比北大、比中国科技大学好多少。你文科也不错，但我也可以肯定的说，复旦的文科赶不上北大，赶不上中国人民大学。但你复旦什么科最硬？不能说医科称第一，这么说不好，但两个加在一起肯定全国第一：复旦的谈家桢先生(注:已故国际著名遗传学家，曾任浙江大学理学院院长、复旦大学副校长)创办的生物系，颜福庆(注:近代著名医学教育家，创办复旦大学上海医学院前身、中南大学湘雅医学院前身、复旦大学附属中山医院前身)先生创办的医学院，这两个力量一合，全国第一。我在姚泰当校长的时候就建议过。那时候我在协和办MDPHI，系双学位，我说实际上最好办的并不是协和，复旦可以。复旦生物学学生念三年，念完再进医学院念五年，完全可以培养出既有理性思维科研能力，未来又是极好的大夫。复旦大学要考虑自己的优势，现在困惑在哪里？二医都把我们超过去了。凭什么超过去？说实话，二医最近能超过你们，重要因素有二：正当你们乱的时候他没乱。当你们被肢解的时候，他们没有被肢解。再一个，资源。合校以后沈晓明(注:上海市委常委、浦东新区区委书记、上海自贸区管委会主任，曾任上海第二医科大学附属新华医院院长、上海第二医科大学校长、上海交大党委常委、常务副校长、医学院院长、上海市教委主任、上海市政府副市长)为二医做出了贡献，争取到了保留上海市继续支持，继续拨款。两个兜儿揣钱总比一个兜儿多。但是我当着沈晓明也说，你们的临床不错，但是你们的基础、你们的生命科学究其功底、究其水平，上一医比上二医高一个层次。我公开说的，不是在这里拍马屁。我在那里也说，黄书记就是二医的，就是这样。从这个意义上讲，如何利用复旦大学生命科学的优势，如何将复旦大学的文化底蕴与上医固有的文化底蕴，在融合的同时好好的发展，诞生一个属于复旦大学上海医学院的新文化、新基础，而不是再朝着独立，是和复旦大学一起建立世界一流大学、一流医学院。  大学校长和大学文化至关重要，北大的蔡元培、胡适，清华的梅贻琦、浙大的竺可桢，包括复旦大学的杨福家老校长，校长至关重要。说实话，我相中了两个校长，不知道为什么都做得很短。我认为杨福家是非常优秀的校长，没有做几年不做了。汤钊猷，他和我同时期的，我在协和做校长，他在上医做校长，没有做多久就让姚泰替了。我就想，大学校长凭什么一到60岁就不让做？教育是长线，教育和行政不一样。刚做校长就想出成绩？桂校长(注:桂永浩，复旦大学党委常委、副校长、复旦大学上海医学院院长)，你一定要注意，办不到的。教育是慢工，教育是长线，教育和行政干部修个马路就算工程，不行的。颜福庆先生从1927年开始做，做了多久？你没有时间、不搞长线，不搞长远规划，这个校长是当不好的。所以我在想，中国的校长怎么行政化到这样的程度？一到年岁就得下来？正做得热火朝天不让做了。我很幸运，我从哈尔滨做到协和，协和跑浙大，72岁下来。不是让我下来，是我当时得病，我自己要求下来的。我就想，这个问题在这里说可能没有用。但我还是要和许校长说一个事，当不当校长，或者当不当院长，不要看年龄，看什么？等你快到点的时候让你做一个报告，不要讲成绩，讲现在有什么事，你有什么招法，如何解决现实问题。如果他讲得行，并且做得行，群众拥护让他继续做，不行换别人吧。可能行动上，我们说了不算，得教育部管。但是所谓大学自主权是可以做到的，就看怎么做。我希望，大学校长这个“行当”，希望能够专心致志，别留后手，全力以赴当校长。  有人问我，怎么看上医？我在上医一共有两个讲话，一个讲话是上医80周年大会上的讲话，有稿子了，你们帮我整理的。还有一个，是一本书（《正谊明道上医院士如是说》），让我写了序。题目叫《上医精神、叙说、传承、致敬》，这是我写的。关于上医我有这么两个讲话，这两个我都留给校友会，哪位校友愿意看，巴德年不要知识产权。  关于协和我也说过一句话，1998年，我说协和是医学界的“西点军校”。这个报告会上我讲了一句话，上海医学院是中国人创办的、黄浦江畔的“黄埔医校”。我当时说协和是西点军校，因为我当时是校长，有点自吹自擂的成分。但是我说上医，我是一个科学家出身的协和校长说上医，我估计没有人会说我是自吹自擂，因为我不是上医的。另外，别人也不会说我给上医拍马屁，而是作为一个科学家出身的大学校长来认识上医，是我对上医认识的升华和概括。我想，大家会同意我这个说法。  我给上医的学生上过两次课，一次是医学系的学生，一次是护理系学生。这是我女儿从你们网上拷贝下来的照片，你们送我的条幅我拿回家，我从来没有看到过我的夫人挂得那么迅速，马上挂上了，挂在我们俩住的那个房间。她和我说，这个条幅非常好。当你睡觉前处于迷迷糊糊的时候看那大字，为什么看大字？你可以自我陶醉，马上入睡，甚至还能做个好梦。第二天早上一醒来，你看小字，上面是“巴老”，她说是“巴老矣”，下面是上海医学院某某学生祝，上海医学院某某学生书。她说，这就是上医的文化、上医的水平。我今天为什么要拿出来这张照片，我本来以为这个条幅谁也没有看到，但你们上了网，没有办法。这也有好处，告诉我上医的文化、上医的水平，正在传承。这是大学二、三年级学生做的，我刚才的名单，都是上医的大师，这个是上医的学生。我相信上医就是这样，一代接一代，一代胜过一代，祝愿上医越办越好！     巴德年，中国工程院院士、中国协和医科大学原校长、中国医学科学院原院长           http://www.  tudou.com/programs/view  /hlcV7WtgKC0?tpa=dW5pb25faWQ9MTAzMDkzXzEwMDAwMl8wMV8wMQ       儿童保健讲座:教育中的医学问题 （主讲人:沈晓明，上海交通大学医学院-上二医杰出政界校友，上海市委常委、浦东新区区委书记、上海自由贸易区管委会主任）编辑于 2015-11-23
