废除985工程对华南理工大学有什么影响？,泻药，有没有影响，我觉得不应该单纯用 有/无这样简单地回答，应该把有影响和无影响的点列出来单独分析。  历史背景 ——为什么以985、211来区分中国的重点和普通本科 1. 混淆的名词：  重本、一本、二本、普本      鉴于中国大众平均受教育年数是10年左右，也就是高中2年级不到，老一代平均水平更低。所以很多中学生及学生家长，对这个四个名词的概念是分不清的，很容易把一本当重本，所以先解释一下这个四个名词的正确概念。 重本——即重点本科，名单来源。公认的应该是1978年 国务院转发教育部 的一份文件，共有 88所高校 ，但是目前应该已经弃用，用程序员的的说法叫不再维护。 一本： 本科第一批招生院校，是由各个 省教育厅 ，在高考招生时，根据各个高校招生名额，画出本科一批次分数线，在此分数线之上招生的高校，为本科第一批高校。 一本不等于重本 ，一本的范围的学校在每个省是有差别，是由各个 省教育厅 在招生时划出来的，每年都有变化，在 全国范围内不通用 。。而且由于信息不同步的效应， 每个 省教育厅不可能和 每个校招企业单位每 年都去同步一次一本院校名单。 二本： 本科第二批次院校，和一本类似 普本： 意义不明确，以前可能是为了区分重点大学，但是现在重点大学名单失效过之后，目前的含义是区分985、211与一般本科。  2. 重点大学的校名变化  重点大学_百度百科    以上是重点名单的历史变化，公认应该是1978年的88所重点大学，985、211也是替代了重点大学的地位。为什么之后找工作，不看重点大学名单，而是问是不是985、211。 我想主要原因是，88所重点大学里面，有一半以上学校，由于上世纪80.90年代到21世纪初的院校大合并等各种的原因，校名发生的重大变更。。 校名的变化，对清华北大没有影响，但是其它高校呢？有些可以猜出来，比如 华南工学院 --&gt;华南理工大学，通过华南理工大学，还是可以猜出是重点大学名单里的华南工学院。 但是， 长沙工学院，南京工学院，北京工业学院，华东工学院，四川医学院，  武汉测绘学院 …… 这份榜单里的这么多学校，刚才我列举的都是目前的985或者211，慢慢猜吧！如果用这份榜单，估计HR姐姐们猜N年才能猜完。  3. 高校毕业生不再分配工作—— 1996年 1996年开始，大学生不再毕业分配，估计这是校园招聘的起点，1999年大学大规模扩招。985工程是1998年提出来的，211是1995年就提出来的，但是分了几批，到2002年左右大致成型。互联网的普及，没有互联网前，仅靠教育部的一份文件，重点大学的名单传播的范围不广。网上填报志愿后，高校合并潮流，通过网上查阅，最容易看到的就是985、211院校。。这个几个事件的时间点，是不是很有偶然感，一串起来，就给了985和211高校，成为全国大学生校园招聘 公认 的重点院校名单。  4. 重点大学被985、211替代 985、211高校是教育部定的，这个 概念才是全国通用的 ，并且985、211的名单里，校名的变化，相对1978年的88所重点大学，没有那么频繁和大面积变化了，所以成为重点高校名单过时之后，全国各企业默认的重点院校名单。   有影响的方面 ： 最大的影响是项目拨款，是钱。。有钱可以改善硬件设施，买实验设备，可以挖院士，双聘，千人计划，可以挖其它学校的教授，但是钱到底是多了还是少了，目前并不明确。 但是钱挖开的院士，学者，改善的硬件，可以来带附加影响，这里真的就讲不完了。   1. 院校的拨款   本质上，985、211工程，有教育部给大学拨的专项款，双一流之后，不清楚以后的拨款怎么算，但是拨款的事情，对本科生个体比较透明，只有细微之处容易感受。。比如校园大楼，宿舍的建设速度和规模。研究生的话，就是各个项目或者实验设备公费项目报销的审核严格程度，以及研究生生活津贴的数额。另一方面就是教师工资与补贴。具体拨款增减的细节，有待商议，不过华工的教师，工资水平不算高，据我留校的师兄反应，是比广东工业大学低不少。。。不过这些对大部分学生，其实影响不算大。。 2. 招生名额  主要是省内外的招生名额，这个其实和教育部拨款，以及地方财政拨款有关，是个有待撕逼的问题，钱肯定要用名额去换的，算是一种博弈吧，细节我无法知悉。  3. 专业规模调整  估计这个本质上还是钱的问题，非强势专业，可能会削减拨款，倒逼学校在招生和培养上做一些变革，或者说，非强势专业，由于经费减少，会不会增加自费硕士的名额，来增加收入，也不好说。总之，最大的影响就是钱。   无影响的方面 ：   1. 就业质量   这个是这么多年，师兄师姐们积累下来的资源人脉的成果，感谢这个平台，一时半会，就业质量应该不受太大影响，教育部废除985、211，但是又没权修改每个企业和体制单位的招聘目标院校的数据名单，不管是985、211还是双一流，常年保持合作关系的企业，不太可能把华南理工大学从名单删除，这个大家一定放心。    2. 继续升学（考研，保研，出国） 保研会有个问题，尤其是保送外校，对方会看你是不是本科985、211，但是问题来了，现在废除这个了，但是名校保研僧多粥少的局面暂时不会改变，哪怕不看985、211，可以看是不是双一流，或者是不是目标院校数据里的高校，其实问题都不大。。。国外大学也会有生源毕业院校的数据库，猜测影响也不大。  总之，教育部只能改自己和其下属单位的名单，不可能改动各个企业招聘和国外大学招生的高校数据，因而在教育体系外的影响，应该不大。。况且985、211是因为出现在一个时机， 重点大学名单由于校名变更而失效， 所以我推测，除非大学校名再发生大规模变更你，比如华南理工大学--&gt;五山男子职业技术学院，否则企业不会去修改985、211院校的学校数据库，改变招聘政策。
如何客观评价华南理工大学？,学习&amp;学术氛围：学校数据库不买齐，我连论文都写不了，百度文库也不续费，我觉得不咋地 课余活动：南校可能还好，听说北校少 活力&amp;创造力：一般般吧，我觉得学校比较死板，不怎么支持igbt这个是肯定的，比中大差多了 校园环境：我觉得房子颜色不怎么好看，不过这应该不是华工的锅，好像市政府盖的 教职员工：看情况吧，看你遇上谁 饮食：大学城最差最贵的食堂，无fuck可说 行政管理：手续非常多，也很麻烦，一件事要找好几个老师，有时候还故意卡你 住宿：到时间才能开空调真是充满了槽点，广州多热啊，这方面北校比较好
今年考研报考测控专业，我是报今年只招5、6人的华南理工大学还是会招十个人的上海大学?大家都有什么看法？,华南理工好太多了吧，华工和同济差不多吧。测控更是强于同济。所以实力够的话，肯定冲一冲华工啊
中山大学和华南理工大学考研，哪个相对靠谱？尤其是复试方面。？,请问复试通过率哪里看的，复试录取线看起来是可惜接受，但是我算了下14年到16报录比，就感觉很吓人人，14年整合岭南学院是50取1，15年大概是被调整吓到了一批人吧，是24取1。   我是18年考研，本来想在广东工作，想考岭院的，这样的报录比上我压力很大，厦大经管录取人数远超中大，有点转厦大了，但是又不清楚厦大在广东是不是有领院类似的影响力，工作是否好找。
在互联网行业雇主的眼中，华南理工大学是一所怎样的大学？,在深圳软件园基本属于扛霸子级别了，简历必过海选，面试时你话多，会觉得你洒脱，你话少，会觉得你有技术人员的气质…
你为什么不推荐他人报考华南理工大学？,现在学生们的要求真是高啊……既然学习条件已经比我们十年前要好，不知道学生们学起东西来是不是比我们要更快更扎实（逃
我想问，华南理工大学的新闻与传播专硕考研难度有多大？,只能说这个问题问的真的很懒，没有任何背景和条件，这个难度又是什么标准？让人没有办法回答。只能说华工专硕一年比一年热，难度在不断增加，但是相对于暨南大学中山什么的还是简单很多的。   试题难度名词解释和简答也是比较基础，不会考辨析题之类比较变态的题目。论述题贴合热点。不专不红，还是比较喜闻乐见的。
华南理工的经创班怎么样？和综合与财经类大学相比的优势与不足?,总得来说资源还是有的，比如导师制。但是本质来说还是多方博弈后的一个弃儿。学校想通过开发这种经管专业招收优质生源，学院又觉得占用保研名额，所以学校与学院之间存在利益冲突，最终的苦只有学生懂。大抵如此。
华南理工大学实力到底如何？,又有刁民黑我武
通信专业的考研应该选择西北工业大学还是华南理工大学？,读研之后如果打算找工作，选择华工。读研之后打算继续深造，华工不是特别合适，这里的学术氛围还是有欠缺。
如何评价华南理工大学南校区的空调定价？,还是合理的，兄弟，你没算算他们限制资产的成本。 我只能说，取费是良心的，亏心的是技术方案。 激情决策挖的坑，谁填？!
跟华南理工大学相比，广东工业大学缺少什么?,大部分在广工就读的，他们只配在广工就读。 他们比上不足，不足的是无法坚持，不足的是没有理想，不足的是没有认清自我，认清环境的意识。 他们比下有余，余的是曾经比他们多付出了一份汗水，仅此而已。 从初中到高中，能够一直坚持下来的，去了那些所谓的“上”，高中才开始觉悟的，去了类似于广工级别的“中”，一直未幡然醒悟的，你知道的。  其实呢，95%的人，智商是差不多的，所不同的是思想，价值观。这些差异是后天造成的，原因很多。  所以是可以弥补的。  当然需要比在你之上的人多付出一点。  广工比华工少了什么呢？真不好说。
