山东大学材料女生学怎么样？,十一刚好毕业十年聚会，我们班当时12个女生。大一和大二，有2个转到了别的专业，十年后，从事本专业的只有一个，在比亚迪。其他的，3个公务员，一个高校，一个银行，中石化，中核，海尔采购，外贸等等。话说学材料除了搞科研，干本专业的真不多。
如何看待山东大学党政一把手同时换人？,山大医学狗，马上第七个年头，我来山大的时候，显明大帝还在，后来来了张荣校长，我一次都还没有见过他，就走了。显明大帝留下了青岛校区，然后走了，张荣校长留下了建设章大的历史性决定，然后走了。
山东大学与武汉大学的实力差距在哪里？,求你们放过我武大了！ 我珞珈山技校只想做一所明媚的技校，不倾国，不倾城，只在双十一看着大把武大er倾家荡产！ 我一点都不了解山大，所以不能硬答。 但是我真的想问这又是哪个不嫌事儿多的【哔……】在给我们武大招黑啊！  你们怎么想就怎么想好吧！ 你们觉得我武不如这个不如那个那你们就当武大真的这个也比不上那个也比不上好吧！ 你们觉得我武是娱乐圈学校你们就继续这样想好吧！ 你们怎么想就怎么想好吧！！！  门外的人，门内的风景如何与你毫不相关。 门内的人，门外的揣测如何与我毫不相关。
如何评价山东科技大学自动化院球员孙志伟？,孙志伟是自动化学院下一步体系中一个不可或缺的球员，他的跑动能力以及不要命的拼抢在14级中绝对是排在前几位的。  说到自动化学院下一步的战术体系，现在可以给大家解释一下。当前已经成型的两个阵型，一个是4312，一个是4213。4312是最基本的一个阵型，在对阵一些进攻能力比较强的学院比如矿院机电以及一些中场控制比较强的学院比如信息和电子中，这种阵型不易被对方轻易打穿，在前锋方面我们首选李林桐也就是题主和邢璐搭档，两个人一个有做球能力，一个有身体有速度，前腰方面我们选择的是张泽邦，稳固可靠。在这种情况下，几乎就是放弃了前锋以及前腰在中场边路的进攻，所以两个边翼后腰的插上显得特别重要。右边路中右边后经常不由自主插上，所以右边后腰的插上压力不是特别大，但左路后卫比较保守，也没有多少进攻任务，所以这边的后腰也就是孙志伟的插上非常关键。得益于孙志伟的突破和扣球能力，左路的进攻会非常流畅，但他应该多练习左脚，像中路输送炮弹。  再说一下另一个阵型4213，这个阵型在正式比赛中不经常使用，因为双后腰对后腰的要求太高了，一般我们选择孙志伟丰盛搭档或者孙志伟田东旭搭档，两个组合一个偏向于进攻一个偏向于稳定，但两个阵型都离不开孙志伟的参与，足以见得孙志伟在自动化体系中的作用。  当然，以上的介绍有一些吹牛逼的成分，孙志伟因为长时间的疏于战场，现在他的拿球能力有所减弱，而且在当下自动化中还有李俊超王雪霜苑文畅赫树君等优秀后腰，所以孙志伟还有很长的一段路要走。  综合说来，孙志伟是一个富有创造性的球员，他在左路的长传非常有威胁，而且他突破后的内切打门也是令对方防线如同虚设。孙志伟的进攻大于防守，但并不是说他没有防守能力，他的外号是中场狂犬，便是因为他在中场不知疲倦的调控节奏以及在边路的突破。  “我没有什么想对孙志伟说的话。”--李林桐  “我也没有。”--苑文畅    希望回答对题主有帮助
山东财经大学东方学院怎么样？,不是民办，校企合资，比公办差 比民办好，本人即将毕业，其实学校挺好的，麻雀虽小五脏俱全，当然没办法和名校相比，但咱也就这个实力不是，学生会是不怎么样，但当个学生干部有很多便利是真的，更重要的是学习，在哪个学校都一样，学校好不好是次要的，看自己努力不努力吧。
如何看待2016山东考生南邮准大学生徐玉玉被骗钱9900元后，郁结于心离世？, 想害死你的亲生女儿吗？以下观念随便灌输：  “我们家穷。省吃俭用给你攒学费，你不好好读书对得起我们吗？”  “钱是最重要的。你读书就是为了钱。有钱就有了一切，没钱什么也别指望！”  “高考是你唯一能改变命运的机会！不抓住这辈子就完了！”  “爸妈没本事，帮不了你什么。你要靠自己！”  只要这种观念在你女儿的脑子里生了根，她就成了一个真真正正的穷养女！不光是经济上的贫穷，连感情世界也沦为穷人。  于是，她到了社会上你就会看见。今天她被骗子骗了学费，自责而死。明天被男人骗了感情， 伤心而死。后天被领导骂了几句，委屈而死。她为什么把自己看得这么轻？她为什么没有重新来过的勇气？因为你没给她退路！  现在大家都知道穷养女儿有多可怕了吧？  怪骗子真的没用。  骗子这个行业自古就有。不会因为违反道德和法律就消失不存在。声嘶力竭地谴责他们，根本一点用都没有。他们正在数钱呢！没有闲工夫上知乎！  他们对谁都是用一样的骗术，他们不是杀人犯，他们手上没有刀。能把伤害扩大的人，只有你自己。  大家看到的都是：全家人省吃俭用大半年才凑齐学费。  而我看到的是：全家人省吃俭用半年就可以凑齐学费。  既然这么容易解决，孩子你何至于要那么悲观那么无助那么想不开那么没有底气那么输不起！到底是谁教你把自己看得这样轻？  奉劝十几岁的女孩子们一定要看重自己。  爸妈如果没告诉你，全世界你最重要！那就试着自己告诉自己。  念一百遍：全世界我最重要。  说一下我匿名的原因。不是怕被喷真的不是怕被喷。  从上知乎开始我一直在被喷已经习惯。什么三观不正，负能量，更难听的话我都听过。  我就是怕以前喷过我的人习惯性喷我，才匿的。  那样会导致大家不能客观看问题。所以，还是匿了。  我观点很明确，不怪女孩自己，她心脏骤停这个结果也不能怪骗子，非要找点原因来怪罪，真的只能怪家庭教育。  一面教导孩子对金钱，权利，所谓成绩，所谓前途，要有异乎寻常的，超出她承受能力的执念。  一面又让家庭气氛沉重，悲苦，绝望。  那么这个孩子只能不停的被迫向前，去逃离悲苦，去追寻梦想中的希望。  当希望破碎，她没有勇气转身面对悲苦。于是才会选择骤然停步。  哪怕她今天躲过了骗子。明天躲不过渣男骗财骗色，后天躲不过同事的背后一刀。  所以我才说，怪骗子没有用。  我老公说我首先该谴责骗子。听他的，我修改答案。在此谴责骗子。  更呼吁大家看得深一点，对自身反思多一点。  怪外界伤害太多，不如首先强化自己。  不服来喷！  骗子找到了，可以枪毙了。大家回去记得多给自己做心理建设。 
山东大学免学费德国硕士项目是否可靠？, 这个项目现在改名叫“德欧国际教育”。之前他们以山大土建水利学院的名义招生，其实并不是山大官方的留学项目。负责这个项目的“领导”是山大的校友，可能在山大土建水利学院有些人脉，就打着山大的名号招摇撞骗，本质上和其他的留学中介没有区别，也就是说，他们只是个“中介”，而且并没有比其它野鸡中介靠谱，如果这个其中出现什么问题，山大不会给你保证什么。但是通过他们费用要比一般中介贵不少，一个是他们的宣传费用很贵，再还要给山大分一些好处。所以如果你一定要报名，找个其他便宜的中介也没有什么区别。  之所以现在改名叫“德欧国际教育”。是因为他们口碑太差，把他们的行为称为“诈骗”也并不夸张，希望315能曝光他们一下........每年都会有一帮学生以及学生家长找组团找他们理论的，因此山大受够这帮骗子了，不让该中介再打着山大的名号骗人，所以他们才改名成了“德欧国际教育”。  至于他们到底是怎么骗人的就不一一列举了，感兴趣的话可以到各大论坛搜一下。  补充一下，参加这个项目的有些学生，因为每个专业录取条件不同，确实是有人成功申请上德国大学的。但是不符合条件的（他们之前宣传的硕士项目是，只要通过德语考试，就可以直接读研究生。但是德国大学专业对匹配度要求非常苛刻，中介在没有检查学生们的匹配情况下就将学生送到德国）只能无奈回国或者在德国重新读本科，真的是耽误青春。  关于费用，报这个项目的，出国之前要交的费用在20w人民币左右，包括  国内德语班的学费，如题主所说大一到大四4w。如果他真能让你完完整整的学四年的话。。。我们当时也是被强行和一个比我们晚来一年的班合并了，，他们比我们少交1w，最后学的还和我们一样多；  项目费2w左右（这是三四年前的价格，不知道现在还是不是）；  杜伊斯堡埃森大学语言班学费9000欧元（这是9个月的费用，中介当时骗我们说是一年的学费。如果你是自己通过个审到德国学德语，在这个语言班的学习费用三个月是500欧左右，多出的这些钱纯属智商费）；  第一年的保证金，也是9000欧元左右（并不够花）。  再加上一些杂七杂八，20w人民币是保守估计。  还有，现在德国巴符州开始收学费了，北威州正在讨论是否针对外国留学生收学费，收的话应该是1500欧元一学期。   
你对山东大学的印象如何？,第一次接触山大也是在贴吧，一听我是外校的接着就被骂了尤其是楼上说的那个皎皎冷月葬花魂，这么自豪有优越感，瞬间对山大好感全无 
如何看待2016年山东理科状元孙昊选择中国科学院大学？,   http://  zhuanlan.zhihu.com/p/22  914329       更新了，2016年10月12日   知乎首答。没想到是关于自己的问题，本以为会是一个物理学问题的。心塞........       先给出有关本问题和本回答的一些说明。 1、问题所引报道中引用的我的言论出自本人（经审核），其他部分本人不负责任。 2、 本回答由于我作为当事人的利益关系，带有一定（可能相当大）的主观性。  3、本回答可以转载， 但希望不要断章取义 。接受了很多采访之后，我对于新闻对访谈对象言论的断章取义已经受够。 ————————————————分割线，以下正文——————————————————       感谢大家对于我的关注，也感谢知乎的和平讨论环境。在百度贴吧里有关我的帖子中互相谩骂的很多，我也不愿意对他们的所谓讨论作出回应。这是我自己的决定，以下为决定的背景。 1、关注国科大两年多，自首届招生起始。信息来自于国科大学长和网络信息。 2、了解四大力学是什么东西（不是理解），知道这是多么能让人挂科的课程。咨询过从事科研的前辈（与 招生组无关 的清北·、中科院硕博、工作人员）， 粗略 了解科研的付出与回报。 在此基础上对物理学的理想（略中二，望见谅）依然坚定。   3、对国科大有来自于早期了解和综合评价面试经历的先入为主的好印象。  4、 有清北情结，选择过程极端纠结。  5、身处小县城（30万人口，经济相对落后），信息闭塞，眼界狭窄。 6、对三校有短期（四天左右）的实地考察。  7、仅具有一名普通高中毕业生的思想水平。       大体上我就是依据以上的信息，基于我自己的认识、思考、权衡作出这一决定的。这决定了我的选择一定是naive、中二、理性权衡中带有明显情绪影响的（但并不意味着选择错误/正确）。这一选择若正确则我受益，不正确则我背锅。到目前为止我还没有后悔，我也不希望以后会后悔（废话）。It's just my choice.但 欢迎大家对我的这一选择进行讨论 ，普及关于三校的信息，让更多面临我所面临的选择的学生能更理性地作出选择。但 希望不要人身攻击，也最好不要出现让人闭嘴的言论 ，这与知乎的目标不符。谢谢。      别有要务，只能先写到这里，有空再更。或许就此烂尾了吧.........我要是少考十分多好，这样我有选择的权利，又不必受大众的关注。有答主说四年后我可能会被遗忘，我倒想四天后就被遗忘。心累......      基本同意  @白如冰  和  @王昊翔 的观点，赞同  @德布罗意 回答中关于国科大不足的绝大部分表述。感谢大家的作答。        我很普通，不希望被神化；我的选择是个例，没有得出结论、推断“趋势”的意义。但 希望大家理解国科大官微文章（即题目所引）部分过于抢眼球的表述，国科大还需要打开名声 ， 而且微信文章大家也都知道是什么性质 。不过希望能有所改进。      感谢大家的祝福。（说不答了又写了不少啊啊啊啊啊啊啊没时间了）很乱，望见谅。                                                                                        以上8月5日夜。   家母患病住院，前一段时间带她查体、诊断，今天下午接受手术，因此近期及今后一段时间更新或开吐槽的概率不大。非常抱歉。2.3k赞真的让我受宠若惊，在此感谢大家。                              8月13日
为什么山东大学的排名很高(10到20名左右），但是经常被外界低估？,首先关于题主说的排名很高，山大在繁多的排行榜里基本排在10～30名，综合来说我觉得山大可以排到20名左右。山大本科教育应该可以在15名左右（山大一直强调的就是要培养优秀的本科生，所以比较重视本科教育，具体表现就是老师的各种评测系统，实验课程，还有现在进行的一些课程改革）。不知道这样的排名能不能称的上很高。   其次就是问的很多人吐槽山大，这个首先哪个学校都会有一部分学生嫌弃这个学校，我不会说我还知道一个学弟专门从某某学校退学（我个人觉得那个学校还是很好的）然后再考到山大来的；其次很多人吐槽的都是中国大学的通病吧，比如永远让人无语的管理人员们（我有次去盖章，费用都交了，结果盖章老师突然走了，等了半个多小时才回来，原来TA去给领导买橘子了……）。当然最后就是前段时间，大概就是暑期的那段时间吧，山大一连搞了一系列事情，比如有部分学生要去党校宿舍住，比如宿舍对面就是施工工地，比如学分制改革学费突然变多太多了，比如以前就一直很差的宿舍条件（没有空调，楼层没有热水器，网速很慢，宿舍空间太小）等等，这些事情集中在一起，于是学生就爆发了，所以山大就小小的上了个头条。  最后，关于“千万不要来山大”。我觉得这个千万不要听学长的…分数到了，又不是很高很高的可以去很好很好的学校的欢迎来山大。理由如下：山大在改变，曾经被吐槽的东西，都是你们学长学姐当时受到的苦难，你们恐怕没有机会“享受”了。山大今年在暑假前校区基本覆盖空调，网速也比我刚上学的时候快了2-3倍，图书馆跨馆借阅系统也已经开放，山大青岛校区也快投入使用（青岛校区宿舍好太多了有没有！而且可能青岛校区会试点几个院/专业进行书院制的教学）。如果大学是股市，我看涨山大。所以吐槽归吐槽，该报山大的还是要报。当然还是要继续吐槽，不然山大的改变（比如装空调什么的）也不会发生的这么快～
