2018年上海师范大学心理学考研分数线？, 16年：  应用心理学：录取12人最高分379最低分348  总分≥348，英语≥63，政治≥58，专业课≥205  17年：  应用方向政治49，英语62，专业课190，总分数线327  看这个好像今年比去年还少了21分的样子，你说的是学术的应用方向吗？还是专硕的应用心理硕士呢？  18年没有办法预测了，唯一的就是你这边好好努力~ 
考研是考东北大学还是上海大学?,上海那边只能说地域歧视很严重，总的说，性价比不高，不过，如果以后决定在上海工作，那很好的。因为每所高校都有地域辐射影响，所有看你自己，以后的发展啦。
在上海交通大学安泰经济与管理学院就读本科是怎样的体验？,学金融的…应该算经院吧。  可是不管上什么通识任选课或者数学政治课，老师一提到安泰就是：“各位管院的同学啊……”
如何评价上海科技大学信息学院的Visual Computing组？,马毅履历很好，ucb博士，UIUC的tenure副教授。是里面比较强的。  虞晶怡也check了一下他的主页。看了看2014，2013年，eccv，iccv，cvpr，发了很多，实力应该很强的。  论文方面，他们都喜欢贴期刊。其实siggraph和iccv，cvpr的一作论文是最有说服力的，但是他们贴出来的都不多，也不知道有没有发。所以论文这块再看看。  @大熊 说了iccv，cvpr，eccv的一作不如那四五个top journal有说服力。不知道说的是哪些journal。PAMI当然是非常好的，有那个一作或者通讯作者确实比ice的一作强。还有IJCV也不错吧。还有别的就不太了解了。  但是图形学方面siggraph无疑是最高会议，上科的vcl里面有个教授只在08年发了一篇siggraph Asia，后面就只是在ieee的cg上发，个人感觉，期刊的话也还是acm tog比较强。所以我对这个教授评价就一般了。  总体来说，上科这批“新”老师可能要比top10学校里面的很多“旧”老师要强。清北复交浙里面，都有很多老师不如他们的。
上海交通大学凯原法学院和华东政法大学对将来就业哪个更有好处？,我的室友是华政出身的LLM，我把这个问题给他看，他惊呆了……  以下是他的原话：   只有脑子有洞的人才会放着交大复旦不去去华政 。
为什么浙江大学会被认为是和上海交通大学、复旦大学等同一档次的学校？,不谢邀。  看了一下，这提问者是曾博学长吧。怎么说您也是浙大本，UC Berkeley的PhD毕业吧。 作为一线学校的PhD，讨论这种无意义的问题真的有意思？  1. 真的讨论学校之间某个方向具体的水平问题，谁会听外人瞎扯，学术界的人会敏感的多吧。  2. 弄个所谓的综合排名的话，无非就是各种利益集团的 tradeoff，国外有US NEWS，国内有武书连。这种事情屁股决定脑袋，非要强行设计套方案撕逼有意思么？  怎么说您这当年在飞跃手册上也是一本正经的抨击学校教学，讨论的起码也是有些意义的事情。现如今，就算不搞research，咱好好做点事情不成么。
相比以帝都命名的北京大学，以魔都命名的上海大学，为什么有这么大的差距？,因为这跟校名无关，而是跟北大之所以为北大，上大之所以为上大有关。  北京大学，创办于1898年，初名京师大学堂，是中国第一所国立大学，也是中国近代最早以“大学”身份和名称建立的学校，其成立标志着中国近代高等教育的开端。北大是中国近代唯一以最高学府身份创立的学校，最初也是国家最高教育行政机关，行使教育部职能，统管全国教育；并开创了中国高校中最早的文科、理科、政科、商科、农科、医科等学科的大学教育，是近代以来中国高等教育的奠基者。北大传承着中国数千年来国家最高学府——太学（国子学、国子监）的学统，既继承了中国古代最高学府正统，又开创了中国近代高等教育先河，可谓“上承太学正统，下立大学祖庭”。  看到没有？北大的历史地位是国内其他任何学校都无法匹敌的。这就是北大之所以为北大。
上海财经大学的图书馆数据库如何使用？,因为要校内的ip，从学校的主页进图书馆的网，在中间点数据库导航然后挑选一个数据库进去搜就可以了～
在上海交通大学就读是怎样一番体验？,  不回答关于考研的问题（因为真的没考过不知道）    不回答计算机系以外其他专业/学院的问题（因为我真的不知道）    其他问题欢迎评论/私信   2014年7月 答案原文：  刚刚毕业了，告别了住了4年的寝室  虽然将来应该还有3年要在这里度过，可是校园依旧，斯人已去。  最近很流行就读体验么？  怎么说呢，国内的大学据我了解应该都是差不多的样子，学习，社团，恋爱，dota  要是非要说点特别的，可能这个学校校园比较大吧（5000亩，在我买了电动车之后，妈妈再也不用担心我出不了校门了）。清华北大也不小，但是学校里边还是十分紧凑，没有多少空旷的地方，但是上海交大就不一样了，这一到处都是草坪，放眼望去，十分空旷。这是一所工科气息很浓厚的大学，走在路上你都能听见路人在讨论函数重载和各种连续性问题。换一种说法就是，这所学校没有什么人文气息。毕竟是新校园，建筑什么的看上去都是那么新，没有那种历史的沧桑感。当然，要找这种沧桑感，可以去徐汇校区，虽然那里已经被各种成人教育机构占据，但是那里才是交大的根。  继续说 人文气息 ，今年毕业典礼，校长的讲话题目是《让人文之光照亮未来》，这也就是说，这所学校缺乏大学应有的人文气息。毕竟工科老校，走在学校里看到的学生都是一脸书呆子的感觉，这不是在贬低谁，因为我也是这里边的一员。虽然也有文艺的人，我也曾经“文艺”地玩了两年乐队，认识了这个学校里那个时候绝大多数地“文艺”的人，但从人数上讲，已经不少了，但是对于人口基数这么大的学校，还是属于凤毛麟角。同学们平时都是过着寝室－图书馆－教室这种三角形的生活路线，娱乐也不过是打打dota，作为一个现代大学生，这样的生活还真是够无聊的。  说说 学习 ，作为一个工科学生，那些文科同学的上课情况我还真不清楚，但是从我自己的体验来说，这里上课真的好无聊。大一数学课政治课之后，就是各种专业课了。学校也要求必须修够8分的人文，4分的社科，9分的自然科学，20分的任选课，但是那些课大家都是去混混学分的，所有人都是在后边忙活自己的事情，也没有多少人会认真听讲和互动。当然，也有很多很有意思的课，比如《葡萄酒鉴赏》、《宝玉石鉴赏》、《体育游戏》等，但是这些课开课人数有限，经常是1000人选课只有50人上课，能感受到的人毕竟是少数。这也催生出了工科学校的特色——抢课插件。技术宅们（勉强算上我）写一些自动抢课的程序，或者自己用，或者给朋友用，也引发了骂声一篇，不过这又有什么办法呢，这才是最好的学以致用吧。  说说 生活 ，学校有6个大餐厅（食堂），小餐厅小饭馆更多。食堂的食品花样齐全，现在还有些怀念。不过不管吃什么，总会有腻的那一天吧。空间很大，但是每天中午晚上高峰时间还是有好多人，要排很长的队。住宿方面，本科4人间，在上海著名大学里，第一个安装了空调，为这个，某友校还愤愤不平了好久。研究生8人套件，2人一个卧室。本科寝室不能洗热水澡，但是有淋浴喷头，这也催生出传说中的“热带雨林”，可以打水洗热水澡，每年也都有学生因为打水烫伤，但是不知道学校为什么可以装空调不可以装热水器（有传言今年要装了，果然我们不是亲生的）。总的来说，住宿条件算是国内大学里边领先水平了吧，当然和厦门嘉庚学院没法比。  说说 恋爱 ，传说交大的男女比例7:1，这不是真的。官方数据是2:1，但是现实是，文科学院全班只有1个男生，搞基不能。而工科学院真的是7:1。所以其实只要眼界宽阔，妹子们还是有很多的，但是工科男生又都是出了名的宅。然后就没有然后了。听说隔壁华师大妹子很多，但是作为宅男们，本校的妹子都懒得去勾搭，谁还会骑车半小时去隔壁？所以不是你们找不到妹子，是你们只是想妹子，没有真的去找妹子。。  说说 就业 ，别的院系不知道，在我们系里，传说中去年神奇的100%的就业率。其实年年都有99.X％的就业，而那没有就业的同学，用老师的说法是，他们去创业了，不知道是不是真的。从身边的人来看，就业形势真的很好。我们专业，每年三分之一保研，三分之一出国，三分之一就业。最top的同学，要么是美帝名校，要么是美帝名企，在之后的同学，国内名企，在之后的可能是我们这堆保研党（当然也有学术追求的大神们，我不是在黑你们），然后就是随便出出国的，然后是随便找找工作的。但是这些随便找找工作的同学，一个月也有1w块，这行的企业还真是钱多啊。某公司，今年来学校招了4次，最后把我们专业所有投了简历的都要了，月薪9k，具体哪家就不说了，懂的自然懂。  毕业了，虽然不离开，但是还是很伤感，不是为了这所学校，而是在一起生活了四年的同学们，突然想到可能从此天各一方，再也不能见面了，还真是心情有点受不了。  第一次写这么长的回答，语无伦次，各位看官随便看看吧。中间还是黑了不少人和事情，所以可耻的匿了。如果有什么需要补充的，写在评论里，我再更新吧   虽然有可能根本就没人看。   －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  7月6日更新：  看了楼下 @Snash  的答案，对于校区那部分还是有些自己的看法的。  交大其实有6个校区，而不是你说的闵行校区和另外两个校区，虽然你刚来一年可能不很了解，但是还是希望你能先调查一下，至少百度一下。徐汇 闵行 法华 上中(据评论称已划归上中，未考证） 七宝 卢湾（重庆南路） 共6个校区。   对于黑复旦那段，其实我也想说说，虽然黑复旦是我们的传统，但是我们要黑的有理有据，不能无脑黑，只有他们才会无脑黑。复旦大学共4个校区，总面积3476亩，最大校区江湾校区1462亩，其次邯郸校区1383亩。我们交大呢，闵行4638亩，其他都是二三百亩。虽然确实比他们大多了，但是你那张图绝对是无脑黑了。照你那个比法，应该用徐汇校区地图去比比，再说这些有什么意义呢。  没有别的意思，就是数字党见不得出错，希望理解。  食堂的话你大概没有去过六餐，在东北方向，很偏，我也是毕业前为了得成就才去过一次，饭还不错，有时间可以去尝一下  －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  7月8日更新：  看到楼下有童鞋说到人文气息是自己的事情，提到了AC，不得不说说AC的事情。AC是交大非常特别的组织，大一的时候，当我在所有社团组织和学联组织的所有群面中挂了之后，竟然奇迹般地凭借自己放荡不羁的表现过了AC的面试。那时候我还是很青涩很懵懂的。在AC的收获很大，认识了很多很多人，他们给我的帮助也很大，正是这批人，在我的大学期间，给了学校一场又一场惊艳的演出。  但是！一般“但是”之后开始说重点了。我终于在大二还是主动边缘化了。主动边缘化了，因为感觉这个组织与我格格不入。虽然我从来不否定自己内心的文艺感觉，但是我觉得我不适合这个组织。第一，AC的主要力量集中在媒设等几个本身就很文艺的学院（所以AC美女很多啊，欢迎大家到AC成家），而他们的课程也比较轻松，这里我只说比较轻松，因为只是我从局外人的看法。所以AC的传统（个人观点），喜欢通宵工作，做视频，做海报，做策划，但是通宵过程中穿插着打牌、桌游、闲聊以及其他在我看来十分低效的事情，这是我十分不能接受的，每次想到数据结构一周15个大作业，我怎么有心情跟他们打牌？另外，边缘化之后，还是已其他形式和AC有过几次合作，但是他们对自己和他人时间的不尊重，让我特别的无法接受。具体就不细谈了，毕竟这个组织还是我曾经尽力维护过的组织，而且他们确实做的很好。  ******此处省略50字*****，人文梦想确实会对某些人的学业造成一定的影响，这可能也是交大人文气息现状的一种原因吧。  或许有人说人文不需要那么偏执，一定要做到AC那么专业，所以也不一定会影响什么，这个我非常非常同意。人文是一种氛围，如果有一天在图书馆里看到周围的人拿着的都是小说而不是《数学分析》，我觉得我们就真的拥有了人文气息了。  －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  7月7日更新：  匿名不能评论不幸福。  －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  7月17日更新：  妈蛋，竟然有人分享到人人了。。。。老夫要暴露了。。。。  低调！低调不懂么？  本来还准备上校花合照呢，这回估计打马赛克都能把我找出来了，不上了！！！！  怒删几段黑人的（其实也不算黑啦）。。。。  －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  12月31日更新：  最后的最后，我还是退学了。既然走了，我就取消匿名吧，虽然很多人早就看出来了。  再见交大，4年半的青春，还算美好的回忆。今天盖了无数的章，找无数的老师签了字，一张退学审批表，最后还要校长委员会讨论决定。  我走了，交大，再见。  －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  第二年7月6日毕业一周年后更新:  没想到过去整整一年了这个答案还是有人看，当时一时冲动写下了这个答案，那时的我其实已经在做退学的准备，退宿之后住在实验室里准备去宁波考托福(上海的考点真tm难报).送走了最后一个室友，特别伤感，然后就回去写了这个答案.虽然后来一直有更新，但是原文一直保留着.  至于保研退学，并不是我对交大失望厌倦，可能只是我觉得自己并不适合国内硕士的培养方式(不要信上边的话，其实就是因为我太水，感觉发不出paper).我也很感谢实验室的兄弟姐（并没有妹），感谢导师理解和支持我的决定.现在在美帝待了一学期，暑假回来，回到交大，还是感觉特别亲切.不知道我一绿一红两张学生证还能不能刷进图书馆.  最近又是毕业季，朋友圈也被各种学士服刷屏，让我也不由得想起那时候的那段日子.  交大是个不错的大学，在这里你可以得到你想要的.  以上. 
广州第三的暨南大学是否被上海倒数的上海大学碾压？,暨南大学是教育部直属的全国重点211高校，广东老三，上大只是上海市属的211，不在一个档次，即使在上海，暨南大学也比上海大学就业占优势，很多人说上大就业好，但并没有依据，东华大学是教育部直属的211，老牌名校尚且如此低调，上大本身就比东华低一档，没必要太宣扬。国内非985的211中，南航南理，武理华理，东华暨南，北邮西电等是第一档次的，上大只能算第二档次
