上海外国语大学自主招生流程？,初审 通过之后在6月笔试及面试
刚被上海外国语大学录取，英语（教育）专业，想问这个专业就业怎么样？老师水平怎么样？,主要方向是当老师没错 毕业后颁发英语语言文学学士学位 主要还是学英语 但在课程设置中会添加教学法等相关内容
本人三本大学英语专业的学生，想要考上海外国语大学英语专业的研究生，现在大一，该怎么做？,以下是更新内容: 无心写了点东西，发现有人居然提问了哎。我来解答几个。 1.我怎么进的会计事务所. 上外本身是target school， 然后我还有一些机缘巧合加上我校招三大关卡都过了。以及我有个贸易学的辅修专业。会计所确实不好进，尤其是跨专业的。我司主要还是财管会计金融专业为主。语言专业想进来比较难这是真的。提问的妹子想下你受得了这个强度吗，这个行业加班严重，薪水看似还行但是性价比真的巨低。加速折旧啊亲，女人老的不要太快哦。你真想来的话，可以先进内资所(工资更低更不划算)，取得CPA之后试试进外资所，既然本科不够漂亮就英语弄好点，毕竟面试还有英文presentation!让你英文狂飙案例。  2.怎么有人会说虹口是你想去就去的吗这种问题.....研究生哎，我的意思是去考在虹口读书的专业更有利于你浪浪浪和实习。松江真的太偏了，我去实习来回通勤一般三个多小时啊！！虹口离我司很近啊！！打车只要20块，十分钟吧！ 对于喜欢玩的人，时间成本要考虑的哦。  3.比较文学等专业学啥......我不太了解。大概是中外文学作品风格意象等等各种对比。需要比较大的阅读量和文学素养。我院査明建院长就是该方面专家。建议大家自己是查查，别轻信我....  最后祝大家金榜题名吧！  ____________________ 原回答:  作为一个上外英院人，(虽然没读研，而且转行去会计事务所了 )，但是好歹在SISU呆了四年，觉得还是可以提一点自己的见解的。 首先，题主需要明确自己研究生阶段到底想念哪个分支。我身边的人大部分有以下几个路径:笔译，口译，语言学，比较文学。这几个分支侧重不同，考研自然需要关注的东西也不太一样。你后面做准备工作的时候需要看清自己的方向(当然大三最好就开始做准备。) 我先说一下大一大二你就要做好的基本功 1.文化学习 个人感觉上外的英院真的是人文教育的典范，语言学习真的不仅仅是语言工具本身而已。上外英院授课真的可谓丰富，王尔德文学选读，国学翻译，语言学，圣经，英美文学史，口译等等。我记得大一光是语音就开了一门课，纠正了一学期。题主本科可能不是特别出彩，此处并不带有歧视，但是可能贵校语言教育背后的人文教育比较缺失，此处建议大量阅读原版书籍和报刊，阅读里面学英语真的很有效。推荐你英美文学按照编年史看看大家的代表作，报刊推荐经济学人，华盛顿邮报等等。 2.机械学习 我大二的时候碰到一位Libby教授(你去了上外可能就会见到她)，她再三强调语言是死去活来的学习过程，也就是痛苦的量的积累到水到渠成质的飞跃。所以背单词这种基础性的东西我就不再强调了。 3.听力和发音 这个地方是中国学生的弱项，建议听力训练，影子训练，口语训练。(好好学习下音标，男生的话可以用英式发音)我和身边的朋友很喜欢听一个人的发音，不要成为哑巴英语学习者，既然要吃这碗饭，吃相就漂亮点嘛，都研究生了就千万不要中式英语发音了。 4.二外 有的专业考二外的哦，建议学习法语，法语很多词汇进入了英语，而且很多作家喜欢英语里面写法语词汇装13，所以觉得两个语言学习能互助，像日语和英语割裂严重，个人觉得并不容易。 5.中文 我个人觉得英语研究生阶段的细分专业都离不开中文基本功，我在大三大四的口译课上就有很明显的感受。当时明显感觉自己中文逻辑混乱，表达不清，导致翻译成绩一直不好。所以多读点中国文学，然后看看名家译本，读读文学理论。 5.不同阶段的目标 大一大二狂抓基础，大三大四找准目标。大一大二可以先把专四专八当成学习任务，快速扩充词汇，表达，加强听力写作等的基本功。大三大四想好自己的报考专业到底是什么，难度大概是:口译＞笔译＞比较文学&gt;语言学 (学识浅薄，欢迎补充其他分支) 不同的专业具体要求可能略有不同。但是就业的话笔译口译还是不错的，文学和语言学觉得有点偏门。 6.抖机灵 上千研万语论坛看看帖子，勾搭一下自己想报考专业的学长学姐，取取经，能买到笔记什么的也是很棒啊！我室友就勾搭到了学姐然后加上自己不懈努力，最终考研成功。 最后，我个人很钦佩立志考研并且成功的人，你的学校可能并不突出，但是你这么快就有了目标，我觉得这已经很可贵了，当然最重要的是坚持。我来自一个人口大省的小城镇，天资一般但很努力，高考来到了SISU，最终没有实现自己的同传梦而选择去了其他领域，但是上外和上海给我的体验和冲击真的是overwhelmingly amazing! 双语人才是多么cool的一件事啊！现在在办公室，我的英语仍然为自己增色不少，而且语言给予的是一种全新的文化观呀。 我鼓励你来到上外，看看这个自由开放的校园，体验自由开放的上海。 PS:最后建议去上外虹口校区的专业就读，虹口繁华且方便。松江真的太乡村了，不利于实习和涨逼格，但是物价便宜。
本人是上海外国语大学新闻传播学院大一新生，高中学理，还有机会转到建筑领域吗？有人有类似的经历吗？,楼主你好！ 遥想多年之前也是转专业进入建筑系，暂且出来吐个槽。。。 1.先大概介绍一下建筑学这个专业 其实并不是什么高大上的专业，不管是学校还是工作的时候相比其他专业都要繁忙辛苦很多。在学校主要是系统学习和建筑设计相关的各类知识，从方案设计、理论知识到图面表现等等不一而足。相交其他专业，建筑学的专业性更强，想从事建筑设计工作可以说专业的建筑训练是不可或缺的（某些搞艺术或者别的出身跨界搞建筑的另当别论，而且具体实施的阶段也不可能绕开专业建筑师） 这里想说的是，如果想将来从事这一行，那么建筑学的系统学习可以说是前提（不管是设计相关知识还是成果专业表达，需要的技能积累不是短时间能搞得定的！不过要是楼主只是想将来在单位当螺丝钉对职业建筑师不感冒而且有有手段能找到这样的职位那全当我瞎说了。。。） 有人会问，可不可以别的专业本科在硕士阶段转建筑？有遇到过这样的个例，但是情况比较复杂。对方本科土木，研究生方向是关于木构建筑的针对性非常强，毕业以后在研究方向是可以大施拳脚，但是这样的情况要是跑去设计单位当职业建筑师（画图画图画图）依旧南辕北辙……除非期间有针对性训练又熬了若干年而且恰巧有机会练手有机会进设计单位。。。 国内各高校建筑系本科学位分成建筑学学士、工学学士和文学学士。。。招聘的时候基本建筑学学士优于工学优于文学学位，也看具体学校。。。老八校比较吃香（相对） 2.关于市场行情 14年以前是中国建筑市场的黄金时代，不过近两年市场萎缩。撑起半壁江山的房地产和商业地产市场衰退比较严重，开发商和民营设计公司勒紧裤腰带了。另一头政府控制公建项目数量，设计院日子也不好过。。。相应的这几年建筑毕业生就业情况大不如前（几年前都是公司跑到学校招人毕业压根不愁没工作）不过和其它专业相比到底如何暂时缺少资料。。。总之是不如以前，不过也没到毕业即失业的程度（多数人） 相对严峻的形势下招聘更严。。。这个也是专业学历背景不可或缺的原因之一。 3.建筑师日常 读书的时候基本已经是最忙专业了（没有之一），熬夜通宵画图跑不掉的，多点少点取决于手速。。。改方案永无止境，累到吐血。工作之后遇到投标基本必通，繁忙程度取决单位。。。 泼了这么多冷水还是配点鸡汤吧，说起来学建筑比较有意思的地方也是挺多的。因为基本是project based，所以虽然会不停被老师/甲方摧残，但是一旦做成或者中标还是很有成就感的。因为不是纯工科，会涉及很多美学或者理论的东西，对于提高修养扩展兴趣是有帮助的。建筑是一门涉猎很广的学科，基础打扎实以后将来也有非常多细分方向，不过前提是有基础。。。 -----------------------------------------------（我是分割线） 建筑学的相关情况大致如上，具体信息网上其实也非常多。 对于楼主的现状，其实吧，先认真考虑清楚是不是足够了解建筑学，是不是真的感兴趣，是不是合适做这个。。。其实回过头觉得兴趣才是最重要的，好多高中很牛的学霸进了建筑系也未必适应，建筑学不是所有人都适合的。。。 （感叹下居然看到这里了） 如果在深思熟虑辗转反侧之后依旧觉得建筑才是真爱，哪怕知道即将受虐仍不悔当初，恭喜进入第二阶段：转建筑的可行性。 不知道现在上海高校之间转校是否可行，上外没有建筑专业要是不能转校就只能复读了。。。 至于研究生转建筑首先各高校建筑系招研究生也要通过专业考试（建筑史、快题、英语、政治）前两项也绝对不是放假报个班就能搞定的。。。有遇到号称铁了心想这么干的人，毅力感人，然而一学期后还是撑不住了。。。 至于出国换专业又是另外一条路，国外建筑学本科时间短于国内，牺牲一点时间去转也是有操作性的。。。问题是国外本科学位在国内认可度也有限，而现在美国建筑市场一般般，欧洲也挺惨，想在外面混出头。。。又是另外一回事了。。。  关于建筑学的林林总总各类情况我也只好捡相关的介绍一下了，水实在太深。。。 不知道楼主会不会一点点对现在的专业产生兴趣？上外的话本身也有很多有意思的专业吧。。。 转建筑实在是蛮辛苦的。。。  末了，想到建筑系的一句玩笑：熬夜画图时流的泪就是报专业时脑子进的水。。。望三思～
山东理科女，山东大学，西南财经大学，上海外国语大学，都能选一个不错的专业，以后想读研，我应该选哪个呢？,如果山东人以后对是否去大城市打拼还没有定数，真诚建议山大。  首先，山大在省内就是用人单位和父母辈眼中的小清华，山横走可不是白叫的  再者，如果考虑读研的话，山大毕竟985，保研比例和保研学校层次都远远甩开一般的211学校，读研的最低层次基本就是山东大学本校了。而且山东人勤奋好学，这里学风非常好，绝对会为你更进一步提供很好的平台  最后，我有观察近几年分数线，西南财经在山东确实分数不低，经管类专业在行业也很有地位，但并不能说明比山大好，你必须考虑一下招生人数的情况，再理性分析
上海外国语大学 日语研究生 就业怎么样？ 北二外日语同声传译怎么样,本人来自二外同传班，楼上说了上外，我来说下二外的日语同传。 二外日语同传应该是二外最好的学科了。真心强。引用某位该领域知名人士的话，估计二外敢说第二，也没人敢说第一了。  我们用证据说话~ 楼上说的多语种口译大赛，这周六刚比完，二外这次日语口译里同传和交传都拿了第一，应该比较能说明问题了。不过客观地补充说明一下，拿第一的两位都是二外的学硕，而专硕MTI就我个人接触过的来看，我不认为那是专业翻译硕士应有的水平（当然也有可能是我接触的人比较low，但是可以保证的是师资是非常好的。我打心里非常敬佩我的日语老师们的水平。）  也替上外说两句。还拿口译大赛做例子吧。 昨天日语交传二等奖是上外一男生，大四，还是日语零起（就是从大一才开始学日语的）。打心眼里觉得挺厉害的。  匿了~
国贸专业想跨专业考翻译专业硕士，有什么好的建议。我本科是南京的一个三本，开学大三，数学经济学不好也不感兴趣，但是对英语比较有兴趣，想考上海的翻译专业硕士，考上海外国语大学有希望吗？,阿阿 我本科和你一样的专业 也萌生的一样的想法！ 请问楼主你还在吗？能否交流一下
香港理工大学本科翻译专业还是上海外国语大学翻译系，各自的就业怎么样？,我觉得本科，专科专业没用的意思是目前而言这些专业的本科专科不太好找对口的工作，部分专业确实是市场需求问题，有的专业可能是需要更高学历，比如硕士博士
关于上海外国语大学自主招生试题…？,自招数学我不了解 跟你说说上外自招英语吧 笔试＋面试的 笔试无非听力/阅读/不一定有写作 阅读的话我推荐做托福TPO阅读 文章长 内容专业 提高的很快 听力的话不用专注于news那个太难了 可以就听听材料 托福专四这样的 写作不一定有 可以背一两套模版应急用 主要还是平时多练练手 让老师改改 词汇量很重要 因为每一个part都会涉及到 建议背一下专四/六级吧 上外考试差不多是这样的level 面试的话一般是这么几个part 随机问你几个问题＋看图说话＋free talk 问问题的话范围比较广 可以参考托福口语task1和雅思口语part1 一般来说 准备一本书/一部电影/一个hero/一个family member什么的/一个tradition这类的 你也可以网上多看看这种会有什么常见的问题 看图说话很有可能是一个图表 这个可以参考雅思小作文 差不多的 free talk一般来说是一句名言 这个就比较难了 平时多积累一点生活中的例子好了 口试最重要的其实不是内容而是你给人的感觉 pronunciation和confidence非常重要
重庆南开中学考上海外国语大学需要年级排名多少名？,15年考生，高考理科年级排名300左右，父母这方面的朋友说填上外有些浪费分数。  没有太大变动的话，年级300到400考上外应该都可以。  本来想匿名的，想了想还是算了。填报上外请理智。字面意思，没有表达立场。  啊文科生。15年来的都是理科生，这点不太好帮忙了。仅供参考。
上海外国语大学的新媒体专业怎么样?,新闻传播学院有五种专业，教育技术学、广告学、新闻学、广播电视学、网络与新媒体，不知道你对哪一个感兴趣。总体而言，上外的新媒体专业对外语要求比较高，专四必过；就业渠道很广，有很多学长学姐的分享会和参观一些新媒体公司的机会。但是，学术氛围不怎么浓，想就业来上外，想搞学术，劝你不要来
