上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
在上海交通大学新媒体中心(？？)做新浪微博的主编是种怎么样的体验？,1. 做主页君是一种怎样的体验？    2. 论主页君的日常修养：走心   
复旦大学一定比上海交通大学强吗，为什么各种排名里都是复旦强过上交大？,作为一个复旦的工科生，一直感觉交大比复旦高几个level，同基比复旦高0.5个level。。  尤其是鄙软院院长连人带实验室被贵交卷走之后…  之所以排名高都是因为那些和我八竿子打不着的文科专业太强势…嗯用我们大物老师的说法就是那些整天躺在光草上四脚朝天看书的人…
计算机考研：北航、上交、中科大、南大？如何选择,难度：上交&gt;北航&gt;南大&gt;中科大（安徽水区分数会考得比较高） 学校和上边的次序差不多，毕竟都是好学校，即使最后的中科大也不差。 前景：推荐北京和上海的学校，其次南京，其次合肥。 tip：听说北航不考统考408了，上交统考408，另外俩不知道。
本科:上交经管和复旦经管比较？,先列举一点客观数字作为对比。    1. 建立时间   交大安泰： 上海交通大学安泰经济与管理学院的前身可追溯到1903年的“南洋公学高等商务学堂”，1984年恢复建院。  复旦经管：  1917年就创设了商科，并在1929年正式成立了商学院。1952年全国高校院系调整，工商管理学科教育中断。改革开放之后，复旦大学率先恢复管理教育，1977年开始招收管理学科专业学生，1979年成立管理科学系，1985年恢复组建管理学院。  交大的那个所谓前身其实可以无视，本质上还是1984年正式开始起步发展的。所以复旦的建校时间更早，发展时间更悠久。也就导致了整个院系设置上交大一直在向复旦借鉴，师资也是抢来抢去。     2. 国际认证    交大安泰：  学院已经建设成为一个国内领先、国际知名的现代化商学院，是国内第一家通过AMBA、EQUIS、AACSB三大权威认证的商学院。  复旦经管：  2007年，管理学院正式成为PIM（Partnership in International Management）组织成员学院。2009年，学院成为GMAC(美国商学院协会研究生入学管理委员会）在全球的第173家正式会员。同年，顺利取得EQUIS（欧洲质量发展认证体系）国际认证。在2010年，学院又以全球最快速度通过AACSB（国际精英商学院协会）国际认证。在2012 年的EQUIS再认证中，学院再获佳绩，成为中国大陆高校第一家获得五年期认证资格的管理学院。2015年4月，学院又成功通过AACSB再认证。   从国际权威的角度来说，双方各自选择了对自己有利的部分进行了阐述，不相上下。     3. 师资力量   交大安泰：  经济系系教师22人； 金融系现有教师25人，其中海外留学回国博士6人； 应用经济系现有教师29人，其中教师获得博士学位的有24人，包括海外留学回国博士3人； 市场营销系现有师资19人，其中博士生导师9人； 运营管理系现有教师12人，其中海外留学回国博士6人； 组织管理系现有教师18人，其中海外留学回国博士3人； 会计系现有教师18人，其中17人具有博士学位，从海外著名大学取得博士学位的教师6人； 管理科学系现有教师13人，获海外博士学位的教师7人； 管理信息系统系现有教师11人，其中包括海外留学回国博士4人； 创新与战略系现有教师13人，其中包括长江学者1人，国家杰出青年科学基金获得者2人。  复旦经管：  截至2016年6月底，全院共有教师151人，其中教授55人、副教授64人。95.4%的教师具有博士学位，其中取得境外博士学位的有57人，占总人数的37.8%。   人数上交大162：复旦151，复旦有更多获得境外博士学位的教师，这也是复旦目前的课程设置更为合理、教学模式更西化的原因。现在交大也基本只招海归了，不是海外博士连讲师的门槛都迈不进了…而且安泰专业课已经做到全英文教学，从教材到PPT、授课、学生的presentation都是纯英文环境，如果之后想申请留学，这方面也是有帮助的。     4. 科研实力    交大安泰：  截止至2015-12-30，被SSCI/SCI收录论文共 541篇。  复旦经管：  在UTD的“商学院科研排名”中（THE UTD TOP 100 BUSINESS SCHOOL RESEARCH RANKINGS 2011-2015）位列全球99位，亚洲10位，大陆第一位。  我当时在北京国务院发展研究中心实习的时候，对国内审项目的偏好也有一些比较浅薄的接触。从态度上来说，感觉到他们更偏爱复旦的投稿，从这个方面来说复旦的科研实力（或者说论文质量）其实是比交大强的。  总结来说，复旦因为在起跑线上赢了，所以从当前的时间点看，综合会比交大强一些。但是优势并没有那么明显，交大在近年的发展中已经在迎头赶上，并且发展趋势和速度到底和复旦谁更快并不好说。还是综合整个学校的情况来作决策吧。  ------------  概括来说两个学校的对比...基本就是相爱相杀...    地理位置：复旦在上海的东北角，旁边就是繁华的五角场；交大在上海的西南角，俗称闵大荒，基本就是与世隔绝的乡下了...但安泰和其他学院不太一样。现在的设置是前两年在闵行，一心只读圣贤书；大三开始空降上海市中心徐家汇。一方面是大一大二选修通识课在闵行，大三开始为了方面同学实习进行战略转移。一方面是教师的办公室也都在徐汇校区，如果想做科研课题的话可以更方便地和老师进行沟通。这样一来，地理位置上两家也算平手了。   男女比例：交大女生比例 37%， 复旦女生比例58%。但是！安泰的女生比例大概是66%左右！复旦经管的男女比例并不清楚。  学生来源：上海的高中最顶级的一批人，进交大复旦一半一半，彼此之间都是同学，所以综合能力方面其实并没有什么太大差别，大概就是男女比例会不太一样，这个题主自己权衡。  学习氛围：我看到复旦同学讲的最多的就是「自由而无用」，总体氛围偏文史哲；交大理工科见长，逻辑思维这一层是秒杀复旦的（但复旦数学系其实也非常非常棒...我只是在说总体）。从这个角度来说，看题主更喜欢培养哪种思维模式了，没有对错好坏，只是个人喜好。  职业规划：复旦经管数学课比安泰难且多，比如复旦要学实分析、复分析，但安泰的实分析、常微分、随机过程都只是选修。如果是文科生的话还是选交大更合适，不然GPA也不好看。但因为交大近水楼台，CS专排全球21（来源USNews），所以选修课可以轻松选到很多CS，big data，machine learning的课程（选不到旁听也行啊233）。这样一来【经管背景+CS+够用的数学】其实就是现在很抢手的数据人才了...在这一分支上妥妥还是站交大的。   想到啥再补充好了。 利益相关...交大安泰人。  经世济民安天下，管国理财泰中华。  Reference:  上海交通大学安泰经济与管理学院     复旦大学管理学院国际认证领先商学院|MBA、EMBA项目连年FT全球商学院百强      http://www.  usnews.com/education/be  st-global-universities/shanghai-jiao-tong-university-501915      
第一次与男神在网上交谈要如何开头?,我才不要教你，万一你看上的是我男神呢╮(╯﹏╰）╭ 哼！ ——————————————————————————————————————————— 噗，，这是明摆着求折叠的答案，题主莫要介意~  其实，既然是历经艰辛要到的QQ，说明题主1、很用心的留意有关男神的信息。2、不是特别外向、特别擅长交际、能迅速跟人混成一片（也有可能因为对方是男神所以变得拘谨~）的性格。  所以，先了解男神。直截了当的从谈话中获取信息估计不适合题主（也不符合题设……哈哈） 他的喜好（爱吃什么喜欢的运动喜欢的宠物balabala~~）他喜欢的妹子的类型（知乎QQ微信人人，总有蛛丝马迹）他有没有喜欢的人吖之类的，尽可能多的了解。 聊天切入点要自然吖。千万莫要生硬  重要技能就是！萌！萌！哒！！  聊天是第一步， 想通过简单的聊天留下深刻印象，可能性不大， 题主野心莫要太大啊~~ 我觉得很好用的一招：“你知不知道诶，你很男神哟。”然后开始举例子（那次演出怎样怎样/那次唱k你唱的一片少女心萌动了/你哪件哪件事情好赞，周围姑娘都很崇拜你呢）。这时的重点是！强调他是男神！但不是你一个人的！只是从某一个确切的点来称赞他！意思是大家都觉得他这个方面很厉害。 好啦，接下来只要对方没有极端高冷，其实气氛就很缓和啦，谁不喜欢被真诚的称赞和认可呢。  接下来，聊天节奏，要继续萌！萌！哒！然后内容要轻松！根据之前了解到的他的喜好之类的对症下药~~  然后呢，既然是男神啦，要求蹭求帮忙吖，要膜拜要求包养求投食嘛。 【！我男神会看到的！他肯定觉得我脸皮厚(┬＿┬)我来答这个题真是作死！！】 帮忙之后请吃饭请看电影请唱歌，这些不都是自然而然的么~  最后！题主你要对我负责(⊙_⊙)
上海交通大学的法学是否已跻身一二线？, 谢题主邀。   首先要说明一下我是交大的在读本科生，但并不是法学院的学生，所以对法学院的了解并不多。但我在接到邀请后，做了很多功课，并询问了法学院在读学生，在此基础上写下这个答案。有偏颇或不足之处欢迎批评指正。     一、交大大力发展文科的背景   在回答问题前，希望题主正视一个事实： 华东地区的法学在全国总体上处于弱势地位 。  法学最强的几个院校，例如中国人民大学、中国政法大学、北京大学，都位于帝都。必须承认帝都的法学发展要远超于其他地区。  如果题主衷心于法学专业，且有能力考入以上三个学校，那么就去这三个学校，下面的内容就不需要看了。  如果题主只是想要知道交大的法学在华东地区以及在全国的地位，我可以很明确的告诉你， 交大的法学不是华东地区第一，也未跻身全国一线。   法学，历史上交大要弱于传统的文科院校，因为交大一直是以工科为长的学校。  但是近年来，交大的转变非常明显，交大 开始发展人文类学科，而且势头非常猛，发展非常迅速 。   以往交大因为人文底蕴薄弱而饱受诟病，直到今天，还有很多人称交大是文化沙漠，人文气息淡薄。但我希望大家能看到交大的发展方向和势头，足够说明交大已经不满足于止步在工科类强校，开始向综合类大学转变。  这一转变方向与清华大学十分相似。  清华工科很强，但现在也在走综合大学的道路，它的文科在这十年时间里取得了长足的进步，比如说法学，一下跃进了全国前5位。由此可见，一流的工科学校发展文科，尤其是像经管、法学这样的应用型文科，优势很大、后劲很足！因为工科学校有雄厚的财力支持，只要能挖来人，迅速就可以搞起来（不像理工科需要昂贵的实验设备），所以完全有可能后来居上！再说，工科学生也需要人文知识的熏陶啊，只懂理工科知识的毕业生充其量也只是个工匠而已。（来自饮水思源BBS）   在此背景下，法学院身为文科类院校，发展势头十分强劲。并且在得到廖凯原基金会的支持后，发展速度更是上了一个台阶，这也是凯原法学院的“凯原”二字的由来。    根据建设“综合性、研究型、国际化”世界一流大学的需要，上海交通大学于2002年6月成立法学院，并投资2500万元进行一期建设，开启了上海交通大学法学教育发展的新阶段。从这一年，法学院的发展进入了快车道，一跃成为全国发展最快的法学院之一。在坚持本科教育这个中心的同时，法学院在最短的时间内，先后取得了8个二级学科硕士学位、法学一级学科硕士学位授予权、法律硕士专业学位授予权以及宪法学与行政法学博士学位授予权。   2007年7月31日，廖凯原基金会与上海交通大学签订捐赠协议，向上海交通大学捐赠总额不少于3000万美元的资金用于建设一流法学院，以在交大徐汇校区建造新法学大楼、延揽法学名师、塑造学术品牌、培养治国之才和学术精英，为上海交通大学的法学教育发展开创了全新的机遇。2008年9月20日，“上海交通大学法学院”同时冠名为“上海交通大学凯原法学院”，以铭志廖凯原基金会的义举。[1]    依照上海交通大学的发展规划，法学的定位是交大的 未来优势学科和强势学科 ，是交大建设世界一流大学的重要组成部分，是交大文科建设“有选择追求卓越”的重点之一。为实现交大发展的既定目标，凯原法学院将在今后很长一段时间得到学校的大力支持，且廖凯原基金会的捐赠也为上海交通大学的法学教育发展开创全新的机遇，这些都为将交大法学院建设成国内一流的培养法学精英人才的法学重镇奠定了坚实的基础。[1]   结论：  交大凯源法学院 建立时间不长，但是发展迅速，前景乐观 ，在全国的学科排名上成绩也是年年稳步上升（详见下一部分）     二、凯源法学院的各类排名及发展状况   1.中国校友会2014年中国大学法学学科专业排行[2]     说明：  (1)我查阅了 中国校友会网   中2003-2014年的《中国大学评价研究报告》，只在2014年中有关于分学科的排名。 (2)关于中国校友会的可信度，我并未仔细考察。 但校友会所作出的《中国大学评价》得到了中央电视台的新闻会客室、中国教育电视台、人民日报、新浪网以及腾讯网的推荐。 并附上2014年评价指标: 2014中国大学排行榜评价指标体系      2.教育部学科评估[3]         说明： 只搜索到2009年与2012年的资料，皆来自新浪教育。    结论：  两个排名的资料都并不齐全，而且排名这类东西非常容易引起争论，信与不信在自身，所以我不做过多评价。 但从以上两个排名中可以看出，交大的法学专业的确在 快步发展 ，这事毋庸置疑的事实。而且交大的法学水平称不上一线，在全国也属前列。     三、来自法学院在读学生的信息   很简单地采访了一位就读于法学院并且已经保研的学长，比较仓促所以采访内容准备得不是很好。这里感谢这位学长，因隐私问题就不公开姓名了。  整理了一下采访内容：  1.课程开设方面  秉承着交大一贯的务实风格，基础课的数量和质量都相当不错。专业课每年都有变化，这无可厚非，即便是像我所读的机械这样老牌专业，每年的教育计划都会有所改动调整。而且法学院发展时间短，改变再所难免。 教育计划本来就是在发展中慢慢寻求改变以趋于完善。   2.师资力量方面  由于我的问题，这个方面的确问得不太好，得到的信息量不大。 学长给予老师的评价是有很好的老师，也有一般的老师，但是没有差的老师。注意这里指的是老师的授课，而不包括学术成就。   3.发展方面  凯原法学院的发展的确不错，因为注重实务， 就业情况相当不错 ，很适合不想考研而想直接工作的同学。  若说到与华东政法的比较，这个问题的确不好开口，很容易引起争吵。只能说这两个学校并不冲突。 华东政法毕竟是政法类学校，若有志于进入政法系统，这块招牌很可能会有buff加成。所以若是想走又红又专的路线，华东政法不失为一个好选择。 但如果只是想当一个律师或者进入公司工作，并且有进入交大的分数，那么选择交大更不错。偶尔这个社会， 看学校的名气大过于看专业排名 ，你不能否认交大的招牌比华东政法更硬。   4.氛围方面  学霸多（这是交大的普遍校情），永远不缺少奋斗的目标。 老师很包容，给予学生足够的帮助。 设施等方面自然无需担心。    引用信息：  [1] 上海交通大学凯原法学院     [2] 2014中国大学法学学科专业排行榜     [3] 学科评估高校排名：0301法学(2009年)_新浪教育      学科评估高校排名：0301法学(2012年)_新浪教育       以上。 
跨专业考研上交、复旦和浙大的CS怎么选择？,推荐浙大。比起复旦，浙大与上交的计算机牌子更亮一点吧。 上交的cs录取率和录取人数真的要比浙大低多了（16年上交cs算上推免的招生人数跟浙大考录的人数差不多 （如果之后想出国深造的话三个学校差不多吧 再者说杭州的互联网氛围很好...而且比起上海真的压力要小得多，适合创业也更宜居。
上交的机械在国内的优势是什么？,1：非常有钱，铜臭味儿重。在外开公司创业的老师很多。说个数据吧，2014年上交机动学院的总科研经费4.4亿，纵向1.9亿，横向2.5亿。 2：交大机械学科大而杂，基本上在国内高校机械学科中是发展的最全面的。其中在振动，并联机构，生机电，薄板成型，智能制造等领域优势明显。 3：国际化程度高，交大机械海派气息较浓。像倪军，郑平，彭志科等大牛都是从国外回来的。机动学院每年都要引进几位国外一流大学的青年科学家。 4：会挖墙角。机械这一块的大牛除了林忠钦院士外，像丁汉是华科的，朱向阳，朱利民是东南大学的，高峰是全职从河工大挖过来的。 ……以后再补充吧
上海交通大学有哪些学生喜欢吐槽的典故？,在交大生（xia）活（hun）了两年，各种喜闻乐见的吐槽我见得多了。交大学生向来喜欢自黑，基本半周一小哏半月一大哏，还有几乎全民参与的一年亮度的交大吐槽节（水平考）。各种新奇吐槽层出不穷。不过总的来说，以下的这些都是经久不衰的段子源。 （想到哪里写到哪里，所以次序可能比较乱）    留学生大半韩国人，整天棒球服小短裤屌屌的。     男女比例（号称1.7：1，但是都是医学院安泰人文外语拖起来的，工科专业普遍5：1以上，如下图）       隔壁华师大号称后花园，但其实去的人真心很少。       寝室没热水        一届更比一届待遇好（14级寝室热水都有了，13级寝室比12级大50%+，还有独卫，而且水平考改革，任选学分要求，少10分，说多了都是泪）      闵行校区位置偏远（所以我们一般都号称自己不在上海）     相比复旦同济清华北大等老牌名校，学校的社会认同还需要努力啊。      一餐二餐挤到爆，三餐太难吃，四餐太远，五餐更远，六餐我都大三了还没去过      外卖盛行，整日可见外卖小哥在校园里飞驰。       选课：海选纯人品，抢选分批开放+登不进去。      安排：课多考试多，而考试大多集中在考试周，所以有时候就特别丧病。      下暴雨的时候梅花桩积水       每年新生刚开学的时候，上课简直壮观      军训完以后的阿鲁巴大赛，注意后方横梁      英语水平考：满分100的考试，一般只有不到10%的人能通过（大约66分）传说 美国人都挂掉过   难度之大以至于被百度评价为      校花石楠的芳香（把石楠栽到女生寝室门口，细思恐极）  不明真相的群众请参考  伤不起的石楠花 武汉满城尽带精液味     当然，提起交大，就不得不提以下3位吉祥物  张杰（杰哥）：史上最萌的校长       全国最有名的学弟：      最后，大家都知道是谁的.  注：部分图片来自人人，如果认为不合适可以联系我删掉
清华、北大、复旦、上交和人大学生吃饭的时候都在聊什么？,老王能吃又能喝，清芬一楼点香锅， 呼朋引伴为自得，唱罢军歌聊选课， 莘莘学子乍相逢，可乐三巡牛皮扯，  各路英雄何处来？黄冈衡中等闲过， 保送考试何足道，高考区区七百多， 关山迈步从头越，当年威风休再说， 饭饱相约自习去，路遥还需自行车， 兵马未动粮草行，“校内何处买水果？” 少年不知校风大，好汉坡上春衫薄。  西山苍苍东海茫，匆匆又已近期末， 李逵张顺乐渔樵，CTMR辩善恶， 量子力学量力学，随机过程随机过， “休得考后对答案”，击掌三下以为诺， “听闻奶茶又丢卡”，鹿死谁手无从卜， 死生未知忧挂科，强颜满嘴跑火车。  江湖儿女江湖老，江湖何处无风波？ 朝思隔空戏北大，暮念线上斗民科， “篡改百科尤可恶，px剧毒尽胡说“， 人人又出新段子，理工男生再背锅， 横幅年年惹争议，我问诸君有何策？ 自呛不吸真无脑，阳光刷脸需改革，  四年寒暑转瞬过，叶叶声声奏离歌， 桃李再饮一杯酒，互道珍重辞故国， 一杯先敬猫馆长，月下对饮情人坡， “莫道明州无知己，前路此去海天阔” 明州夜雨大江流，江河万里映素娥， 老王能吃又能喝，夜半忽又念香锅。
