一名军医大学毕业的学生，他的未来可能是什么样的呢？,学霸考研，其他人嘛家里有钱就买断，有关系就分到医院，剩下的就只能去基层拔草了。
网传重庆大学与三军医大学合并，你怎么看？,       老重大被各种拆分，能够发现到现在确实不容易。多少学校是踩着重大的尸体蹦哒到前面的，也到了回馈一下的时候了吧。        三军医大不乐意，可以参考西政，以前的法学界泰斗，现在……         我重大工科屌丝众多，屌丝气质浓郁，现在对我爱答不理，明天让你高攀不起。不合并就挖你墙角，当年也是憋了一口气才三年拿下法学的博士点的吧，辣么多教授不少是西政的。          再说重大校舍经常装修，也是各种有钱，现在虎溪那边还在各种盖楼一遍一遍地装修，不知道三军医宿舍条件怎样，反正肯定不会差，还经常有校友捐赠。科研经费这种东西不清楚，以前能申合并之后应该是更好申请吧。         真心希望两校合并！
如何评价第三军医大学及其附属的西南医院反对泸州医学院改名为西南医科大学？, 泸医在此次更名事件中是对是错，其实很明显。          第一：泸医自身办学科研水平根本没达到《普通本科学校设置暂行规定》中规定的称大学的条件。          首先，教育部在《普通本科学校设置暂行规定》（教育部官网原文见 教育部关于印发《普通本科学校设置暂行规定》的通知   ）中明确规定：“ 2.普通本科学校应具有较高的科学研究水平。称为大学的学校还应达到以下标准:" "......（2）近5年来科研成果获得省部级以上（含省部级）奖励20项， 其中至少应有2个国家级奖励 ； ”，如下图：            而在《四川省教育厅关于泸州医学院更名为四川医科大学的论证报告》中，四川省教育厅列举泸州医学院获得的国家级奖励为“  中华医学科技奖  ”。见下图：      “中华医学科技奖”是由“中华医学会”这一民间组织评议并发出，而“中华医学会”不属于政府机构或者事业单位，没有行政级别。那么争议就在于：中华医学科技奖算不算国家级奖励？          华西校友就此争议咨询科技部，科技部明确回答：不算！  所谓“科技成果国家级奖励”只能是：“国家自然科学奖，国家技术发明奖，国家科学技术进步奖”三类  。同时，泸医的内部文件中也对科技成果国家级奖励进行了认定，与科技部规定完全一致，如图：           上图泸医内部文件链接在此：  http://www.  scmu.edu.cn/uploadfile/  2015/0311/20150311090007108.doc        从  泸医内部文件  可见，其获得的“中华医学科技奖”不在其认定的国家级奖内，由于中华医学会是民间组织，没有行政级别，对照其省部级奖的认定中“国家教育部卫生部国家中医药管理局等部委颁发的科学技术进步奖”的内容，连省部级奖励都算不上，更别说是国家级奖励。但是奇怪的事，在的众人质疑其没有获得国家级科技成果奖励，不够资格升大学名号时，泸医居然号称 “中华就是中国！中华医学科技奖就是国家奖！” ......无奈。     综上，泸州医学院更名为四川医科大学的过程中，其“获得国家级科技成果奖励”一项未达到《普通本科学校设置暂行规定》中升为大学称号的门槛。            其次，教育部在《普通本科学校设置暂行规定》中还规定“ 称为大学的其每个主要学科门类中的普通本科专业应能覆盖该学科门类3个以上的一级学科， 每个主要学科门类的全日制本科以上在校生均不低于学校全日制本科以上在校生总数的15%，且至少有2个硕士学位授予点  ”。如下图：            而在《论证报告》中关于此项的论述如下：            看到没有，按照《普通本科学校设置暂行规定》，称大学的必须有三个以上学科门类作为主要学科，其每个主要学科本科以上在校生人数应达到全校本科以上在校生的15%以上。泸医三个主要学科门类中， 管理学在校本科以上学生仅占全校本科以上在校生总数的3.8%，远远低于规定的15%；同时，称大学的高校其主要学科应至少有两个硕士授予点，而泸医管理学硕士授予点仅有一个。     在主要学科本科以上在校生数量和硕士点两项指标上，泸医均未达标。           再次，教育部在《普通本科学校设置暂行规定》中还规定：“   凡经过论证  ，确需设置普通本科学校的，按学校隶属关系，由省、自治区、直辖市人民政府或国务院有关部门向教育部提出申请，并附交论证报告及拟设学校的章程。 ”如图：            显而易见，如果按照程序，泸医更名应该先完成更名论证报告，而后再由四川省政府向教育部提出申请。        华西校友依法向四川省政府申请了信息公开，四川省政府依法公布了泸医更名过程中两份极为关键的文件：《四川省教育厅关于泸州医学院更名为四川医科大学的论证报告》以及《四川省人民政府关于泸州医学院更名为四川医科大学的函》（简称《川府函192号》）。拿到文件后的华西校友惊奇地发现：  《四川省教育厅关于泸州医学院更名为四川医科大学的论证报告》的落款日期为2014年10月30日，而由省政府发给教育部的申请更名函《四川省人民政府关于泸州医学院更名为四川医科大学的函》（简称《川府函192号》）的落款日期却是2014年10月15日！（如下图）           换句话说，在四川省政府为泸州医学院更名“四川医科大学”向教育部提起申请时，按照规定应该附交的更名论证报告还远未完成！这是典型的行政程序违法。           不过有泸医人来洗地说“《普通本科学校设置暂行规定》只不过是原则性规定，适时的时候基于具体情况可以适当放宽”。这种说法非常不负责任。        《普通本科学校设置暂行规定》确实是教育部门的部门规章。其内容是教育部对新设高校以及“学院”升格“大学”的资格认定标准。其表述清楚，行文严谨，并不是所谓“原则性规定”，至今教育部关于《普通本科学校设置暂行规定》的解释中也没说过“这只是原则性规定，实施的时候基于具体情况可以适当放宽”。反而教育部对于《普通本科学校设置暂行规定》的解释中再三强调了其规定的严格。链接在此： 由“学院”更名为大学需要具备哪些条件？哪些是硬性条件？   因此，说《普通本科学校设置暂行规定》只是“原则性规定”的说法纯属模糊事实，把明文规定变成了自己想怎么捏就怎么捏，想怎么解释就怎么解释的软面条。         综上，  泸州医学院在更名为四川医科大学时，其科研与教学实力均未达到《普通本科学校设置暂行规定》所规定的标准，而且在整个申报过程中存在严重的程序违法，根本没资格称“大学” 。           一个没资格称大学的院校，讨论它应该更名为“ 四川医科大学 ”还是“ 西南医科大学 ”乃至“ 宇宙医科大学 ”都是没有意义的。     第二，如果你非要忽视以上结论，讨论泸医更名“西南医科大学”是否合理，那么结论也是不合理的。          首先， 历史上西南医科大学确实曾经存在，而且就是如今第三军医大学的前身。 证据链接在此： “西南医科大学”确曾存在！――要改名字、要吵架，先学历史！            本文内容翔实，图文并茂，以事实说明了  历史上西南医科大学确实存在  。文中称：三军医大“于1954年由原第六、第七军医大学合并而成，第六军医大学前身系第四野战军医科学校和原国立中正医学院，第七军医大学前身为第二野战军医科大学，1975年更名为第三军医大学。所以，三军大的老祖宗有好几个：第四野战军医科学校，原国立中正医学院，以及，第二野战军医科大学。第二野战军医科大学在南京时，参与对原中央大学医学院的改造，共用了一些师资力量。“西南医科大学”就应该在1950年初这个时期诞生的。但是具体的命名时间，目前并不清楚。”         同时，由于对这段历史的好奇，我也试着在网上搜索了一下关于老西南医科大学的资料，查到了如下图片：             这些留存于世的文件图片无一不证明了 “西南医科大学”确实存在过。          那么是不是曾经有高校用过“西南医科大学”的校名别人就不能再用了呢？教育部关于这给问题专门解释过，链接如下： [王勇]:大学更改学校名称的相关规定是什么？大学更改学校名称可以使用别的学校使用过但现在没用的名称吗？   其中明确指出： 为了规范高校名称，避免引起社会公众混淆，普通高校更改学校名称一般不可以使用别的学校曾经使用过但现在没用的名称。若使用， 须征得原使用学校的同意 。 为了方便，我还是把原文截图如下：             泸医在更名为“西南医科大学”时根本没有征求过现第三军医大学的同意，就擅自申请更名为三军医大曾用名，这也是不符合规定的。          于此同时，此教育部答复中第一条也说得很清楚：“设置普通学校，应当根据学校的人才培养目标、办学层次、类型、学科门类、  教学和科研水平  、规模、领导体制、所在地等，确定名实相符的学校名称。”泸医这一二本学校， 没有博士点没有国家重点学科没有国家重点实验室没有国家级奖励，教学和科研水平在整个西南地区毫无优势。唯一可以的 不过是在泸州地区称王称霸而已  。这样的水平更名西南医科大学，不符合规定。         此教育部答复中第二条也规定：“校名不冠以“中国”、“中华”、“国家”等字样，不以个人姓名命名，不使用  省、自治区 、直辖市和 学校所在城市以外的地域名 。 ”泸医所处四川省泸州市，  按照规定，即便够资格升大学，也不得称“四川”（不使用省名）及西南（学校所在城市以外的地域名）而只能称泸州  。   关于这一条曾经有泸医学子曲解条文后跑来跟我死犟 ：“泸州就在西南啊！凭什么不能叫西南医大？”呵呵，泸医还在宇宙呢，你怎么不叫宇宙医大？          最后，不要拿“别人也成功更名，别人也在用大区名”等等作为校名来做泸医更名合理性的借口。毕竟别人是别人的事，和泸医更名无关。 要讨论那就只能拿规定学院升大学以及高校更名资格的条条款款来套。如果泸医师生有兴趣拽别人下水，完全可以向教育部举报你们认为不符合规定更名的学校。          综上：  泸州医学院根本没资格称大学，更没资格更名为西南医科大学。      ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝更新分割线＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝         随着时间的推移，历史上“西南医科大学”曾经存在的证据逐一浮出水面，而且越来越多。        出版于2010年6月的重庆市志《第三军医大学志》中明确记载： 1950年5月至1951年5月，西南军区卫生部医科大学，曾称西南医科大学，位于重庆覃家岗。              而在1950年5月3日的《批复筹设西南医科大学方针草案》中也明确写到：“为开展西南卫生工作，拟定建立医学教育中心， 设西南医科大学 。”             看到没有？ 当年的批复草案写得明明白白，“定名为西南医科大学”！            多方证据表明，“西南医科大学”并不是“西南军区卫生部医科大学”的简称，准确地说，西南医科大学是西南军区卫生部医科大学的前身，建立时为西南医科大学，后更名为西南军区卫生部医科大学。           白纸黑字记载得明明白白，如今的三军医大曾经叫过“西南医科大学”，时间虽然短，但是仍然存在。 泸医人叫嚣的“三军医大校史里都没有记载过”的谎言不攻自破。      ======================== 20160812 更新 ================================   众所周知，医学是一门经验性和实践性非常强的学科。一个好的医科院校，必然有一个好的附属医院作为教学、学生实习以及科研的平台，附属医院的质量和排名非常大程度上决定了该院校的学科地位。对医学院校来说，附属医院的排名甚至比院校的排名更重要。  经同事提醒，查了查《复旦大学医院管理研究所医院排行榜》，才发现泸医厚着脸皮更名“西南医科大学”有多么可笑......  首先是全国排名，链接如下：  医院排行榜       综合实力协和第一，华西第二；科研能力华西全国第一。  泸医附院？全国榜只有前100，未见泸医附院。  换句话说，泸医附院全国排名在100之后。至于多后，不清楚。   既然全国排不上号，可人家是“西南医科大学”啊！其附属医院至少要有一家在整个大西南有一席之地了吧？  那我们再来看看西南区医院综合排名，链接如下： 医院排行榜      共上榜20家医院，华西、三军医大、昆医、贵医、重医甚至很多泸医人看不上的遵义医学院均有附院上榜，泸医呢？再次榜上无名。 这可是号称“西南医大附院”代表西南医疗水平的泸医哦！    泸医老说自己麻醉厉害，甚至不少人都在吹泸医麻醉“全国首屈一指”......吹牛的人语焉不详，不知道是说的泸医麻醉教学水平呢还是泸医附院医疗水平呢还是泸医麻醉的科研水平呢？不管吹的是哪一个，如果上面三项泸医有一项真的是全国一流（还不是全国第一哦），其附院的麻醉科总会在全国名列前茅吧？  好吧，我们先来看看全国麻醉科排名，链接如下： 医院排行榜   麻醉科  华西麻醉科全国第一。可是说好的麻醉全国第一的 “西南医科大学”呢？别说上榜全国前十，连提名都没有。说好的全国“首屈一指”呢？    也许人家泸医附院在全西南能有高排名？  那我们就来看看西南区各医院麻醉科排名，链接如下：  医院排行榜     上榜五家医院，提名四家医院共计九家， 泸医附院号称“麻醉第一”的麻醉科同样榜上无名......    那泸医附院总要有拿得出手的科室吧？既然号称“西南医大”，不说西南排名第一，总得有某一科排名在西南各医院前茅吧？？  很可惜： 医院排行榜      整个西南大区（云贵川藏）排名中，34个专科列前五位（每科上榜仅5家）的医院，都不见泸医踪影。     无论综合实力、科室水平还是科研能力，泸医无一专科上榜，无一！包括坐井观天的泸医人极为自豪、甚至号称“全国第一”的麻醉科！   换句话说，泸医所有科室在整个西南大区排名都未上前五，泸医引以自豪的麻醉甚至连前9都没进。    就这水平还好意思厚着脸皮号称“西南”？     ======================== 20161113更新 =================================   2015年《复旦大学医院管理研究所医院排行榜》出炉，泸医继续榜上无名，包括泸医引以为傲的麻醉科。  全国综合排名前100，连接如下： 医院排行榜       全国麻醉科排名前26： 医院排行榜   麻醉科     西南综合排名前20： 医院排行榜       西南大区麻醉科排行榜前10： 医院排行榜       鼎鼎大名的西南医科大学继续榜上无名！！！其中泸医麻醉科继续排名西南前十开外！！！  呵呵，西南医科大学？  ===================================================================   泸医在几个月之内两易其名，可谓前无古人，后无来者；而两次更名都故意步步踩屎，继而被业内大佬左右开弓打得满脸桃花开。但即便这样，也要哭着喊着拼了命也非要傍个有名的大佬当亲戚，其行为犹如凤阳朱重八非要认朱熹为先祖一般，此等吃相如此之难看，行为之无赖，可谓旷古绝今，足已载入史册。     最近一年全国同行开会时，无论院士专家还是入行不久的青年医生，大家茶余饭后的笑料总绕不开泸医更名。公道自在人心，全国各同行对更名中泸医上下的种种行为无不嗤之以鼻，其用语之难听、态度之鄙视，让同为四川人的笔者也为之老脸一红。如今泸医臭名远扬，就不知道当初力主泸医更名的泸医、泸州领导脸红不红？当初煽动学生游行抗议的泸医教师脸红不红？当初网上恶毒叫骂、围攻阿宝甚至诅咒人家“被患者家属砍死”的泸医学子脸红不红？当初豪言“誓死捍卫”并且集结示威的泸医学子脸红不红？如今跑来为泸医强行洗地站台的题主脸红不红？  
军医大学的学长们，再给你们一次机会，你们怎么选？,都在wujiaochangme
最好关注重庆第三军医大学各大附属医院招聘信息的最好方式?,找关系
第四军医大学和985、211等大学相比是哪个档次的？,能进211，进不了985。在211中实力中等
想知道你们对海军知道多少？又有谁了解海军军医大学？,楼上最好不要乱说。 从17级开始新开了影像医学和检验医学专业，合并了菌医和海医。在菌改的大潮下新收学员将会变成有菌籍，这也意味着将来再出几十万买断去地方不太可行，毕竟这只是个临时政策也上不得台面，因此入行需谨慎。 学校高考录取分数大概各省都是超一本线五十多分，教学资源很丰富，七个院士三(四)大附院信息网上都有，学员宿舍四人间有网有空调无淋浴要求搞内务，但菌校生考核标准一样都不少，毕业时无法通过只会没有证，而且菌校里杂事很多，并不能像地方一样自主去投入很多时间学习。毕业都面向基层分配，政策是量化考评积分的“阳光政策”，具体可出门去看贴吧，所以是否要考研是否要狂刷绩点是否要狂刷科研军事荣誉学分自己入学就要考虑清楚。入学以后补助什么都比较多，确实会比较省钱，但是毕业后吉凶难料，所以还是劝报考前三思吧，希望对你有帮助。
在军医大学读研究生是什么体验？,屎一样的学校 屎一样的体验 看看天涯里面队干是怎么对待他们口中亲爱的学员的
大二211军医大学再读，怎样能以重读本科换专业的方式留学德国离开军校？,有病
莹朴这个洗发水好吗？第四军医大学生产的。,好用，我已经用过两瓶。洗完手感很好，头发柔韧度增强
如何看待第三军医大学致信教育部反对“泸州医学院”改名“西南医科大学”？,三姓家奴，都不知道自己根在哪，以前泸医没当创造医学界的神话，但经过不懈努力，三次更名他们肯定是医学界的笑话
