从理工专业，考研或出国前景，消费和环境来说上海大学和苏州大学哪个好一点？,家里蹲
苏州大学本科毕业在上海认可度高吗？,上海很多本地人都愿意去苏州上学，一来是离家近，二来学校也不差，是211.目前苏大在上海的竞争对手主要是上大，和其他几所学校都有级差，没有构成竞争威胁。在上海人眼里，上大和苏大基本上属于平级水平
山东理科。。。586、。一本537。。。山东排名37000。。。。。。。能上苏州大学吗？,我585诶，排名38105，还真是一分千人啊...我觉得苏州大学很悬哦 今年一本线这么低，不知道向往年一样按线差报志愿还准不准
有苏州大学学科教学（物理）的师兄姐吗？, 可以考呀！先了解下苏大学科物理这个专业的考研信息，像招生简章，考研大纲 分数线，报录比，参考书目，专业科目等等这些都必须了解的具体了解下 苏州大学考研网   ！这些信息对于备考很重要的！必须了解的！加油！ 
本人南艺设院视觉传达，想考研，因家在苏州考虑以后工作想考苏州大学专硕，而苏大该专业没有南艺好，值得吗？,楼主你好～可能我的回答的有点偏～  因为我认为，要有一定的工作经验才有资格当老师，否则很容易误导学生的。因为在高校里所学的设计，都是学术型设计，学生们的想法可以天马行空，但他们往往不知道，创新是有风险的需要承担代价的，这要去工作之中才能够真正地处理好设计与商业的关系。如今很多考完研的直接就到大学里教设计了，这些老师往往不清楚社会型设计，而是稀里糊涂地灌输着学术型设计给学生，这就导致了很多学设计出来的学生一下子没意识到社会型设计的残酷性与限制性……
本人苏州大学（211）大四在读，想申请英国或者香港研究生？,传媒的话，英国的纽卡、拉夫堡、兰卡、利兹、卡迪夫这些都很不错，专业排名都是靠前的学校，要申请的话就要抓紧时间了，现在大部分学校的申请通道已经开通了。题主是打算自己申请吗？
苏州大学凤凰传媒学院如何？,你是今年考吗
苏州出名的大学为什么很少？,你看看国内高校的排名，除开直辖市、省会、计划单列市之外，还能剩多少叫得出名字的？
客观来讲，苏州大学的研究生怎么样？值钱吗？,看你什么专业了 总的来说学校现在综合排名稳步上升中 当然我个人不大相信各种乱七八糟排名... 但是最新内地排名20+... 如果在长三角上海发展...而你去不了别的高校 是个选择吧  个人建议考虑专业排名
请问中国人民大学苏州校区如何？,因为这个评论收到了太多私信问我报考志愿的，没能一一回复，不好意思啦，我再这里把回答补充的全一点。祝贺那些问我以后今年高考之后要去ifc renmin的同学们啦！虽然你们都是学金融没有学文学的。我就一个要求：你们新生见面会的时候如果有人问你们怎么知道的，记得说在知乎上看到了我的回答！！！算是我跟老师们的一次再交流吧！ 还有要看照片的，要是点赞超过50的话我就放几个我和学校的照片。。。  补充部分：  人大苏州校区，不是一个野鸡学校，类似于清华深圳校区，只是学校不在本部而已。苏州校区的分数线一直挺高的，15年今年已经在江苏高考的录取分数线了超过了人大本部北京校区了，各省分数线应该至少在一本线上60-70分以上，还会继续涨。  人大苏州校区真的是我在国内见过的最有国外优秀大学风范的国内高等院校了，我的一些去国外上过学回来和我一起来到苏州校区的同学也这么感觉。 真心的非常优美的学习环境，学霸的学习氛围远超本部北京校区，国际化的氛围（因为本来就是合作办学所以留学生非常多），非常有意义的社团活动，还有真正的非常非常好的老师们，老师们我真的好想念你们啊啊啊啊啊啊。  本科我了解不是特别深入，因为我是研一在ifc读的。人大苏州校区本科主要两个大方向，金融国管方向，法语文学翻译班。苏州校区有多牛呢，15年毕业的苏州校区的本科金融班是50还是60个人，3个人考上了巴黎高商（这所学校在国内的录取难度堪比牛津剑桥，法国乃至欧洲大陆最好的商学院）。如果你心里想：切，不就3个人么。。。前提是哦，他们是本硕连读，本来硕士按照教学安排是在马赛波尔多商学院读的！就是说，这个金融班的人，在已经能上一个不错的法国高商的前提下，自己本身真的很努力，居然考上了巴黎高商，而且三个（这个学校每年在中国招生名额是个位数）。。。汗颜啊我本科也是985呢，法语系已经好多年没有一个能考上巴黎高商了，只有考上第二和第三排名的商学院的。。。法语文学翻译班高考分数线比金融低一些，但是交换的法国学校也是公立大学里数一数二的了，巴黎四大和蒙彼利埃三大。我觉得人大苏州校区学生的法语水平整体比其他院校要好很多，从他们的专四和法语水平考试上能看出来。  硬件条件，四人间寝室，有空调有宿舍里的独立卫浴。苏州高教区是个大学城一样的环境，所有学校宿舍区都在一起，所以会遇到不同学校的有意思的学生。这点也挺像国外的大学。  缺点就是，学费确实不便宜，但是跟其他合作办学（尤其英美的）相比，倒是一点儿都不贵。。。君不见隔壁的西交利物浦，动辄学费一年十万，还只是国内的本科。。。  我好想念学校的老师们。。。。不知哪位看到了老师们替我问个好  以上  原来已有的正文分割线------------------------------------------------------------------    正在苏州校区学习中。  我参加的是人大中法的硕博连读项目，研究生一年级在苏州，是巴黎四大和蒙三大的老师来这边讲课，研二和博士去法国读。这两个合作的学校怎么样，你可以自己去百度，尤其是巴黎四大索邦大学。  简单说说学习体验吧，我觉得如果用心学习的话，真的是挺难，确实能找到高三的感觉。老师督促着你做projet，写论文，等等。课程都是文史哲，重点是，这些课程都是法国大学老师直接授课的，全程无中文，想混文凭的就不要做梦了。学费也挺贵的，但是在法国读研一的话生活也得这些钱。  我其实很佩服这个校区中法学院，注意，不是国际学院的，本科生，经常在图书馆看到他们非常刻苦。他们在大二考TCF或者TEF达到B2等级的有90%，要知道，法专大四学生也不一定在没有培训的情况下考到B2。就不提那些上着什么FF新东方各种机经班的学生了，他们的法语，呵呵，我觉得真是白瞎了钱。总之，人大中法学院真的是我见到的学习氛围最为良好健康的学校，注意是良好健康，我的意思是，他们不是死学习的学霸，而是会学习的学霸。学校的法国留学生很多，感觉和中国同学相处也很好。  我是研究生，教学的老师们都是巴四或者蒙三的大学老师，真的非常非常的有名。另外还有两个法国的老师专门负责我们的研究projet，都很负责细心，要知道我们班只有20个人，却有2个法国老师监管学习计划。另外还有一个专门负责签证能事情的中国老师，类似于辅导员。因为学校走的是法国路线，所以没有团委团支书等等来烦我们。  校园不大，但真心的好美啊，图书馆旁边有个湖，里面有两只黑天鹅，我经常一个人在图书馆学不进去的时候就去看这两只黑天鹅。真心很喜欢这个学校。  本来想贴几张学校的照片，发现自己入镜太多，避免被说成自恋我就不发照片了。
苏州大学今年大四还体测么，怎么一点消息都没有？,这种事去你们学校贴吧问吧。。
