南京理工大学 西南交通大学 上海大学 该如何选择？,南京理工大学武器类专业不错哦，西南交通大学运输类专业很强哦，至于上海大学就太了解，上大留沪率94%，也不错哦，个人推荐去西南交通大学，因为南京理工被水淹了，上海大学压力大，节奏快
作为土木隧道专业的大二学生，想报考西南交通大学的隧道专业研究生，该如何准备？, 作为本校同专业研究生师兄，劝你别考研了，直接工作吧 
想考2014年西南交通大学的桥梁工程研究生，专业课应该看哪些书籍较好？,我的回答可能对考研没有什么帮助。  如果是学术性硕士，专业课考试为材料力学 如果是专业型硕士，专业课考试为混凝土结构设计原理  至于看什么书籍，我觉得看什么不是关键，关键是要理解基本概念。  复试的时候，要考土力学，材料力学，结构力学，流体力学，混凝土结构设计原理。  混凝土结构设计原理要注意多看预应力部分（这个是复试）。  如果是走学术型，应多看数学力学，同时要有一定的计算机编程能力。   这个是我的招生信息  交大，西南交通大学，导师信息，教师，个人主页   
山东大学威海校区的经济学还是西南交通大学的金融学？,泻药。 我只能说一些关于武汉理工大学会计学的方面。 武汉理工的会计学，是管理学院最厉害的专业，分流时所需分数绩点是最好的。(注意这里，你入学只能进去管理大类专业，在大一结束的时候进行专业分流才能进入会计专业)。进入这个专业时的竞争还是很激烈的，各种绩点4.0的学霸入驻于此。总体来说，这个专业本身就很热门，常年经久不衰。还有管理学院在武汉理工属于巨无霸学院，各种吃资源，也就是有很多好处。总体来说，如果想在武汉发展的话，这里是一个好去处。 知道的不多，就帮你到这了。
16考研，求推荐西南交通大学环境工程的研究生导师？,这看你以后想学哪方面的。固废方面有刘丹，李启彬老师，他俩一个课题组的，都特别负责，切身感受。水处理方面，付永胜老师很强。大气就没啥老师了。
武汉理工大学， 西南交通大学， 读计算机科学与技术，如何选择？,西南交大 1.天府新区，高新企业比较多，it还行吧。 2.在郊区，校门口有地铁站直达春熙路，交通方便 3.浓厚，别整天待在寝室，多去图书馆就好了。 4.男女比例2:1
西南交通大学的电气与北京的电气怎么选择啊，小弟读研？,教育部学科评估来看，西南交大的电气实力远大于后者。
请问西南交通大学目前MBA毕业论文查重率要求多少？,根据个人写作在职MBA论文的经验来看，一般的重点大学或者是开展MBA教育比较早的学校对于论文的查重要求是比较严格的一般在10%-15%之间而且是采用的知网查重。而一般的普通学校的查重要求要求是20%-30%之间即可。西南交通大学的具体规定是多少可以查看该校的MBA论文写作规范或者与导师确认即可。
你怎么看待西南交通大学对于罗筱帆同志意外受伤的捐款倡议书？,没想太多，觉得既然看到了，自己也想献这个爱心，就献了。 学生党，没什么太多的钱，但是希望自己的一点小举措能够成为汇入大海的涓涓细流 觉得挺惨的，人活着不容易，夏天来了宁愿少吃两顿饭，可以给一些帮助
西南交通大学测绘大类的专业方向该如何选择？, 同学你已经看得很清楚了嘛，选想要的呗。  另外，大学同学里最后职业还是选GIS的并不多。 
中南大学，东南大学，北京交通大学与西南交通大学桥梁研究生那个就业好？,本人就是这四所之一的桥梁研究生……刚毕业。这四所就业单位认可度都不错，个人感觉，西南=东南&gt;北交=中南，有不同意见勿喷，当然就业也分地域，不同地域不同单位领导等影响也很大……
西南交通大学的电气工程有什么特点？就业如何？,西南交大的电气工程全国排名还是不错的，大概7，8的样子。 但是针对的主要是铁路相关的电气，当然了，这个学校也就是一个为铁路而生的学校。 虽然是铁道电气，但课程设置是没有问题的，其他电气强校学习的课程我们也会学，只不过会加上一些在铁路上的应用相关。知识体系不会缺。 就业是没有问题的，铁路局轻轻松松，电网也能进。同等分数下，性价比还是很高的。
