中山大学岭南学院为什么要括号一个“大学”呢？,现在康乐园的地盘原本就是岭南大学的..所谓的国立中山大学跑到现在康乐园来，占了岭南大学的地方，还要把人家收为小妾，对外只能称自己的名字..你觉得岭南大学能爽？坚持自己的名字就已经是最低限度的坚持了..  PS：岭南学院的学院运作是完全独立于中山大学的体系的..岭南学院有自己的校董会，有自己的资金来源..学院院长由校董会决定，决定后上报中大管理层要个签名即可..岭南学院里只有党委一线是跟中大挂钩的，其他一概自理..相当于完全自治..  PPS：但“岭南学院”这个叫法听起来略为山寨..不懂行的人很多以为这是个南方学院一类的二级学院，而不知道岭南学院和中山医学院这两个并不属于老中大体系的学院是中大最牛逼的学院..以前曾有某傻叉在百度知道还是哪里提问：我今年高考成绩出来了，过了二本线，请问我报考中山大学岭南学院录取率大吗？
如何评价中山大学城乡规划专业？,个人观点：相比于老八校城规偏重建筑设计，中山大学更注重城市规划相关的法律法规。
中山大学生物学科研究生阶段哪些方向比较厉害？,直接体现在师资和实验室条件上。中大生物总体实力在全国来说都是排在前列的。很多方向都有大牛教授，尤其是分子、肿瘤，还有水生生物、生态、微生物等方面，有的领域可能相对偏弱，如生理、神经（尤其是神经方面）、生物节律等，鉴于该方向的导师数量有限，你懂的。。 建议可参考中大生科院官网上的师资介绍和研究生招生目录，有较详细的内容，可看到各方向的教授信息和研究内容。
中山大学肿瘤学博士后怎么样？,总体上还很不错。在待遇上把你当人看，在学术上把你当博士 毕业生 看。 在机遇发展上如果在几个比较靠谱的老板下面干活发展应该也不错。 上述均指实验科学部。
中山大学为什么有个别奴性十足的学生？,为了避免有人再邀请我，特此回答: 作为曾经的中大学生，我不接受、不参与、不承认在知乎关于该议题的任何仲裁，对于知乎er的观点，你们自己也要判断，不要
有哪些只有中山大学的学生才知道的梗？,“曾经我在高中谈了一个女朋友，还相约一起考来中大呢。”他的眼里泛着回忆。 “是不是她没考上？”我一脸惋惜。 “考上了，不过她报了翻院，我报了传设。”他的眼里突然泛起了泪光。  “她跟我分得手。有次她问我她跟我妈掉进水里我救谁，我说救我妈，就分手了。” “你为什么这么回答？”我很诧异。 “她会游泳啊！”他像看傻逼一样看我。  “她爸说总是变幻无常的都是坏男人，所以异地恋的她跟我分手了。”他一脸委屈。 “那你怎么变幻无常了？” “她说我经常换学院。”他泪如泉涌。  
西安交大和中山大学的8年本博连读怎么样？,河南2017高考637分，高考咨询会上有意向报这两个。听那儿的老师说我应该可以的。想咨询一下大神这两个怎么样。都是临床8年本博。谢谢！
想从中山大学退学复读去武大，值得吗？,谢邀  @姜夏 ，曾从中大退学，又到武大读完本科的过气老学长放下手中的砖怒答一波。首先提醒一点，复读要趁早，现在10月底，各省市高考报名工作大概在12月左右，中大的退学流程差不多要一个月的时间，所以请务必尽早下决定！      其实真的还早啊，复读只不过晚了一年而已，没啥大不了。没复习什么的都不是问题，大概用个把月左右，状态就会回来。当年我是就读于国防生专业，读了一年觉得与环境格格不入才下定决心重头再来的，你比我时间上要宽裕多了。      比较一下中大和武大，我个人还是更喜欢中大的校园气氛的，诚如学长所言，中大是一个你来了就不想走的地方（当然仅就中东而言，中珠那地儿实在是荒凉了一点）。当然武大也很不错。看了问题描述，我个人是不建议你复读的。刚高考完的孩子初到大学有些心理落差是正常的，重要的还是调整好自己的心态，中珠是坑了一点，但武大也未必有你想得那么好，希望你能慎重考虑
厦大，南开和中山大学，志愿应该怎么选择？,利益相关：我开本科毕业狗一只。 1）从名气上讲上述三所都是名校，且基本属于同一层级，属于第二梯队名校。如果你没有特别的地域偏好（如珠三角、京津冀等），学校名气的影响不大。 2）从生活条件上说，三所学校校园我都到过，厦大去过本部和漳州，中大去过南校和东校。平心而论，厦大有湖光山色、巨大的图书馆、无处不在的人文关怀；中大有南校的砖楼草坪、自由开放的风气，两校软硬件都远胜我开。 3）从城市而言，广州是华南一霸；厦门文化多元，还有小情小调。而天津会相对保守，创业氛围不够浓厚，实习没有广州多，情调不如厦门足。但我开虽然在天津，我开同学的视野可以不局限于天津，到北京、滨海新区实习都是可以的。 4）从个人感受方面，内心有千言万语难以明说。从高考失利自以为折翼到我开的中二病少年，到今天工作后愈发懂得敬畏的新鲜人，南开包容了我四年。在我心中，我开学霸们低调肯干、不事浮夸的作风，是南开精神最好的体现。当去深圳实习，感谢我开给人【老牌名校】的印象，面对清北的同事也有不觉低人一等的底气。工作后，还有碰到几次合作伙伴说我们领导就是南开毕业的；-D 说实话，南开大部分是普通人，不过它给了你一个往上走的平台、一群以后有前途的、靠谱的伙伴。如果想去更高大上的地方，抓紧这四年，毕业后争取刷海外或国内1st tier学校的背景。在申请上，我开不会比另两所差。 另：我有个感悟，每个地方都有顶尖资源，只不过享用的是那5%的人。与其坐等学校给你带来什么，不如想办法成为5%的其中一员。只有顶尖的人才配得上顶尖的资源和岗位，和是否target校无关。 希望对你有帮助 祝安！
如何看待罗俊对中山大学的种种新政？,反正作为一个普通的学生，我是不能理解他的各种政策，而且这些政策还搞得很多人的不爽，我觉得最恶心的改动是最近的不允许连上三节课的规定，导致每节课每个星期都要去两次，本来课不算很多的，结果整个周一到周五都是课，而且，东校区这边本来整体规划就有问题，在宿舍走去公教楼都要20分钟，这样浪费了很多很多时间，老师也要一周内各个校区奔波，反正就没感觉有什么好的地方。从我角度出发，搞那么多的有的没的，为什么不对生活区布局改革一下？中山大学东校区，生活区唯一的广场，三饭小广场，自己想一想不觉得寒酸？跟别人说我们宿舍的活动区就是这块烂砖地，说出来都没人信。所以回到生活区不是回宿舍就是吃饭，一个可以让人驻足停留的地方都没有，并没有大学的生活气息，真的日子过得难受。我也就是吐槽一下，反正也改变不了的了。
