有哪些网红出身于清华大学？,女流66算吗？挺喜欢看她玩小游戏的。  补张女流微博上的图。    ～～～～～～～～～～～～～～～～～～  原来这么多人喜欢女流66，哈哈～
清华法硕(非法本)?,清华法硕从今年开始不用去深圳了，三年都在北京。可能也是因为这个原因（北京能容纳人数有限）今年大幅缩招，去年统招67个名额，今年预计只有30个左右。人数减少，难度自然会上升，预计分数线可能不比北大低，今后大概也是这个趋势，楼主要考清华要做好心理准备啊。 -------------------------------------------------------------------------------------------------------------------------------------------- 法硕是全国联考，不是单独出题，卷子都是一样的，楼主自己上网搜一搜法硕考研经验，很多的。
清华的林枫计划怎么样?,作为清华大学林枫计划三期的学员，我来回答一下吧（考试终于结束了，还有大作业和论文T_T）。  “林枫”计划的全称是“清华大学马克思主义理论研究学生因材施教计划”。清华有一位老校友叫林炎志（可以上网搜一下他老人家的经历，有些比较传奇的经历怕删就不多说了，网上可能也查不到），他的父亲是一个老革命，叫林枫（网上同样可以查到）。林炎志给学校捐了一笔款，作为“林枫基金”，其中一部分拿去奖励优秀的辅导员，即为林枫辅导员奖，一部分给了清华马院，目的是培养马克思主义者，成立了林枫计划。  清华的资金渠道非常多，发展到了今天，学校各种部门下都有自己的各种各样的计划。林枫计划和其他的如思源、星火之类的有了很多年培养经验的计划相比，其劣势是显而易见的：这些计划大多以学分绩靠前的一半人为选拔目标（清华的奇葩思维，呵呵），投入大量的人力物力，同时由于多年的经验和宣传，培养也比较有针对性，宣传也做得非常好，因此基本上是最近几年新生中跟风热捧的目标。而林枫计划与之相比，首先，在选拔上标准就不一样： 不是学分绩优先 ，这个我喜欢；其次， 培养上还处于探索阶段 ，林枫一期和二期基本上是野蛮发展，而我们三期中也仅仅形成了集体听讲座（毕竟是学生部管的，连皮凯蒂的讲座的票都能给预留）、社会实践、导师培养、结业论文之类的培养形式，仍然没有形成比较固定的培养形式，之前朱安东老师还打算给我们集体开一门课，后来也不了了之了，这和马院本身老师也比较紧缺也有关。更何况，要给出一个培养马克思主义者的培养方案本身就很困难吧，想要在两年的培养时间内培养出哲学、政经、科社精通的人，难度还真是大，更重要的还是靠自己进行学习，而林枫计划会提供你所需要的资源。  但是，和思源、星火、启创之类等计划相比，林枫计划的优点也非常明显：首先，至少 没有上述计划那么功利性 ，毕竟上述计划对于学校来说意义比较重大，可以吹我们学校又对社会做了多少贡献；而林枫计划对学校来说不过只是个政治任务，把老爷子给的钱都花了就行了，不过不妨碍我们把钱花在正地方。林枫计划在学校内的名声也并不太响，能够报名林枫计划的人都不会太功利（像其能收我这样勉强能混个及格的人，这本身就是个说明）。其次，林枫计划虽然在培养上仍然在探索，但如果学员有任何相关的需求，都会 大力支持 。毕竟，老爷子给的钱是花不完的。。。我也非常希望老人家的钱能够用在他希望用在的地方，所以如果你有兴趣，不妨考虑参加吧~  不过，说这些对后人其实没有什么太多的指导。如果要给个建议，我的建议如下：首先， 不要抱着功利的目的 ，毕竟等到大三或者大四结业的时候要完成一篇类似于毕业论文的东西才能结业，如果你是带着功利性参加的，恐怕到时候就会成为一个负担而选择退出，不论是不积极还是中途退出，都是件遗憾的事情。其次， 多认识人 。林枫计划中有一些非常优秀的大神，有些已经在学校的各种社工岗位上担任重要的职务，有些则马列学识深厚。像知乎上就有几位大V其实就是林枫计划中的，我就不点名了，互相之间多学习，对个人的发展帮助也非常大。最后， 积极利用资源 ，不用白不用。买书只要写一篇报告就给报销，实践几乎全额报销，讲座打声招呼就能搞到座位，这资源太难得了。  另附我的林枫结业论文，顺便安利一下我最近新开张的个人网站，欢迎各位阅读：  从阶级的视角看建国前中国共产党的组织形态变化   
清华的研究生有多难考？,我到清华门口租了6年的自行车了，来这里租车子的都说清华的研不难考。            不说了，我第七次报了16年12月的信息工程硕士，我去看书了。
在清华大学当学渣是种怎样的体验？,我尽力了。谢谢大家。我真的尽力了，真的尽力了。可是什么也没有改变。什么也没有改变。什么也没有改变。什么也没有改变。  ————————————————————————————————— 谢谢大家。怎么说呢……写的时候并没有预料过会有这么多人关注我的答案，只是当时赶ddl赶得心焦，又恰巧看见了朋友圈里这个问题，就点进来写了一点想法。谢谢大家对我的鼓励。  我是个不自信的人，我周围的人都是这样说的，我自己也有这样的感觉，所以我一直透支自己的时间，拼命想要做出一点成绩来，结果往往用力过猛，面面俱失。我可能真的不适合这样的路子吧，别人很轻松就能掌控的，我往往力不从心，实在太累了，太累了。  下学期下决心放弃掉一切令我疲惫的东西，专心学习。虽然觉得不认真学习那么久了也不知道还能不能捡起来……不过还是想努力尝试回到单纯的学习生活。剩下的时间好好收拾收拾自己，从内到外都是。  这样可能在很多人眼中是loser的表现。可是我已经按“很多人的眼光”做过太多努力了，到最后自己整个要垮了。我确实没办法像很多THUers那样同时做好那么多事的。我不是牛人，确实不是。  我只想好好休息一段时间。否则，真的不知道自己会怎么发展下去。  再次谢谢大家。  2016.01.27  16:04  ———————————————————————————  马上我的考试周就结束了。我想也是时候仔细想想这个问题了。无力感越来越严重，恐怕我真的像评论区所说的，越来越麻木。真的不想这样。但愿假期放松身心，能想办法建立一点自信。  2016.01.13  1:50 ————————————————————————————————— 谢谢大家。评论我都看了，感谢每一位真心鼓励我和为我提出建议的人。真的谢谢你们。  另@评论区某位姐姐，抱歉你的原评论我翻不到了。这本书我买到了，打算考试周之后看。    请大家放心。无论来路如何，我都会坚守下去。  我可是齐天大圣呐^_^  2016，一起加油。                                            2015.12.31   18:54 ———————————————————————————  楼上有个词我认为很贴切。   焦虑。    每天都在焦虑。    大部分进入清华的人都有一个呼风唤雨的曾经。那时我们意气风发，年少轻狂，江山在手，天下我有。觉得自己就是完全能把控自己人生的那种人。  然后进入清华发现，TM的什么叫井底之蛙。  在初高中，你什么都不用管，专心学习就好了。她会弹琴，我会学习呀；他会唱歌，我会学习呀；他善交际，我会学习呀；她办事熨帖，我会学习呀。  上了清华之后，你发现这个不灵了。因为，你发现，原来你身边有这样一种人，他们才艺广泛，人情练达，吹拉弹唱样样精通，足球篮球通通秒杀，唱歌跳舞专业水准。  而且颜值高。  而且学习好。  而且家境优渥。  而且还TM贼善良，一点儿不小心眼儿。  你就知道了什么是自惭形秽，无地自容，恨不得当场撞墙而死。  道理谁都懂，能进清华的都是高考作文写得溜溜儿的人，“不要为他人而活”这个破道理绝对被自己写过；俞敏洪的“你不能证明自己是全世界最差的所以不必自卑”也肯定被好多人当过素材，估计当初都是言之凿凿地胡诌了八百多字的。  道理谁都懂啊，可是依旧过不好这一生啊。  其实楼主你知道吗，做学渣不可怕。可怕的是， 你发现自己没有任何出众的地方，而且，连唯一的优势——学习好，也没有了。    你成了一个完完全全平庸的人。  我妈曾经说过，清华的人出来，怎么也不会饿死的。这话没错。可是我是清华的啊，我的人生仅止于饿死，仅止于不为生存发愁的话，  我怎么对得起那十二年时时刻刻不敢放松的自己？  我在最好的年华里，放弃了娱乐，放弃了恋爱，放弃了自己的兴趣，一心扑在书本里，难道就是为了追求一个一生温饱的结局吗？  这么说的话所有都市人都不用焦虑，和社会底层人民对比一下，大家能吃饱穿暖有一技之长，都幸福爆了啊。  进入了一个环境就会不由自主地用这个环境的标准来要求自己。所以，你知道一个学渣，尤其是一个没有任何闪光点的学渣，内心有多么难过了吗。   而且，我们曾经那么骄傲啊。    最近我常常问自己，怎么就这样了呢。是呀，我为什么就成了今天这样呢？做过社工，混过社团，似乎也是有过地位的人，可只有自己知道，其实一直在打杂，完全没有学到该学的东西，还付出了大量时间，以及半死不活的GPA，成了那种“似乎什么都做过却又都很一般没什么存在感的人”。我一直在自我麻痹，付出过就会有收获的啊，可今天我不想再麻痹下去了。   我就是付出了好多时间和经历最后赔得血本无归的人。别说够得上什么年级中游水平，我的GPA就是半死不活，而且我没有任何特长，不善言辞，唯唯诺诺，目标模糊，内心阴郁而导致生活习惯差，而且，至今没谈过恋爱。    而且，这些话只能在知乎上匿名说一说。在家人，朋友面前，还要假装是一个视GPA为粪土的正能量少女，每天开开心心地逛c楼买零食，不断吵吵着减肥，隔三差五和舍友去五道口看个电影，买点衣服，吃个雪冰也要发朋友圈然后心满意足地数点赞数。  可是。可是。我心里其实很焦虑。焦虑到，我明知道现在的学习和生活习惯都不好，我却没有勇气改变它；焦虑到，即使有了有好感的人，也不敢说出口，觉得这样的我，配不上那样的他。  我目前还没找到短时间内疏导自己的办法。只能依靠时间慢慢治愈。也许之后会好一点吧，也许不会，谁知道呢。  但无论多难过的时候，我也不曾想到过死亡。我还有父母双亲要养，我不能也不敢去死。毕竟，我一直让他们那么骄傲。   那么骄傲。 
清华大学真的那么好吗？,WTF……  谢邀。  这是我在知乎上见过的最没头没脑不知所云的问题，不过题主我看好你，继续加油。
为什么清华大学西北门至水墨社区北入口一段这么多狗屎？,这样一个严肃认真的问题，居然没有人做出回应，我对此表示十分痛心和不能理解
清华大学学生高中时用的什么复习资料？, 长文预警，以及各位点感谢时顺便点个赞呀谢谢ಠ_ಠ           题主你好。  我找到了我在高考后（14年的7月）所写的一篇关于教辅资料的小结，当时配了很多封面图片，由于比较麻烦这里就不上传了，对于感兴趣的你可以自己搜搜看。书的顺序是随机的，但我写了自己认为的推荐度，5分制。  需要注意的是，我是清华4字班的，即2014年入学，离高中生活已经有好几年的距离了，这段时间中教辅资料的市场或许已经发生了变化。我所提供的信息或许不完备，甚至部分已经过时，仅供参考，还希望对现在的你有用。   以下是原文。      【书名】创新教程 高考总复习  【订购方】学校  【适用时期】高三复习全阶段  【适用科目】只买了语文，其他科质量不知  【个人感受】这本书是和校本教材《高考语文》（后面有）配套使用的。专题划分和其他语文复习书基本一样。现代文阅读部分略鸡肋，不像《高考语文》那样有各种答题方法，对高考帮助更直接。文言文部分的实虚词总结还不错，但有些小错。诗词鉴赏一般，但标准答案有研读价值。字音字形部分，题都还挺坑的，做好积累（写到本子上）效果会比较好。这本书排版有点奇怪，总喜欢用很多表格，读起来反而不太方便。知识点讲解很详细，欠缺的是直接针对高考题的答题方法（当然，这一点通过《高考语文》得到了补充）。  【个人推荐指数】4   【书名】创新作文2013全国各省高考优秀作文报告  【订购方】个人  【适用时期】高三复习全阶段  【适用科目】语文  【个人感受】这本书很早就上市，对于及时了解高考命题动向、材料作文审题立意方法很有帮助。里面还有参与阅卷的老师写的阅卷实录，也很有用。多读读一些高分作文也是很好的。  【个人推荐指数】5   【书名】高考作文最后一题  【订购方】个人  【适用时期】二轮复习（后面才出版）  【适用科目】语文  【个人感受】这本书里每个省都由一位名校教师进行押题。基本上都是材料作文。当然这也是全国的命题新动向。四川的押题是“好人的温度”，居然是命题作文…其实其他各省的押题都比较有参考价值。最精华的部分是对审题立意的解说，非常到位。范文里面也有一些很不错的，值得一读。  【个人推荐指数】5   【书名】高考语文 （补充：此为我中学老师个人编写，不在市场上发售）  【订购方】学校 （校本教材）  【适用时期】高三复习全阶段  【适用科目】语文  【个人感受】这本书是红戈的心血啊…跟市面上的教辅差别很大（谁用谁知道…）。它对于提分的作用非常直接，尤其是现代文阅读、诗词鉴赏部分。好话就不多说了，不出意外这本会发的。不足的就是里面有些内容略为陈旧，比如默写还是以前的考纲，语言运用部分的材料也比较旧。总之，里面的精华部分很有用~  【个人推荐指数】5   【书名】试题调研 高考押题  【订购方】个人  【适用时期】最后几十天  【适用科目】全部  【个人感受】这本书我貌似从倒计时60天左右开始做的，但不一定每天都做，最后还剩8，9天没做就高考了...各科难度都不是很大，题还比较新。但由于题不多，也只能用来查漏补缺。每天坚持做应该还是不错的。（星期二晚上我有两段培优课，根本做不了！！）  【个人推荐指数】4   【书名】试题调研 考前抢分必备  【订购方】个人  【适用时期】最后一个月  【适用科目】全部  【个人感受】这个的题就少了很多，但是有很多总结性的东西。比如化学有全部要求掌握的方程式的总结，语文有常考词语辨析，物理有要求掌握的公式及其变形的总结。高考前一个月左右用还是不错的，把以往知识过一遍，梳理一下，查漏补缺。  【个人推荐指数】4   【书名】小题狂练 冲刺版  【订购方】个人  【适用时期】2、3轮复习  【适用科目】全部（我只有物理化学）  【个人感受】这个很薄。对于物理、化学两科，前面是分专题的选择题、大题训练，后面是综合训练。前面的题还比较新，但难度不算很大。二三轮复习时用来练手不错。后面综合训练的选择题也适合每天用来保持手感。  【个人推荐指数】4   【书名】考前小综合 60练   【订购方】学校  【适用时期】全阶段  【适用科目】语文  【个人感受】这本书就是用于保持语文题感的。里面有语言基础知识练习、语言文字运用练习、综合练习。貌似不少是高考题，但是没有标示是哪年哪地的题。市面上这种书好像还挺多，小题狂做系列也有。这个只能说一般吧。  【个人推荐指数】3   【书名】小题狂练 四川专版  【订购方】个人  【适用时期】全阶段  【适用科目】全部（我只有数学）  【个人感受】这本书题感觉比较新，四川版的也有不少本地的模拟题，应该比较符合四川的高考风格。选择和填空的最后几道难度一般会大一些，可以当做高考的选填压轴题来做。虽然写的是用于一轮复习，但其实后阶段也可以用的。总体难度比一般教辅要大些。用来刷题很不错。  【个人推荐指数】5   【书名】金考卷高考冲刺卷 2014中国好试卷第2季  【订购方】个人  【适用时期】最后1个月  【适用科目】全部  【个人感受】这个第2季的出版时间就比较晚了，所以只能最后1个月做。我只做了2套，来不及做完就高考了。里面选的是全国各地的模拟考试、诊断性考试的试卷，还是有参考意义的，只不过理综不像四川卷那样是3科分开的。这个系列和金考卷特快专递的最后几期其实差不多，都是精选了一些各地试卷。各套卷子难度不一，可选择性做。  【个人推荐指数】4   【书名】桂壮红皮书 2014四川高考考前押题卷  【订购方】个人  【适用时期】最后几个月  【适用科目】全部（我只有理综）  【个人感受】说实话之前我一直挺嫌弃柜装红皮书系列的，印刷不怎样，出题老师也不是名师。最后一个月实在买不到可以做的理综了才买这个的，也没做完，感觉一般，至少物理压轴题的难度是不及高考的。  【个人推荐指数】3   【书名】洞穿高考 数学解答题核心考点  【订购方】个人  【适用时期】全阶段  【适用科目】数学  【个人感受】这本书非常好！尤其是函数、数列、解析几何部分，讲解详细，提供了不少技巧、解题模版，自己再归纳总结一遍十分有用。不多说了，推荐~  【个人推荐指数】5   【书名】PK高考 高考题型强化训练 数学选择题&amp;填空题  【订购方】个人  【适用时期】全阶段  【适用科目】全部（我只有数学）  【个人感受】很不错的书。有难度梯度。前半部分按专题划分，其中强化提高题和创新预测题最值得做。题目比较新颖，可以当压轴题来练。后半部分是综合演练，题数与四川卷不同，我没怎么做，看起来还是不错的。  【个人推荐指数】4   【书名】高考题型 考前针对性训练  【订购方】个人  【适用时期】二、三轮复习  【适用科目】全部（我只有生物、物理）  【个人感受】生物我做得很少，物理基本上做完了。物理那本用来刷题非常好，题目新颖，部分题难度较大，做起来挺找虐的。很多题都有整理到错题本上的价值。物理那本分为4个部分：高考命题热点、常考物理方法、常考物理模型、高考物理题型。都很实用。  【个人推荐指数】5   【书名】PK高考 高考题型强化训练 理综实验题  【订购方】个人  【适用时期】全阶段  【适用科目】理综  【个人感受】这本书后阶段我做得不多，基本只做过物理。难度感觉一般，考前用来练练手还是可以的。  【个人推荐指数】4   【书名】3年高考 2年模拟 二轮复习生物  【订购方】个人  【适用时期】二轮复习  【适用科目】全部（我只有生物）  【个人感受】一直不是很喜欢五三系列，感觉不是很详细，比不上步步高系列。二轮复习虽然都相对粗略些，但这本确实太简略了，知识点只有最基本的。附赠的题好像还不错，各地的模拟题都有，但我没怎么做。  【个人推荐指数】2   【书名】天星教育 高考总复习 全程特训 物理  【订购方】个人  【适用时期】全阶段  【适用科目】全部（我只有物理）  【个人感受】这本全是题，用来刷的。由于出版得比较早，感觉题不是很新，难度也一般。  【个人推荐指数】3   【书名】天星教育 高考总复习 小题狂练 试题魔方 物理  【订购方】个人  【适用时期】全阶段  【适用科目】全部（我只有生物、物理）  【个人感受】这本也全是题，用来刷。分为两部分，专题训练和综合训练。专题训练难度一般，偶有好题。强烈推荐综合训练，至少物理的是把我虐惨了的...总体感觉比相似的全程特训好些。  【个人推荐指数】4    ========================分割线 以下是14.7.8更新=======================================================     【书名】龙门专题 高中化学 有机化学基础  【订购方】个人  【适用时期】高中全阶段  【适用科目】全部  【个人感受】龙门专题还是很著名的了。不过不同学科、不同专题的质量参差不同。比如这本有机化学基础超纲内容比较多，总体偏难。但部分内容对于给出新信息背景的有机合成题还是挺有用。  【个人推荐指数】3   【书名】挑战高考物理压轴题 轻松入门篇【订购方】个人  【适用时期】高三复习全阶段  【适用科目】物理  【个人感受】这本我做得很少。里面很多高考题，所以感觉很多是做过的。建议不买轻松入门篇，买后面的几本。  【个人推荐指数】3   【书名】王后雄专题系列 600分专题  【订购方】个人  【适用时期】一轮复习或高一高二同步学习  【适用科目】全部  【个人感受】（不要吐槽“600分”了好吗同学们！不是要考600分的意思）我在一轮复习阶段用了物理、化学和生物的。最突出的特点是知识点较全，讲解非常详细。题其实不多，按难度分为两部分，质量还比较高。这套书可以和学校订的一轮复习资料相互补充。  【个人推荐指数】4   【书名】便携背题本  【订购方】学校 （好像是送的）  【适用时期】高三复习全阶段  【适用科目】英语 （找不到语文英语（A）那本了，图片是数理化的，感觉英语的比较有用）  【个人感受】英语的便携背题本用于记高考词汇，是全年级都在用的，各班用法不同。我们是老师讲解重点词汇，定期听写（虽然后来水了）。这里面单词还是较全的，基本涵盖考纲的。单词的主要用法都给出了，比较简洁易记。   【个人推荐指数】4  【书名】高考英语 新型短文改错 分层强化训练  【订购方】学校  【适用时期】高三复习全阶段  【适用科目】英语  【个人感受】这本才做了一小半就高考了...市面上的短文改错类参考书都大同小异，这本所选的题的质量也是参差不齐，不过每天做几道来保持题感还是不错的。   【个人推荐指数】4  【书名】星火英语巅峰训练 高考完形填空  【订购方】个人  【适用时期】高三复习全阶段  【适用科目】英语  【个人感受】这本完型总体偏简单，有些甚至比今年高考还简单，有点不科学。练手感还将就。建议买稍微难一点的。  【个人推荐指数】3   【书名】腾远 2014四川 高考题型 英语阅读表达80篇  【订购方】个人  【适用时期】高三复习全阶段  【适用科目】英语  【个人感受】市面上卖的针对阅读表达的资料不多，这本不错。收录了各地高考题、四川省内各校模拟题、原创题。可惜的是只有答案，没有解析，而且部分答案不太准确，可以拿去找英语老师商讨。另外，省内有些学校出的题的质量其实不太高，仅供参考。  【个人推荐指数】4   【书名】大浪淘沙系列 语法应用指南 高中英语  【订购方】学校  【适用时期】高三复习全阶段  【适用科目】英语  【个人感受】这本书包含各语法点的讲解对应的题。讲解部分比较详细易懂，老师也会有所补充。我们班只要求做了高考题。每个语法点是按不同省份的题分的。解析非常详细，收录的题也比较全。但是做的时候会感觉很多题以前做过。高考题后面也有一些原创题，题霸们可以刷一刷。  【个人推荐指数】4   【书名】高考奥赛对接训练 高中数学  【订购方】个人  【适用时期】高中全阶段  【适用科目】理科（我只有数学）  【个人感受】数学的很好！有难度梯度。多数题难度比较大。我记得收录了一些较难高考题、各类竞赛（如希望杯）的题，甚至有联赛题。很多可以作为选择填空压轴题来练。市面上这种难度的书不多，这个系列值得推荐。  【个人推荐指数】5   【书名】小甘英语 高考英语 短文改错直通车  【订购方】个人  【适用时期】高三复习全阶段  【适用科目】英语  【个人感受】这是另一本专门训练短文改错的。但是我买来就没怎么做。小甘系列应该都不错的。  【个人推荐指数】4   【书名】导学教程 2014新编高考总复习 新课标 英语  【订购方】学校  【适用时期】高三复习全阶段  【适用科目】英语  【个人感受】这本书我们用了很长很长一段时间，越做越水...因为没有买过其他类似资料，没有比较，也不是很好评价。单词总结比较全面，知识点也较详细，配套的练习手册还不错。有些题很奇葩。查漏补缺作用还是比较明显。短语小结不错。很有中式英语特色（请自行体会~）。  【个人推荐指数】3   【书名】步步高 大一轮复习讲义  【订购方】个人\学校  【适用时期】一轮复习  【适用科目】全部理科  【个人感受】一轮复习中，学校订了生物的，我自己买了化学的。不用多说什么了，步步高值得信赖~一轮复习资料里面步步高应该算最详细的了~  【个人推荐指数】5   【书名】天利 最失分 高考易错点 点拨突破  【订购方】个人  【适用时期】高三复习全阶段（最好是一轮复习）  【适用科目】全部（我只有化学）  【个人感受】这本书是按专题分类的，分类较细，所以比较适合一轮复习时用来刷题。化学的分为选择题和非选择题部分，选择题部分我做得比较多，感觉难度还是比较恰当，部分题比较坑。非选择题做得不多，似乎相当一部分是高考题，实验题还是不错的。  【个人推荐指数】4   【书名】高考数学 压轴题专练  【订购方】个人  【适用时期】高中全阶段  【适用科目】数学  （其他理科有不同题型的）     【个人感受】数学的教辅资料其实我买得不多。专门用来练压轴题的其实就三本：这本、洞穿高考（前面介绍了）、王金战的那本。三本书相互补充。这本就全是题，题都选得不错，大部分题有较大难度，不少题就是高考压轴题。给自己规定时间来做，做好被虐的准备...数列及不等式、函数、解析几何都够难的...  【个人推荐指数】5   【书名】衡水重点中学二轮重点讲练 高考调研  【订购方】学校/个人  【适用时期】二轮复习  【适用科目】全部理科  【个人感受】数学是年级统一购买的，我还另外买了理化生的。一直到最后高考，数学那本都没有做完。但做了的部分感觉还是不错，对以前的解题方法有总结提升。也有查漏补缺作用，提供了一些较新的题型和解题模板。配的练习手册也很不错，部分题难度较大。物理那本也很好，部分题与学校订的资料有重复，但总的来说题很新，部分难度大，配套的练习手册质量也较高。化学也还不错，但感觉没有物理的好（可能因为我物理要差些= =）。生物没有其他科做得多，感觉高考题过多，很多已经做过了所以意义不大，但配套手册的题还是很不错的。  【个人推荐指数】4   【书名】天星教育 2014新编 高考题库  （每年都有新版）  【订购方】个人  【适用时期】高中全阶段  【适用科目】全部 （各科都分为若干大专题）  【个人感受】高考题库系列就是用来刷的。平时自习用来保持题感，考前用来找手感，总之用法万能…高考题库的每本都分为各个小专题，比如物理的电磁学这本就分为电场、恒定电流、磁场、电磁感应、交变电流，每个小专题由五年高考、三年模拟、原创预测组成。题大都不错，有难度梯度，每年都有新题。总之值得推荐。  【个人推荐指数】5   【书名】2014四川高中总复习 高考密码 预测卷  【订购方】学校  【适用时期】二轮复习  【适用科目】全部 （我只有语文、理综）  【个人感受】预测卷是密码卷系列（预测卷、猜题卷、押题卷）最先出版的一套，出版日期是10月左右。高三复习早期语文练的套题并不多，可以买来练一下。但我感觉语文预测卷出得不是很好，部分题目与高考的方向有所差距，尤其是语言应用。当然，越后出版的试卷越贴合高考。所以早期可以买这个来练，1、2月之后有更多更好的新试卷，预测卷就显得不够好了。  【个人推荐指数】3   【书名】衡水重点中学 高考最后冲刺 预测试卷  【订购方】学校  【适用时期】二轮复习（或一轮复习末）  【适用科目】全部 （我只有化学）  【个人感受】衡水系列质量一般比较高，这个也是。这套试卷是当作寒假化学作业布置的。题选得不错，做起来比较费时费力，部分题很经典，值得整理收集。这套试卷是按专题分的，如有基本概念基本理论、元素化合物知识及计算、化学反应速率化学平衡等。也有综合的模拟卷。还有一本配套的练习手册，也很不错。  【个人推荐指数】5   【书名】天星教育金考卷 四川高考最后一卷（押题卷）  【订购方】个人  【适用时期】高三复习最后阶段（大概4月出版）  【适用科目】全部 （我有数学、语文、理综）  【个人感受】天星教育也是高质量的标志。金考卷百校联盟系列尤其好，建议这一系列的4套卷子都按时收藏。整个高三我做的数学套题不多，一般只做选择填空和最后两道大题，就这样算也没做到20套。但是这套数学卷子很值得做，虽然填空题最后一道的难度可能不及高考，但大题难度是够的。理综也非常好。语文买来没做….应该不错。  【个人推荐指数】5   【书名】天利 2014四川省高考 新考纲冲刺卷  【订购方】个人  【适用时期】二轮复习（3月出版）  【适用科目】全部 （我只有理综）  【个人感受】总体不错。如果你是题霸，那么到最后两三个月的时候能做的理综套题也不多了。这个应该算中偏上的水平。这套卷子有绝大多数模拟卷的通病，就是物理压轴大题难度不够，比不上高考难度。另外，里面有些见过的题，比如各地诊断性考试试题。  【个人推荐指数】4   【书名】教学考试 （是杂志）  【订购方】个人  【适用时期】高三复习全阶段   【适用科目】全部  【个人感受】这是杂志，我在最后一个月才买，在最后一周停课自主复习时才用。建议可以早点开始买。这个杂志里面有全国各地的老师发表的文章，内容很新颖，虽然不一定面面俱到，但里面提供的一些方法、思路是很有参考价值的。对高考题的挖掘很深入，对高考命题动向的意见很有指导意义。  【个人推荐指数】4   【书名】步步高 大二轮专题复习与增分策略  【订购方】学校  【适用时期】二轮复习  【适用科目】全部 （学校订了化学、生物）  【个人感受】步步高系列的质量一般比较高。二轮复习的化学很不错，对知识进行了系统性的整理，方便记忆。还有专门针对题型的训练，讲解很仔细。生物也不错。配套的练习手册很好，题比较新。  【个人推荐指数】5   【书名】天星教育金考卷 高考冲刺 优秀模拟试卷汇编45套  【订购方】个人  【适用时期】高三复习全阶段（5月出版）  【适用科目】全部  【个人感受】我只做过数学的45套。里面确实有45套题，有去年四川各地模拟试卷、高考命题专家原创卷、名校联考信息优化卷、其他省市的模拟卷。这些试卷还是比较有参考价值的。数学的话做选择填空题和最后两道大题就可以了。  【个人推荐指数】5 
如何看待清华大学驱逐乌鸦？,我听说居然有人吃阿莫西林，好残忍，那么多可爱的细菌就被无情地夺去了生命。人类为了自己的生存利益，剥夺其他生物的生存权利，好自私，人性好丑恶！那些细菌在人体内繁衍了那么多代，就这样被残忍地杀害。我们真的应该使用抗生素吗？伤感QAQ         正经回答:人类和自然界任何一个物种一样，都是自私的，也正因为自私的天性才使这个群体发展到了今天的地步。益虫要保护，害虫要杀灭；益鸟要保护，害鸟要驱逐，不都是为了人类自己的利益吗？保护环境，保护野生动物的目的，不都是为了维护地球环境，从而保障我们自己的利益？乌鸦是益鸟，但当它们破坏了我们的利益，对我们来说弊大于利时，理应驱逐。这个园子是人类建造的最高学府，园子的一切，理应为了给我们创造最大的利益而存在。我相信满足上万中国最优秀学子的舒适，远比给几群乌鸦提供栖息地的所创造的价值大。
清华大学给你留下最深的烙印是什么？,给了我辨别别人装逼的能力。出了清华才知道原来有这么多人喜欢一瓶子不满半瓶子晃荡。
你喜欢清华大学“真维斯楼”这个称呼吗？, 作为兄弟学校的学生，我觉得叫“真维斯”并不比“逸夫楼”低贱或者粗俗。要知道，邵逸夫可是香港三级片产业最大的幕后老板，日本的AV片也多是他引进香港的。 
