天津大学的研究生导师黄家学教授、博士介绍？,        黄家学，佳学基因医学技术(北京)有限公司创始人，免疫学博士，美国归国学者。著名生物学家，在造血干细胞、间充质干细胞、个体基因组学的前沿技术及产业模式的研究与应用上影响深远。曾任中源协和干细胞生物工程股份公司副总经理，国际细胞治疗协会(INTERNATIONAL SOCIETY FOR CELLULAR THERAPY，ISCT)副主席，天津大学药物科学与技术学院教授，华东理工大学教授。曾工作于武汉大学、中国医学科学院、北京协和医科大学药物研究所、美国俄克拉荷马医学研究中心、诺华制药基因组学研究中心。   黄家学博士1990毕业于湖北大学，获生物学学士学位;1997获武汉大学生物化学及生物物理学硕士学位;2000年至2005年师从国际著名名疫学家、美国免疫学家协会主席、美国实验生物医学联合会(FASEB)主席PAUL KINCADE教授，获免疫学博士学位。2005-2008：美国诺华制药公司基因组学研究中心，博士后研究员。致力于以人的基因信息的解读和校正技术、干细胞人造组织工程技术、肿瘤免疫细胞精准治疗技术为核心的个性化医学产品与服务的研发和推广事业。现任佳学基因技术(北京)有限公司、佳学基因医学技术(北京)有限公司董事长，创立基因解码技术体系。    人物经历   1986-1990：湖北大学生命科学系，获学士学位。  1990-1994：湖北省襄阳市重点高中南漳县第一中学教师。  1994-1997：武汉大学生命科学学院生物化学及生物物理学系，获硕士学位。  1997-2000：中国医学科学院、协和医科大学药物研究所国家药物筛选中心。  2000-2005：美国俄克拉荷马大学健康医学中心，免疫学，获博士学位。  2005-2008：美国诺华制药公司基因组学研究中心，博士后研究员。   2008-2014：中源协和干细胞生物工程股份公司，副总经理，质量技术总监。协和干细胞基因工程有限公司，副总裁。2008-今：天津大学药物科学与技术学院、华东理工大学教授。  2011-2013：国际细胞治疗协会(ISCT)副主席。  2014年：成立佳学基因技术(北京)有限公司，创立基因解码技术体系。   研究领域   同源异形盒基因对人体发育过程的调控。  化学药物的高通量筛选。  利用基因组学及转录组学发现和鉴定新型药物靶点，肿瘤干细胞生物学，治疗性抗体的研制。  造血干细胞、免疫细胞的体外扩增及定向分化。   获得的荣誉  1. 杰出博士学术成就奖，2005年于美国 （Ph.D Graduate with Academic Excellence Award， Oklahoma City， U.S.A ）。  2. 研究生学术交流奖，2005年于美国，GSA Travel Award， Oklahoma， U.S.A， 2005。  3.完成科技成果：XIAP修饰的脂肪间充质干细胞在心肌梗赛治疗中的作用    2014年天津。  4.  中华医学科技奖   ，获奖编号：200203253；获奖题目：高通量药物筛选技术体系研究和应用。获奖排序：杜冠华、 王晓良   、 胡娟娟   、 刘艾林   、黄家学、尚念勇、孙缅恩、 张莉   中国医学科学院药物研究所，2002年北京。  5. 北京市科学技术二等奖。获奖编号：2002药-2-005；获奖题目：高通量药物筛选技术体系研究和应用，2002年北京。 
如何看待天津团泊大学城的发展？,额..... 不知道说什么好啊 据说，医科大学是不搬了，天中是搬的，但什么时候搬就母鸡啦
哪些医科大学分数线较低但实力强？,嗯  天津高二新生  老师是极力推荐天津医科大学的 是211 也是天津名列前茅的学校了 就酱！
天津医科大学临床医学院可以考美国执业医师吗？如果不能 那考上研究生以后可以吗？,所有中国医学院毕业的MBBS，160多所医学院，都可以考USMLE的，天津医科大学的本科临床医学学位同样是可以的。  其他学位，硕士、博士、圣斗士等，都不可以的！  多去听讲座《走遍中国医学院》 走遍中国医学院  USMLE_美国执业医   ，就不会问这个问题了
本人今年在广东高考，省排位11369，想报临床医学，在南方医科大学五年制和吉大八年制之间徘徊。？,可以关注一下近几年恶性伤医事件。就在昨天，6.29，天津市第三中心医院发生恶性伤医事件，但当你看到这些诅咒一样的评论，作为医生，你会怎么想？    
父亲得了食道癌，请问中国医科大学肿瘤医院和天津肿瘤医院哪家治疗更好？,当然是中国医科大学肿瘤医院好
请问，四川大学天津医科大学这些医科类大学的临床医学专业哪个好?谢谢,协和、北医（北大）、上医（复旦）、上二医（上交）、浙医（浙大），地域名校双加成，发展势头猛，可预见的未来应该不会衰落。 中山医（中山）、华西（川大）、同济医（华科）、湘雅（中南），光荣传统，发展平稳，地域尴尬略落寞。 首医，天津医科大等等也是很好的学校，不过分数如果够前述那些，还是推荐你首选那些。  等等，忘了重要的事情，根据现在的形势，不推荐大家学医，不推荐大家学医，不推荐大家学医。好了
如果在天津医科大学就读，考研回南方可能性大吗？,想得太远啦，先把眼下五年规划好，以后说不定你还不想回去了呢
天津外国语大学将流浪狗封进墙里导致其死亡，我们应该怎么看这件事？, 我毕业于医科院校，传闻大多流浪犬来自于逃脱安乐死的实验犬。  我对此不大相信，毕竟实验室管理还算严格，而且流浪猫数量也极其夸张，实验室可不养猫。  不管来历吧，反正在我那所不知名垃圾学校的校园，我大一的时候见过刺猬、蛇、黄鼠狼等生物。  后来猫猫狗狗多起来以后，就没见过了。  保护生命？先把这些破坏生态平衡的畜生都枪毙了。  再后来，我回寝室的时候，每次都要被三只以上狗不怀好意的威胁。我都感觉我的宿舍楼是提供给它们的。  虽然它们并没有交住宿费。  要是有一群乞丐盘踞在我们宿舍楼门口内外，估计学校保安早出动了。  每天晚上猫叫的像是我在剥它们的皮，凌晨一点关紧门窗照样能吵醒住在一楼的我。   我也养过狗，我也很能理解爱狗人士对于宠物犬的喜爱之情。  但是流浪狗完全是两个概念好吗？  说来说去，狗也好，猫也好，都脱离不了“物”的范畴。  因为猫猫狗狗有生命，就赋予其生命权？  呵呵哒，你用抗生素的时候考虑细菌的生命权了吗？  猫猫狗狗很萌？  我还觉得我的玩具熊很萌呢！  别找借口了，你就是赋予了狗额外的感情。  然后你觉得你的感情神圣不可侵犯，神圣到足以凌驾法律之上。   狗，就是一个工具而已。  可以导盲，可以搜查毒品，可以取悦人类，可以拿来做实验，可以吃。  我的狗已经送人很久了，即便它还在我身边，我爱护如初，可如果有土豪要用帝都学区房换我的狗来做火锅，我一定不会犹豫的。  虽然帝都学区房又不萌，又没有生命，还不会在我生命危难时救我一命，更不会抚慰我的感情。  但我还是觉得，我赚大了。 
天津四中心医院与医科大二附属选择哪个？,不是说已经同工同酬了么。 两家医院明显二附属更好一筹，三甲的二附属和三乙的四中心也一定不是一个待遇。有无编制影响的仅是公积金，可能会比有编的略低一些。在四中心实习的时候，确实也有问过工资，当然每一科的护士工资都不一样。可是普遍感觉下来四中心护士的工资怎么就这么低呢。  马上要离开天津了，再过来补一下。天津最好的几家医院是总医院，一中心，二附属，肿瘤，还有三中心。只有这几家医院是大家从医疗实力上高度认可的。如果你进了二附属，代表你坐拥着全天津市最好的医疗资源，这可能在你以后当了护士长，有机会把资源转化为收入。当然二附属的护士并不轻松，病人需要高强度的护理，医院也要考护理这方面来提高患者的满意度。起早贪黑是护士的常态，医生一句话护士跑断腿在这里只会更明显。 所有选择都是这样，你想要名利双收，必然付出更多代价。
如何看待17年天津大学黑龙江断档？,别的省不大清楚，黑龙江的断档也可能是个极端的例子，不过这还是能暴露学校一些问题的  说河北的情况，今年天大河北的录取分数，比南开低8分，比同济低15分，比武大低9分，比北理工低了20分，都快和天津医科大学一个分了，，，  “天津大学是天津哪个大学？”的梗真的不只是一个梗  我是爱天大的.....
考研想去天津医科大，请问那里的药理学专业咋样，难考吗？,难考
公卫考研是选南京医科大学还是天津医科大学？,南医大公卫 比天津医强好几个档次
天津医科大学眼科医院可以做垫下巴手术吗？, 这家医院应该是主要擅长眼部改善的。建议你可以选择一家综合一点的医院 
小弟是某医科大法医专业新生。大学在挺偏远的地方，以后想去北京或天津工作，请问除了机遇还需要什么条件呢？,偏远的医科大？昆医？
天津医科大学的预科班在哪就读？一年以后能选什么专业？,这个好像没听说过。。  也没看到周围同学有走预科进来的。。  你确定咱们学校有这个口？？   
南开大学和天津大学在天津的声誉谁好？,题主问的是在天津的声誉而非全国的声誉。  我的天津舍友说：在天津，我们认为天大南大（985）是几乎是一样好的。其次还有天津医科大学（211）天津财经大学等。  天津考生很多人选择留在天津，天大南开每年在天津地区招收的本科生人数大概能达到1300  天津考生给我的感觉是：能留在天津就挺好，管他天大南开呢。  至于天大南开在天津本地就业问题，我不是很了解。。。两个学校都会举办比较大型的双选会。  这个回答一点也不萌(|||▽||| )不是我风格(|||▽||| )所以最后我要黑一下母校：天津大学？天津哪所大学？！（么么嗒别打我～）
本科是天津医科大学，一本b类康复专业，想去日本留学或者在香港，如何申请？, 日本的医科是非常难考的  目前能做的无非是保证GPA 准备日语英语了  
考研中国医科大学和天津医科大学影像专业哪个比较好？,谢邀～（我心里想的是哦天呐竟然有人邀我回答这个问题） 本人大五影像专业实习生一枚，正在准备考研的路上越走越想死...中国医科大学和天津医科大学我是没想过，因为不打算去那边发展，倒是班里部分同学的备选。 我觉得考研选学校主要还是要考虑自己的实力和日后工作方向。如果你想留在天津附近工作当然天津医科大更好，如果你喜欢去东北三省工作肯定中国医科大比较合适。如果除去这些不谈，本身这两个学校在教学水平上的差异好像并不明显，所以分数线应该也差不多（具体情况建议去研招网查一下） 今天就是预报名开始的日子了，离考研还剩下九十多天，希望大家都可以顺利考上心仪的学校   
天津医科大学有法医专业么？“,没有
关于天津医科大学，有什么有趣的梗？,医大两大护法： 西楼龙姨、药院张姨～   医大无人不知无人不晓， 龙姨大招：赶人、锁门、锁电梯！ 张姨大招：查学！生！证！  张姨去年退休了，龙姨还老当益壮！  刚大一时就被两位阿姨凶过，当时萌萌哒的我真是一脸懵逼，不过后来越来越爱这两位阿姨，她们心直口快但是非常关心学生，熟了之后发现她们真是非常可爱，学校有时会拍视频或者采访两位阿姨，平时干脆利落的她们在镜头前还会紧张，特别是龙姨！哈哈哈，我再一年也快毕业了，祝两位阿姨身体健康  …………………………………………………  上个热乎的：  直接上图感受一下吧      教室已经不能满足医学狗的学习了，毕竟学习使我快乐。     来天津医科大学，告诉你食堂不仅仅是吃饭的地儿，还可以用来上！自！习！不要问我自习是谁！      你都在食堂自习了还想瘦？ 噢不对～明文规定了禁止一切与学习无关的活动，哈哈哈哈！ 那么问题来了：“吃”到底与学习有没有关？  又到了期末考试周，天津医科大学的考试周绝不缺梗，有背书背到发狂的怒砸百宝箱的（里面全是重点？？？），有背到欲罢不能自言自语的，有沉迷学习在自习室晕倒进医院的，这真的真的是真的，不是故事不是故事！！ 反正这是我最后一个考试周了，静静地等待120来然后朋友圈刷屏～～  …………………………………  我又来更了，果！然！（图片转自朋友圈及QQ空间）     我就不吐槽这个配图了！！  再来一个……     然而考试周还没有进入高潮……
天津医科大学总医院的医生为什么态度都那么差？,大一新生被邀很惶恐？？
天津医科大？or吉大？,毫不犹豫，天津医科大。 吉大医学的确更强一些，但是现在整个东北状况都不太好，给人一种死气沉沉没有上进的感觉。 可能天津医科大不是985，但是在天津本地甚至在河北都很有名气。 我一个姐姐吉大临床医学本硕博连读，当时高考的分能去武大但因为这个本硕博连读来到了长春。现在肠子悔青了，感觉好像把自己一生绑给了长春。 吉大医学强，但是出了东北，名气和天津医科大也就不差什么，说不定在南方，天津医科大学带了个"医"字比吉大更容易被接受一些。 我并不是说长春这个城市不好，相反如果你想留在长春发展，那吉大绝对是最好选择。 东北的四所985本人都有接触，除了东大只是去参观外，本人大连理工学生，哈工大和吉大都交流学习过。 就个人而言，我最不喜欢吉大。
谁知道关于天津医科大学药分专业好不好考，前景好不好，录取比之类的信息?,慎重报考
南卡罗莱纳医科大学怎么样？,学校一般吧，地位相当于上海中医药大学或天津中医药大学（第四级学校），自己可以在网上搜索一下医学类院校排名。
在南方医科大学上学是一种怎样的体验？,05年入学，公卫，从天津到广州，那时候还并没有顺德校区。第一次到学校觉得惊呆了，好小好破，门口好乱。那时候广州刚刚禁摩，学校门口也并没有那个太阳城（是叫太阳城不？）。在学校门口送爸妈走的时候哭了，感觉好想家~  就那么的过了五年。现在坐在波士顿的办公室里打这些字，觉得恍如隔世。  印象深刻的几个画面：早出晚归的103自习室 - 那是我唯一一个坐着舒服的自习室，其他的教室桌子和椅子巨远。宿舍楼 - 我们住的时候还很新，除了太热， 其他都很好。行政楼&amp;大礼堂 - 还记得穿着礼仪的衣服在那儿傻兮兮的走来走去，在那儿参加唱歌比赛，都很美好。  要说最感激学校的，就是那说一不二的作风和无比浓厚的学习氛围，大家都很爱学习。你其他方面再好，学习不行，挂科，还是不怎么招人待见的。所以南医考研的成绩，据我所知是特别辉煌的~就是出国的人太少了，至少我们那时候是那样。虽然10年毕业以后再也没有机会回广州，回到那个郁郁葱葱的校园，但经常想念。我相信现在学校越来越蒸蒸日上，广州也变得越来越迷人了。想念你们，怀念我的18到23岁。
天津医科大学医学影像技术好吗？我今年刚被录取，不喜欢的话可以转专业吗？,谢邀，第一次被邀，受宠若惊！  具体专业的情况、就业前景、就业的待遇怎么样我还真不了解。我是学康复的，天医大的一个小系，一开始也觉得不怎么样，现在大四狗，感觉自己还是很满意这个专业的，所以不同的人感觉也会不同。  既然被邀了我就简单说说自己了解的吧，有不对的欢迎指正。 医学影像学院有两个专业，分别是医学影像学专业（五年制）、医学影像技术专业（四年制）。两个专业的对口方向从名字上也能看出差别，除了学制不同最主要的差别是影像学（五年制）毕业后授予的是医学学位，而影技（四年制）毕业后授予理学学位，根据现有政策理学学位将来是不能考执业医师资格证的，没有资格证就没有处方权，从严格意义上说还不能算一个真正的医生。但是关于医学方面的专业知识课程还是照样设置，而且也要认真系统的学习的，只是相对医学专业的同学的要求会低那么一点点。从2013级开始，天医大是不允许转专业的，只能读完或者复读重考，不能半途转专业！！所以要根据你自己的志向想清楚了。  我自己是一心想学医的，但是我学的康复以后授予的也是理学学位，也面临不能考执业医的尴尬，刚开始入学时心里还是有落差的，但是自己真正了解一个学科之后发现其实每个专业都有其特点，越了解越喜欢，甚至于现在让我再报一次专业我会直接报康复专业，考得证不一样，但是一样能够救死扶伤。  专业没有好坏之分！了解之后才能说自己喜不喜欢或适不适合！  关于日常： 影像学院、检验学院、高职都不在校本部，在广东路校区，也就是我们说的东院，和天津外国语挨在一起。东院比校本部小（其实校本部也很小）。你们的课程基本都是安排在东院，但是会有体育课等部分课程需要到校本部，如果需要参加一些活动的话也需要跑跑腿，不过好的是两个校区离得很近，每天都会有校车往返，自己打优步或者坐公交也挺方便，而且东院周围环境很好，周围吃的也挺多。 值得一说的是，影像学院的整个风气我感觉很好，很团结、心也齐，活动、比赛成绩都很不错。    以上就是我浅薄的了解和一些个人观点了，对于专业性的问题我了解得真的不多，要寻求更专业的解答每年都会有学校和各院系的新生QQ群，可以在里面问大家！
天津哪家大学的食堂最好吃？南开还是天大,果断医科大学啊。。。碾压有木有
天津医科大学学生，想学游泳，在医大游泳馆，希望找个人教，价格可议，最好是学生。？,我可以教给你哈，这就要去天津上学啦！可以教蛙泳和踩水。 
天津医科大学眼视光医学5年制有实习期吗？,谢邀 天津医科大学眼视光医学五年制和临床五年制除部分课程设置不同外 其余完全一致 四年学习内容 一年实习 实习内容相较临五只是多了视光门诊
请问天津大学或者南开大学的同学是怎么看待你们旁边的天津中医药大学的？,上大学的时候（天大），英语课是和医科大学的一个班级一起上的。所以知道旁边有个医科大学。 然后一直以为中医药大学就是医科大学。 前几年学开车，驾校碰到一对小情侣是中医药大学的，这才把我掰过来。 中医药大学的朋友们，我承认错误-__________________-...........
天津医科大学专业好转吗？,印象中有转专业考试，但有成绩要求
如果北航和人大合并，能否和北大清华齐名组成中国Top3？如果再合并首都医科大学呢？,何必那么费劲呢，天津大学，中国地质大学，人大三家合并为中国天地人大学，岂不美滋滋。
天津医科大与天津医科大临床医学院区别？,一个是211一个是三本的区别
首都医科大学军训事件（骚扰联大女生）是怎么回事，会怎么处理，为什么会发生这样的事?,勉强算是事件亲历人。偶然看到这个问题，回答的大多是一些不知所以答非所问的。  梳理一下时间线： 16年4月前，吕兆丰担任校长。  16年4月，吕兆丰因？？？不再担任校长，校长职位空缺。  16年4月---9月？？？？？未知状态  16年10月原天津医科大学校长尚永丰任首医校长。  16年7月，15级新生军训。中间发生题主讲到的事件。 这里说一下我经历的情况：某一天晚上，指导员到我们宿舍说：晚上睡觉不要把窗帘拉开，不要对着窗户玩手机。我们当时只是疑惑，因为不知道原因。后来班长说我们宿舍后面是联大女生宿舍。再后来我有一次和我母亲通电话，她说你要注意安全啊，我觉得很奇怪，再问过后才从我母亲口中听到了与题主所描述的事件类似的情况。之后的一些发展我们也是不甚明了，也都是从网上看来的。值得一提的是，当时出事的宿舍和我们大约一墙之隔，而且是那种活动板房的墙，甚至天花板都没有封住的那种 ，然而隔壁搞出那么大动静我们竟然毫不知情。  问题来了：为什么在军训营地这种封闭环境下发生的情况外面的人比我们参加军训的更清楚？我们甚至要靠外面的人才知道事情的进展？  而且，当时基地里抛开这个事件，首医和联大就没有任何矛盾过，也没听说过什么硬闯女浴室的事情，我见到的联大同学都是十分有礼貌的。还是说又有什么事情是我这个身在基地之中而毫无耳闻的？  然后，这件事就不了了之了？最后什么说法都没有？  假如是由于部分学生不良行为引起的事件的话，应该不会有这么多不合理的地方。  联系一下前面，首医校长空缺近半年后天津校长空降，如果说军训事件是有人要借此传达一个信息：现在代理校长职务的人不适合当校长，或者现在首医现有的领导班子内没人能接替校长职务，我觉得并不是说不过去，因为事件起因经过都太古怪而模糊了，并不像是自然发生而像是人为制造的一样。也就是说有人制造了这起事件阻止现有的人接任校长。虽说都是推测吧，但是还是要借此说一下此事件发生的不合理性。  不知道新校长就任后有什么人获得利益呢，不过一个空降的校长，想搞什么事情或许要借助一下别的什么势力？  至于新校长的水平，感觉就是随便什么吕兆丰都比他高到不知道哪里去了，不多作评论。  只能说那些谈什么教育啊，素质啊，惩罚啊，处理啊之类的人还是太naive。见得风就是雨，这种没有根据的话你把它再说一遍，你等于你也有责任吧？还是缺少人生的经验，被人当枪使估计也是不知道的。
请问在天津医科大学读英语怎么样，会学习医药知识吗？,全校各专业都会学解剖和药理⊙﹏⊙
复读女友要来天津上大学找我，求推荐好的二本！？,请问您在河北工大的哪个校区，新还是旧？ 既然是旧校区，那么时间还是比较充足的。让对面去天津工大、师大、理工都合适。 医科大和中医大、体育学院最近几年会搬到郊区团泊湖那边，交通极端不便利。同理，外国语大学的非外语相关专业在大港，也不合适。 天津科大在九号线终点站。进城要一个多小时，勉强可以考虑。 财大和天职师大如果有二本位置，相对推荐。 城大和农学院在郊区而距离地铁站远，不推荐。 如果学艺术，音乐学院和美术学院可以考虑。
17年报的天津医科大学生物医学工程，麻烦学姐学长介绍一下？,那个。。。我也17年的。。。临床8年专业 混一波脸熟   
又没有读医科的人，想看一下医科大学的内部排名，准备报志愿。？,以下医科大学排名可供参考。 1.第一层次:医学霸主 中国协和医科大学（已经并入清华大学） 2.第二层次:南北医学双雄 北京医科大学(北京大学) 上海医科大学(复旦大学) 3.第三层次:军地医学四大精英 A.地方医学四大精英 同济医科大学(华中科技大学) 中山医科大学(中山大学) 华西医科大学(四川大学) 湖南医科大学即湘雅医学院(中南大学) B.军队医学四大精英 第一军医大学(已转入地方现为南方医科大学) 第二军医大学(据传将转入地方并入同济大学) 第三军医大学(据传将成为军队唯一的医科大学) 第四军医大学(据传将转入地方独立办学) 4.第四层次:医学十一大金刚 首都医科大学 中国医科大学(据传将并入东北大学) 西安医科大学(西安交通大学) 哈尔滨医科大学 上海第二医科大学(上海交通大学) 山东医科大学(山东大学) 白求恩医科大学(吉林大学) 浙江医科大学(浙江大学) 天津医科大学（已进入211工程） 重庆医科大学 南京医科大学
天津医科大学201710月会搬迁吗？,谢邀。 不会，别说东院的影像，本部也不会今年搬      尊敬的领导您好，     我是天医大教师，我校按照市规划要搬到团泊西区，在西区建新校区，按照规划17年搬迁.可是现在新校址还是空地，没有开工.想咨询一下领导，因何原因延期，何时能动工，以及何时可搬迁.望领导关注推动，多谢.   反馈 尊敬的网友:     您好！医科大学新校区建设拟分三期进行，目前，一期工程涉及的征地拆迁工作尚未全部完成，二期工程土地指标正在落实当中。两方面因素制约了前期工作的有效开展。 教委和学校一直积极与静海区委、区政府以及代建单位等沟通协调落实，以促新校区早日开工建设。      感谢您关心支持我们的工作。祝您身体健康、生活愉快！                   天津市教育委员会                    2016年9月22日
天津医科大学2017年在黑龙江录取分数线（分专业的那种）？,TANKS FOR YOU INVITATION  @瑛黎  。然而我是福建人，在福建高考。不方便回答您的疑问，但我一定尽力帮您询问到，如果有消息，即可更新。
天津医科大临床七年制一阶段是不是很难啊？要怎么准备呢？过不了怎么办呢？,看书，看习题册，看执医 挂了补考呗 ……
求问大神，天津医科大学临床医学院怎么样？,学校有点小，只有一个食堂，一个超市，然后寝室是六人间，上床下桌，没有空调，没有独卫，有两电风扇，每层楼有两个公共的厕所洗衣房，校园绿化也还行，交通还是比较便利，校门口就有公交车，然后隔壁有三所大学，周末可以去逛逛，老师是本部的老师，想学习的话得自己努力，照片目前手机没有，有人看的话，我再去找找  目前只找到这几张，寝室的照片貌似没有，啥时候去借别人的    这是从学校马路拍的男寝和食堂，矮的是食堂   同一个位置拍的实验楼，黑色的是图书馆，更远的是六号实验楼  s食堂外面   食堂   图书馆的考研教室  目前只有这么多，我去别人那儿挖挖
天津医科大临床学院怎么样?,作为一个马上毕业的人告诉你，生活真的很枯燥，而且大家都比较有钱，你在这种环境会比别的地方成长的快，但是也更容易堕落，如果能补习最好再来一年，如果打算上三本，这是个不错的选择，因为你出去工作这个学校名字很能忽悠人，比较别的三本好了很多。但是硬件软件是真的不行。
