你怎么看待天津科技大学fsc第一年使用单体壳技术？,第一年就撸出单体壳确实很厉害，但是分数明明很低，可能重点放在车手与赛车的配合以及赛车调校上，看起来效果会更好。不过，比赛已经过去，单体壳也赚足眼球，再考虑什么也都无所谓了。
我是今年的高考生，想要报金融。天津商业大学好还是天津工业大学好？, 金融的话，就是那种和钱打交道的一个专业，你会学习一些经济现象，你会由这些现象推测出之后的经济形势，然后做出一些计划和决策。   金融的本质就是钱生钱，就是让你学习如何让你手中的钱去得到更多的钱。当然其中你需要借助各种工具，大多是虚拟的，比如说股票，基金等等。这个过程就是投资，通俗来讲就是用钱买一个以后会更贵的东西以后再卖掉，这样就钱生钱了。   学金融如果想要稳定的话，还可以去银行工作。   它的核心课程有微观经济学，宏观经济学，管理学，会计学，货币银行学，中央银行学，财政学，保险学，公司金融，金融市场学，会计报表分析，证券投资学，期货与期权等等。   想学好金融，需要记忆力和计算能力。我一个理科生已经完全变成文科生的感觉了。还需要收集信息的能力，多看时事新闻等等。   大众职业：银行职员 （薪资：按不同的城市而定）                     当然也可以到 投行工作 ，要看个人能力啦   要是想了解详情的话可以进群聊，学长学姐免费给你介绍专业。547246002 
在天津大学就读内燃机专业是种什么体验？, 楼上是我师弟...哈哈哈哈哈哈 不同的导师风格很不一样 你跟谁啊？ 
北航 北理工 天津大学 外交学院该去哪个？,本人北航本硕。  建议： 几个学校里缩小到北航和北理工。越是工作久，越是觉得视野对人的改变极大。越是大城市，尤其是北京，这个对你的塑造更加明显。  北航和北理工之间，专业的选择。如果是非学霸，请一定选择计算机或是EE专业，毕业可以很好进入往互联网行业，是个满足好奇心，拼好奇心和勤奋不拼爹的领域，收入显著高。其他的如仪器、航空航天、纯理科，都有不好找工作，收入不够高，职业路径狭窄等缺点。  具体选择上： 北航软件学院》北理工其他专业 北理工计算机或电子信息&gt;北航纯理科院系  另外，我建议在北京上理工科本科之外，一定选一个文科名校的商科第二学位，大大扩展视野，学习不同领域系统化知识，也认识不同类型的同龄人。其中以北大CCER（国家发展研究院）的经济学第二学士非常好，我当年在北航是念的，对我终生影响，极为感恩。另外，清华、人大等应该也有同类项目，请认真找寻。  大学只是个起点。好奇心和勤奋是人生的指北针。共勉！
翻译硕士，天津外国语，天津大学，复旦，从考试难度、学习环境、实习和工作机会、发展前景看三者如何选择？,您好，谢邀  这三所学校我都没接触过，不对，去年有个好友考的天大，差了一分，今年又有个学妹跨考天大。 个人认为考试难度是：复旦-天外-天大（瞄过一眼天大的题貌似没有太难的） 学习环境啥的我没去过，不过私以为C9的复旦在这方面来讲应该是领先的。自己也逛过复旦，我对于他的印象还是很好的。  于我个人的建议的话：复旦-天大-天外 的选择排序
在天津中医药大学读书是一种怎样的体验？,作为一个毕业两年的老人，我来回答一下。 第一次踏入这个北方的学校，我真是欲哭无泪啊。在我暑假的幻想中，大学应该跟我们南方的大学一样，是崭新亮丽、舒适先进的地方，这破破烂烂矮小的楼到底是什么鬼 后来参观了流弊的天大南开以及北大清华以后，嗯，新旧程度的确比我们学校好不了多少，但是比我们学校要大的多的多的多。可能是因为北方的大学历史比较久吧。 除了破旧，另一个就是小了。我们学校一共有五个院，相互就隔着街，听起来流弊哄哄的样子，其实真是一把辛酸泪。建校之初就只有一个北院，后来随着学生和老师的增加，急需扩建，可是一个穷中医学院在寸土寸金的南开区怎么扩呢？周围都被财大气粗的天大南开买完了（老纸不得不吐槽天大南开的土豪炫富行为，两个学校加起来有半个南开区那么大，进去非得手机导航才能出来）。于是只能东买一块西租一块，只要不离得太远就行。说是五个院其实中院和西院只有一两栋宿舍楼（四五层那种老旧破楼，可不是高高的学生公寓），东院是非医学专业的文理部（也是个坑爹的地方，为了升级综合性大学才办的），南院有一栋新修的教学楼和行政楼，全算充脸了，北院有教学楼，解剖楼，操场，体育馆和好几栋女生宿舍（老！破！旧！矮！）。 我们老师最常挂嘴边的就是，咱们硬件不行但是软件好啊！ 这倒是句大实话。因为学校很小，学生也没有北中医南中医上中医那么多，老师们教的都很仔细，而且老师们也都很有学问，临床经验丰富，给我们讲课总是能结合临床，深入浅出，非常容易接受。教学管理也很严格，重点一画就是一整本（医学教材可都是动辄上千页砸死人分分钟的），考试监考也很严格，有出了名的四大名捕 。然而我前段时间去学校发现四大名捕有几个都老了不出来上课了。一学期学十门课左右，没有什么重点，考试挂了没有补考直接下学期重修，医学又有超多记忆的内容，所以我们压力很大啊 学习氛围也异常浓厚，我这五年大学绝对比高三累多了。 学校有五个附属医院，旁边就有倆，第一附属医院和保康医院。一附属是三甲医院，高大上。平时小朋友也进不去实习，都是大五毕业实习的人和研究生博士生才能去。保康医院就亲民多啦，属于社区医院，我们学校每个老师都在里面坐诊，包括校长。我们这些学生从大一开始，穿着白大褂就可以随便进哪个科室，只要你站在旁边不吵不闹，老师绝对不会赶你出去，事实上每个诊室里都站满了各个年级的学生。没病人的时候老师会跟学生讲临床经验，探讨病例，时间久了脸熟了过节还会整个科室一起吃饭。有的医学院老师只教书和做科研，理论和实际还是要结合理解才更深刻。据说上中医的老师会有深厚的中医传统思想，不会让不是自己带的学生进诊室，年级高的也会排斥低年级的。这样看来我们学校的老师还是非常宽厚的，我们学校的毕业生医学素养也相当强，可能也从侧面解释了为什么这么烂这么破的学校能在中医类大学中排名前三甲了。 夸完好的，现在开始黑了。可能跟中医类院校有关，学校校风非常非常封建传统。一个天大来我们学校代课的心理学老师就跟我们说过，你们学校的学生啊，一个个都沉闷的很，没有创造力和激情，连情侣走在校园里都隔着一个人的距离！我在天大看到人家都是搂着走的啊！ 这实在不能怪我们，沉重的学业还有高压管理政策让我们失去了青春应有的气息！学校的管理层都一副老学究的样子，在学校搂搂抱抱？书记看到你要写检讨。人人上吐槽食堂难吃？导员发现你要被劝退。写个联名信全班都被骂。这还不是最黑暗的，有个叫范筠娜的女导员，奖学金五千学生分她两千，她就会把这奖学金给你。不满她黑暗统治得罪她的人毕业找工作的时候，她会跟用人单位说这孩子品行有问题！最后只能大家都给她送钱完事！这都是发生在身边绝对真实的事情！她还是天津市劳模，由此可见整个学校的上层多么黑暗腐败，这种每个学生都讨厌只会作秀的人竟然能被推荐劳模。这种环境下学生只能战战兢兢明哲保身了，谁还敢出头说学校任何不好？ 除去那些令人恶心的黑暗面（可能每个大学都有吧），学校的师资力量还是蛮好的，其他不多说，欢迎补充。
天津大学研究生宿舍是什么样的？,新校区的情况是两人间，平板床，有大功率用电间，没有独立卫浴，每层设有几间卫生间和淋浴间
如何看待天津大学征集学生参加2017年全运会开幕式？,  更新 5.24 晚10点         如果是自愿报名的话，就没什么不合理的呀。  如果被报名，被强制。哗擦天大这就hin不地道。不觉得有哪条校规校纪要求强制参加这种活动吧。   若是总把学生认为是应该服从一切的免费廉价的听话劳动力，这就不是学校了吧。    志愿者之所以是志愿者，就是不是强制的。真的吃相不好看啊！    真诚希望天大在学科，科研进步的同时，也能多点人文关怀。   ------------------------------------  能不能作为个人推荐一下，天大土木一身正气，两袖清风，没他不行的那位啊:)  ----------------------------------  想要凑够足够多的志愿者，一定要强制吗？  1.从部分学院扩展到全校，自愿报名。从本科生放宽到研究生。  2.给予假期补助，马拉松志愿者一天还给50呢啊。你这啥都没有就强制。  3.军训学分直接给95呗，为了分数有些人可什么都愿意，手动滑稽。   4.天津就剩下天津大学一个学校了吗？天师，天财，天商，天理工，天科，天外，天音，河工，中医药，天医就没人了吗？   -------------------------------  时刻准备着黑天大的“天大药丸”匿名小分队已经准备随时开喷看热闹了，期待天大还是能够及时作出声明加以改正！ 
天津大学的科技英语和厦大英语专业哪个好？,我就是天津大学英语专业（原来叫科技英语）的，楼上那位说的我并不完全认同。我的几届学长学姐，专业第一都留在了本校，专业前十也有近一半留在本校读研。         至于为何会有楼上学长的回答，坦率的说。天大英语确实不好，但要看和谁比。天大的英语也有自己的特色，我们大一要学高数，大二要学大学物理，这些都是全英文教学的，对于想选工科作为双学位是很有利的，这些不是一般的大学可以比的吧。           从整个英语专业来看，现在英语专业毕业的，出路无非就是考研和就业。考研的话，三条路:翻译，语言学，外国文学。从考研的角度来看，学英语应该去外语类学校或北大南大那一类语言强校好。但是直接就业，那就去综合实力好的高校更好，这样可以修好的双学位，本科毕业也可以借学校的名气谋个好职业。        厦大和天大的英语相比较，我觉得还是厦大的好，毕竟厦大更加综合一些。但择校也要考虑城市地区发展，这个天津比厦门要好些。
天津大学2015年迎来120周年校庆会给学校带来什么？,刚去现场看完校庆晚会，感觉现场气氛非常火爆。我觉得举办校庆最重要的一点，就是能够为学校凝聚人心，增强在校师生的凝聚力吧。天大虽然不是世界一流大学，但是确实有走向一流的信心和实力。而在这个过程中，全校师生的凝聚力，是不可或缺的。嗯，鄙人天大本科生，不善言辞，见谅！
