求分析中科院，中国地大，同济大学在地质方面的实力?,妹子就不要再学地质了。。。 你能出野外吗？ 你能一年出十个月野外吗？ 你能很方便地随地大小便吗？ 你能每个月不方便的时候还是出野外吗？ 你能生了孩子继续出野外吗？ 你男朋友（老公）允许你一年十个月在野外吗？  以上吐槽而已，不过说实在的，这行确实不适合妹子。如果数理基础较好，或者计算机基础较好，尽量向数据处理方向发展；如果不好，就死学英语，当专业性的翻译；如果也不好，就真的换专业吧。  以下正文： 中科院名气大，但是东西挺一般，如果考虑读博或者出国，仅仅是找工作的话，不推荐。 地大专业设置齐全，是最传统的地质院校，需要考虑的是以上吐槽部分。 同济业内影响力一般，专业在校内也是很一般。但是学校名气大，去外企会很有利。
同济大学的建筑学怎么样？,全国第二吧。比清华差一点。   每年有国际建造节，挺有意思的。   http://  mp.weixin.qq.com/s?  srcid=0624q0JxKUZtsU6GWqqafytX&amp;scene=23&amp;mid=2650525753&amp;sn=1742ecaac8cac736b30fdfd545b40e4a&amp;idx=1&amp;__biz=MzA4MzI3ODUxOA%3D%3D&amp;chksm=87f79fe0b08016f68897b494d7157ee030e600c32389fe080f2465732076a3b3e1d629d62883&amp;mpshare=1#rd      
考同济大学的岩土工程研究生值不值得?,要单论岩土的话，浙大，同济，河海应该都强于东南吧
同济大学电气类专业需要转系么？,额，跟我当年的情况好相似，说几句吧。 我是2014年考上同济电气工程及自动化（当时好像叫工科实验班），一年以后转了土木，现在大三。 首先要说明的是，现在转土木很简单，大一上绩点3.5以上就行（因为现在基本没人愿意转土木了）。现在同济内部最难转的是汽车，绩点要4.7以上吧。另外，不知道你有没有了解过以后土木现在的就业形势以及未来的发展前景，可以在知乎上搜一下相关的问题，你会有所了解的。 总之，如果希望自己未来能有一个好的工作环境和收入的话，不建议你转土木，真的，我身边好多同学都很后悔学了这门专业（我自己也有一点点）。当然，如果你对钢结构，混凝土，土力学这些很感兴趣的话，转过来也无妨。 ps：电信学院的一些专业确实排名不高，这是事实。但你至少要在那里学一年，到时候会有自己的看法的。同济的汽车，交运，计算机都不错，实在不想呆在电信学院的话，你可以看看这几个。但前提是绩点要很高才行。
上海大学和同济大学编导系，哪个更值得去？,除了专业外 对学校的选择也看你个人对学校的感受 上海大学广播电视编导专业发展迅速 同济大学广播电视编导专业低调做事 风格不同 各具千秋 自己再做些深入的了解吧  （如果有意向来我济 欢迎你啦～）
如何看待同济大学开学典礼上提出的明年取消211，985？,深圳本来要成为中国甚至亚洲的“硅谷”  设立211  985直接导致“硅谷”梦破灭
同济大学考研会歧视考生本科学历吗？,不能叫歧视，但本科学校不好的话的确会减分。 其它条件相同的情况下，会优先录取本科学校较好的学生。 文科可能好点，像我们工科的确有很多二本的学生招进来以后发现动手能力很差，跟名校的学生差距还是很明显的。 不过如果你在面试时表现得的确很优秀，也不会单因为你的本科学校不好而拒绝你的。
录取到同济大学设创学院工业设计，应该就读吗？, 天哪，你不去读是不是傻，同济的设计全国第二每人敢说第一的好吗！  傻孩子 
对于同济大学四平路校区无车校园的交通设计的评价？,         谢题主邀。我认为这样的设计是非常匪夷所思，让人啼笑皆非的。校园交通设计应该以使用者的意愿和习惯作为设计前提，交通设计既要与环境协调，更要符合习惯于认知。          “无车校园”的构想非常好，也是校园慢行交通系统设计比较重视的一个版块，四平路校区针对无车区的打造，主要措施除了区域入口禁行外，还有把区域内原有的机动车道抬高，将原来供以机动车和非机动车使用的空间变成供行人和非机动车行驶的空间，也就是说，变成人非共板的格局。思路到这一步都没有什么问题，人非共板可以方便在不同时段上行人和非机动车行驶空间的互相借用，也是解决四平路校区道路资源紧张的一类办法。         但是当我周末到四平路校区看到完工的道路的时候，我惊呆了。           原本就不够宽的道路被划分成了三份，最匪夷所思的地方在于，中间的板块居然是人行道，两侧较窄的被划分为非机动车道。这样的设置是完全违背慢行通行者的行为习惯的，任何一个哪怕不具备交通专业背景的人，按照这样的指示行走，都会觉得有些“怪怪的”。          我在周六的早晨，又随手拍了一张大家在路上行走/行驶的照片：           从图中可以很清晰地看出，行人还是更习惯于走在道路的两侧，一些非机动车还是行驶在道路的中间。但是又有些注意到了标志的人，正按照划分的规则行驶（比如左边戴墨镜的大爷）。仅仅是周末早晨低流量的状态下，就已经出现了混乱行驶的现象，高峰时段会出现怎样的状况？速度较慢的自行车尚且这样，那在校园内越来越普遍的电动车、助动车与步行者完全混行，两方的安全如何保障？这样完全混行的局面，不仅没有办法保障慢行通行者的安全，还非常影响行人、骑行者的通行感受。这样的结果无疑是违背了打造“无车校园”的初衷的。          再退一步讲，假设大家都能接受这样的划分了，按照这样的路权划分行走/行驶了，行人的最终目的地一般都在路侧，我走在路上最后还是要到路边的某个草地，某个建筑去的，那就可能存在非常多个穿越非机动车道的需求，加上行人活动的随机性，整个路段上存在着无数个与正在行驶的非机动车的冲突点。          和杨东援老师提及这个设计的时候，他说，校园内的设计不应该看做工程类的设计，应该更贴近于室内设计，它没有一个标准的规范和准则，应该是需要以“住在里面”的人的需求和习惯作为设计前提。我觉得他类比得很形象，针对校园的设计不能太想当然，不是说设想得怎么好就怎么做。总的来说，我觉得这个设计的最大问题在于违背了慢行通行者的通行习惯，无论你设计的理由是什么，构想得有多么好，事先没有考虑“住在里面”的人的需求和意见，这样的设计流程是不对的。至少应该在设计前做个意愿调查，或者先做一小段实验性的路段来反映效果，再进行最终的设计和施工。          另外，听陈小鸿老师说，这个设计正在准备修改。看咱们交通学院老师们的反映，这个设计之前应该是没有和交通学院沟通过的。不是很懂为什么会这样哈哈哈。 
在同济大学就读是怎样一番体验？,同济土木学渣飘过。说几个数据：1998-2002四年，我平均到课率低于 15%（实习为100%） ，作弊率为 0% （包括毛概邓理等无聊课程，也包括流体力学等天书课程），考前找老师划重点的次数为0，去图书馆每天超过一次，去图书馆读专业书、做作业的次数为0。因为在宿舍看书不上课，被校方打扰次数为0。这个过程可以参照我另一个回答： 读书突破一万本是怎样的感觉？  知乎有我的大学同学，如果我编造事实吹牛，必然会被打脸的。   今天我坐在这里和大家谈读书，由头是一个QQ群里的对话。上个月，我和你们一个学长在同一个QQ群里聊天，群里有人说他认识的一个人吹牛，吹自己大学4年读了一千多本书。我插嘴说未必是吹牛，我大学四年读书的数字肯定比这个多。群里立刻就有人问，一年365天，大学四年也就是1460天，你凭什么能做到每天读书超过一本的？我借用陶渊明的一句话回复了一下——“好读书 不求甚解”，我不求逐字逐句，只求看个大概，再加上我 读书快一点，逃课率高一些，一天读一本书其实不算难 ，我还有空每天踢球打游戏呢。    我参加同济土木百年院庆的留影。同学和校友应该认得我在什么地方。   但是呢，无论用任何明规则还是潜规则来衡量，我合理合法地拿到了同济土木的毕业证（当然绩点不高）。我的意思是： 同济是一个不问过程，只问结果的地方。 你自己读书，自己复习，自己在教科书和参考文献里找重点，自己去实验室，自己按学校的安排去工地实习，只在实在解决不了问题的时候去找老师请教，只要你最后通过考试，没人会追问细节。我大二大三期间，课程表上的必修课排满了每周五天，每天上下午两节大课，即每学期专业课学分超过40，选修课只能晚上选。这是七个专业合并为大土木的结果，修满学分还是要费点功夫的。但只要你通过考试证明自己拿到了足够的学分，你就可以拿着同济土木的毕业证出去找工作，同济土木学院绝不因为你逃课多而觉得有什么不妥。至少在2002年是这样。  我和考场上和某专业老师曾有如下对话：   师：同学，我似乎不认识你。 我：对的，老师，我也不认识您。实际上我在今天之前没见过您。 师：这样不行，学院有明文规定的，如果你一学期没上一节课，我不能给你及格以上分数。 我：但我能考过。 师：理解。校规是0分直接交钱重修，我给你1分，你去补考（补考不花钱）。只要你考过，我就当今天这个对话不存在。 我：多谢。  感谢同济这个原则，我才有毕业后十几年的多彩生活，以及我现在比较满意的个人发展（虽然完全抛掉了本行）。也感谢同济对考试和课程的严肃态度，我才能时不时靠本行打几年工，赚个养家糊口的钱。更感谢同济老师的专业水平，在有限的课时内向我传递了足够的工程师精神，让我在媒体行业也时刻保持严谨的逻辑思考，以及避免用极端的眼光去评价社会问题：    最后呢，我建议所有非工科的同学，花上几个月时间去了解一门实用工程技术，看一个工程实例。土木工程也行，机械工程也行，化工电子都可以。因为工程和科学的逻辑不太一样。      我过去当设计员的时候，曾经向一个文科同学解释我的工作。他问我：工程师是不是在上学和实习的时候学了很多种技术，然后根据客户的需求，提供某一种。      我回答说：工程师的确在上学的时候学了很多技术，但更多的是学到了一个目录，很多技术细节我们也要查。我们手边有很多技术手册和国家规范，还有设计范例。我们也是一边工作一边学习的。      这个同学很奇怪，说：既然你们大部分问题也要边查边做，为什么还要有专门的工程师呢？      我告诉他，工程师的用处不在于背下许多技术数据，虽然我们的确要背一些数据。但是这些真正要死记硬背的数据任何人花几个星期都能背下来。我们主要的工作是妥协，在各个看起来指标之间妥协。有的地方你要耐久，就没法有非常突出的效率，要高效率，可能就没法控制产品的稳定性，要稳定，可能就要配很贵的技术工人。什么都要，那这个工程你肯定造不起。所以，我们就是在各个使用性能之间妥协，在不同系统的技术指标之间妥协，在成本和所有的功能之间妥协。在人和机器之间妥协。我们肯定找不到所有指标都理想化的方案，但我们试图提供相对最适合你的方案。      这就是工程和科学的区别。科学家研究了许多东西，但实际负责建造和维护社会的，是工程师和具体的管理人员。各个行业之间隔行如隔山，但在妥协精神这一点上，所有的技术人员都是一样的。我希望各位去了解一门工程技术，不是让大家去兼职当工程师，就是让大家体会这个工业社会必不可少的妥协精神。讨论社会问题的时候不会抓住事情的一个方面走极端。     毕业了，我到某个知名设计院求职。仗着学校的牌子挤进面试，大老板聊了几句，叫出一个设计主任：【你们聊聊】。那位主任带我进了小会议室，直接扔了一根烟过来：【放心吧，刚毕业的时候啥水平，谁不知道啊，懒得和你说专业问题。我也是同济的，给我讲讲这两年学院的段子，一会我就和老板说你学的不赖】。  因为招聘计划取消，我没进这个设计院。但在其他地方干了几年设计，我深刻体会到学长的这一番话说的不错——毕业前学的东西80%你不知道该往哪用，毕业后要用的东西，80%你还没学呢。学习能力比你学到了什么重要的多。  最后，我严肃地指出。想做一流工程师的学弟们不能像我这么“混”文凭。你们需要比我更扎实的基础。我也很佩服那些专业精深、成果满天下的校友们，感谢你们撑起了同济土木的声誉。再过30年，我孙子问【爷爷你是好工程师吗？】我就说【不，但我和无数一流工程师是同学！】    大礼堂的同济土木百年院庆晚会。结构力学第一人朱慈勉上台讲专业课，掌声雷动。     感谢这个地方   对了，西南八楼的阿姨拥有极其强大的头脑数据库。我读书的时候，全楼上千人的相貌都记得，来个外人一眼就能认出来。2007年百年校庆，我已经毕业5年，想回去看看自己的宿舍，不料宿舍楼已经有了门禁。敲敲门，阿姨看我一眼：“回来看宿舍的？，进去吧”  相关回复：  你认为四大力学哪个最难学？ - 马前卒的回答   曾经学物理竞赛的现在都过得如何呢？ - 马前卒的回答   在同济送自己一所大学——2016年5月演讲 - 马前卒的文章 - 知乎专栏 
