大学生想自主旅游去西藏，有什么建议吗？,我想去极了，但由于条件有限一直未遂，还有，去西藏最好在5，6月份
脑残大学生一枚，想在今年暑假八月份左右去西藏，请问有什么需要注意的事情呢？, 西藏紫外线很强，一定不能掉以轻心，特别是拉萨，海拔高，有时“日光城”，要注意携带防晒霜，保护好你们的皮肤，另外还有墨镜，遮阳帽这些最好都带上，不然一天下来，你的皮肤恐怕受不了，眼睛也难受。  到西藏一定要注意言行，要注意民族团结，要尊敬佛像，不能用手摸，另外藏族人的头也是不能摸的，这是禁忌！到西藏要跟随西藏的风俗习惯，比如喝酥油茶，去藏族人家，主人肯定会倒上酥油茶，双手递给你，你一定要双手接过来，千万不可单手 
被西藏大学录取的非藏族地区学生如果高反严重怎么办？,吃点药不然去医院输几天液
在西藏上大学是一种怎样的体验？,谢邀。（于9.07更新一些文字和图片，——多图预警——）  说些好玩的。 “你在哪儿上学？”  “西藏大学。”  “西藏是新疆的吗？”  “你怎么没高原红？”  “我有高原黑。。” “你们是骑牦牛上学吗？” 骑牦牛的是有钱人，穷逼只能靠腿。。  “你们那儿能上网吗？”  不能。。我们发帖全靠意念。。 “你们那儿能洗澡吗？” 这边没听说过缺水啊。。   “你们那儿有快递吗？” 没有，我才不知道顺丰、邮政、韵达以及各种通 “超市有没？” 翼支付全场八五折啊 逢年过节三折五折都有过  “你们那儿是不是很乱？”  对，从不敢出门怕被砍。。 “听说你们那儿跑步会死人？” （我特么每天六公里怎么一次也没死过。。）  每次面对这样的问题都哭笑不得。    （学校里的格桑花海）   声明：以下所有内容，仅为个人主观感受。   有多大参考价值请自行衡量，毕竟人和人眼中的世界是不一样的。  -------------------------分割线-------------------------  于我自己，选西藏大学是我做过的最不会后悔的决定。  那是我第一次勇敢的遵从自己的内心做的决定。  （下面一段是我2013年的年终日志的一部分 ）  --------- 文风略矫情 不适者自行跳过或者右上角点叉 --------  八月 藏大，建筑学。 我只图两个，图它的专业，图它的地儿。 九月 火车上，沿途的风景很美。 站在布达拉宫之下，满心欢喜。 十月 我做的不够好，但我会努力。 我喜欢行走，不停的行走，在路上。 十一月 色拉寺、哲蚌寺、千佛山。 尽自己最大努力去熟悉这座城市。 the best time on the road. 十二月 this is my december. 已经不想离开了。  这一年，我能感受到自己的存在。  离家远了，作为人的感情更稀薄了，在我的梦里，理想里，人生规划里，都只是我一个人。有些东西，我真的没有办法改变。 和小船跨年夜谈那晚，突然意识到，以我现在的状态下去，也许那一天我就会出家了。  一年前小船问我“what do you live for?”，我说“to find the meaning of life.” 我不知道现在是不是找到了。我没有什么鸿鹄之志，我只想听从自己的内心一直走下去，无论对与错。  在拉萨，我很快乐。  -------------------------分割线-------------------------   布达拉。 我将永远臣服在这种色彩之下。     去西藏之前对她几乎一无所知，嗯，只知道西藏有拉萨有布达拉宫。  在藏大，一有时间就背着包往外跑，去一点点熟悉这个城市，想要走遍拉萨的大街小巷。最开始是喜欢她，觉得她太漂亮。后来就开始爱上了这个城市，因为用心去感受过。总觉得大学才是我人生的开端，大学之前总是不快乐，大学之后开始努力去实现我所有的念想。  在拉萨几乎每天都是傻乐的状态，那么多美景没功夫不开心啊。偶尔不开心，我也总有办法治愈自己，背起包去自己想去的地方，拉萨河、八廓街、鲁定北路 或者某个没去过的地方。看看风景，看看兵哥哥~什么烦心事都没了。尤其八廓古城，随便找个入口钻进去，不管东西南北（我才不是路痴，我在我们班人称活地图），小巷子随处游荡，嘴馋了买一份炸土豆继续溜达。  虽然藏大会有很多不尽人意的事情，她除了211的名号可能比不过内地随便一个二本。因为藏大的地理位置，她没办法只是一所大学，影响她的还有很多因素。所以很多时候，她虽是一个大学，致学却不是最重要的。我记得没来藏大时贴吧里就有一个自称老师的人回复我说来藏大两个月必后悔，我现在大三（这个时候已经大四），从未后悔过。已经见过她太多坑，但这不妨碍我爱她，因为比起我得到的，这些坑不值一提。    （补充：学校暑假20天左右，寒假70天。十一基本不放假，只有大一那一年放过。每天有早操和晚自习，要查人，和综合量化挂钩。低年级每年都会有一些强制你参加的活动，比如当观众，比如运动会举扇子，没得选择的那种，除非你想被处分。听老师讲他们在藏大读书时比现在好得多，学校不会什么都管着。可以玩的很嗨，和朋友一起开酒吧，藏大就是一个普通的大学，什么社团活动都有，没有那么多限制。从 08年 以后才变了，所以大家懂得。毕竟不能再出什么事。这边入党什么的相对容易点。考公务员也是，而且工资很高，越偏远的地区越高。）  说一说我的藏族同学们。其实并没有特别亲密的藏族朋友，个人问题，无关民族，我认可的朋友首先我们要在某些方面有相似的三观，所以我长这么大交心的朋友一个手也数的来。再加上我整天一个人往外跑，跟同学接触也相应减少，三个藏族妹子又跟我们不同专业。但是这些不妨碍我喜欢宿舍的藏族妹子，可爱善良。这里单说我上铺的姑娘两件事： 1.本来我在上铺，我这人比较懒有天开玩笑问她跟不跟我换床铺，她说好，我以为也是玩笑就笑笑闹闹没再提这个。第二天晚上我再回宿舍就发现她已经把床位换好了还把我的床都铺好了！当时就挺感动。 2.大二一年不在藏大，知道她把床又挪到下铺，本来就是她的床位，我就想着我回去后还住上铺。大三开学前我回去，（舍友都回家了）准备收拾床铺，发现下床的东西好眼熟，才知道她又把床位给换回来了，还是收拾好的状态。 这些只是普通的小事，但我却真的感受到了满满的善意。  （哈哈哈再做个补充。很多时候晒被子都是早上扔阳台就忘了，晚上才回宿舍。但被子肯定是被收回来的而且大多时候还是折好的~ 就知道一定是这三个藏族妹子之一【更多时候是我上铺可爱的小卓嘎】帮我收回来的，道谢的同时再调戏调戏她们~ 刚晒过的被子盖好舒服心里也很暖~ 所以这就是。。我。。赖。床。。的原因(ಥ﹏ಥ)。。。。）  大学嘛，多少都会有让你不开心的人和事，不过没关系，不喜欢我就远离，那么多可以让我开心的事情要去做。嗯，太幸运。  综上，最大的体验其实就是： 这里有我喜欢的一切，我可以尽情去做我喜欢的事情。    图书馆    ————————以下各种风景照————————  嗯，拉萨的云   北京东路   在拉萨尤其喜欢树多的地方，因为少   燃灯节   煨桑   在拉萨有很多懒洋洋晒太阳的流浪狗~ 不过这只是宠物狗~   龙王潭   藏北草原   ————————分割线————————  西藏这些年成为了风口浪尖上的话题。一些人一碗一碗的喝着鸡汤，一些人一口一口的唾弃这鸡汤。有人赞美有人诋毁。我改变不了别人的想法也无意改变。   西藏于我，不管别人如何评价你，唯愿我待你永远如现在这般赤诚。    西藏不是鸡汤，只是一片我心心念念并来了，来了便不曾后悔的土地。这是 我的选择。   
杭州大学生去西藏旅游攻略？价钱，报团，路线，注意，提前准备些什么？有没有杭州伙伴一起的→_→?,1.杭州大学生去西藏旅游攻略？价钱，报团，路线，注意，提前准备些什么？ 【 去旅游网站吧 】 2.有没有杭州伙伴一起的→_→?  【去豆瓣吧】 
齐齐哈尔大学二本土木进西藏电网公司容易吗，有哪些要求？关键我们专业才开了四年,非常容易。很少涮本科的学生。
在西藏大学附属拉萨医院工作是怎样一种体验？,个人推荐不要来拉萨工作，想想你的亲人，如果不能陪伴在身边，一个人的生活没有什么意思。我为来拉萨工作深深后悔，已经决定要撤了。
西藏大学怎么样，什么专业比较好？,西部大学，一本，211。
为什么更多的驴友喜欢去西藏远行，而不是新疆?, 第一，无论新疆西藏对于内地人来说都很神秘，但新疆更远，无论是物理距离还是心理距离 。如果深度游新疆需要花费远远多于数倍西藏的时间金钱和精力去了解这片土地历史人文。世界上的四大文化圈，主要的宗教，主要的民族、人种都曾生活繁衍在这片土地，亚历山大、大流士、马可波罗、玄奘、张骞、班超.......都曾在这里展现他们的才华，现在在中国还找不到一个研究新疆历史的专家，而西藏文化的繁荣只能追溯到公元7世纪松赞干布的统一。  第二，个人喜好不同，对风景人文风情的主观判断也不同，风景风情方面不做任何对比 ，但新疆无论在战略、物产、资源、历史文化完全碾压西藏，新疆的党委书记常设为中央政治局委员，是国家对于新疆的重视。  关于这点，大家有不同意都可以一起来讨论。    第三，西藏的旅游发展更为成熟，佛教与中原文化较为亲近，去西藏朝圣更符合传统文化，而新疆的主流文化是伊斯兰文化，与中原文化生疏。   第四，很多人主要想问的是新疆的安全问题 ，的确，新疆存在暴恐威胁，但远远没有大多数人想象那么可怕，大街上切糕党、小偷很多都是南疆混不下去的地痞流氓，（新疆本地人对他们深恶痛绝）而民族政策的宽松造成了部分新疆少数民族在内地街上为所欲为，眼中破坏了新疆人在内地的形象。  我想增进大家对新疆的了解，看到很多人徒搭了西藏，没有看到过有人徒搭新疆，于是这个暑假众筹了一笔钱，徒搭了新疆，35天，新疆境内走了近7000公里，想展现一个真实的新疆给大家，下面是我的部分游记：      即将大四的我曾在大学前三年假期走遍了新疆每一个地区，但在内地上学期间发现很多人对新疆了解太少。为了增进更多人对新疆的了解，证明新疆不像传说中那么可怕以及少数民族朋友的热情朴实，这个暑假，我从同学朋友处众筹了4000块钱，35天，新疆境内走了近7000公里，搭了32辆顺风车。其中十几辆少数民族朋友的车，有维吾尔族、回族、哈萨克族和塔吉克族，一路上认识了二百多个全国各地的朋友，三十多个国际友人，这些朋友告诉他，他们还会再回来，因为这里是新疆，是我们大家的家乡。                                                  激烈思想斗争之后决定的徒搭   大二暑假，我拿着在学校卖干果赚的两千多块钱，趁父母不在家，准备先斩后奏，从库尔勒搭顺风车到喀什。竖个大拇指在马路牙子站了俩小时，无数出租车以不亚于中国大爷大妈日本抢马桶的气势争先恐后急刹在周围，当告诉他们想搭顺风车去喀什时，一个出租车师傅撂下一句：哦吼~1000多公里，你咋不上新闻联播呢！ 狠狠轰了一脚油门，留下一股子产自本地石油天然气充分燃烧后的尾气，我闭着眼睛轻轻享受了一口这来自家乡的清新，夹着尾巴悄悄回家，没带走一片云彩。后来有经验才知道，我在市中心想搭顺风车，又不是美国总统，一招手啥都停，搭到的概率堪比中个500万。  这事就成了我一个执念，后来与父母商量，他们坚定地认为我疯了，不要命了，并警告我再有此类想法就关进焉耆县精神病医院，其实新疆人接收的暴恐信息和谣言远远多于内地，一直以来我非常胆小，也就此搁置。直到今年4月30号，我爷爷与癌症斗争了近一年后离开了这片土地。我们爷爷那一代人用他们的热血、辛劳、汗水和泪水把新疆从一片荒凉变得瓜果飘香，但当我们去内地，被酒店拒住，去港澳台西藏被带着异样眼光查了又查，摸了又摸，被问过是不是骑马上学，几年洗一次澡的问题。一直觉得这不是舆论对于守护了祖国170万平方公里国土和5600多公里边境线新疆人民该有的态度，当爷爷那一辈人面对寸草不生的塔克拉玛干没有抱怨没有怯懦没有畏惧也没有退缩，而是用他们坚忍无畏、勇往直前的宝贵品格建设了如今的新疆，我们也没有理由退缩，我想以本地人的视角展示一个真实的新疆，对得起爷爷奉献了一辈子的土地。  但这事父母一直反对，这个暑假也断了我财政，万般无奈之下，我向同学朋友表达了诉求，结果不到十二小时，同学从四面八方众筹了近4000给我做旅费，大部分都是新疆来内地读书的孩子，在这一点上，我们感同身受。  于是，我毅然踏上徒搭新疆的旅程......                                         没来过新疆，你怎么知道中国到底有多大    你可能觉得35天太长，但当你快要结束时还根本意犹未尽，新疆太大！我们巴州一个地级行政单位，相当于江苏、浙江、福建、江西四省面积的总和，新疆占祖国六分之一还要多。也许新疆的缺点就是没有什么世界之最，塔克拉玛干与撒哈拉比起来稍逊些风骚，世界第二高峰乔戈里与珠穆拉玛比起来总有点憋屈，巴音布鲁克、喀拉峻和呼伦贝尔在一起总显得那么低调。但多元就是新疆最大的特色，一个省同时拥有了平原、高原、湖泊、冰川、河流、草原、森林、溶洞......除了海洋所有的景致。下面，请让我带你走进这片神秘而富有魅力的土地吧。    我站在乌伦古湖边发了一个动态后，很多人以为在三亚，惊叹：新疆还有这样的地方？！      七月某个清晨的禾木（秋天简直是童话）      大西洋的最后一滴眼泪，赛里木湖      冰山之父，帕米尔高原慕士塔格气冲霄汉     喀纳斯，一种无法比拟的蓝    喀拉峻草原，雄鹰翱翔的地方    沙丘与蓝天交织的白沙湖    八月一号的独库公路，雪满天山    夕阳下，手机拍摄不加任何滤镜的那拉提晚霞    伊犁某处的向日葵，在爷爷们流下汗水泪水的地方，鲜花在怒放    八卦城，特克斯，两千多年前就已形成    落日掩映下的巴音布鲁克，九曲十八弯    毛毛在赛里木和她的左脚世界波     就像我在乌伦古湖有人评论是三亚，即使新疆本地人都对她所知太少。当新疆像一位半遮面纱的西域少女款款走来，你能窥见的只是她一双美丽的大眼睛，永远都不知道这面纱下是一副怎样的容颜。当我意识到自己正走在丝绸之路的古道上，时间虽然淹没了千年来守望西北大地的烽火，但这里的人们像一部活着的历史，告诉你单单的风景永远都是冰冷的，这里的风情就像岁月打磨过的和田玉籽料，留有的是温润，却没有了那么灼热的温度。                      来到新疆，你才知道在我们国家，还有这样的一个地方    没有什么人是这片土地真正的主人，世界上所有的宗教都曾密切生活在吐鲁番。塞族人、匈奴人、鲜卑人、月氏人、乌孙人、突厥人、蒙古人，张骞、班超、玄奘、成吉思汗、马可波罗、亚历山大、大流士，这些叱咤风云的人物都曾在这个大舞台上展现其才能。古代世界的四大文化圈，都经过这里传播、交流和发展。   这里发生过难以置信的交流和碰撞，在喀什的时候，一个金色头发、白皮肤的女孩就曾告诉我，她是维吾尔族。    喀什街头的女孩和小摊    开斋节的艾提尕尔清真寺   清真寺是不允许女性进入的，即使男性，也要身穿长裤，穿着整齐，才可进行朝拜。 据说艾提尕尔清真寺对外开放参观的第一天，一位汉族女性游客穿着短裤被挡在了外面，就在这时，一位工作人员拿出美丽的披肩和艾德莱斯绸为她披上和缠在腰间，终于让这位女性游客一睹清真寺的内部。     塔什库尔干塔吉克族叼羊    吐鲁番民族团结广场载歌载舞    莎车县千人斗地主广场，斗地主是不分民族的    伊宁，维吾尔族婚礼    乔玛尔，猎鹰人和他的雄鹰    喀什噶尔专注的制陶人    杨姗老师和她的“小学生”    美女老乡和她喀什的小伙伴    吐鲁番的小伙伴笑得比葡萄还甜    方舟在赛里木湖的小模特    玉龙河边嬉戏的小朋友    禾木观景台，为了玩手机相机，自己小羊跑了都没发现的哈萨克族小朋友    喀什噶尔的足球少年，还和他们踢了一场球，1-2输了    这里的小孩是我见过最奇特可爱的 ，走在喀什噶尔的街头，每一个孩子都会露出灿烂的笑容对你说“哈喽”；禾木的哈萨克族小孩要把他和小羊拍照赚来的一百多块钱给我们买辣条；伊宁、喀什老城的C罗梅西们用高超的过人和盘带让我对未来国足满怀希望。   大兔和她喀什的朋友    喀什噶尔街头的妇女     最有味道的还是维吾尔族的老人们。他们脸上表情平和从容，散发着一种历经岁月之后的超然，他们脸上的皱纹深刻生动，饱含着人生阅历的沧桑，眼神中透露着与众不同的凝重睿智和深沉的力度，他们胡须雪白，微微上翘，透出果断和刚毅，身上有一种不为外界所动的淡定与宁静。   一方水土养一方人，新疆人吃的也攒劲儿得很，连丫头子办事都从不拖泥带水，有话直说，儿子娃娃勇敢执着、干净利落，街上随处可见一些身材高大，轮廓分明的新疆儿子娃娃。鲜美的羊肉、醇厚的奶制品、香甜的瓜果养育了这片土地的人们。                                                家乡的醇厚，舌尖上的新疆       维吾尔族日常糕点，每一种都超级好吃，值得一试    喀什噶尔的夜市热闹非凡    吐鲁番拍到的连体西瓜    伊娜和她的大馕    大巴扎里堆积如山的干果    喀什小分队十一个人点了三份菜，量太足，剩下这么多都没吃完    塔什库尔干，一个大哥请我们吃了最正宗的牦牛肉    抓饭肉多油大，要配着老虎菜一起吃    赛里木湖，我们捡了足足五公斤野蘑菇    一路上无数次在少数民族朋友家做客，吃了当地最正宗的食材，亲身感受着少数民族朋友的热情，发生了太多太多故事。                                                 关于徒搭，路上的故事   经常听说有人徒搭西藏，但很少听说有人徒搭新疆，我想通过徒步和搭顺风车这种方式证明新疆真的没有传说中那么危险，反倒非常安定，内地街上的少数民族小偷和切糕党不能代表新疆，这里的人们是那么友好热情，只是我们相互了解太少。     一开始我非常害怕，父母也不支持，第一次搭车我冒雨在乌拉泊站了仨小时，最终一维一汉两位师傅把我拉到了通往吐鲁番的收费站，这里非常好搭车，很快我就搭到了乌鲁木齐礼拜完回吐鲁番穆斯林朋友的车。   这些穆斯林朋友      在吐鲁番我们碰到维吾尔族朋友小发哥，住在他家    一从吐鲁番出来就搭到了一辆维族大叔的丰田车，直到乌鲁木齐    往北疆的路上，哈萨克小伙子的大货车   那晚十点多，哈萨克族朋友把我们放在了离恰库尔图10公里的地方，他们不走了，让我们自己过去，我们刚下车出发，就看见他们发动车从我们旁边呼啸而过。我和修还在揣测，是不是说什么话让他们不高兴了，结果没几分钟，看见他们掉头拐了回来，后来才知道原来富蕴县下雨，他们拉着水泥，不能再往前走了。这是我对少数民族朋友的第一次揣测。  之后我和修计划从恰库尔图徒步到福海县，感受沿途哈萨克族人的生活，刚进入324省道，一位哈萨克族朋友喊住了我们，让我们去他家喝奶茶，我们答应后他踩了一脚油门就走了，我没太在意，以为他只是说说，结果走了两公里，看他抱着娃娃远远地等着我们。在他家院子里，我们喝完奶茶，聊了会儿天，他挥了挥手，喊了一句：我们干活去了！ 开着拖拉机呼啸着去了地里，留了我们惊愕的表情，连照片都没来得及拍一张。    刚徒步就碰到的哈萨克族朋友    在这位哈萨克族朋友家院子里喝奶茶   从禾木出来的时候下雨，哈萨克族大哥别克说要带我们去他朋友家喝奶茶，我心里犯嘀咕，结果想想自己既没才也没色，无所谓，就去了。结果到他家一看，他朋友是警察，墙上挂满了荣誉，警察朋友热情地招待了我们，一直在说党的政策好，他家房子，一个拥有两亩地的独栋大别墅，只要了三万。    在别克的朋友家喝奶茶    哈萨克族朋友家三万块钱的房子   在喀什噶尔老城里，同行的妹子抓拍了一位维族大妈照镜子，结果这位大妈极其不好意思地捂住了脸，笑得像个孩子，羞涩地跑进了屋里。他儿子很大方，直接把我们带进了他家做客，为我们摆上各种糖果瓜果，小伙子在湖北上学，他哥哥在喀什大学教书。    在维族小伙子家和他的合影    当然，一路上也认识了很多国际友人，他们对新疆浓郁的风情总显得兴趣盎然，爱吃切糕的George，热爱冬不拉的外教Chris，向老板讨教怎么做卡瓦斯的美国女孩Natalie，会说维语、汉语、俄语、英语的斌吉恩，当然还有叫我Brother的大帅哥Jonathan，他们来新疆之前很多中国朋友劝他们，可外国人总是一根筋，毅然踏上了新疆的土地。    爱吃切糕的George    喜爱格瓦斯的美国女孩子Natalie    买了一把冬不拉的外教Chris     当然还有一直以兄弟称呼我的大帅哥Jonathan    原本只是想用徒搭的方式证明新疆的安全，后来逐渐发现原来自己的目的已不再重要。我们所有人相聚又别离，就像我们人生一样，不同的人只能陪伴你走一段不同的路，这一段路你们目标相同，相互鼓励，共同成长，但走过这段路，即使再不舍，你还要毅然决然地离开，因为每个人都有不同的路要走，你不能干预，无法相互拥有彼此的人生。而自己选择的路，即使布满荆棘，也要勇敢地走下去。   新疆太大，发生了太多太多故事，如果你不想道听途说、以讹传讹，而是对这片土地心怀向往，我已用徒搭这种别人看来最“危险”的方式证明了新疆人民的友好，所以，尽管来吧，我自己的路线大致是这样：   而如果你要来新疆，请注意以下几点：  1、新疆太大，东边的哈密和西边的喀什都有一个小时时差，夏季最北边喀纳斯北京时间23点左右日落，所以，要来新疆就要做好充分准备，对旅程的长短做出合理规划，方式不同无所谓，按照自己认为对的来就行。     2、新疆地貌非常丰富，地区间温差极大，在吐鲁番47℃的时候，独库公路、巴音布鲁克可能下着鹅毛大雪，所以，查好想去地方的温度，带上合适的衣服很重要。  3、新疆有47个民族，13个世居民族，大部分世居民族信仰伊斯兰，所以切忌在他们面前谈及猪肉，这是对他们民族信仰的尊重。  4、在新疆，大部分度量单位都是国际标准的，买东西都是按公斤，路程都是按公里，希望大家不要搞混。  5、南疆大部分少数民族习惯用新疆东六区时间，北京是东八区，一般北京时间减两小时就是新疆时间，比如北京时间10点上班，换成新疆时间就是8点。  6、新疆吃肉很多，一般都用洋葱（新疆人叫皮芽子）拌的老虎菜刮油，一口肉一口老虎菜就不会太腻。  7、新疆除了极其个别的路段，其他路况都非常好，租车的话兰德酷路泽没有太大必要，路上碰到很多租朗逸的，就非常足够了。  8、去过西藏的朋友注意，新疆的物产资源比西藏丰富太多，基础设施非常棒，所以不必把新疆想的和西藏一样，内地市场上有的东西新疆都有，内地市场上没有的东西新疆也有。  9、个人认为意外的风险远远大于暴恐，我徒步琼库什台迷路，走到凌晨一点半才到村子，三次欲渡河未果，完全没有路的地方自己踩出路走，后来想想后怕，所以走任何地方之前，先查好路线，徒步走马道，不要想当然太自信，再成熟的徒步路线都会发生意外，你怎么知道下一个不是你。     10、到新疆，就放心嗨，大胆玩，希望你是个既可以品高级红酒又可以撸路边摊，既可以hold住富丽堂皇的餐厅也不嫌弃喀什绿皮火车，既能享受赛里木高白鲑，也贪吃喀什夜市两块钱冰激凌的女子。  11、大部分新疆人自己根本不了解这个地方，在开始这次旅行之前，我和我的亲戚朋友对新疆几乎处于懵逼和无知状态，新疆确实存在暴恐威胁，但绝不像很多人传的那么严重。所以，大家在保证安全的前提下自己去体验。  12、没有来过新疆或对新疆不了解的朋友，请不要对这里评头论足，你把新疆都看完了，再发表意见，告诉我哪里不好，我就相信。    我相信新疆对内地的向往就像内地对新疆一样。当左宗棠抬棺入疆，决定与沙俄以命相拼；霍去病北却匈奴，金戈铁马，气吞万里如虎；玄奘面对浩瀚的塔克拉玛干毅然前行。他们在连接了新疆和内地的同时也为中华民族的血液里注入了永恒的力量——信仰、责任、关怀、无私。  当高适畅游边塞、纵情高歌，当岑参执笔沉思、仰天悲唱，他们为西域和中原留下的不仅是光焰万丈的诗篇，而是传承千载的精神——激情、想象、热爱、博大。  当我们的爷爷面对寸草不生的荒漠时，没有抱怨，没有怯懦，没有畏惧，也没有退缩，而是用他们坚韧无畏、勇往直前的宝贵品格把新疆从一片荒凉变得瓜果飘香。   “而世之奇伟、瑰怪、非常之观、常在于险远，而人之所罕至焉，故非有志者不能至也”当新疆的孩子举目无亲来到内地，当内地的朋友面对阻挠来到新疆一探究竟时，我们是一样的，我们面临着支持或不支持，面对着压力，感受着陌生人的帮助，在灰暗或光明中前行，你无时无刻不面临着挑战和抉择，暮然回首，你会发现，所有的一切已不再重要，面对抉择，你已经无所畏惧。    内地和新疆有时很远，不是距离，而是有些人的固步自封，人云亦云；内地和新疆有时又很近，虽然相隔万里，但在路上，我看见了大家的勇气、独立、坚韧，听说了一个又一个故事，看见了大家对少数民族的信任，看见了无论是维吾尔族、哈萨克族、塔吉克族、回族朋友们对大家的热情。    纳尼？如果你还在问安全问题，那我还真不知道该怎么回答你了，我已经用行动证明了，很多小伙伴看见我搭车，也在新疆完成了他们的徒搭之旅，我们不光活的好好的而且玩得非常嗨，即使我是个本地人，这次旅行都颠覆了我对这里原有的认识，所以既然你对这里心驰向往，那么新疆始终欢迎你。    我们还那么年轻，未来路那么长，就像徒搭一样，你永远不知道接下来会碰到什么人，搭到什么车，发生怎样的故事。很多时候，想的困难大于做，只要你敢于开始，并且坚持，你会发现，原来的目的已经不再重要，你已经成了新的自己。  最后，我一直让奶奶担心很愧疚，还没回家你就在楼下等我，看见我眼泪都快流出来了，让我非常心疼。非常感谢支持我的亲人朋友同学，以及路上帮助过我的各族朋友，是你们给了我信心和动力，也感谢自己的勇气和厚脸皮，让我面对抉择选择了勇敢和坚持。  我们是这个国家除了黑人白人离家最远的了，我们从不畏惧远方，因为我们就来自远方。   大家总觉得新疆那么遥远。我始终相信吐鲁番不应该只停留在你的小学课本里，乌鲁木齐不应该只停留在天气预报里，喀纳斯也不应该只停留在国家地理的画册里，无数朋友告诉我，他们“听别人说”新疆很乱，我不想“听别人说”，实践是检验真理的唯一标准，我想用我的亲身经历增加大家对新疆的了解。作为一个以前去过新疆所有地区的疆三代，通过这次徒搭，我才对这里有了一个开始的认识，很多地方难免疏漏，还请大家见谅~ 
大学生援藏计划 西藏那曲 特别想去？,谢谢你的心，我先代表乡亲们感谢你。 我每次都在类似的问题下回复“别来了，我们那儿还在吃人呢。”之类的话，今儿我就好好说给你听。 首先，藏族老百姓里确实10个里面5个不喜欢汉族的，但是我觉得主要是很多汉族人跑到藏区，行为大手大脚又不尊重民俗，导致了一半的人对汉族产生偏见。【当然还有历史原因。】 汉族朋友们有个比较普遍的想法，就是“我们这样叫正常，你们那样叫奇葩，我们都这样做了，你们就不准那样做。” 西藏是一个平均海拔三到四千的地方，这里的雪山草原，养育了不一样的藏人。我想，如果带着尊重，一定会有很多人认同你甚至赞扬你的。 再者，藏族人教育水平不咋地，我觉得甚至不是教育水平，我觉得观念就不一样，所以经常造成矛盾误会。 再说那曲，那曲和其他草原一样，基本上三分之二都是牧民，也只有县城的那些人，家中可能只有亲戚在放牧。牧民的观念很不一样，暴躁，嗜酒，猥琐，无知；同时却虔诚，善良，热情，勤劳。牧民很奇怪，就是这样的矛盾体。 如何想去，我希望你别去，我看到了你的担忧，我怕同胞的粗如鲁莽会伤害到你，我不希望产生双方的误会。但如果你想去，请你放下自己，多和同事交流，多和志同道合的藏族同事一起。如果下乡，多为老百姓准备点东西，就像我说的，你对我好，我会对你双倍奉还。
高三或大学毕业后，靠着几千元到三四万元钱在西藏或云南维生么？,首先，你希望在西藏云南找稳定工作。 事业单位公务员之类属于稳定？或许这类机会在你就毕业过去的话，机会比较小，你得有证或者通过考试。 其二，盘一家客栈，我不知道西藏的物价如何，如果真要弄一家客栈，应该也是有些客源的旅游地吧，那么三w能不能盘下一家客栈未知，就算盘下，各类打点装修也是一笔花费。 最后，为什么是到云南找的一个小镇，讲真，如果真想一个人清清静静的生活，没必要跑这么远的折腾啊。 其实，找一个西藏朋友，一起养养牦牛，发家致富也快。
